date,median_price,volume_sold,item,weapon,skin,wear,stattrak
Feb 21 2014,24.714,38,AK-47 | Redline,AK-47,Redline,Battle-Scarred,0
Feb 22 2014,22.946,28,AK-47 | Redline,AK-47,Redline,Battle-Scarred,0
Feb 23 2014,21.965,33,AK-47 | Redline,AK-47,Redline,Battle-Scarred,0
Feb 24 2014,25.918,21,AK-47 | Redline,AK-47,Redline,Battle-Scarred,0
Feb 25 2014,26.908,17,AK-47 | Redline,AK-47,Redline,Battle-Scarred,0
Feb 26 2014,27.91,16,AK-47 | Redline,AK-47,Redline,Battle-Scarred,0
Feb 27 2014,29.079,16,AK-47 | Redline,AK-47,Redline,Battle-Scarred,0
Feb 28 2014,29.455,17,AK-47 | Redline,AK-47,Redline,Battle-Scarred,0
Mar 01 2014,23.606,37,AK-47 | Redline,AK-47,Redline,Battle-Scarred,0
Mar 02 2014,19.059,32,AK-47 | Redline,AK-47,Redline,Battle-Scarred,0
Mar 03 2014,17.997,38,AK-47 | Redline,AK-47,Redline,Battle-Scarred,0
Mar 04 2014,19.313,23,AK-47 | Redline,AK-47,Redline,Battle-Scarred,0
Mar 05 2014,19.889,25,AK-47 | Redline,AK-47,Redline,Battle-Scarred,0
Mar 06 2014,22.642,22,AK-47 | Redline,AK-47,Redline,Battle-Scarred,0
Mar 07 2014,21.238,32,AK-47 | Redline,AK-47,Redline,Battle-Scarred,0
Mar 08 2014,20.061,42,AK-47 | Redline,AK-47,Redline,Battle-Scarred,0
Mar 09 2014,19.577,30,AK-47 | Redline,AK-47,Redline,Battle-Scarred,0
Mar 10 2014,20.534,30,AK-47 | Redline,AK-47,Redline,Battle-Scarred,0
Mar 11 2014,20.586,35,AK-47 | Redline,AK-47,Redline,Battle-Scarred,0
Mar 12 2014,20.822,27,AK-47 | Redline,AK-47,Redline,Battle-Scarred,0
Mar 13 2014,21.004,32,AK-47 | Redline,AK-47,Redline,Battle-Scarred,0
Mar 14 2014,23.376,38,AK-47 | Redline,AK-47,Redline,Battle-Scarred,0
Mar 15 2014,21.193,53,AK-47 | Redline,AK-47,Redline,Battle-Scarred,0
Mar 16 2014,20.002,43,AK-47 | Redline,AK-47,Redline,Battle-Scarred,0
Mar 17 2014,18.793,56,AK-47 | Redline,AK-47,Redline,Battle-Scarred,0
Mar 18 2014,19.631,45,AK-47 | Redline,AK-47,Redline,Battle-Scarred,0
Mar 19 2014,18.969,33,AK-47 | Redline,AK-47,Redline,Battle-Scarred,0
Mar 20 2014,18.893,44,AK-47 | Redline,AK-47,Redline,Battle-Scarred,0
Mar 21 2014,18.986,36,AK-47 | Redline,AK-47,Redline,Battle-Scarred,0
Mar 22 2014,18.467,72,AK-47 | Redline,AK-47,Redline,Battle-Scarred,0
Mar 23 2014,17.445,55,AK-47 | Redline,AK-47,Redline,Battle-Scarred,0
Mar 24 2014,18.428,43,AK-47 | Redline,AK-47,Redline,Battle-Scarred,0
Mar 25 2014,18.443,49,AK-47 | Redline,AK-47,Redline,Battle-Scarred,0
Mar 26 2014,19.092,48,AK-47 | Redline,AK-47,Redline,Battle-Scarred,0
Mar 27 2014,17.597,51,AK-47 | Redline,AK-47,Redline,Battle-Scarred,0
Mar 28 2014,17.21,63,AK-47 | Redline,AK-47,Redline,Battle-Scarred,0
Mar 29 2014,17.778,53,AK-47 | Redline,AK-47,Redline,Battle-Scarred,0
Mar 30 2014,17.993,82,AK-47 | Redline,AK-47,Redline,Battle-Scarred,0
Mar 31 2014,18.859,64,AK-47 | Redline,AK-47,Redline,Battle-Scarred,0
Apr 01 2014,20.455,34,AK-47 | Redline,AK-47,Redline,Battle-Scarred,0
Apr 02 2014,19.274,49,AK-47 | Redline,AK-47,Redline,Battle-Scarred,0
Apr 03 2014,17.543,54,AK-47 | Redline,AK-47,Redline,Battle-Scarred,0
Apr 04 2014,18.065,68,AK-47 | Redline,AK-47,Redline,Battle-Scarred,0
Apr 05 2014,18.728,60,AK-47 | Redline,AK-47,Redline,Battle-Scarred,0
Apr 06 2014,18.897,55,AK-47 | Redline,AK-47,Redline,Battle-Scarred,0
Apr 07 2014,17.564,61,AK-47 | Redline,AK-47,Redline,Battle-Scarred,0
Apr 08 2014,17.757,66,AK-47 | Redline,AK-47,Redline,Battle-Scarred,0
Apr 09 2014,17.294,81,AK-47 | Redline,AK-47,Redline,Battle-Scarred,0
Apr 10 2014,17.626,72,AK-47 | Redline,AK-47,Redline,Battle-Scarred,0
Apr 11 2014,16.972,83,AK-47 | Redline,AK-47,Redline,Battle-Scarred,0
Apr 12 2014,16.95,87,AK-47 | Redline,AK-47,Redline,Battle-Scarred,0
Apr 13 2014,16.684,77,AK-47 | Redline,AK-47,Redline,Battle-Scarred,0
Apr 14 2014,17.195,69,AK-47 | Redline,AK-47,Redline,Battle-Scarred,0
Apr 15 2014,17.4,86,AK-47 | Redline,AK-47,Redline,Battle-Scarred,0
Apr 16 2014,17.042,91,AK-47 | Redline,AK-47,Redline,Battle-Scarred,0
Apr 17 2014,16.943,71,AK-47 | Redline,AK-47,Redline,Battle-Scarred,0
Apr 18 2014,16.259,89,AK-47 | Redline,AK-47,Redline,Battle-Scarred,0
Apr 19 2014,16.709,90,AK-47 | Redline,AK-47,Redline,Battle-Scarred,0
Apr 20 2014,15.878,97,AK-47 | Redline,AK-47,Redline,Battle-Scarred,0
Apr 21 2014,16.1,91,AK-47 | Redline,AK-47,Redline,Battle-Scarred,0
Apr 22 2014,16.715,73,AK-47 | Redline,AK-47,Redline,Battle-Scarred,0
Apr 23 2014,15.998,87,AK-47 | Redline,AK-47,Redline,Battle-Scarred,0
Apr 24 2014,16.205,98,AK-47 | Redline,AK-47,Redline,Battle-Scarred,0
Apr 25 2014,16.579,102,AK-47 | Redline,AK-47,Redline,Battle-Scarred,0
Apr 26 2014,16.429,102,AK-47 | Redline,AK-47,Redline,Battle-Scarred,0
Apr 27 2014,17.095,99,AK-47 | Redline,AK-47,Redline,Battle-Scarred,0
Apr 28 2014,16.873,104,AK-47 | Redline,AK-47,Redline,Battle-Scarred,0
Apr 29 2014,17.472,103,AK-47 | Redline,AK-47,Redline,Battle-Scarred,0
Apr 30 2014,17.436,92,AK-47 | Redline,AK-47,Redline,Battle-Scarred,0
May 01 2014,17.981,106,AK-47 | Redline,AK-47,Redline,Battle-Scarred,0
May 02 2014,15.407,106,AK-47 | Redline,AK-47,Redline,Battle-Scarred,0
May 03 2014,14.9,134,AK-47 | Redline,AK-47,Redline,Battle-Scarred,0
May 04 2014,14.203,128,AK-47 | Redline,AK-47,Redline,Battle-Scarred,0
May 05 2014,13.084,135,AK-47 | Redline,AK-47,Redline,Battle-Scarred,0
May 06 2014,13.267,132,AK-47 | Redline,AK-47,Redline,Battle-Scarred,0
May 07 2014,14.81,137,AK-47 | Redline,AK-47,Redline,Battle-Scarred,0
May 08 2014,15.25,160,AK-47 | Redline,AK-47,Redline,Battle-Scarred,0
May 09 2014,12.401,102,AK-47 | Redline,AK-47,Redline,Battle-Scarred,0
May 10 2014,10.1,135,AK-47 | Redline,AK-47,Redline,Battle-Scarred,0
May 11 2014,8.712,117,AK-47 | Redline,AK-47,Redline,Battle-Scarred,0
May 12 2014,8.377,112,AK-47 | Redline,AK-47,Redline,Battle-Scarred,0
May 13 2014,8.899,95,AK-47 | Redline,AK-47,Redline,Battle-Scarred,0
May 14 2014,8.957,94,AK-47 | Redline,AK-47,Redline,Battle-Scarred,0
May 15 2014,8.469,104,AK-47 | Redline,AK-47,Redline,Battle-Scarred,0
May 16 2014,8.016,138,AK-47 | Redline,AK-47,Redline,Battle-Scarred,0
