,date,median_price,volume_sold,item,weapon,skin,wear
0,Feb 21 2014,119.634,5,AK-47 | Redline,AK-47,Redline,Minimal Wear
1,Feb 22 2014,101.645,10,AK-47 | Redline,AK-47,Redline,Minimal Wear
2,Feb 23 2014,94.752,9,AK-47 | Redline,AK-47,Redline,Minimal Wear
3,Feb 24 2014,80.516,8,AK-47 | Redline,AK-47,Redline,Minimal Wear
4,Feb 25 2014,94.956,6,AK-47 | Redline,AK-47,Redline,Minimal Wear
5,Feb 26 2014,109.586,5,AK-47 | Redline,AK-47,Redline,Minimal Wear
6,Feb 27 2014,151.575,2,AK-47 | Redline,AK-47,Redline,Minimal Wear
7,Feb 28 2014,132.114,2,AK-47 | Redline,AK-47,Redline,Minimal Wear
8,Mar 01 2014,79.644,8,AK-47 | Redline,AK-47,Redline,Minimal Wear
9,Mar 02 2014,78.728,11,AK-47 | Redline,AK-47,Redline,Minimal Wear
10,Mar 03 2014,83.389,7,AK-47 | Redline,AK-47,Redline,Minimal Wear
11,Mar 04 2014,77.78,10,AK-47 | Redline,AK-47,Redline,Minimal Wear
12,Mar 05 2014,72.601,11,AK-47 | Redline,AK-47,Redline,Minimal Wear
13,Mar 06 2014,76.453,3,AK-47 | Redline,AK-47,Redline,Minimal Wear
14,Mar 07 2014,85.603,5,AK-47 | Redline,AK-47,Redline,Minimal Wear
15,Mar 08 2014,79.237,14,AK-47 | Redline,AK-47,Redline,Minimal Wear
16,Mar 09 2014,81.351,11,AK-47 | Redline,AK-47,Redline,Minimal Wear
17,Mar 10 2014,71.779,16,AK-47 | Redline,AK-47,Redline,Minimal Wear
18,Mar 11 2014,72.873,9,AK-47 | Redline,AK-47,Redline,Minimal Wear
19,Mar 12 2014,74.899,11,AK-47 | Redline,AK-47,Redline,Minimal Wear
20,Mar 13 2014,73.205,8,AK-47 | Redline,AK-47,Redline,Minimal Wear
21,Mar 14 2014,79.958,11,AK-47 | Redline,AK-47,Redline,Minimal Wear
22,Mar 15 2014,81.38,16,AK-47 | Redline,AK-47,Redline,Minimal Wear
23,Mar 16 2014,86.413,10,AK-47 | Redline,AK-47,Redline,Minimal Wear
24,Mar 17 2014,85.654,11,AK-47 | Redline,AK-47,Redline,Minimal Wear
25,Mar 18 2014,89.085,11,AK-47 | Redline,AK-47,Redline,Minimal Wear
26,Mar 19 2014,83.345,6,AK-47 | Redline,AK-47,Redline,Minimal Wear
27,Mar 20 2014,80.85,7,AK-47 | Redline,AK-47,Redline,Minimal Wear
28,Mar 21 2014,78.538,11,AK-47 | Redline,AK-47,Redline,Minimal Wear
29,Mar 22 2014,72.751,18,AK-47 | Redline,AK-47,Redline,Minimal Wear
30,Mar 23 2014,70.968,11,AK-47 | Redline,AK-47,Redline,Minimal Wear
31,Mar 24 2014,71.569,10,AK-47 | Redline,AK-47,Redline,Minimal Wear
32,Mar 25 2014,83.591,9,AK-47 | Redline,AK-47,Redline,Minimal Wear
33,Mar 26 2014,74.719,8,AK-47 | Redline,AK-47,Redline,Minimal Wear
34,Mar 27 2014,75.044,11,AK-47 | Redline,AK-47,Redline,Minimal Wear
35,Mar 28 2014,67.174,14,AK-47 | Redline,AK-47,Redline,Minimal Wear
36,Mar 29 2014,67.082,17,AK-47 | Redline,AK-47,Redline,Minimal Wear
37,Mar 30 2014,75.403,14,AK-47 | Redline,AK-47,Redline,Minimal Wear
38,Mar 31 2014,74.692,18,AK-47 | Redline,AK-47,Redline,Minimal Wear
39,Apr 01 2014,80.441,8,AK-47 | Redline,AK-47,Redline,Minimal Wear
40,Apr 02 2014,79.79,16,AK-47 | Redline,AK-47,Redline,Minimal Wear
41,Apr 03 2014,75.988,11,AK-47 | Redline,AK-47,Redline,Minimal Wear
42,Apr 04 2014,77.97,10,AK-47 | Redline,AK-47,Redline,Minimal Wear
43,Apr 05 2014,73.085,17,AK-47 | Redline,AK-47,Redline,Minimal Wear
44,Apr 06 2014,78.871,12,AK-47 | Redline,AK-47,Redline,Minimal Wear
45,Apr 07 2014,71.96,19,AK-47 | Redline,AK-47,Redline,Minimal Wear
46,Apr 08 2014,78.373,10,AK-47 | Redline,AK-47,Redline,Minimal Wear
47,Apr 09 2014,72.374,15,AK-47 | Redline,AK-47,Redline,Minimal Wear
