,date,median_price,volume_sold,item,weapon,skin,wear
0,Feb 21 2014,41.08,6,AK-47 | Redline,AK-47,Redline,Well-Worn
1,Feb 22 2014,37.436,14,AK-47 | Redline,AK-47,Redline,Well-Worn
2,Feb 23 2014,32.013,17,AK-47 | Redline,AK-47,Redline,Well-Worn
3,Feb 24 2014,31.277,14,AK-47 | Redline,AK-47,Redline,Well-Worn
4,Feb 25 2014,38.594,16,AK-47 | Redline,AK-47,Redline,Well-Worn
5,Feb 26 2014,39.8,6,AK-47 | Redline,AK-47,Redline,Well-Worn
6,Feb 27 2014,39.055,8,AK-47 | Redline,AK-47,Redline,Well-Worn
7,Feb 28 2014,44.063,12,AK-47 | Redline,AK-47,Redline,Well-Worn
8,Mar 01 2014,33.973,18,AK-47 | Redline,AK-47,Redline,Well-Worn
9,Mar 02 2014,33.451,18,AK-47 | Redline,AK-47,Redline,Well-Worn
10,Mar 03 2014,30.69,22,AK-47 | Redline,AK-47,Redline,Well-Worn
11,Mar 04 2014,36.548,21,AK-47 | Redline,AK-47,Redline,Well-Worn
12,Mar 05 2014,31.22,8,AK-47 | Redline,AK-47,Redline,Well-Worn
13,Mar 06 2014,33.762,11,AK-47 | Redline,AK-47,Redline,Well-Worn
14,Mar 07 2014,35.084,15,AK-47 | Redline,AK-47,Redline,Well-Worn
15,Mar 08 2014,39.16,6,AK-47 | Redline,AK-47,Redline,Well-Worn
16,Mar 09 2014,30.507,16,AK-47 | Redline,AK-47,Redline,Well-Worn
17,Mar 10 2014,29.486,21,AK-47 | Redline,AK-47,Redline,Well-Worn
18,Mar 11 2014,29.903,19,AK-47 | Redline,AK-47,Redline,Well-Worn
19,Mar 12 2014,28.176,15,AK-47 | Redline,AK-47,Redline,Well-Worn
20,Mar 13 2014,28.919,13,AK-47 | Redline,AK-47,Redline,Well-Worn
21,Mar 14 2014,33.56,14,AK-47 | Redline,AK-47,Redline,Well-Worn
22,Mar 15 2014,30.608,17,AK-47 | Redline,AK-47,Redline,Well-Worn
23,Mar 16 2014,31.971,23,AK-47 | Redline,AK-47,Redline,Well-Worn
24,Mar 17 2014,32.615,12,AK-47 | Redline,AK-47,Redline,Well-Worn
25,Mar 18 2014,32.849,11,AK-47 | Redline,AK-47,Redline,Well-Worn
26,Mar 19 2014,29.233,17,AK-47 | Redline,AK-47,Redline,Well-Worn
