,date,median_price,volume_sold
0,Jul 01 2022,177.516,8
1,Jul 02 2022,190.95,88
2,Jul 03 2022,157.379,75
3,Jul 04 2022,130.353,74
4,Jul 05 2022,128.229,57
5,Jul 06 2022,133.86,54
6,Jul 07 2022,135.208,65
7,Jul 08 2022,137.415,68
8,Jul 09 2022,137.429,59
9,Jul 10 2022,129.55,80
10,Jul 11 2022,119.66,64
11,Jul 12 2022,111.128,70
12,Jul 13 2022,120.594,35
13,Jul 14 2022,115.46,53
14,Jul 15 2022,117.399,65
15,Jul 16 2022,119.356,47
16,Jul 17 2022,123.485,53
17,Jul 18 2022,124.389,49
18,Jul 19 2022,119.671,54
19,Jul 20 2022,132.605,26
20,Jul 21 2022,126.054,49
21,Jul 22 2022,123.718,58
22,Jul 23 2022,123.391,44
23,Jul 24 2022,122.161,55
24,Jul 25 2022,115.393,66
25,Jul 26 2022,115.467,57
26,Jul 27 2022,111.934,61
27,Jul 28 2022,110.446,60
28,Jul 29 2022,112.601,73
29,Jul 30 2022,112.884,69
30,Jul 31 2022,117.065,56
31,Aug 01 2022,119.616,43
32,Aug 02 2022,119.583,55
33,Aug 03 2022,120.102,54
34,Aug 04 2022,117.867,63
35,Aug 05 2022,119.111,76
36,Aug 06 2022,123.142,53
37,Aug 07 2022,124.035,66
38,Aug 08 2022,118.361,46
39,Aug 09 2022,122.012,27
40,Aug 10 2022,116.848,66
41,Aug 11 2022,113.084,70
42,Aug 12 2022,112.266,75
43,Aug 13 2022,115.024,70
44,Aug 14 2022,115.213,71
45,Aug 15 2022,115.45,58
46,Aug 16 2022,116.999,55
47,Aug 17 2022,117.137,71
48,Aug 18 2022,115.95,68
49,Aug 19 2022,118.389,97
50,Aug 20 2022,117.719,88
51,Aug 21 2022,115.435,77
52,Aug 22 2022,114.296,73
53,Aug 23 2022,117.276,63
54,Aug 24 2022,116.131,57
55,Aug 25 2022,115.336,50
56,Aug 26 2022,116.781,56
57,Aug 27 2022,118.456,70
58,Aug 28 2022,117.719,65
59,Aug 29 2022,117.364,53
60,Aug 30 2022,115.888,52
61,Aug 31 2022,116.382,64
62,Sep 01 2022,120.724,65
63,Sep 02 2022,122.64,58
64,Sep 03 2022,125.366,73
65,Sep 04 2022,122.051,52
66,Sep 05 2022,122.459,60
67,Sep 06 2022,121.994,66
68,Sep 07 2022,121.809,45
69,Sep 08 2022,118.271,61
70,Sep 09 2022,113.233,60
71,Sep 10 2022,110.91,57
72,Sep 11 2022,108.196,49
73,Sep 12 2022,107.929,49
74,Sep 13 2022,109.238,49
75,Sep 14 2022,108.344,52
76,Sep 15 2022,105.318,56
77,Sep 16 2022,105.391,72
78,Sep 17 2022,106.401,59
79,Sep 18 2022,107.449,67
80,Sep 19 2022,105.058,50
81,Sep 20 2022,105.81,53
82,Sep 21 2022,103.539,55
83,Sep 22 2022,97.767,69
84,Sep 23 2022,97.985,63
85,Sep 24 2022,97.133,67
86,Sep 25 2022,92.281,87
87,Sep 26 2022,89.315,77
88,Sep 27 2022,83.588,65
89,Sep 28 2022,81.318,78
90,Sep 29 2022,84.335,73
91,Sep 30 2022,86.506,71
92,Oct 01 2022,88.621,78
93,Oct 02 2022,91.514,61
94,Oct 03 2022,93.036,69
95,Oct 04 2022,94.326,54
96,Oct 05 2022,93.762,49
97,Oct 06 2022,92.465,57
98,Oct 07 2022,94.717,68
99,Oct 08 2022,95.881,64
100,Oct 09 2022,95.745,56
101,Oct 10 2022,93.943,53
102,Oct 11 2022,93.392,64
103,Oct 12 2022,94.097,39
104,Oct 13 2022,91.786,68
105,Oct 14 2022,91.43,37
106,Oct 15 2022,91.952,74
107,Oct 16 2022,91.511,74
108,Oct 17 2022,90.97,58
109,Oct 18 2022,91.83,47
110,Oct 19 2022,91.963,60
111,Oct 20 2022,90.75,51
