date,py_date,median_price,volume_sold,item,weapon,skin,wear,stattrak
Feb 21 2014,2014-02-21,119.634,5,AK-47 | Redline,AK-47,Redline,Minimal Wear,0
Feb 22 2014,2014-02-22,101.645,10,AK-47 | Redline,AK-47,Redline,Minimal Wear,0
Feb 23 2014,2014-02-23,94.752,9,AK-47 | Redline,AK-47,Redline,Minimal Wear,0
Feb 24 2014,2014-02-24,80.516,8,AK-47 | Redline,AK-47,Redline,Minimal Wear,0
Feb 25 2014,2014-02-25,94.956,6,AK-47 | Redline,AK-47,Redline,Minimal Wear,0
Feb 26 2014,2014-02-26,109.586,5,AK-47 | Redline,AK-47,Redline,Minimal Wear,0
Feb 27 2014,2014-02-27,151.575,2,AK-47 | Redline,AK-47,Redline,Minimal Wear,0
Feb 28 2014,2014-02-28,132.114,2,AK-47 | Redline,AK-47,Redline,Minimal Wear,0
Mar 01 2014,2014-03-01,79.644,8,AK-47 | Redline,AK-47,Redline,Minimal Wear,0
Mar 02 2014,2014-03-02,78.728,11,AK-47 | Redline,AK-47,Redline,Minimal Wear,0
Mar 03 2014,2014-03-03,83.389,7,AK-47 | Redline,AK-47,Redline,Minimal Wear,0
Mar 04 2014,2014-03-04,77.78,10,AK-47 | Redline,AK-47,Redline,Minimal Wear,0
Mar 05 2014,2014-03-05,72.601,11,AK-47 | Redline,AK-47,Redline,Minimal Wear,0
Mar 06 2014,2014-03-06,76.453,3,AK-47 | Redline,AK-47,Redline,Minimal Wear,0
Mar 07 2014,2014-03-07,85.603,5,AK-47 | Redline,AK-47,Redline,Minimal Wear,0
Mar 08 2014,2014-03-08,79.237,14,AK-47 | Redline,AK-47,Redline,Minimal Wear,0
Mar 09 2014,2014-03-09,81.351,11,AK-47 | Redline,AK-47,Redline,Minimal Wear,0
Mar 10 2014,2014-03-10,71.779,16,AK-47 | Redline,AK-47,Redline,Minimal Wear,0
Mar 11 2014,2014-03-11,72.873,9,AK-47 | Redline,AK-47,Redline,Minimal Wear,0
Mar 12 2014,2014-03-12,74.899,11,AK-47 | Redline,AK-47,Redline,Minimal Wear,0
Mar 13 2014,2014-03-13,73.205,8,AK-47 | Redline,AK-47,Redline,Minimal Wear,0
Mar 14 2014,2014-03-14,79.958,11,AK-47 | Redline,AK-47,Redline,Minimal Wear,0
Mar 15 2014,2014-03-15,81.38,16,AK-47 | Redline,AK-47,Redline,Minimal Wear,0
Mar 16 2014,2014-03-16,86.413,10,AK-47 | Redline,AK-47,Redline,Minimal Wear,0
