date,median_price,volume_sold,item,weapon,skin,wear,stattrak
Feb 21 2014,41.08,6,AK-47 | Redline,AK-47,Redline,Well-Worn,0
Feb 22 2014,37.436,14,AK-47 | Redline,AK-47,Redline,Well-Worn,0
Feb 23 2014,32.013,17,AK-47 | Redline,AK-47,Redline,Well-Worn,0
Feb 24 2014,31.277,14,AK-47 | Redline,AK-47,Redline,Well-Worn,0
Feb 25 2014,38.594,16,AK-47 | Redline,AK-47,Redline,Well-Worn,0
Feb 26 2014,39.8,6,AK-47 | Redline,AK-47,Redline,Well-Worn,0
Feb 27 2014,39.055,8,AK-47 | Redline,AK-47,Redline,Well-Worn,0
Feb 28 2014,44.063,12,AK-47 | Redline,AK-47,Redline,Well-Worn,0
Mar 01 2014,33.973,18,AK-47 | Redline,AK-47,Redline,Well-Worn,0
Mar 02 2014,33.451,18,AK-47 | Redline,AK-47,Redline,Well-Worn,0
Mar 03 2014,30.69,22,AK-47 | Redline,AK-47,Redline,Well-Worn,0
Mar 04 2014,36.548,21,AK-47 | Redline,AK-47,Redline,Well-Worn,0
Mar 05 2014,31.22,8,AK-47 | Redline,AK-47,Redline,Well-Worn,0
Mar 06 2014,33.762,11,AK-47 | Redline,AK-47,Redline,Well-Worn,0
Mar 07 2014,35.084,15,AK-47 | Redline,AK-47,Redline,Well-Worn,0
Mar 08 2014,39.16,6,AK-47 | Redline,AK-47,Redline,Well-Worn,0
Mar 09 2014,30.507,16,AK-47 | Redline,AK-47,Redline,Well-Worn,0
Mar 10 2014,29.486,21,AK-47 | Redline,AK-47,Redline,Well-Worn,0
Mar 11 2014,29.903,19,AK-47 | Redline,AK-47,Redline,Well-Worn,0
Mar 12 2014,28.176,15,AK-47 | Redline,AK-47,Redline,Well-Worn,0
Mar 13 2014,28.919,13,AK-47 | Redline,AK-47,Redline,Well-Worn,0
Mar 14 2014,33.56,14,AK-47 | Redline,AK-47,Redline,Well-Worn,0
Mar 15 2014,30.608,17,AK-47 | Redline,AK-47,Redline,Well-Worn,0
Mar 16 2014,31.971,23,AK-47 | Redline,AK-47,Redline,Well-Worn,0
Mar 17 2014,32.615,12,AK-47 | Redline,AK-47,Redline,Well-Worn,0
Mar 18 2014,32.849,11,AK-47 | Redline,AK-47,Redline,Well-Worn,0
Mar 19 2014,29.233,17,AK-47 | Redline,AK-47,Redline,Well-Worn,0
Mar 20 2014,27.879,16,AK-47 | Redline,AK-47,Redline,Well-Worn,0
Mar 21 2014,28.463,21,AK-47 | Redline,AK-47,Redline,Well-Worn,0
Mar 22 2014,29.957,23,AK-47 | Redline,AK-47,Redline,Well-Worn,0
Mar 23 2014,28.192,17,AK-47 | Redline,AK-47,Redline,Well-Worn,0
Mar 24 2014,28.738,20,AK-47 | Redline,AK-47,Redline,Well-Worn,0
Mar 25 2014,30.565,15,AK-47 | Redline,AK-47,Redline,Well-Worn,0
Mar 26 2014,31.994,15,AK-47 | Redline,AK-47,Redline,Well-Worn,0
Mar 27 2014,33.241,11,AK-47 | Redline,AK-47,Redline,Well-Worn,0
Mar 28 2014,30.364,23,AK-47 | Redline,AK-47,Redline,Well-Worn,0
Mar 29 2014,29.391,21,AK-47 | Redline,AK-47,Redline,Well-Worn,0
Mar 30 2014,29.144,22,AK-47 | Redline,AK-47,Redline,Well-Worn,0
Mar 31 2014,29.358,21,AK-47 | Redline,AK-47,Redline,Well-Worn,0
Apr 01 2014,31.184,14,AK-47 | Redline,AK-47,Redline,Well-Worn,0
Apr 02 2014,29.287,19,AK-47 | Redline,AK-47,Redline,Well-Worn,0
Apr 03 2014,26.772,26,AK-47 | Redline,AK-47,Redline,Well-Worn,0
Apr 04 2014,27.679,17,AK-47 | Redline,AK-47,Redline,Well-Worn,0
Apr 05 2014,27.096,16,AK-47 | Redline,AK-47,Redline,Well-Worn,0
Apr 06 2014,26.218,21,AK-47 | Redline,AK-47,Redline,Well-Worn,0
Apr 07 2014,26.517,20,AK-47 | Redline,AK-47,Redline,Well-Worn,0
Apr 08 2014,27.169,25,AK-47 | Redline,AK-47,Redline,Well-Worn,0
Apr 09 2014,25.626,38,AK-47 | Redline,AK-47,Redline,Well-Worn,0
Apr 10 2014,26.432,31,AK-47 | Redline,AK-47,Redline,Well-Worn,0
Apr 11 2014,24.552,30,AK-47 | Redline,AK-47,Redline,Well-Worn,0
Apr 12 2014,26.496,36,AK-47 | Redline,AK-47,Redline,Well-Worn,0
Apr 13 2014,27.834,33,AK-47 | Redline,AK-47,Redline,Well-Worn,0
Apr 14 2014,26.952,38,AK-47 | Redline,AK-47,Redline,Well-Worn,0
Apr 15 2014,27.392,16,AK-47 | Redline,AK-47,Redline,Well-Worn,0
Apr 16 2014,25.115,29,AK-47 | Redline,AK-47,Redline,Well-Worn,0
Apr 17 2014,24.44,34,AK-47 | Redline,AK-47,Redline,Well-Worn,0
Apr 18 2014,26.858,27,AK-47 | Redline,AK-47,Redline,Well-Worn,0
Apr 19 2014,25.626,25,AK-47 | Redline,AK-47,Redline,Well-Worn,0
Apr 20 2014,23.381,38,AK-47 | Redline,AK-47,Redline,Well-Worn,0
Apr 21 2014,24.406,29,AK-47 | Redline,AK-47,Redline,Well-Worn,0
Apr 22 2014,24.772,31,AK-47 | Redline,AK-47,Redline,Well-Worn,0
Apr 23 2014,23.633,37,AK-47 | Redline,AK-47,Redline,Well-Worn,0
Apr 24 2014,24.058,35,AK-47 | Redline,AK-47,Redline,Well-Worn,0
Apr 25 2014,26.276,39,AK-47 | Redline,AK-47,Redline,Well-Worn,0
Apr 26 2014,25.727,35,AK-47 | Redline,AK-47,Redline,Well-Worn,0
Apr 27 2014,25.325,26,AK-47 | Redline,AK-47,Redline,Well-Worn,0
Apr 28 2014,23.623,32,AK-47 | Redline,AK-47,Redline,Well-Worn,0
Apr 29 2014,24.012,35,AK-47 | Redline,AK-47,Redline,Well-Worn,0
Apr 30 2014,25.776,38,AK-47 | Redline,AK-47,Redline,Well-Worn,0
May 01 2014,25.384,42,AK-47 | Redline,AK-47,Redline,Well-Worn,0
May 02 2014,20.845,50,AK-47 | Redline,AK-47,Redline,Well-Worn,0
May 03 2014,21.242,55,AK-47 | Redline,AK-47,Redline,Well-Worn,0
