date,py_date,median_price,volume_sold,item,weapon,skin,wear,stattrak
Feb 22 2014,2014-02-22,110.005,1,AK-47 | Redline,AK-47,Redline,Battle-Scarred,1
Feb 23 2014,2014-02-23,115.0,1,AK-47 | Redline,AK-47,Redline,Battle-Scarred,1
Feb 24 2014,2014-02-24,108.767,5,AK-47 | Redline,AK-47,Redline,Battle-Scarred,1
Feb 25 2014,2014-02-25,138.829,3,AK-47 | Redline,AK-47,Redline,Battle-Scarred,1
Feb 26 2014,2014-02-26,130.559,2,AK-47 | Redline,AK-47,Redline,Battle-Scarred,1
Feb 27 2014,2014-02-27,119.631,4,AK-47 | Redline,AK-47,Redline,Battle-Scarred,1
Feb 28 2014,2014-02-28,115.867,1,AK-47 | Redline,AK-47,Redline,Battle-Scarred,1
Mar 01 2014,2014-03-01,116.859,1,AK-47 | Redline,AK-47,Redline,Battle-Scarred,1
Mar 02 2014,2014-03-02,94.987,1,AK-47 | Redline,AK-47,Redline,Battle-Scarred,1
Mar 03 2014,2014-03-03,80.5,1,AK-47 | Redline,AK-47,Redline,Battle-Scarred,1
Mar 04 2014,2014-03-04,81.0,1,AK-47 | Redline,AK-47,Redline,Battle-Scarred,1
Mar 05 2014,2014-03-05,95.678,3,AK-47 | Redline,AK-47,Redline,Battle-Scarred,1
Mar 06 2014,2014-03-06,94.944,2,AK-47 | Redline,AK-47,Redline,Battle-Scarred,1
Mar 07 2014,2014-03-07,95.022,4,AK-47 | Redline,AK-47,Redline,Battle-Scarred,1
Mar 08 2014,2014-03-08,75.339,3,AK-47 | Redline,AK-47,Redline,Battle-Scarred,1
Mar 09 2014,2014-03-09,84.743,4,AK-47 | Redline,AK-47,Redline,Battle-Scarred,1
Mar 10 2014,2014-03-10,95.008,4,AK-47 | Redline,AK-47,Redline,Battle-Scarred,1
Mar 11 2014,2014-03-11,105.398,3,AK-47 | Redline,AK-47,Redline,Battle-Scarred,1
Mar 12 2014,2014-03-12,96.219,2,AK-47 | Redline,AK-47,Redline,Battle-Scarred,1
Mar 13 2014,2014-03-13,98.952,1,AK-47 | Redline,AK-47,Redline,Battle-Scarred,1
Mar 14 2014,2014-03-14,103.777,2,AK-47 | Redline,AK-47,Redline,Battle-Scarred,1
Mar 15 2014,2014-03-15,93.959,7,AK-47 | Redline,AK-47,Redline,Battle-Scarred,1
Mar 16 2014,2014-03-16,86.049,3,AK-47 | Redline,AK-47,Redline,Battle-Scarred,1
Mar 17 2014,2014-03-17,80.286,4,AK-47 | Redline,AK-47,Redline,Battle-Scarred,1
Mar 18 2014,2014-03-18,76.339,7,AK-47 | Redline,AK-47,Redline,Battle-Scarred,1
Mar 19 2014,2014-03-19,67.442,4,AK-47 | Redline,AK-47,Redline,Battle-Scarred,1
Mar 20 2014,2014-03-20,77.967,6,AK-47 | Redline,AK-47,Redline,Battle-Scarred,1
Mar 21 2014,2014-03-21,100.665,2,AK-47 | Redline,AK-47,Redline,Battle-Scarred,1
Mar 22 2014,2014-03-22,104.102,4,AK-47 | Redline,AK-47,Redline,Battle-Scarred,1
Mar 23 2014,2014-03-23,93.111,2,AK-47 | Redline,AK-47,Redline,Battle-Scarred,1
Mar 24 2014,2014-03-24,87.859,6,AK-47 | Redline,AK-47,Redline,Battle-Scarred,1
Mar 25 2014,2014-03-25,90.667,4,AK-47 | Redline,AK-47,Redline,Battle-Scarred,1
Mar 26 2014,2014-03-26,99.176,4,AK-47 | Redline,AK-47,Redline,Battle-Scarred,1
Mar 27 2014,2014-03-27,87.418,4,AK-47 | Redline,AK-47,Redline,Battle-Scarred,1
Mar 28 2014,2014-03-28,93.73,4,AK-47 | Redline,AK-47,Redline,Battle-Scarred,1
Mar 29 2014,2014-03-29,89.976,6,AK-47 | Redline,AK-47,Redline,Battle-Scarred,1
Mar 30 2014,2014-03-30,90.408,3,AK-47 | Redline,AK-47,Redline,Battle-Scarred,1
Mar 31 2014,2014-03-31,87.952,1,AK-47 | Redline,AK-47,Redline,Battle-Scarred,1
Apr 01 2014,2014-04-01,82.919,3,AK-47 | Redline,AK-47,Redline,Battle-Scarred,1
Apr 02 2014,2014-04-02,82.795,5,AK-47 | Redline,AK-47,Redline,Battle-Scarred,1
Apr 03 2014,2014-04-03,88.434,3,AK-47 | Redline,AK-47,Redline,Battle-Scarred,1
Apr 04 2014,2014-04-04,79.591,4,AK-47 | Redline,AK-47,Redline,Battle-Scarred,1
Apr 05 2014,2014-04-05,86.123,7,AK-47 | Redline,AK-47,Redline,Battle-Scarred,1
Apr 06 2014,2014-04-06,79.554,5,AK-47 | Redline,AK-47,Redline,Battle-Scarred,1
Apr 07 2014,2014-04-07,84.616,3,AK-47 | Redline,AK-47,Redline,Battle-Scarred,1
Apr 08 2014,2014-04-08,82.202,7,AK-47 | Redline,AK-47,Redline,Battle-Scarred,1
Apr 09 2014,2014-04-09,78.939,3,AK-47 | Redline,AK-47,Redline,Battle-Scarred,1
Apr 10 2014,2014-04-10,77.004,5,AK-47 | Redline,AK-47,Redline,Battle-Scarred,1
Apr 11 2014,2014-04-11,76.06,9,AK-47 | Redline,AK-47,Redline,Battle-Scarred,1
Apr 12 2014,2014-04-12,78.385,7,AK-47 | Redline,AK-47,Redline,Battle-Scarred,1
Apr 13 2014,2014-04-13,65.209,7,AK-47 | Redline,AK-47,Redline,Battle-Scarred,1
Apr 14 2014,2014-04-14,64.015,4,AK-47 | Redline,AK-47,Redline,Battle-Scarred,1
Apr 15 2014,2014-04-15,73.463,5,AK-47 | Redline,AK-47,Redline,Battle-Scarred,1
Apr 16 2014,2014-04-16,73.163,9,AK-47 | Redline,AK-47,Redline,Battle-Scarred,1
Apr 17 2014,2014-04-17,74.772,7,AK-47 | Redline,AK-47,Redline,Battle-Scarred,1
Apr 18 2014,2014-04-18,71.742,11,AK-47 | Redline,AK-47,Redline,Battle-Scarred,1
Apr 19 2014,2014-04-19,71.334,4,AK-47 | Redline,AK-47,Redline,Battle-Scarred,1
Apr 20 2014,2014-04-20,68.53,4,AK-47 | Redline,AK-47,Redline,Battle-Scarred,1
Apr 21 2014,2014-04-21,71.232,7,AK-47 | Redline,AK-47,Redline,Battle-Scarred,1
Apr 22 2014,2014-04-22,74.777,8,AK-47 | Redline,AK-47,Redline,Battle-Scarred,1
Apr 23 2014,2014-04-23,81.015,4,AK-47 | Redline,AK-47,Redline,Battle-Scarred,1
Apr 24 2014,2014-04-24,78.811,8,AK-47 | Redline,AK-47,Redline,Battle-Scarred,1
Apr 25 2014,2014-04-25,80.163,1,AK-47 | Redline,AK-47,Redline,Battle-Scarred,1
Apr 26 2014,2014-04-26,77.483,10,AK-47 | Redline,AK-47,Redline,Battle-Scarred,1
Apr 27 2014,2014-04-27,78.265,3,AK-47 | Redline,AK-47,Redline,Battle-Scarred,1
Apr 28 2014,2014-04-28,71.772,6,AK-47 | Redline,AK-47,Redline,Battle-Scarred,1
Apr 29 2014,2014-04-29,80.763,3,AK-47 | Redline,AK-47,Redline,Battle-Scarred,1
Apr 30 2014,2014-04-30,73.573,8,AK-47 | Redline,AK-47,Redline,Battle-Scarred,1
May 01 2014,2014-05-01,77.794,6,AK-47 | Redline,AK-47,Redline,Battle-Scarred,1
May 02 2014,2014-05-02,71.94,11,AK-47 | Redline,AK-47,Redline,Battle-Scarred,1
May 03 2014,2014-05-03,57.346,10,AK-47 | Redline,AK-47,Redline,Battle-Scarred,1
May 04 2014,2014-05-04,59.336,11,AK-47 | Redline,AK-47,Redline,Battle-Scarred,1
May 05 2014,2014-05-05,62.791,6,AK-47 | Redline,AK-47,Redline,Battle-Scarred,1
May 06 2014,2014-05-06,53.316,9,AK-47 | Redline,AK-47,Redline,Battle-Scarred,1
May 07 2014,2014-05-07,53.118,9,AK-47 | Redline,AK-47,Redline,Battle-Scarred,1
May 08 2014,2014-05-08,56.498,7,AK-47 | Redline,AK-47,Redline,Battle-Scarred,1
May 09 2014,2014-05-09,56.53,6,AK-47 | Redline,AK-47,Redline,Battle-Scarred,1
May 10 2014,2014-05-10,41.473,8,AK-47 | Redline,AK-47,Redline,Battle-Scarred,1
May 11 2014,2014-05-11,42.792,8,AK-47 | Redline,AK-47,Redline,Battle-Scarred,1
May 12 2014,2014-05-12,43.324,10,AK-47 | Redline,AK-47,Redline,Battle-Scarred,1
May 13 2014,2014-05-13,40.91,9,AK-47 | Redline,AK-47,Redline,Battle-Scarred,1
May 14 2014,2014-05-14,47.824,9,AK-47 | Redline,AK-47,Redline,Battle-Scarred,1
May 15 2014,2014-05-15,52.952,6,AK-47 | Redline,AK-47,Redline,Battle-Scarred,1
May 16 2014,2014-05-16,51.573,4,AK-47 | Redline,AK-47,Redline,Battle-Scarred,1
May 17 2014,2014-05-17,37.931,11,AK-47 | Redline,AK-47,Redline,Battle-Scarred,1
May 18 2014,2014-05-18,42.077,9,AK-47 | Redline,AK-47,Redline,Battle-Scarred,1
May 19 2014,2014-05-19,44.751,7,AK-47 | Redline,AK-47,Redline,Battle-Scarred,1
May 20 2014,2014-05-20,45.095,7,AK-47 | Redline,AK-47,Redline,Battle-Scarred,1
May 21 2014,2014-05-21,43.767,7,AK-47 | Redline,AK-47,Redline,Battle-Scarred,1
May 22 2014,2014-05-22,42.583,7,AK-47 | Redline,AK-47,Redline,Battle-Scarred,1
May 23 2014,2014-05-23,41.682,10,AK-47 | Redline,AK-47,Redline,Battle-Scarred,1
May 24 2014,2014-05-24,38.494,9,AK-47 | Redline,AK-47,Redline,Battle-Scarred,1
May 25 2014,2014-05-25,43.593,9,AK-47 | Redline,AK-47,Redline,Battle-Scarred,1
May 26 2014,2014-05-26,45.698,6,AK-47 | Redline,AK-47,Redline,Battle-Scarred,1
May 27 2014,2014-05-27,44.817,5,AK-47 | Redline,AK-47,Redline,Battle-Scarred,1
May 28 2014,2014-05-28,44.207,7,AK-47 | Redline,AK-47,Redline,Battle-Scarred,1
May 29 2014,2014-05-29,42.204,7,AK-47 | Redline,AK-47,Redline,Battle-Scarred,1
May 30 2014,2014-05-30,39.087,12,AK-47 | Redline,AK-47,Redline,Battle-Scarred,1
May 31 2014,2014-05-31,39.381,12,AK-47 | Redline,AK-47,Redline,Battle-Scarred,1
Jun 01 2014,2014-06-01,41.406,6,AK-47 | Redline,AK-47,Redline,Battle-Scarred,1
Jun 02 2014,2014-06-02,42.696,5,AK-47 | Redline,AK-47,Redline,Battle-Scarred,1
Jun 03 2014,2014-06-03,41.941,7,AK-47 | Redline,AK-47,Redline,Battle-Scarred,1
Jun 04 2014,2014-06-04,37.504,12,AK-47 | Redline,AK-47,Redline,Battle-Scarred,1
Jun 05 2014,2014-06-05,35.273,12,AK-47 | Redline,AK-47,Redline,Battle-Scarred,1
Jun 06 2014,2014-06-06,39.599,8,AK-47 | Redline,AK-47,Redline,Battle-Scarred,1
Jun 07 2014,2014-06-07,43.494,10,AK-47 | Redline,AK-47,Redline,Battle-Scarred,1
Jun 08 2014,2014-06-08,38.265,6,AK-47 | Redline,AK-47,Redline,Battle-Scarred,1
Jun 09 2014,2014-06-09,36.648,11,AK-47 | Redline,AK-47,Redline,Battle-Scarred,1
Jun 10 2014,2014-06-10,36.671,8,AK-47 | Redline,AK-47,Redline,Battle-Scarred,1
Jun 11 2014,2014-06-11,38.901,10,AK-47 | Redline,AK-47,Redline,Battle-Scarred,1
Jun 12 2014,2014-06-12,37.744,6,AK-47 | Redline,AK-47,Redline,Battle-Scarred,1
Jun 13 2014,2014-06-13,38.836,4,AK-47 | Redline,AK-47,Redline,Battle-Scarred,1
Jun 14 2014,2014-06-14,37.699,14,AK-47 | Redline,AK-47,Redline,Battle-Scarred,1
Jun 15 2014,2014-06-15,37.997,9,AK-47 | Redline,AK-47,Redline,Battle-Scarred,1
Jun 16 2014,2014-06-16,36.185,14,AK-47 | Redline,AK-47,Redline,Battle-Scarred,1
Jun 17 2014,2014-06-17,34.087,16,AK-47 | Redline,AK-47,Redline,Battle-Scarred,1
Jun 18 2014,2014-06-18,38.556,15,AK-47 | Redline,AK-47,Redline,Battle-Scarred,1
Jun 19 2014,2014-06-19,38.962,7,AK-47 | Redline,AK-47,Redline,Battle-Scarred,1
Jun 20 2014,2014-06-20,33.83,13,AK-47 | Redline,AK-47,Redline,Battle-Scarred,1
Jun 21 2014,2014-06-21,30.625,11,AK-47 | Redline,AK-47,Redline,Battle-Scarred,1
Jun 22 2014,2014-06-22,37.188,12,AK-47 | Redline,AK-47,Redline,Battle-Scarred,1
Jun 23 2014,2014-06-23,31.723,11,AK-47 | Redline,AK-47,Redline,Battle-Scarred,1
Jun 24 2014,2014-06-24,33.669,11,AK-47 | Redline,AK-47,Redline,Battle-Scarred,1
Jun 25 2014,2014-06-25,34.771,13,AK-47 | Redline,AK-47,Redline,Battle-Scarred,1
Jun 26 2014,2014-06-26,36.413,8,AK-47 | Redline,AK-47,Redline,Battle-Scarred,1
Jun 27 2014,2014-06-27,33.353,7,AK-47 | Redline,AK-47,Redline,Battle-Scarred,1
Jun 28 2014,2014-06-28,37.01,14,AK-47 | Redline,AK-47,Redline,Battle-Scarred,1
Jun 29 2014,2014-06-29,35.171,12,AK-47 | Redline,AK-47,Redline,Battle-Scarred,1
Jun 30 2014,2014-06-30,39.213,13,AK-47 | Redline,AK-47,Redline,Battle-Scarred,1
Jul 01 2014,2014-07-01,42.008,6,AK-47 | Redline,AK-47,Redline,Battle-Scarred,1
Jul 02 2014,2014-07-02,31.848,16,AK-47 | Redline,AK-47,Redline,Battle-Scarred,1
Jul 03 2014,2014-07-03,30.595,15,AK-47 | Redline,AK-47,Redline,Battle-Scarred,1
Jul 04 2014,2014-07-04,33.279,14,AK-47 | Redline,AK-47,Redline,Battle-Scarred,1
Jul 05 2014,2014-07-05,36.015,15,AK-47 | Redline,AK-47,Redline,Battle-Scarred,1
Jul 06 2014,2014-07-06,38.529,9,AK-47 | Redline,AK-47,Redline,Battle-Scarred,1
Jul 07 2014,2014-07-07,37.673,7,AK-47 | Redline,AK-47,Redline,Battle-Scarred,1
Jul 08 2014,2014-07-08,39.108,10,AK-47 | Redline,AK-47,Redline,Battle-Scarred,1
Jul 09 2014,2014-07-09,36.047,9,AK-47 | Redline,AK-47,Redline,Battle-Scarred,1
Jul 10 2014,2014-07-10,37.164,14,AK-47 | Redline,AK-47,Redline,Battle-Scarred,1
Jul 11 2014,2014-07-11,34.621,10,AK-47 | Redline,AK-47,Redline,Battle-Scarred,1
Jul 12 2014,2014-07-12,34.436,16,AK-47 | Redline,AK-47,Redline,Battle-Scarred,1
Jul 13 2014,2014-07-13,36.836,15,AK-47 | Redline,AK-47,Redline,Battle-Scarred,1
Jul 14 2014,2014-07-14,35.029,14,AK-47 | Redline,AK-47,Redline,Battle-Scarred,1
Jul 15 2014,2014-07-15,36.49,10,AK-47 | Redline,AK-47,Redline,Battle-Scarred,1
Jul 16 2014,2014-07-16,35.823,11,AK-47 | Redline,AK-47,Redline,Battle-Scarred,1
Jul 17 2014,2014-07-17,35.898,14,AK-47 | Redline,AK-47,Redline,Battle-Scarred,1
Jul 18 2014,2014-07-18,36.202,17,AK-47 | Redline,AK-47,Redline,Battle-Scarred,1
Jul 19 2014,2014-07-19,38.631,12,AK-47 | Redline,AK-47,Redline,Battle-Scarred,1
Jul 20 2014,2014-07-20,36.125,10,AK-47 | Redline,AK-47,Redline,Battle-Scarred,1
Jul 21 2014,2014-07-21,35.478,9,AK-47 | Redline,AK-47,Redline,Battle-Scarred,1
Jul 22 2014,2014-07-22,36.101,10,AK-47 | Redline,AK-47,Redline,Battle-Scarred,1
Jul 23 2014,2014-07-23,36.271,10,AK-47 | Redline,AK-47,Redline,Battle-Scarred,1
Jul 24 2014,2014-07-24,32.112,16,AK-47 | Redline,AK-47,Redline,Battle-Scarred,1
Jul 25 2014,2014-07-25,36.885,20,AK-47 | Redline,AK-47,Redline,Battle-Scarred,1
Jul 26 2014,2014-07-26,34.331,19,AK-47 | Redline,AK-47,Redline,Battle-Scarred,1
Jul 27 2014,2014-07-27,35.021,16,AK-47 | Redline,AK-47,Redline,Battle-Scarred,1
Jul 28 2014,2014-07-28,35.112,15,AK-47 | Redline,AK-47,Redline,Battle-Scarred,1
Jul 29 2014,2014-07-29,29.861,10,AK-47 | Redline,AK-47,Redline,Battle-Scarred,1
Jul 30 2014,2014-07-30,37.089,12,AK-47 | Redline,AK-47,Redline,Battle-Scarred,1
Jul 31 2014,2014-07-31,38.469,19,AK-47 | Redline,AK-47,Redline,Battle-Scarred,1
Aug 01 2014,2014-08-01,35.616,19,AK-47 | Redline,AK-47,Redline,Battle-Scarred,1
Aug 02 2014,2014-08-02,42.108,14,AK-47 | Redline,AK-47,Redline,Battle-Scarred,1
Aug 03 2014,2014-08-03,40.238,9,AK-47 | Redline,AK-47,Redline,Battle-Scarred,1
Aug 04 2014,2014-08-04,38.044,16,AK-47 | Redline,AK-47,Redline,Battle-Scarred,1
Aug 05 2014,2014-08-05,40.715,20,AK-47 | Redline,AK-47,Redline,Battle-Scarred,1
Aug 06 2014,2014-08-06,44.898,9,AK-47 | Redline,AK-47,Redline,Battle-Scarred,1
Aug 07 2014,2014-08-07,42.215,10,AK-47 | Redline,AK-47,Redline,Battle-Scarred,1
Aug 08 2014,2014-08-08,38.682,14,AK-47 | Redline,AK-47,Redline,Battle-Scarred,1
Aug 09 2014,2014-08-09,37.12,18,AK-47 | Redline,AK-47,Redline,Battle-Scarred,1
Aug 10 2014,2014-08-10,38.732,8,AK-47 | Redline,AK-47,Redline,Battle-Scarred,1
Aug 11 2014,2014-08-11,36.71,18,AK-47 | Redline,AK-47,Redline,Battle-Scarred,1
Aug 12 2014,2014-08-12,33.651,20,AK-47 | Redline,AK-47,Redline,Battle-Scarred,1
Aug 13 2014,2014-08-13,37.442,16,AK-47 | Redline,AK-47,Redline,Battle-Scarred,1
Aug 14 2014,2014-08-14,41.388,18,AK-47 | Redline,AK-47,Redline,Battle-Scarred,1
Aug 15 2014,2014-08-15,38.525,14,AK-47 | Redline,AK-47,Redline,Battle-Scarred,1
Aug 16 2014,2014-08-16,38.95,19,AK-47 | Redline,AK-47,Redline,Battle-Scarred,1
Aug 17 2014,2014-08-17,37.021,13,AK-47 | Redline,AK-47,Redline,Battle-Scarred,1
Aug 18 2014,2014-08-18,36.534,18,AK-47 | Redline,AK-47,Redline,Battle-Scarred,1
Aug 19 2014,2014-08-19,38.79,17,AK-47 | Redline,AK-47,Redline,Battle-Scarred,1
Aug 20 2014,2014-08-20,37.874,12,AK-47 | Redline,AK-47,Redline,Battle-Scarred,1
Aug 21 2014,2014-08-21,36.882,14,AK-47 | Redline,AK-47,Redline,Battle-Scarred,1
