date,median_price,volume_sold,item,weapon,skin,wear,stattrak
Feb 21 2014,235.829,11,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Feb 22 2014,165.948,21,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Feb 23 2014,166.4,10,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Feb 24 2014,167.496,9,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Feb 25 2014,206.853,7,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Feb 26 2014,147.371,7,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Feb 27 2014,212.682,4,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Feb 28 2014,196.954,13,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Mar 01 2014,149.799,20,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Mar 02 2014,134.675,14,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Mar 03 2014,148.057,10,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Mar 04 2014,160.613,9,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Mar 05 2014,159.635,9,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Mar 06 2014,176.23,11,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Mar 07 2014,169.346,10,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Mar 08 2014,191.592,6,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Mar 09 2014,136.447,23,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Mar 10 2014,145.15,8,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Mar 11 2014,139.941,15,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Mar 12 2014,149.864,13,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Mar 13 2014,154.221,7,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Mar 14 2014,160.182,11,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Mar 15 2014,162.07,16,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Mar 16 2014,130.592,17,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Mar 17 2014,143.749,14,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Mar 18 2014,128.738,18,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Mar 19 2014,127.685,17,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Mar 20 2014,147.259,16,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Mar 21 2014,164.217,12,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Mar 22 2014,143.48,13,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Mar 23 2014,146.211,10,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Mar 24 2014,129.301,19,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Mar 25 2014,141.613,15,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Mar 26 2014,138.628,12,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Mar 27 2014,134.333,14,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Mar 28 2014,145.391,14,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Mar 29 2014,143.205,16,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Mar 30 2014,143.002,8,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Mar 31 2014,132.057,23,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Apr 01 2014,126.993,12,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Apr 02 2014,127.81,20,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Apr 03 2014,123.408,21,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Apr 04 2014,127.038,20,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Apr 05 2014,135.129,18,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Apr 06 2014,123.858,21,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Apr 07 2014,127.515,15,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Apr 08 2014,127.155,23,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Apr 09 2014,127.469,13,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Apr 10 2014,120.574,24,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Apr 11 2014,117.641,22,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Apr 12 2014,120.904,13,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Apr 13 2014,114.747,25,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Apr 14 2014,126.171,23,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Apr 15 2014,125.757,20,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Apr 16 2014,126.564,18,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Apr 17 2014,127.588,21,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Apr 18 2014,122.002,25,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Apr 19 2014,124.376,14,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Apr 20 2014,120.907,19,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Apr 21 2014,125.829,19,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Apr 22 2014,127.244,26,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Apr 23 2014,127.761,15,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Apr 24 2014,121.48,29,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Apr 25 2014,116.587,29,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Apr 26 2014,121.76,23,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Apr 27 2014,126.717,20,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Apr 28 2014,128.454,22,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Apr 29 2014,124.774,22,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Apr 30 2014,126.249,28,AK-47 | Redline,AK-47,Redline,Field-Tested,1
May 01 2014,129.086,28,AK-47 | Redline,AK-47,Redline,Field-Tested,1
May 02 2014,106.192,38,AK-47 | Redline,AK-47,Redline,Field-Tested,1
May 03 2014,100.786,42,AK-47 | Redline,AK-47,Redline,Field-Tested,1
May 04 2014,105.23,26,AK-47 | Redline,AK-47,Redline,Field-Tested,1
May 05 2014,95.334,31,AK-47 | Redline,AK-47,Redline,Field-Tested,1
May 06 2014,90.746,27,AK-47 | Redline,AK-47,Redline,Field-Tested,1
May 07 2014,95.52,34,AK-47 | Redline,AK-47,Redline,Field-Tested,1
May 08 2014,94.541,32,AK-47 | Redline,AK-47,Redline,Field-Tested,1
May 09 2014,91.757,31,AK-47 | Redline,AK-47,Redline,Field-Tested,1
May 10 2014,86.36,35,AK-47 | Redline,AK-47,Redline,Field-Tested,1
May 11 2014,80.798,26,AK-47 | Redline,AK-47,Redline,Field-Tested,1
May 12 2014,77.393,34,AK-47 | Redline,AK-47,Redline,Field-Tested,1
May 13 2014,78.009,44,AK-47 | Redline,AK-47,Redline,Field-Tested,1
May 14 2014,78.926,31,AK-47 | Redline,AK-47,Redline,Field-Tested,1
May 15 2014,86.662,32,AK-47 | Redline,AK-47,Redline,Field-Tested,1
May 16 2014,81.995,26,AK-47 | Redline,AK-47,Redline,Field-Tested,1
May 17 2014,81.796,29,AK-47 | Redline,AK-47,Redline,Field-Tested,1
May 18 2014,76.075,32,AK-47 | Redline,AK-47,Redline,Field-Tested,1
May 19 2014,83.306,28,AK-47 | Redline,AK-47,Redline,Field-Tested,1
May 20 2014,76.305,33,AK-47 | Redline,AK-47,Redline,Field-Tested,1
May 21 2014,77.414,32,AK-47 | Redline,AK-47,Redline,Field-Tested,1
May 22 2014,77.26,34,AK-47 | Redline,AK-47,Redline,Field-Tested,1
May 23 2014,75.685,35,AK-47 | Redline,AK-47,Redline,Field-Tested,1
May 24 2014,77.469,33,AK-47 | Redline,AK-47,Redline,Field-Tested,1
May 25 2014,76.824,28,AK-47 | Redline,AK-47,Redline,Field-Tested,1
May 26 2014,76.878,31,AK-47 | Redline,AK-47,Redline,Field-Tested,1
May 27 2014,73.19,25,AK-47 | Redline,AK-47,Redline,Field-Tested,1
May 28 2014,75.136,40,AK-47 | Redline,AK-47,Redline,Field-Tested,1
May 29 2014,77.878,33,AK-47 | Redline,AK-47,Redline,Field-Tested,1
