date,py_date,median_price,rolling_30day_sd,ewm_30day_sd,expanding_sd,total_sd,pre_sd,post_sd,volume_sold,item,equip,skin,wear,stattrak,treated_unit,post_treat
May 27 2015,2015-05-27,32.74,,,,7.02250283695475,3.8663758211671215,6.775185496913176,101,AK-47 | Aquamarine Revenge,AK-47,Aquamarine Revenge,Battle-Scarred,0,1,0
May 28 2015,2015-05-28,26.064,4.720644871201393,4.720644871201393,4.720644871201393,7.02250283695475,3.8663758211671215,6.775185496913176,143,AK-47 | Aquamarine Revenge,AK-47,Aquamarine Revenge,Battle-Scarred,0,1,0
May 29 2015,2015-05-29,29.88,3.349388799965352,3.5624601284058888,3.349388799965352,7.02250283695475,3.8663758211671215,6.775185496913176,93,AK-47 | Aquamarine Revenge,AK-47,Aquamarine Revenge,Battle-Scarred,0,1,0
May 30 2015,2015-05-30,30.131,2.7495575856247623,3.0336805121273756,2.7495575856247623,7.02250283695475,3.8663758211671215,6.775185496913176,89,AK-47 | Aquamarine Revenge,AK-47,Aquamarine Revenge,Battle-Scarred,0,1,0
May 31 2015,2015-05-31,29.222,2.3909133819525965,2.8373926730153527,2.3909133819525965,7.02250283695475,3.8663758211671215,6.775185496913176,69,AK-47 | Aquamarine Revenge,AK-47,Aquamarine Revenge,Battle-Scarred,0,1,0
Jun 01 2015,2015-06-01,30.284,2.156263287881763,2.5902208330494725,2.156263287881763,7.02250283695475,3.8663758211671215,6.775185496913176,66,AK-47 | Aquamarine Revenge,AK-47,Aquamarine Revenge,Battle-Scarred,0,1,0
Jun 02 2015,2015-06-02,33.359,2.401280144700601,2.4171848581594846,2.401280144700601,7.02250283695475,3.8663758211671215,6.775185496913176,55,AK-47 | Aquamarine Revenge,AK-47,Aquamarine Revenge,Battle-Scarred,0,1,0
Jun 03 2015,2015-06-03,29.025,2.2642745566421816,2.4039545807229343,2.2642745566421816,7.02250283695475,3.8663758211671215,6.775185496913176,67,AK-47 | Aquamarine Revenge,AK-47,Aquamarine Revenge,Battle-Scarred,0,1,0
Jun 04 2015,2015-06-04,24.022,2.928263027993065,3.2494901814150228,2.928263027993065,7.02250283695475,3.8663758211671215,6.775185496913176,124,AK-47 | Aquamarine Revenge,AK-47,Aquamarine Revenge,Battle-Scarred,0,1,0
Jun 05 2015,2015-06-05,23.545,3.3266535337082113,3.8032910032791354,3.3266535337082113,7.02250283695475,3.8663758211671215,6.775185496913176,103,AK-47 | Aquamarine Revenge,AK-47,Aquamarine Revenge,Battle-Scarred,0,1,0
Jun 06 2015,2015-06-06,26.207,3.253320303935657,3.8126090647597657,3.253320303935657,7.02250283695475,3.8663758211671215,6.775185496913176,82,AK-47 | Aquamarine Revenge,AK-47,Aquamarine Revenge,Battle-Scarred,0,1,0
Jun 07 2015,2015-06-07,24.796,3.2894994772162613,3.9441066285800104,3.2894994772162613,7.02250283695475,3.8663758211671215,6.775185496913176,77,AK-47 | Aquamarine Revenge,AK-47,Aquamarine Revenge,Battle-Scarred,0,1,0
Jun 08 2015,2015-06-08,25.853,3.2201761120019023,3.92320864121151,3.2201761120019023,7.02250283695475,3.8663758211671215,6.775185496913176,86,AK-47 | Aquamarine Revenge,AK-47,Aquamarine Revenge,Battle-Scarred,0,1,0
Jun 09 2015,2015-06-09,27.654,3.0960063818544548,3.7807629077258476,3.0960063818544548,7.02250283695475,3.8663758211671215,6.775185496913176,71,AK-47 | Aquamarine Revenge,AK-47,Aquamarine Revenge,Battle-Scarred,0,1,0
Jun 10 2015,2015-06-10,26.369,3.0150113669532224,3.7155808568851683,3.0150113669532224,7.02250283695475,3.8663758211671215,6.775185496913176,62,AK-47 | Aquamarine Revenge,AK-47,Aquamarine Revenge,Battle-Scarred,0,1,0
Jun 11 2015,2015-06-11,24.214,3.05835748332881,3.8182196739484393,3.05835748332881,7.02250283695475,3.8663758211671215,6.775185496913176,89,AK-47 | Aquamarine Revenge,AK-47,Aquamarine Revenge,Battle-Scarred,0,1,0
Jun 12 2015,2015-06-12,22.1,3.258904700292452,4.101897298162614,3.258904700292452,7.02250283695475,3.8663758211671215,6.775185496913176,116,AK-47 | Aquamarine Revenge,AK-47,Aquamarine Revenge,Battle-Scarred,0,1,0
Jun 13 2015,2015-06-13,21.264,3.4747672837861514,4.38835135396745,3.4747672837861514,7.02250283695475,3.8663758211671215,6.775185496913176,133,AK-47 | Aquamarine Revenge,AK-47,Aquamarine Revenge,Battle-Scarred,0,1,0
Jun 14 2015,2015-06-14,21.395,3.6167230749906185,4.57106822921951,3.6167230749906185,7.02250283695475,3.8663758211671215,6.775185496913176,116,AK-47 | Aquamarine Revenge,AK-47,Aquamarine Revenge,Battle-Scarred,0,1,0
Jun 15 2015,2015-06-15,22.587,3.6408788192297465,4.592494709728644,3.6408788192297465,7.02250283695475,3.8663758211671215,6.775185496913176,117,AK-47 | Aquamarine Revenge,AK-47,Aquamarine Revenge,Battle-Scarred,0,1,0
Jun 16 2015,2015-06-16,21.76,3.69853928309156,4.652304346989635,3.69853928309156,7.02250283695475,3.8663758211671215,6.775185496913176,95,AK-47 | Aquamarine Revenge,AK-47,Aquamarine Revenge,Battle-Scarred,0,1,0
Jun 17 2015,2015-06-17,20.546,3.81274149501277,4.780106491951391,3.81274149501277,7.02250283695475,3.8663758211671215,6.775185496913176,98,AK-47 | Aquamarine Revenge,AK-47,Aquamarine Revenge,Battle-Scarred,0,1,0
Jun 18 2015,2015-06-18,21.315,3.853500319892944,4.800984034822427,3.853500319892944,7.02250283695475,3.8663758211671215,6.775185496913176,108,AK-47 | Aquamarine Revenge,AK-47,Aquamarine Revenge,Battle-Scarred,0,1,0
Jun 19 2015,2015-06-19,21.033,3.8944636174643645,4.817052136475468,3.8944636174643645,7.02250283695475,3.8663758211671215,6.775185496913176,122,AK-47 | Aquamarine Revenge,AK-47,Aquamarine Revenge,Battle-Scarred,0,1,0
Jun 20 2015,2015-06-20,21.186,3.9151620387922645,4.799798743138087,3.9151620387922645,7.02250283695475,3.8663758211671215,6.775185496913176,116,AK-47 | Aquamarine Revenge,AK-47,Aquamarine Revenge,Battle-Scarred,0,1,0
Jun 21 2015,2015-06-21,20.854,3.941071884847885,4.786343470745459,3.941071884847885,7.02250283695475,3.8663758211671215,6.775185496913176,115,AK-47 | Aquamarine Revenge,AK-47,Aquamarine Revenge,Battle-Scarred,0,1,0
Jun 22 2015,2015-06-22,21.268,3.9410968356291716,4.73150490823715,3.9410968356291716,7.02250283695475,3.8663758211671215,6.775185496913176,129,AK-47 | Aquamarine Revenge,AK-47,Aquamarine Revenge,Battle-Scarred,0,1,0
