date,py_date,median_price,rolling_30day_sd,ewm_30day_sd,expanding_sd,total_sd,pre_sd,post_sd,volume_sold,item,equip,skin,wear,stattrak,treated_unit,post_treat
May 27 2015,2015-05-27,150.966,,,,49.64786663930101,17.853994849632,52.21327355107234,36,AK-47 | Aquamarine Revenge,AK-47,Aquamarine Revenge,Factory New,0,1,0
May 28 2015,2015-05-28,100.12,35.953551396211196,35.9535513962112,35.953551396211196,49.64786663930101,17.853994849632,52.21327355107234,62,AK-47 | Aquamarine Revenge,AK-47,Aquamarine Revenge,Factory New,0,1,0
May 29 2015,2015-05-29,110.253,26.912022635493855,31.914288120509628,26.912022635493855,49.64786663930101,17.853994849632,52.21327355107234,43,AK-47 | Aquamarine Revenge,AK-47,Aquamarine Revenge,Factory New,0,1,0
May 30 2015,2015-05-30,123.538,22.027881777041873,27.675366387174268,22.027881777041873,49.64786663930101,17.853994849632,52.21327355107234,28,AK-47 | Aquamarine Revenge,AK-47,Aquamarine Revenge,Factory New,0,1,0
May 31 2015,2015-05-31,158.36,25.294421199149827,24.559994457804155,25.294421199149827,49.64786663930101,17.853994849632,52.21327355107234,16,AK-47 | Aquamarine Revenge,AK-47,Aquamarine Revenge,Factory New,0,1,0
Jun 01 2015,2015-06-01,128.653,22.624018216635765,22.64564568930854,22.624018216635765,49.64786663930101,17.853994849632,52.21327355107234,22,AK-47 | Aquamarine Revenge,AK-47,Aquamarine Revenge,Factory New,0,1,0
Jun 02 2015,2015-06-02,126.943,20.662864077972397,21.353633382159877,20.662864077972397,49.64786663930101,17.853994849632,52.21327355107234,21,AK-47 | Aquamarine Revenge,AK-47,Aquamarine Revenge,Factory New,0,1,0
Jun 03 2015,2015-06-03,118.172,19.469182967210376,21.187482220104712,19.469182967210376,49.64786663930101,17.853994849632,52.21327355107234,29,AK-47 | Aquamarine Revenge,AK-47,Aquamarine Revenge,Factory New,0,1,0
Jun 04 2015,2015-06-04,106.456,19.471474706606077,22.42155720383072,19.471474706606077,49.64786663930101,17.853994849632,52.21327355107234,32,AK-47 | Aquamarine Revenge,AK-47,Aquamarine Revenge,Factory New,0,1,0
Jun 05 2015,2015-06-05,102.501,19.668904515616642,23.653367023911873,19.668904515616642,49.64786663930101,17.853994849632,52.21327355107234,40,AK-47 | Aquamarine Revenge,AK-47,Aquamarine Revenge,Factory New,0,1,0
Jun 06 2015,2015-06-06,104.557,19.436105587750394,24.150504916242348,19.436105587750394,49.64786663930101,17.853994849632,52.21327355107234,30,AK-47 | Aquamarine Revenge,AK-47,Aquamarine Revenge,Factory New,0,1,0
Jun 07 2015,2015-06-07,95.016,19.98737087835186,25.46548684430356,19.98737087835186,49.64786663930101,17.853994849632,52.21327355107234,38,AK-47 | Aquamarine Revenge,AK-47,Aquamarine Revenge,Factory New,0,1,0
Jun 08 2015,2015-06-08,95.968,20.15650609350331,26.187937650853808,20.15650609350331,49.64786663930101,17.853994849632,52.21327355107234,28,AK-47 | Aquamarine Revenge,AK-47,Aquamarine Revenge,Factory New,0,1,0
Jun 09 2015,2015-06-09,103.273,19.712112312032875,25.970093488354106,19.712112312032875,49.64786663930101,17.853994849632,52.21327355107234,34,AK-47 | Aquamarine Revenge,AK-47,Aquamarine Revenge,Factory New,0,1,0
Jun 10 2015,2015-06-10,113.014,19.011292575228875,25.11623195549352,19.011292575228875,49.64786663930101,17.853994849632,52.21327355107234,30,AK-47 | Aquamarine Revenge,AK-47,Aquamarine Revenge,Factory New,0,1,0
Jun 11 2015,2015-06-11,101.107,18.732955725027313,25.00222332297629,18.732955725027313,49.64786663930101,17.853994849632,52.21327355107234,29,AK-47 | Aquamarine Revenge,AK-47,Aquamarine Revenge,Factory New,0,1,0
