date,py_date,median_price,rolling_30day_sd,ewm_30day_sd,expanding_sd,total_sd,pre_sd,post_sd,volume_sold,item,weapon,skin,wear,stattrak,treated_unit,post_treat
May 27 2015,2015-05-27,88.66,,,,25.51144790091241,12.849708689433736,25.59003834481131,138,AK-47 | Aquamarine Revenge,AK-47,Aquamarine Revenge,Minimal Wear,0,1,0
May 28 2015,2015-05-28,73.336,10.835704314902648,10.835704314902655,10.835704314902648,25.51144790091241,12.849708689433736,25.59003834481131,130,AK-47 | Aquamarine Revenge,AK-47,Aquamarine Revenge,Minimal Wear,0,1,0
May 29 2015,2015-05-29,82.904,7.740619441190303,8.039665579651334,7.740619441190303,25.51144790091241,12.849708689433736,25.59003834481131,94,AK-47 | Aquamarine Revenge,AK-47,Aquamarine Revenge,Minimal Wear,0,1,0
May 30 2015,2015-05-30,89.472,7.43679814615582,6.616129171873295,7.43679814615582,25.51144790091241,12.849708689433736,25.59003834481131,84,AK-47 | Aquamarine Revenge,AK-47,Aquamarine Revenge,Minimal Wear,0,1,0
May 31 2015,2015-05-31,90.553,7.153166781223545,5.836800227807716,7.153166781223545,25.51144790091241,12.849708689433736,25.59003834481131,58,AK-47 | Aquamarine Revenge,AK-47,Aquamarine Revenge,Minimal Wear,0,1,0
Jun 01 2015,2015-06-01,93.163,7.216706312439217,5.559441858735196,7.216706312439217,25.51144790091241,12.849708689433736,25.59003834481131,57,AK-47 | Aquamarine Revenge,AK-47,Aquamarine Revenge,Minimal Wear,0,1,0
Jun 02 2015,2015-06-02,97.703,7.86257848776027,6.009351440461828,7.86257848776027,25.51144790091241,12.849708689433736,25.59003834481131,38,AK-47 | Aquamarine Revenge,AK-47,Aquamarine Revenge,Minimal Wear,0,1,0
Jun 03 2015,2015-06-03,87.013,7.287194737541822,5.562682023448531,7.287194737541822,25.51144790091241,12.849708689433736,25.59003834481131,62,AK-47 | Aquamarine Revenge,AK-47,Aquamarine Revenge,Minimal Wear,0,1,0
Jun 04 2015,2015-06-04,73.197,8.385919538130569,7.01856309079501,8.385919538130569,25.51144790091241,12.849708689433736,25.59003834481131,115,AK-47 | Aquamarine Revenge,AK-47,Aquamarine Revenge,Minimal Wear,0,1,0
Jun 05 2015,2015-06-05,68.044,9.775228297987612,8.793205920111522,9.775228297987612,25.51144790091241,12.849708689433736,25.59003834481131,97,AK-47 | Aquamarine Revenge,AK-47,Aquamarine Revenge,Minimal Wear,0,1,0
Jun 06 2015,2015-06-06,74.005,9.789349380367883,9.026793876177171,9.789349380367883,25.51144790091241,12.849708689433736,25.59003834481131,101,AK-47 | Aquamarine Revenge,AK-47,Aquamarine Revenge,Minimal Wear,0,1,0
