date,py_date,median_price,rolling_30day_sd,ewm_30day_sd,expanding_sd,total_sd,pre_sd,post_sd,volume_sold,item,equip,skin,wear,stattrak,treated_unit,post_treat
Dec 19 2013,2013-12-19,13.231,,,,6.561979700344944,2.171656930509338,6.251639174380274,7,AK-47 | Blue Laminate,AK-47,Blue Laminate,Well-Worn,0,1,0
Dec 20 2013,2013-12-20,9.056,2.9521708114538363,2.9521708114538368,2.9521708114538363,6.561979700344944,2.171656930509338,6.251639174380274,14,AK-47 | Blue Laminate,AK-47,Blue Laminate,Well-Worn,0,1,0
Dec 21 2013,2013-12-21,7.527,2.9525153682919245,3.4962172578431057,2.9525153682919245,6.561979700344944,2.171656930509338,6.251639174380274,8,AK-47 | Blue Laminate,AK-47,Blue Laminate,Well-Worn,0,1,0
Dec 22 2013,2013-12-22,7.01,2.8204362546717245,3.7494381232064793,2.8204362546717245,6.561979700344944,2.171656930509338,6.251639174380274,7,AK-47 | Blue Laminate,AK-47,Blue Laminate,Well-Worn,0,1,0
Dec 23 2013,2013-12-23,6.13,2.8033017497229937,4.01801409738818,2.8033017497229937,6.561979700344944,2.171656930509338,6.251639174380274,8,AK-47 | Blue Laminate,AK-47,Blue Laminate,Well-Worn,0,1,0
Dec 24 2013,2013-12-24,4.685,2.971421573366301,4.4073375961673555,2.971421573366301,6.561979700344944,2.171656930509338,6.251639174380274,15,AK-47 | Blue Laminate,AK-47,Blue Laminate,Well-Worn,0,1,0
Dec 25 2013,2013-12-25,5.443,2.872000198965373,4.479830716479705,2.872000198965373,6.561979700344944,2.171656930509338,6.251639174380274,13,AK-47 | Blue Laminate,AK-47,Blue Laminate,Well-Worn,0,1,0
Dec 26 2013,2013-12-26,5.548,2.754590752595694,4.484012281811674,2.754590752595694,6.561979700344944,2.171656930509338,6.251639174380274,12,AK-47 | Blue Laminate,AK-47,Blue Laminate,Well-Worn,0,1,0
Dec 27 2013,2013-12-27,4.793,2.71177921298914,4.5468227983992415,2.71177921298914,6.561979700344944,2.171656930509338,6.251639174380274,16,AK-47 | Blue Laminate,AK-47,Blue Laminate,Well-Worn,0,1,0
Dec 28 2013,2013-12-28,4.766,2.656493865145477,4.56782805981668,2.656493865145477,6.561979700344944,2.171656930509338,6.251639174380274,15,AK-47 | Blue Laminate,AK-47,Blue Laminate,Well-Worn,0,1,0
Dec 29 2013,2013-12-29,4.064,2.6535289470302135,4.629458112813073,2.6535289470302135,6.561979700344944,2.171656930509338,6.251639174380274,17,AK-47 | Blue Laminate,AK-47,Blue Laminate,Well-Worn,0,1,0
Dec 30 2013,2013-12-30,4.131,2.626062463195813,4.644329084097261,2.626062463195813,6.561979700344944,2.171656930509338,6.251639174380274,19,AK-47 | Blue Laminate,AK-47,Blue Laminate,Well-Worn,0,1,0
Dec 31 2013,2013-12-31,3.86,2.608513578600577,4.65582494563954,2.608513578600577,6.561979700344944,2.171656930509338,6.251639174380274,13,AK-47 | Blue Laminate,AK-47,Blue Laminate,Well-Worn,0,1,0
Jan 01 2014,2014-01-01,3.561,2.601559752985053,4.666850562046416,2.601559752985053,6.561979700344944,2.171656930509338,6.251639174380274,15,AK-47 | Blue Laminate,AK-47,Blue Laminate,Well-Worn,0,1,0
Jan 02 2014,2014-01-02,3.954,2.561242689454811,4.623373781651672,2.561242689454811,6.561979700344944,2.171656930509338,6.251639174380274,12,AK-47 | Blue Laminate,AK-47,Blue Laminate,Well-Worn,0,1,0
Jan 03 2014,2014-01-03,3.657,2.5344379521569143,4.588107280872733,2.5344379521569143,6.561979700344944,2.171656930509338,6.251639174380274,14,AK-47 | Blue Laminate,AK-47,Blue Laminate,Well-Worn,0,1,0
Jan 04 2014,2014-01-04,3.155,2.531199122945486,4.574319109461524,2.531199122945486,6.561979700344944,2.171656930509338,6.251639174380274,27,AK-47 | Blue Laminate,AK-47,Blue Laminate,Well-Worn,0,1,0
Jan 05 2014,2014-01-05,3.069,2.5250041635893967,4.54868230938838,2.5250041635893967,6.561979700344944,2.171656930509338,6.251639174380274,17,AK-47 | Blue Laminate,AK-47,Blue Laminate,Well-Worn,0,1,0
Jan 06 2014,2014-01-06,2.846,2.5241549046079044,4.522740739081521,2.5241549046079044,6.561979700344944,2.171656930509338,6.251639174380274,17,AK-47 | Blue Laminate,AK-47,Blue Laminate,Well-Worn,0,1,0
Jan 07 2014,2014-01-07,2.85,2.5166237742365523,4.481779402985841,2.5166237742365523,6.561979700344944,2.171656930509338,6.251639174380274,22,AK-47 | Blue Laminate,AK-47,Blue Laminate,Well-Worn,0,1,0
Jan 08 2014,2014-01-08,2.995,2.4982655878867335,4.4207101277050445,2.4982655878867335,6.561979700344944,2.171656930509338,6.251639174380274,15,AK-47 | Blue Laminate,AK-47,Blue Laminate,Well-Worn,0,1,0
Jan 09 2014,2014-01-09,2.88,2.4820985993126774,4.3581571780190504,2.4820985993126774,6.561979700344944,2.171656930509338,6.251639174380274,23,AK-47 | Blue Laminate,AK-47,Blue Laminate,Well-Worn,0,1,0
Jan 10 2014,2014-01-10,2.936,2.4616289779933207,4.285456982546054,2.4616289779933207,6.561979700344944,2.171656930509338,6.251639174380274,21,AK-47 | Blue Laminate,AK-47,Blue Laminate,Well-Worn,0,1,0
Jan 11 2014,2014-01-11,3.188,2.432051018710071,4.1957095194019525,2.432051018710071,6.561979700344944,2.171656930509338,6.251639174380274,22,AK-47 | Blue Laminate,AK-47,Blue Laminate,Well-Worn,0,1,0
Jan 12 2014,2014-01-12,2.637,2.4200282078245836,4.1296622651042165,2.4200282078245836,6.561979700344944,2.171656930509338,6.251639174380274,42,AK-47 | Blue Laminate,AK-47,Blue Laminate,Well-Worn,0,1,0
Jan 13 2014,2014-01-13,2.759,2.402084682104275,4.052106782703138,2.402084682104275,6.561979700344944,2.171656930509338,6.251639174380274,19,AK-47 | Blue Laminate,AK-47,Blue Laminate,Well-Worn,0,1,0
Jan 14 2014,2014-01-14,2.651,2.386446405703142,3.9758478640465826,2.386446405703142,6.561979700344944,2.171656930509338,6.251639174380274,22,AK-47 | Blue Laminate,AK-47,Blue Laminate,Well-Worn,0,1,0
Jan 15 2014,2014-01-15,2.572,2.37207190594723,3.8995952422771647,2.37207190594723,6.561979700344944,2.171656930509338,6.251639174380274,16,AK-47 | Blue Laminate,AK-47,Blue Laminate,Well-Worn,0,1,0
Jan 16 2014,2014-01-16,2.561,2.3569464595744405,3.820600282643504,2.3569464595744405,6.561979700344944,2.171656930509338,6.251639174380274,20,AK-47 | Blue Laminate,AK-47,Blue Laminate,Well-Worn,0,1,0
Jan 17 2014,2014-01-17,2.39,2.3457555763842763,3.7463404481780094,2.3457555763842763,6.561979700344944,2.171656930509338,6.251639174380274,29,AK-47 | Blue Laminate,AK-47,Blue Laminate,Well-Worn,0,1,0
Jan 18 2014,2014-01-18,2.421,1.6694006168503195,3.6678418676245115,2.332567213705022,6.561979700344944,2.171656930509338,6.251639174380274,28,AK-47 | Blue Laminate,AK-47,Blue Laminate,Well-Worn,0,1,0
Jan 19 2014,2014-01-19,2.655,1.386396007515591,3.5785966180535453,2.3130083031157183,6.561979700344944,2.171656930509338,6.251639174380274,28,AK-47 | Blue Laminate,AK-47,Blue Laminate,Well-Worn,0,1,0
Jan 20 2014,2014-01-20,2.318,1.2181925300336902,3.501583497822043,2.3012735571523177,6.561979700344944,2.171656930509338,6.251639174380274,26,AK-47 | Blue Laminate,AK-47,Blue Laminate,Well-Worn,0,1,0
Jan 21 2014,2014-01-21,2.269,1.0599823594281412,3.4248005852905656,2.2899814857310714,6.561979700344944,2.171656930509338,6.251639174380274,26,AK-47 | Blue Laminate,AK-47,Blue Laminate,Well-Worn,0,1,0
Jan 22 2014,2014-01-22,2.068,0.9618036194041115,3.354437908539196,2.2829310464894044,6.561979700344944,2.171656930509338,6.251639174380274,15,AK-47 | Blue Laminate,AK-47,Blue Laminate,Well-Worn,0,1,0
Jan 23 2014,2014-01-23,2.12,0.9504701081237537,3.279975871134265,2.273558406676949,6.561979700344944,2.171656930509338,6.251639174380274,23,AK-47 | Blue Laminate,AK-47,Blue Laminate,Well-Worn,0,1,0
