date,py_date,median_price,rolling_30day_sd,ewm_30day_sd,expanding_sd,total_sd,pre_sd,post_sd,volume_sold,item,equip,skin,wear,stattrak,treated_unit,post_treat
Apr 16 2015,2015-04-16,4.363,,,,0.45142368106006814,0.3639232438064817,0.2935888510040339,2220,AK-47 | Elite Build,AK-47,Elite Build,Battle-Scarred,0,1,0
Apr 17 2015,2015-04-17,3.17,0.8435783899555509,0.843578389955551,0.8435783899555509,0.45142368106006814,0.3639232438064817,0.2935888510040339,2304,AK-47 | Elite Build,AK-47,Elite Build,Battle-Scarred,0,1,0
Apr 18 2015,2015-04-18,2.612,0.8944843952430545,1.0498918970829745,0.8944843952430545,0.45142368106006814,0.3639232438064817,0.2935888510040339,2652,AK-47 | Elite Build,AK-47,Elite Build,Battle-Scarred,0,1,0
Apr 19 2015,2015-04-19,2.314,0.9046433459288433,1.1789657173558064,0.9046433459288433,0.45142368106006814,0.3639232438064817,0.2935888510040339,2009,AK-47 | Elite Build,AK-47,Elite Build,Battle-Scarred,0,1,0
Apr 20 2015,2015-04-20,2.207,0.8823756002972881,1.246728124550002,0.8823756002972881,0.45142368106006814,0.3639232438064817,0.2935888510040339,2046,AK-47 | Elite Build,AK-47,Elite Build,Battle-Scarred,0,1,0
Apr 21 2015,2015-04-21,2.203,0.8436437044155546,1.273404735917029,0.8436437044155546,0.45142368106006814,0.3639232438064817,0.2935888510040339,1968,AK-47 | Elite Build,AK-47,Elite Build,Battle-Scarred,0,1,0
Apr 22 2015,2015-04-22,2.145,0.8102916582494054,1.2887532569067774,0.8102916582494054,0.45142368106006814,0.3639232438064817,0.2935888510040339,1830,AK-47 | Elite Build,AK-47,Elite Build,Battle-Scarred,0,1,0
Apr 23 2015,2015-04-23,2.079,0.7832899367411787,1.2986395373845463,0.7832899367411787,0.45142368106006814,0.3639232438064817,0.2935888510040339,1957,AK-47 | Elite Build,AK-47,Elite Build,Battle-Scarred,0,1,0
Apr 24 2015,2015-04-24,1.982,0.7645031792681511,1.3086412655357904,0.7645031792681511,0.45142368106006814,0.3639232438064817,0.2935888510040339,2323,AK-47 | Elite Build,AK-47,Elite Build,Battle-Scarred,0,1,0
Apr 25 2015,2015-04-25,1.946,0.7467952939802921,1.311969599012859,0.7467952939802921,0.45142368106006814,0.3639232438064817,0.2935888510040339,2624,AK-47 | Elite Build,AK-47,Elite Build,Battle-Scarred,0,1,0
Apr 26 2015,2015-04-26,1.777,0.7414379027513791,1.3240311458878158,0.7414379027513791,0.45142368106006814,0.3639232438064817,0.2935888510040339,2694,AK-47 | Elite Build,AK-47,Elite Build,Battle-Scarred,0,1,0
Apr 27 2015,2015-04-27,1.677,0.7401246158382363,1.335625386048745,0.7401246158382363,0.45142368106006814,0.3639232438064817,0.2935888510040339,2319,AK-47 | Elite Build,AK-47,Elite Build,Battle-Scarred,0,1,0
Apr 28 2015,2015-04-28,1.654,0.7361336539041374,1.339661640311404,0.7361336539041374,0.45142368106006814,0.3639232438064817,0.2935888510040339,2170,AK-47 | Elite Build,AK-47,Elite Build,Battle-Scarred,0,1,0
Apr 29 2015,2015-04-29,1.629,0.7308074264164908,1.3382498622774197,0.7308074264164908,0.45142368106006814,0.3639232438064817,0.2935888510040339,2179,AK-47 | Elite Build,AK-47,Elite Build,Battle-Scarred,0,1,0
Apr 30 2015,2015-04-30,1.624,0.7236137354246658,1.331142967488453,0.7236137354246658,0.45142368106006814,0.3639232438064817,0.2935888510040339,2542,AK-47 | Elite Build,AK-47,Elite Build,Battle-Scarred,0,1,0
May 01 2015,2015-05-01,1.614,0.7155957424878008,1.3200434270347656,0.7155957424878008,0.45142368106006814,0.3639232438064817,0.2935888510040339,2341,AK-47 | Elite Build,AK-47,Elite Build,Battle-Scarred,0,1,0
May 02 2015,2015-05-02,1.522,0.7114107359986338,1.3114598589137183,0.7114107359986338,0.45142368106006814,0.3639232438064817,0.2935888510040339,3021,AK-47 | Elite Build,AK-47,Elite Build,Battle-Scarred,0,1,0
May 03 2015,2015-05-03,1.392,0.7128086855687312,1.3076533044836813,0.7128086855687312,0.45142368106006814,0.3639232438064817,0.2935888510040339,2909,AK-47 | Elite Build,AK-47,Elite Build,Battle-Scarred,0,1,0
May 04 2015,2015-05-04,1.284,0.7179419090673854,1.3063185196798122,0.7179419090673854,0.45142368106006814,0.3639232438064817,0.2935888510040339,2680,AK-47 | Elite Build,AK-47,Elite Build,Battle-Scarred,0,1,0
May 05 2015,2015-05-05,1.273,0.7207667171327461,1.3002617233168765,0.7207667171327461,0.45142368106006814,0.3639232438064817,0.2935888510040339,2477,AK-47 | Elite Build,AK-47,Elite Build,Battle-Scarred,0,1,0
May 06 2015,2015-05-06,1.265,0.7217443387212612,1.2902403469278325,0.7217443387212612,0.45142368106006814,0.3639232438064817,0.2935888510040339,2303,AK-47 | Elite Build,AK-47,Elite Build,Battle-Scarred,0,1,0
May 07 2015,2015-05-07,1.225,0.7228546359229667,1.2789789303139971,0.7228546359229667,0.45142368106006814,0.3639232438064817,0.2935888510040339,2211,AK-47 | Elite Build,AK-47,Elite Build,Battle-Scarred,0,1,0
May 08 2015,2015-05-08,1.174,0.7246548531035188,1.2673580708913763,0.7246548531035188,0.45142368106006814,0.3639232438064817,0.2935888510040339,2733,AK-47 | Elite Build,AK-47,Elite Build,Battle-Scarred,0,1,0
May 09 2015,2015-05-09,1.135,0.7265581706665468,1.254745978050749,0.7265581706665468,0.45142368106006814,0.3639232438064817,0.2935888510040339,3196,AK-47 | Elite Build,AK-47,Elite Build,Battle-Scarred,0,1,0
May 10 2015,2015-05-10,1.108,0.7280851873235714,1.240643152127671,0.7280851873235714,0.45142368106006814,0.3639232438064817,0.2935888510040339,3056,AK-47 | Elite Build,AK-47,Elite Build,Battle-Scarred,0,1,0
May 11 2015,2015-05-11,1.04,0.7310597281712666,1.2276038354730825,0.7310597281712666,0.45142368106006814,0.3639232438064817,0.2935888510040339,2405,AK-47 | Elite Build,AK-47,Elite Build,Battle-Scarred,0,1,0
May 12 2015,2015-05-12,1.025,0.7331536978897023,1.2125791075058308,0.7331536978897023,0.45142368106006814,0.3639232438064817,0.2935888510040339,2338,AK-47 | Elite Build,AK-47,Elite Build,Battle-Scarred,0,1,0
May 13 2015,2015-05-13,1.038,0.7334987430695817,1.1945005304163507,0.7334987430695817,0.45142368106006814,0.3639232438064817,0.2935888510040339,2388,AK-47 | Elite Build,AK-47,Elite Build,Battle-Scarred,0,1,0
May 14 2015,2015-05-14,1.015,0.7336943381091333,1.1757212850018108,0.7336943381091333,0.45142368106006814,0.3639232438064817,0.2935888510040339,2405,AK-47 | Elite Build,AK-47,Elite Build,Battle-Scarred,0,1,0
May 15 2015,2015-05-15,1.003,0.7334200353657256,1.1558751060970915,0.7334200353657256,0.45142368106006814,0.3639232438064817,0.2935888510040339,2409,AK-47 | Elite Build,AK-47,Elite Build,Battle-Scarred,0,1,0
May 16 2015,2015-05-16,1.002,0.548642445799934,1.1346887907975418,0.7324225938035901,0.45142368106006814,0.3639232438064817,0.2935888510040339,2902,AK-47 | Elite Build,AK-47,Elite Build,Battle-Scarred,0,1,0
May 17 2015,2015-05-17,0.952,0.47488951407112895,1.1146165696316306,0.732337320232172,0.45142368106006814,0.3639232438064817,0.2935888510040339,2842,AK-47 | Elite Build,AK-47,Elite Build,Battle-Scarred,0,1,0
May 18 2015,2015-05-18,0.905,0.44196563162787916,1.0954534081683496,0.7330110147380275,0.45142368106006814,0.3639232438064817,0.2935888510040339,2385,AK-47 | Elite Build,AK-47,Elite Build,Battle-Scarred,0,1,0
May 19 2015,2015-05-19,0.873,0.4254816013689059,1.0764610721104586,0.733925878537585,0.45142368106006814,0.3639232438064817,0.2935888510040339,2355,AK-47 | Elite Build,AK-47,Elite Build,Battle-Scarred,0,1,0
May 20 2015,2015-05-20,0.84,0.41189448626570885,1.057719422291319,0.7351059295986481,0.45142368106006814,0.3639232438064817,0.2935888510040339,2283,AK-47 | Elite Build,AK-47,Elite Build,Battle-Scarred,0,1,0
May 21 2015,2015-05-21,0.817,0.3937334196472617,1.0388050033026823,0.7362437786408125,0.45142368106006814,0.3639232438064817,0.2935888510040339,2369,AK-47 | Elite Build,AK-47,Elite Build,Battle-Scarred,0,1,0
May 22 2015,2015-05-22,0.804,0.3740986162934099,1.0193639167633302,0.7370736116623693,0.45142368106006814,0.3639232438064817,0.2935888510040339,2491,AK-47 | Elite Build,AK-47,Elite Build,Battle-Scarred,0,1,0
May 23 2015,2015-05-23,0.801,0.35323556010053747,0.99911638277035,0.7373736027375979,0.45142368106006814,0.3639232438064817,0.2935888510040339,2882,AK-47 | Elite Build,AK-47,Elite Build,Battle-Scarred,0,1,0
May 24 2015,2015-05-24,0.771,0.33501529386945456,0.9793476549421191,0.7379311361322373,0.45142368106006814,0.3639232438064817,0.2935888510040339,2761,AK-47 | Elite Build,AK-47,Elite Build,Battle-Scarred,0,1,0
May 25 2015,2015-05-25,0.731,0.3153566490371722,0.9604777458116327,0.7390010404732276,0.45142368106006814,0.3639232438064817,0.2935888510040339,2535,AK-47 | Elite Build,AK-47,Elite Build,Battle-Scarred,0,1,0
May 26 2015,2015-05-26,0.69,0.30496971961992825,0.9425118662448154,0.740582895015976,0.45142368106006814,0.3639232438064817,0.2935888510040339,2639,AK-47 | Elite Build,AK-47,Elite Build,Battle-Scarred,0,1,0
May 27 2015,2015-05-27,0.406,0.3144161456472589,0.9379028999597376,0.750033891994578,0.45142368106006814,0.3639232438064817,0.2935888510040339,3390,AK-47 | Elite Build,AK-47,Elite Build,Battle-Scarred,0,1,0
May 28 2015,2015-05-28,0.424,0.3181130717791738,0.9293081136670477,0.7575292347680315,0.45142368106006814,0.3639232438064817,0.2935888510040339,3330,AK-47 | Elite Build,AK-47,Elite Build,Battle-Scarred,0,1,0
May 29 2015,2015-05-29,0.444,0.31680230791275926,0.9174063504223118,0.7632970831226817,0.45142368106006814,0.3639232438064817,0.2935888510040339,3357,AK-47 | Elite Build,AK-47,Elite Build,Battle-Scarred,0,1,0
May 30 2015,2015-05-30,0.505,0.3073330141868842,0.9010085633879217,0.7664880654944698,0.45142368106006814,0.3639232438064817,0.2935888510040339,3388,AK-47 | Elite Build,AK-47,Elite Build,Battle-Scarred,0,1,0
May 31 2015,2015-05-31,0.513,0.29309556913006773,0.8833356958264404,0.7688252941014894,0.45142368106006814,0.3639232438064817,0.2935888510040339,3094,AK-47 | Elite Build,AK-47,Elite Build,Battle-Scarred,0,1,0
Jun 01 2015,2015-06-01,0.502,0.2812853114486815,0.8654123151046809,0.7708664478890207,0.45142368106006814,0.3639232438064817,0.2935888510040339,2818,AK-47 | Elite Build,AK-47,Elite Build,Battle-Scarred,0,1,0
Jun 02 2015,2015-06-02,0.492,0.27476267920708886,0.8472917822700399,0.7726238106272852,0.45142368106006814,0.3639232438064817,0.2935888510040339,2761,AK-47 | Elite Build,AK-47,Elite Build,Battle-Scarred,0,1,0
Jun 03 2015,2015-06-03,0.486,0.2717685987460067,0.8289082703320653,0.7740412804957916,0.45142368106006814,0.3639232438064817,0.2935888510040339,2831,AK-47 | Elite Build,AK-47,Elite Build,Battle-Scarred,0,1,0
Jun 04 2015,2015-06-04,0.467,0.26749429255915774,0.810842030663499,0.7754399409630744,0.45142368106006814,0.3639232438064817,0.2935888510040339,2634,AK-47 | Elite Build,AK-47,Elite Build,Battle-Scarred,0,1,0
Jun 05 2015,2015-06-05,0.408,0.2635226527373828,0.7946683076016215,0.7777057904314384,0.45142368106006814,0.3639232438064817,0.2935888510040339,2920,AK-47 | Elite Build,AK-47,Elite Build,Battle-Scarred,0,1,0
Jun 06 2015,2015-06-06,0.396,0.25939164238257784,0.7783859566306665,0.7797608443356042,0.45142368106006814,0.3639232438064817,0.2935888510040339,2873,AK-47 | Elite Build,AK-47,Elite Build,Battle-Scarred,0,1,0
Jun 07 2015,2015-06-07,0.4,0.25513814378448635,0.7614503754367414,0.781291539853552,0.45142368106006814,0.3639232438064817,0.2935888510040339,2970,AK-47 | Elite Build,AK-47,Elite Build,Battle-Scarred,0,1,0
Jun 08 2015,2015-06-08,0.397,0.2505892022331812,0.744277532888907,0.78249499477081,0.45142368106006814,0.3639232438064817,0.2935888510040339,2772,AK-47 | Elite Build,AK-47,Elite Build,Battle-Scarred,0,1,0
Jun 09 2015,2015-06-09,0.392,0.24526811273876775,0.7270299561403675,0.7834441198253319,0.45142368106006814,0.3639232438064817,0.2935888510040339,2501,AK-47 | Elite Build,AK-47,Elite Build,Battle-Scarred,0,1,0
Jun 10 2015,2015-06-10,0.394,0.2413188404551555,0.7095389325527016,0.7840334008837243,0.45142368106006814,0.3639232438064817,0.2935888510040339,2771,AK-47 | Elite Build,AK-47,Elite Build,Battle-Scarred,0,1,0
Jun 11 2015,2015-06-11,0.363,0.23731900302209769,0.6930057592866233,0.7849065558258806,0.45142368106006814,0.3639232438064817,0.2935888510040339,2410,AK-47 | Elite Build,AK-47,Elite Build,Battle-Scarred,0,1,0
Jun 12 2015,2015-06-12,0.303,0.2328211883551979,0.6784836587938831,0.786606110271382,0.45142368106006814,0.3639232438064817,0.2935888510040339,2853,AK-47 | Elite Build,AK-47,Elite Build,Battle-Scarred,0,1,0
Jun 13 2015,2015-06-13,0.309,0.2267576558415586,0.6633501166338379,0.7878469228324,0.45142368106006814,0.3639232438064817,0.2935888510040339,2945,AK-47 | Elite Build,AK-47,Elite Build,Battle-Scarred,0,1,0
Jun 14 2015,2015-06-14,0.297,0.21925056258856532,0.6483965384644168,0.7889982812738614,0.45142368106006814,0.3639232438064817,0.2935888510040339,3080,AK-47 | Elite Build,AK-47,Elite Build,Battle-Scarred,0,1,0
Jun 15 2015,2015-06-15,0.276,0.20972246575814968,0.6339728883972373,0.7902311559166854,0.45142368106006814,0.3639232438064817,0.2935888510040339,2732,AK-47 | Elite Build,AK-47,Elite Build,Battle-Scarred,0,1,0
Jun 16 2015,2015-06-16,0.28,0.20046527489014576,0.6191677553571721,0.7911053544973206,0.45142368106006814,0.3639232438064817,0.2935888510040339,2626,AK-47 | Elite Build,AK-47,Elite Build,Battle-Scarred,0,1,0
Jun 17 2015,2015-06-17,0.285,0.191468445225947,0.6040633071570782,0.7916378023681341,0.45142368106006814,0.3639232438064817,0.2935888510040339,2725,AK-47 | Elite Build,AK-47,Elite Build,Battle-Scarred,0,1,0
