date,py_date,median_price,rolling_30day_sd,ewm_30day_sd,expanding_sd,total_sd,pre_sd,post_sd,volume_sold,item,weapon,skin,wear,stattrak,treated_unit,post_treat
Apr 16 2015,2015-04-16,29.57,,,,2.612940507941811,1.694596228277945,2.0951058784060943,426,AK-47 | Elite Build,AK-47,Elite Build,Factory New,0,1,0
Apr 17 2015,2015-04-17,19.769,6.930353562409354,6.930353562409354,6.930353562409354,2.612940507941811,1.694596228277945,2.0951058784060943,355,AK-47 | Elite Build,AK-47,Elite Build,Factory New,0,1,0
Apr 18 2015,2015-04-18,14.196,7.783291998462691,9.050347356959929,7.783291998462691,2.612940507941811,1.694596228277945,2.0951058784060943,532,AK-47 | Elite Build,AK-47,Elite Build,Factory New,0,1,0
Apr 19 2015,2015-04-19,13.897,7.32399321863877,9.59104416032397,7.32399321863877,2.612940507941811,1.694596228277945,2.0951058784060943,355,AK-47 | Elite Build,AK-47,Elite Build,Factory New,0,1,0
Apr 20 2015,2015-04-20,12.607,7.024660682196687,10.0127408394519,7.024660682196687,2.612940507941811,1.694596228277945,2.0951058784060943,382,AK-47 | Elite Build,AK-47,Elite Build,Factory New,0,1,0
Apr 21 2015,2015-04-21,13.036,6.602763464388731,10.085379274049652,6.602763464388731,2.612940507941811,1.694596228277945,2.0951058784060943,343,AK-47 | Elite Build,AK-47,Elite Build,Factory New,0,1,0
Apr 22 2015,2015-04-22,12.401,6.292214100435101,10.145704418921387,6.292214100435101,2.612940507941811,1.694596228277945,2.0951058784060943,340,AK-47 | Elite Build,AK-47,Elite Build,Factory New,0,1,0
Apr 23 2015,2015-04-23,11.268,6.111727181644904,10.26230350538699,6.111727181644904,2.612940507941811,1.694596228277945,2.0951058784060943,375,AK-47 | Elite Build,AK-47,Elite Build,Factory New,0,1,0
Apr 24 2015,2015-04-24,10.985,5.941910336284489,10.311642619093435,5.941910336284489,2.612940507941811,1.694596228277945,2.0951058784060943,419,AK-47 | Elite Build,AK-47,Elite Build,Factory New,0,1,0
Apr 25 2015,2015-04-25,11.113,5.756663323681717,10.27410650131241,5.756663323681717,2.612940507941811,1.694596228277945,2.0951058784060943,431,AK-47 | Elite Build,AK-47,Elite Build,Factory New,0,1,0
Apr 26 2015,2015-04-26,10.228,5.638810379052402,10.273561004954475,5.638810379052402,2.612940507941811,1.694596228277945,2.0951058784060943,431,AK-47 | Elite Build,AK-47,Elite Build,Factory New,0,1,0
Apr 27 2015,2015-04-27,9.312,5.578072473099603,10.302629754978883,5.578072473099603,2.612940507941811,1.694596228277945,2.0951058784060943,389,AK-47 | Elite Build,AK-47,Elite Build,Factory New,0,1,0
Apr 28 2015,2015-04-28,9.336,5.497108702740341,10.27047874409134,5.497108702740341,2.612940507941811,1.694596228277945,2.0951058784060943,366,AK-47 | Elite Build,AK-47,Elite Build,Factory New,0,1,0
Apr 29 2015,2015-04-29,9.068,5.422810580631284,10.216410069027141,5.422810580631284,2.612940507941811,1.694596228277945,2.0951058784060943,362,AK-47 | Elite Build,AK-47,Elite Build,Factory New,0,1,0
Apr 30 2015,2015-04-30,9.144,5.336776541803382,10.11988939420561,5.336776541803382,2.612940507941811,1.694596228277945,2.0951058784060943,420,AK-47 | Elite Build,AK-47,Elite Build,Factory New,0,1,0
May 01 2015,2015-05-01,8.433,5.28409555450757,10.045920879963258,5.28409555450757,2.612940507941811,1.694596228277945,2.0951058784060943,399,AK-47 | Elite Build,AK-47,Elite Build,Factory New,0,1,0
May 02 2015,2015-05-02,8.769,5.2076361508281055,9.919128142686048,5.2076361508281055,2.612940507941811,1.694596228277945,2.0951058784060943,461,AK-47 | Elite Build,AK-47,Elite Build,Factory New,0,1,0
May 03 2015,2015-05-03,7.995,5.164339081340305,9.821366784496936,5.164339081340305,2.612940507941811,1.694596228277945,2.0951058784060943,477,AK-47 | Elite Build,AK-47,Elite Build,Factory New,0,1,0
May 04 2015,2015-05-04,7.55,5.135040227155278,9.726983999668578,5.135040227155278,2.612940507941811,1.694596228277945,2.0951058784060943,452,AK-47 | Elite Build,AK-47,Elite Build,Factory New,0,1,0
May 05 2015,2015-05-05,7.291,5.109441409370448,9.623855530421793,5.109441409370448,2.612940507941811,1.694596228277945,2.0951058784060943,433,AK-47 | Elite Build,AK-47,Elite Build,Factory New,0,1,0
May 06 2015,2015-05-06,7.59,5.064033501074021,9.481441695240523,5.064033501074021,2.612940507941811,1.694596228277945,2.0951058784060943,406,AK-47 | Elite Build,AK-47,Elite Build,Factory New,0,1,0
May 07 2015,2015-05-07,7.161,5.031712823836277,9.34753615718235,5.031712823836277,2.612940507941811,1.694596228277945,2.0951058784060943,411,AK-47 | Elite Build,AK-47,Elite Build,Factory New,0,1,0
May 08 2015,2015-05-08,7.21,4.992922740647121,9.1955018922145,4.992922740647121,2.612940507941811,1.694596228277945,2.0951058784060943,464,AK-47 | Elite Build,AK-47,Elite Build,Factory New,0,1,0
May 09 2015,2015-05-09,6.791,4.965947048344004,9.052806006645156,4.965947048344004,2.612940507941811,1.694596228277945,2.0951058784060943,507,AK-47 | Elite Build,AK-47,Elite Build,Factory New,0,1,0
May 10 2015,2015-05-10,6.494,4.945312495013165,8.912202534424734,4.945312495013165,2.612940507941811,1.694596228277945,2.0951058784060943,485,AK-47 | Elite Build,AK-47,Elite Build,Factory New,0,1,0
May 11 2015,2015-05-11,5.973,4.938840305017115,8.785279451815962,4.938840305017115,2.612940507941811,1.694596228277945,2.0951058784060943,494,AK-47 | Elite Build,AK-47,Elite Build,Factory New,0,1,0
May 12 2015,2015-05-12,6.092,4.922110679506359,8.638140329430904,4.922110679506359,2.612940507941811,1.694596228277945,2.0951058784060943,459,AK-47 | Elite Build,AK-47,Elite Build,Factory New,0,1,0
May 13 2015,2015-05-13,6.097,4.900986708773726,8.480257195140423,4.900986708773726,2.612940507941811,1.694596228277945,2.0951058784060943,445,AK-47 | Elite Build,AK-47,Elite Build,Factory New,0,1,0
May 14 2015,2015-05-14,6.279,4.871248908500923,8.306283944659375,4.871248908500923,2.612940507941811,1.694596228277945,2.0951058784060943,407,AK-47 | Elite Build,AK-47,Elite Build,Factory New,0,1,0
May 15 2015,2015-05-15,6.306,4.8389013535300975,8.126109405438598,4.8389013535300975,2.612940507941811,1.694596228277945,2.0951058784060943,438,AK-47 | Elite Build,AK-47,Elite Build,Factory New,0,1,0
May 16 2015,2015-05-16,6.389,3.185132567298319,7.939230220247563,4.803171540483625,2.612940507941811,1.694596228277945,2.0951058784060943,441,AK-47 | Elite Build,AK-47,Elite Build,Factory New,0,1,0
May 17 2015,2015-05-17,5.902,2.5565351374849943,7.7690485158722,4.778860194446425,2.612940507941811,1.694596228277945,2.0951058784060943,481,AK-47 | Elite Build,AK-47,Elite Build,Factory New,0,1,0
May 18 2015,2015-05-18,5.724,2.4069469498807505,7.60207244335956,4.757344460346965,2.612940507941811,1.694596228277945,2.0951058784060943,446,AK-47 | Elite Build,AK-47,Elite Build,Factory New,0,1,0
May 19 2015,2015-05-19,5.474,2.247464117826925,7.441233377759501,4.7403408644934455,2.612940507941811,1.694596228277945,2.0951058784060943,406,AK-47 | Elite Build,AK-47,Elite Build,Factory New,0,1,0
May 20 2015,2015-05-20,5.223,2.158372466871079,7.28632130614599,4.727613947362255,2.612940507941811,1.694596228277945,2.0951058784060943,466,AK-47 | Elite Build,AK-47,Elite Build,Factory New,0,1,0
May 21 2015,2015-05-21,5.254,1.9964457026621545,7.1259651479078965,4.7117201822048855,2.612940507941811,1.694596228277945,2.0951058784060943,477,AK-47 | Elite Build,AK-47,Elite Build,Factory New,0,1,0
May 22 2015,2015-05-22,5.139,1.8493812074785276,6.967003719040095,4.69666300567636,2.612940507941811,1.694596228277945,2.0951058784060943,490,AK-47 | Elite Build,AK-47,Elite Build,Factory New,0,1,0
May 23 2015,2015-05-23,5.156,1.7565425862959572,6.804924944626183,4.6793878081315805,2.612940507941811,1.694596228277945,2.0951058784060943,568,AK-47 | Elite Build,AK-47,Elite Build,Factory New,0,1,0
