date,py_date,median_price,rolling_30day_sd,ewm_30day_sd,expanding_sd,total_sd,pre_sd,post_sd,volume_sold,item,equip,skin,wear,stattrak,treated_unit,post_treat
Apr 16 2015,2015-04-16,7.187,,,,0.4997831716125432,0.4587516588319267,0.3141497821231747,3169,AK-47 | Elite Build,AK-47,Elite Build,Well-Worn,0,1,0
Apr 17 2015,2015-04-17,5.199,1.4057282809988565,1.405728280998857,1.4057282809988565,0.4997831716125432,0.4587516588319267,0.3141497821231747,3500,AK-47 | Elite Build,AK-47,Elite Build,Well-Worn,0,1,0
Apr 18 2015,2015-04-18,3.849,1.6791311245204563,1.9320896558912002,1.6791311245204563,0.4997831716125432,0.4587516588319267,0.3141497821231747,3750,AK-47 | Elite Build,AK-47,Elite Build,Well-Worn,0,1,0
Apr 19 2015,2015-04-19,3.27,1.739637390377661,2.215435873756728,1.739637390377661,0.4997831716125432,0.4587516588319267,0.3141497821231747,2851,AK-47 | Elite Build,AK-47,Elite Build,Well-Worn,0,1,0
Apr 20 2015,2015-04-20,2.998,1.724911099158446,2.3756602221838587,1.724911099158446,0.4997831716125432,0.4587516588319267,0.3141497821231747,2988,AK-47 | Elite Build,AK-47,Elite Build,Well-Worn,0,1,0
Apr 21 2015,2015-04-21,2.977,1.6634745163863092,2.444729818019389,1.6634745163863092,0.4997831716125432,0.4587516588319267,0.3141497821231747,2935,AK-47 | Elite Build,AK-47,Elite Build,Well-Worn,0,1,0
Apr 22 2015,2015-04-22,2.856,1.6069335186414315,2.486575731228157,1.6069335186414315,0.4997831716125432,0.4587516588319267,0.3141497821231747,2568,AK-47 | Elite Build,AK-47,Elite Build,Well-Worn,0,1,0
Apr 23 2015,2015-04-23,2.678,1.56459485855878,2.5205471946592293,1.56459485855878,0.4997831716125432,0.4587516588319267,0.3141497821231747,2843,AK-47 | Elite Build,AK-47,Elite Build,Well-Worn,0,1,0
Apr 24 2015,2015-04-24,2.509,1.5329130583449417,2.548205045396458,1.5329130583449417,0.4997831716125432,0.4587516588319267,0.3141497821231747,3323,AK-47 | Elite Build,AK-47,Elite Build,Well-Worn,0,1,0
Apr 25 2015,2015-04-25,2.507,1.4956701953750806,2.5532806432013695,1.4956701953750806,0.4997831716125432,0.4587516588319267,0.3141497821231747,3707,AK-47 | Elite Build,AK-47,Elite Build,Well-Worn,0,1,0
Apr 26 2015,2015-04-26,2.254,1.4760632962530613,2.567815545183301,1.4760632962530613,0.4997831716125432,0.4587516588319267,0.3141497821231747,3611,AK-47 | Elite Build,AK-47,Elite Build,Well-Worn,0,1,0
Apr 27 2015,2015-04-27,2.083,1.4640397075050642,2.5811690624858628,1.4640397075050642,0.4997831716125432,0.4587516588319267,0.3141497821231747,3296,AK-47 | Elite Build,AK-47,Elite Build,Well-Worn,0,1,0
Apr 28 2015,2015-04-28,2.046,1.4485864152904726,2.5814311667946295,1.4485864152904726,0.4997831716125432,0.4587516588319267,0.3141497821231747,3056,AK-47 | Elite Build,AK-47,Elite Build,Well-Worn,0,1,0
Apr 29 2015,2015-04-29,2.05,1.4289873479703519,2.5686539401464423,1.4289873479703519,0.4997831716125432,0.4587516588319267,0.3141497821231747,3010,AK-47 | Elite Build,AK-47,Elite Build,Well-Worn,0,1,0
Apr 30 2015,2015-04-30,2.051,1.4073065188846519,2.546346145614248,1.4073065188846519,0.4997831716125432,0.4587516588319267,0.3141497821231747,3508,AK-47 | Elite Build,AK-47,Elite Build,Well-Worn,0,1,0
May 01 2015,2015-05-01,2.006,1.386869664628463,2.519930651132677,1.386869664628463,0.4997831716125432,0.4587516588319267,0.3141497821231747,3371,AK-47 | Elite Build,AK-47,Elite Build,Well-Worn,0,1,0
May 02 2015,2015-05-02,1.896,1.3708292627628935,2.4945868957713,1.3708292627628935,0.4997831716125432,0.4587516588319267,0.3141497821231747,4152,AK-47 | Elite Build,AK-47,Elite Build,Well-Worn,0,1,0
May 03 2015,2015-05-03,1.776,1.3591390104302068,2.470763010309033,1.3591390104302068,0.4997831716125432,0.4587516588319267,0.3141497821231747,4142,AK-47 | Elite Build,AK-47,Elite Build,Well-Worn,0,1,0
May 04 2015,2015-05-04,1.652,1.3514987521980855,2.4484517645492936,1.3514987521980855,0.4997831716125432,0.4587516588319267,0.3141497821231747,3855,AK-47 | Elite Build,AK-47,Elite Build,Well-Worn,0,1,0
May 05 2015,2015-05-05,1.622,1.3430745207995916,2.4215315389496643,1.3430745207995916,0.4997831716125432,0.4587516588319267,0.3141497821231747,3626,AK-47 | Elite Build,AK-47,Elite Build,Well-Worn,0,1,0
May 06 2015,2015-05-06,1.604,1.3337032832002202,2.3902167302934934,1.3337032832002202,0.4997831716125432,0.4587516588319267,0.3141497821231747,3304,AK-47 | Elite Build,AK-47,Elite Build,Well-Worn,0,1,0
May 07 2015,2015-05-07,1.569,1.3243982518250428,2.3563287752612716,1.3243982518250428,0.4997831716125432,0.4587516588319267,0.3141497821231747,3234,AK-47 | Elite Build,AK-47,Elite Build,Well-Worn,0,1,0
