date,py_date,median_price,volume_sold,item,weapon,skin,wear,stattrak,treated_unit,post_treat
Feb 21 2014,2014-02-21,41.405,198,AK-47 | Redline,AK-47,Redline,Field-Tested,0,1,0
Feb 22 2014,2014-02-22,35.08,225,AK-47 | Redline,AK-47,Redline,Field-Tested,0,1,0
Feb 23 2014,2014-02-23,33.149,183,AK-47 | Redline,AK-47,Redline,Field-Tested,0,1,0
Feb 24 2014,2014-02-24,36.266,128,AK-47 | Redline,AK-47,Redline,Field-Tested,0,1,0
Feb 25 2014,2014-02-25,40.936,90,AK-47 | Redline,AK-47,Redline,Field-Tested,0,1,0
Feb 26 2014,2014-02-26,41.973,90,AK-47 | Redline,AK-47,Redline,Field-Tested,0,1,0
Feb 27 2014,2014-02-27,42.482,75,AK-47 | Redline,AK-47,Redline,Field-Tested,0,1,0
Feb 28 2014,2014-02-28,42.854,123,AK-47 | Redline,AK-47,Redline,Field-Tested,0,1,0
Mar 01 2014,2014-03-01,31.551,238,AK-47 | Redline,AK-47,Redline,Field-Tested,0,1,0
Mar 02 2014,2014-03-02,29.886,202,AK-47 | Redline,AK-47,Redline,Field-Tested,0,1,0
Mar 03 2014,2014-03-03,28.995,195,AK-47 | Redline,AK-47,Redline,Field-Tested,0,1,0
Mar 04 2014,2014-03-04,30.949,135,AK-47 | Redline,AK-47,Redline,Field-Tested,0,1,0
Mar 05 2014,2014-03-05,30.728,150,AK-47 | Redline,AK-47,Redline,Field-Tested,0,1,0
Mar 06 2014,2014-03-06,32.941,122,AK-47 | Redline,AK-47,Redline,Field-Tested,0,1,0
Mar 07 2014,2014-03-07,33.226,174,AK-47 | Redline,AK-47,Redline,Field-Tested,0,1,0
Mar 08 2014,2014-03-08,30.973,210,AK-47 | Redline,AK-47,Redline,Field-Tested,0,1,0
Mar 09 2014,2014-03-09,29.365,231,AK-47 | Redline,AK-47,Redline,Field-Tested,0,1,0
Mar 10 2014,2014-03-10,28.222,223,AK-47 | Redline,AK-47,Redline,Field-Tested,0,1,0
Mar 11 2014,2014-03-11,30.773,181,AK-47 | Redline,AK-47,Redline,Field-Tested,0,1,0
Mar 12 2014,2014-03-12,30.072,195,AK-47 | Redline,AK-47,Redline,Field-Tested,0,1,0
Mar 13 2014,2014-03-13,30.781,120,AK-47 | Redline,AK-47,Redline,Field-Tested,0,1,0
Mar 14 2014,2014-03-14,34.829,149,AK-47 | Redline,AK-47,Redline,Field-Tested,0,1,0
Mar 15 2014,2014-03-15,32.178,274,AK-47 | Redline,AK-47,Redline,Field-Tested,0,1,0
Mar 16 2014,2014-03-16,30.699,252,AK-47 | Redline,AK-47,Redline,Field-Tested,0,1,0
Mar 17 2014,2014-03-17,30.875,203,AK-47 | Redline,AK-47,Redline,Field-Tested,0,1,0
Mar 18 2014,2014-03-18,31.23,183,AK-47 | Redline,AK-47,Redline,Field-Tested,0,1,0
Mar 19 2014,2014-03-19,29.834,222,AK-47 | Redline,AK-47,Redline,Field-Tested,0,1,0
Mar 20 2014,2014-03-20,29.674,194,AK-47 | Redline,AK-47,Redline,Field-Tested,0,1,0
Mar 21 2014,2014-03-21,31.046,189,AK-47 | Redline,AK-47,Redline,Field-Tested,0,1,0
Mar 22 2014,2014-03-22,30.299,263,AK-47 | Redline,AK-47,Redline,Field-Tested,0,1,0
Mar 23 2014,2014-03-23,28.896,269,AK-47 | Redline,AK-47,Redline,Field-Tested,0,1,0
Mar 24 2014,2014-03-24,29.315,251,AK-47 | Redline,AK-47,Redline,Field-Tested,0,1,0
Mar 25 2014,2014-03-25,30.521,222,AK-47 | Redline,AK-47,Redline,Field-Tested,0,1,0
Mar 26 2014,2014-03-26,29.847,234,AK-47 | Redline,AK-47,Redline,Field-Tested,0,1,0
Mar 27 2014,2014-03-27,29.785,245,AK-47 | Redline,AK-47,Redline,Field-Tested,0,1,0
Mar 28 2014,2014-03-28,29.458,268,AK-47 | Redline,AK-47,Redline,Field-Tested,0,1,0
Mar 29 2014,2014-03-29,29.292,332,AK-47 | Redline,AK-47,Redline,Field-Tested,0,1,0
Mar 30 2014,2014-03-30,28.807,328,AK-47 | Redline,AK-47,Redline,Field-Tested,0,1,0
Mar 31 2014,2014-03-31,29.004,324,AK-47 | Redline,AK-47,Redline,Field-Tested,0,1,0
Apr 01 2014,2014-04-01,30.781,208,AK-47 | Redline,AK-47,Redline,Field-Tested,0,1,0
Apr 02 2014,2014-04-02,28.88,274,AK-47 | Redline,AK-47,Redline,Field-Tested,0,1,0
Apr 03 2014,2014-04-03,28.633,267,AK-47 | Redline,AK-47,Redline,Field-Tested,0,1,0
Apr 04 2014,2014-04-04,27.981,341,AK-47 | Redline,AK-47,Redline,Field-Tested,0,1,0
Apr 05 2014,2014-04-05,28.387,297,AK-47 | Redline,AK-47,Redline,Field-Tested,0,1,0
Apr 06 2014,2014-04-06,27.944,335,AK-47 | Redline,AK-47,Redline,Field-Tested,0,1,0
Apr 07 2014,2014-04-07,28.356,339,AK-47 | Redline,AK-47,Redline,Field-Tested,0,1,0
