date,py_date,median_price,volume_sold,item,weapon,skin,wear,stattrak,treated_unit,post_treat
Feb 18 2016,2016-02-18,33.261,108,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
Feb 19 2016,2016-02-19,31.344,85,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
Feb 20 2016,2016-02-20,30.916,60,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
Feb 21 2016,2016-02-21,30.304,57,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
Feb 22 2016,2016-02-22,30.251,41,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
Feb 23 2016,2016-02-23,32.466,28,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
Feb 24 2016,2016-02-24,31.347,27,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
Feb 25 2016,2016-02-25,33.615,32,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
Feb 26 2016,2016-02-26,27.032,67,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
Feb 27 2016,2016-02-27,22.551,80,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
Feb 28 2016,2016-02-28,22.406,61,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
Feb 29 2016,2016-02-29,23.024,48,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
Mar 01 2016,2016-03-01,22.409,66,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
Mar 02 2016,2016-03-02,26.318,36,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
Mar 03 2016,2016-03-03,24.688,48,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
Mar 04 2016,2016-03-04,25.618,53,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
Mar 05 2016,2016-03-05,23.68,80,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
Mar 06 2016,2016-03-06,22.395,58,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
Mar 07 2016,2016-03-07,21.778,61,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
Mar 08 2016,2016-03-08,22.17,46,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
Mar 09 2016,2016-03-09,22.904,44,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
Mar 10 2016,2016-03-10,23.484,47,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
Mar 11 2016,2016-03-11,24.257,33,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
Mar 12 2016,2016-03-12,23.745,45,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
Mar 13 2016,2016-03-13,24.602,37,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
Mar 14 2016,2016-03-14,26.323,28,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
Mar 15 2016,2016-03-15,23.591,39,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
Mar 16 2016,2016-03-16,25.002,38,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
Mar 17 2016,2016-03-17,23.504,32,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
Mar 18 2016,2016-03-18,22.202,62,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
Mar 19 2016,2016-03-19,22.87,41,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
Mar 20 2016,2016-03-20,22.629,36,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
Mar 21 2016,2016-03-21,21.415,42,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
Mar 22 2016,2016-03-22,21.462,42,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
Mar 23 2016,2016-03-23,22.411,52,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
Mar 24 2016,2016-03-24,22.591,31,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
Mar 25 2016,2016-03-25,21.93,45,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
Mar 26 2016,2016-03-26,21.252,53,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
Mar 27 2016,2016-03-27,21.056,58,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
Mar 28 2016,2016-03-28,21.6,49,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
Mar 29 2016,2016-03-29,20.906,60,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
Mar 30 2016,2016-03-30,22.212,54,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
Mar 31 2016,2016-03-31,21.555,51,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
Apr 01 2016,2016-04-01,23.508,61,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
Apr 02 2016,2016-04-02,23.827,63,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
Apr 03 2016,2016-04-03,22.684,62,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
Apr 04 2016,2016-04-04,23.184,50,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
Apr 05 2016,2016-04-05,25.021,54,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
Apr 06 2016,2016-04-06,23.706,50,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
Apr 07 2016,2016-04-07,25.022,49,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
Apr 08 2016,2016-04-08,25.178,59,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
Apr 09 2016,2016-04-09,25.655,64,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
Apr 10 2016,2016-04-10,24.186,49,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
Apr 11 2016,2016-04-11,24.213,50,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
Apr 12 2016,2016-04-12,23.017,43,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
Apr 13 2016,2016-04-13,23.229,43,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
Apr 14 2016,2016-04-14,22.969,46,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
Apr 15 2016,2016-04-15,23.245,45,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
Apr 16 2016,2016-04-16,22.421,55,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
Apr 17 2016,2016-04-17,21.618,67,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
Apr 18 2016,2016-04-18,21.161,54,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
Apr 19 2016,2016-04-19,21.608,59,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
Apr 20 2016,2016-04-20,21.745,58,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
Apr 21 2016,2016-04-21,21.639,47,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
Apr 22 2016,2016-04-22,21.238,50,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
Apr 23 2016,2016-04-23,21.128,62,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
Apr 24 2016,2016-04-24,20.741,71,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
Apr 25 2016,2016-04-25,20.732,57,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
Apr 26 2016,2016-04-26,20.5,39,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
Apr 27 2016,2016-04-27,21.47,76,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
Apr 28 2016,2016-04-28,19.815,51,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
Apr 29 2016,2016-04-29,19.833,78,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
Apr 30 2016,2016-04-30,19.85,62,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
May 01 2016,2016-05-01,20.226,51,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
May 02 2016,2016-05-02,20.088,60,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
May 03 2016,2016-05-03,21.609,50,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
May 04 2016,2016-05-04,21.35,57,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
May 05 2016,2016-05-05,20.061,59,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
May 06 2016,2016-05-06,20.841,57,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
May 07 2016,2016-05-07,20.137,59,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
May 08 2016,2016-05-08,20.268,55,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
May 09 2016,2016-05-09,19.515,46,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
May 10 2016,2016-05-10,19.24,52,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
May 11 2016,2016-05-11,19.358,55,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
May 12 2016,2016-05-12,18.94,64,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
May 13 2016,2016-05-13,18.254,74,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
May 14 2016,2016-05-14,18.953,69,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
May 15 2016,2016-05-15,18.455,58,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
May 16 2016,2016-05-16,18.551,51,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
May 17 2016,2016-05-17,17.417,59,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
May 18 2016,2016-05-18,17.605,45,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
May 19 2016,2016-05-19,17.918,47,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
May 20 2016,2016-05-20,18.288,57,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
May 21 2016,2016-05-21,18.218,59,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
May 22 2016,2016-05-22,18.027,52,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
May 23 2016,2016-05-23,17.52,45,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
May 24 2016,2016-05-24,16.82,34,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
May 25 2016,2016-05-25,16.226,45,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
May 26 2016,2016-05-26,16.44,53,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
May 27 2016,2016-05-27,16.674,47,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
May 28 2016,2016-05-28,16.481,59,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
May 29 2016,2016-05-29,16.59,56,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
May 30 2016,2016-05-30,16.237,56,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
May 31 2016,2016-05-31,16.487,52,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
Jun 01 2016,2016-06-01,16.838,58,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
Jun 02 2016,2016-06-02,16.523,54,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
Jun 03 2016,2016-06-03,17.135,48,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
Jun 04 2016,2016-06-04,16.939,65,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
Jun 05 2016,2016-06-05,15.568,54,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
Jun 06 2016,2016-06-06,15.798,70,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
Jun 07 2016,2016-06-07,16.711,48,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
Jun 08 2016,2016-06-08,16.298,59,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
Jun 09 2016,2016-06-09,15.099,63,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
Jun 10 2016,2016-06-10,15.407,56,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
Jun 11 2016,2016-06-11,15.845,56,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
Jun 12 2016,2016-06-12,16.012,52,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
Jun 13 2016,2016-06-13,15.809,50,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
Jun 14 2016,2016-06-14,15.806,53,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
Jun 15 2016,2016-06-15,15.523,39,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
Jun 16 2016,2016-06-16,14.623,57,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
Jun 17 2016,2016-06-17,13.936,62,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
Jun 18 2016,2016-06-18,13.475,72,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
Jun 19 2016,2016-06-19,12.753,57,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
Jun 20 2016,2016-06-20,13.795,62,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
Jun 21 2016,2016-06-21,14.522,58,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
Jun 22 2016,2016-06-22,12.979,50,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
Jun 23 2016,2016-06-23,12.798,54,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
Jun 24 2016,2016-06-24,11.796,83,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
Jun 25 2016,2016-06-25,11.312,86,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
Jun 26 2016,2016-06-26,11.205,65,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
Jun 27 2016,2016-06-27,10.669,79,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
Jun 28 2016,2016-06-28,11.334,72,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
Jun 29 2016,2016-06-29,12.194,46,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
Jun 30 2016,2016-06-30,11.303,64,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
Jul 01 2016,2016-07-01,11.115,62,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
Jul 02 2016,2016-07-02,11.129,69,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
Jul 03 2016,2016-07-03,10.557,56,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
Jul 04 2016,2016-07-04,10.818,68,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
Jul 05 2016,2016-07-05,12.26,65,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
Jul 06 2016,2016-07-06,13.999,65,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
Jul 07 2016,2016-07-07,14.423,37,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
Jul 08 2016,2016-07-08,13.661,61,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
Jul 09 2016,2016-07-09,13.567,61,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
Jul 10 2016,2016-07-10,12.911,57,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
Jul 11 2016,2016-07-11,13.152,66,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
Jul 12 2016,2016-07-12,13.213,53,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
Jul 13 2016,2016-07-13,13.352,45,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
Jul 14 2016,2016-07-14,12.172,52,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
Jul 15 2016,2016-07-15,11.923,66,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
Jul 16 2016,2016-07-16,11.895,51,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
Jul 17 2016,2016-07-17,11.841,54,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
Jul 18 2016,2016-07-18,12.671,45,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
Jul 19 2016,2016-07-19,12.592,41,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
Jul 20 2016,2016-07-20,12.343,37,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
Jul 21 2016,2016-07-21,11.478,51,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
Jul 22 2016,2016-07-22,11.436,58,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
Jul 23 2016,2016-07-23,11.333,51,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
Jul 24 2016,2016-07-24,11.381,44,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
Jul 25 2016,2016-07-25,11.998,53,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
Jul 26 2016,2016-07-26,11.888,41,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
Jul 27 2016,2016-07-27,11.457,44,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
Jul 28 2016,2016-07-28,11.269,57,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
Jul 29 2016,2016-07-29,11.802,37,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
Jul 30 2016,2016-07-30,11.312,47,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
Jul 31 2016,2016-07-31,11.395,51,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
Aug 01 2016,2016-08-01,11.42,39,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
Aug 02 2016,2016-08-02,12.111,40,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
Aug 03 2016,2016-08-03,11.656,38,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
Aug 04 2016,2016-08-04,11.115,41,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
Aug 05 2016,2016-08-05,10.961,49,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
Aug 06 2016,2016-08-06,10.466,41,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
Aug 07 2016,2016-08-07,10.089,46,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
Aug 08 2016,2016-08-08,10.032,49,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
Aug 09 2016,2016-08-09,10.939,55,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
Aug 10 2016,2016-08-10,10.521,50,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
Aug 11 2016,2016-08-11,10.754,42,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
Aug 12 2016,2016-08-12,10.069,40,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
Aug 13 2016,2016-08-13,10.675,50,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
Aug 14 2016,2016-08-14,10.159,39,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
Aug 15 2016,2016-08-15,9.62,65,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
Aug 16 2016,2016-08-16,10.31,46,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
Aug 17 2016,2016-08-17,10.516,31,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
Aug 18 2016,2016-08-18,10.357,38,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
Aug 19 2016,2016-08-19,10.863,54,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
Aug 20 2016,2016-08-20,10.737,72,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
Aug 21 2016,2016-08-21,9.984,52,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
Aug 22 2016,2016-08-22,8.775,66,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
Aug 23 2016,2016-08-23,9.533,45,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
Aug 24 2016,2016-08-24,8.846,80,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
Aug 25 2016,2016-08-25,10.25,63,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
Aug 26 2016,2016-08-26,11.165,38,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
Aug 27 2016,2016-08-27,10.505,41,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
Aug 28 2016,2016-08-28,10.692,38,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
Aug 29 2016,2016-08-29,10.696,33,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
Aug 30 2016,2016-08-30,10.266,47,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
Aug 31 2016,2016-08-31,10.331,44,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
Sep 01 2016,2016-09-01,10.43,49,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
Sep 02 2016,2016-09-02,10.621,47,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
Sep 03 2016,2016-09-03,10.515,53,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
Sep 04 2016,2016-09-04,9.551,40,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
Sep 05 2016,2016-09-05,9.995,71,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
Sep 06 2016,2016-09-06,10.577,42,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
Sep 07 2016,2016-09-07,10.289,50,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
Sep 08 2016,2016-09-08,9.957,46,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
Sep 09 2016,2016-09-09,9.875,48,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
Sep 10 2016,2016-09-10,10.213,48,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
Sep 11 2016,2016-09-11,9.813,52,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
Sep 12 2016,2016-09-12,10.699,43,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
Sep 13 2016,2016-09-13,10.998,38,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
Sep 14 2016,2016-09-14,11.336,31,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
Sep 15 2016,2016-09-15,10.359,34,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
Sep 16 2016,2016-09-16,10.368,42,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
Sep 17 2016,2016-09-17,10.292,52,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
Sep 18 2016,2016-09-18,10.013,49,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
Sep 19 2016,2016-09-19,11.762,61,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
Sep 20 2016,2016-09-20,11.786,33,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
Sep 21 2016,2016-09-21,11.199,42,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
Sep 22 2016,2016-09-22,11.158,47,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
Sep 23 2016,2016-09-23,11.11,50,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
Sep 24 2016,2016-09-24,11.409,46,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
Sep 25 2016,2016-09-25,11.633,36,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
Sep 26 2016,2016-09-26,11.682,39,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
Sep 27 2016,2016-09-27,11.36,32,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
Sep 28 2016,2016-09-28,11.468,43,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
Sep 29 2016,2016-09-29,10.953,41,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
Sep 30 2016,2016-09-30,11.041,35,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
Oct 01 2016,2016-10-01,11.077,36,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
Oct 02 2016,2016-10-02,10.792,39,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
Oct 03 2016,2016-10-03,11.048,35,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
Oct 04 2016,2016-10-04,10.777,36,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
Oct 05 2016,2016-10-05,10.59,36,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
Oct 06 2016,2016-10-06,9.991,37,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
Oct 07 2016,2016-10-07,9.929,42,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
Oct 08 2016,2016-10-08,10.019,47,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
Oct 09 2016,2016-10-09,9.787,43,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
Oct 10 2016,2016-10-10,9.779,49,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
Oct 11 2016,2016-10-11,9.955,48,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
Oct 12 2016,2016-10-12,10.054,35,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
Oct 13 2016,2016-10-13,9.913,39,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
Oct 14 2016,2016-10-14,9.9,44,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
Oct 15 2016,2016-10-15,10.545,52,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
Oct 16 2016,2016-10-16,9.797,38,AWP | Elite Build,AWP,Elite Build,Factory New,0,1,0
