date,py_date,median_price,volume_sold,item,weapon,skin,wear,stattrak,treated_unit,post_treat
Feb 18 2016,2016-02-18,11.628,607,AWP | Elite Build,AWP,Elite Build,Field-Tested,0,1,0
Feb 19 2016,2016-02-19,9.793,634,AWP | Elite Build,AWP,Elite Build,Field-Tested,0,1,0
Feb 20 2016,2016-02-20,10.193,508,AWP | Elite Build,AWP,Elite Build,Field-Tested,0,1,0
Feb 21 2016,2016-02-21,9.843,415,AWP | Elite Build,AWP,Elite Build,Field-Tested,0,1,0
Feb 22 2016,2016-02-22,9.78,310,AWP | Elite Build,AWP,Elite Build,Field-Tested,0,1,0
Feb 23 2016,2016-02-23,10.184,265,AWP | Elite Build,AWP,Elite Build,Field-Tested,0,1,0
Feb 24 2016,2016-02-24,10.393,288,AWP | Elite Build,AWP,Elite Build,Field-Tested,0,1,0
Feb 25 2016,2016-02-25,10.442,282,AWP | Elite Build,AWP,Elite Build,Field-Tested,0,1,0
Feb 26 2016,2016-02-26,8.168,451,AWP | Elite Build,AWP,Elite Build,Field-Tested,0,1,0
Feb 27 2016,2016-02-27,7.824,605,AWP | Elite Build,AWP,Elite Build,Field-Tested,0,1,0
Feb 28 2016,2016-02-28,8.075,375,AWP | Elite Build,AWP,Elite Build,Field-Tested,0,1,0
Feb 29 2016,2016-02-29,7.62,379,AWP | Elite Build,AWP,Elite Build,Field-Tested,0,1,0
Mar 01 2016,2016-03-01,7.584,400,AWP | Elite Build,AWP,Elite Build,Field-Tested,0,1,0
Mar 02 2016,2016-03-02,8.149,349,AWP | Elite Build,AWP,Elite Build,Field-Tested,0,1,0
Mar 03 2016,2016-03-03,8.157,390,AWP | Elite Build,AWP,Elite Build,Field-Tested,0,1,0
Mar 04 2016,2016-03-04,8.007,462,AWP | Elite Build,AWP,Elite Build,Field-Tested,0,1,0
Mar 05 2016,2016-03-05,8.015,533,AWP | Elite Build,AWP,Elite Build,Field-Tested,0,1,0
Mar 06 2016,2016-03-06,7.516,581,AWP | Elite Build,AWP,Elite Build,Field-Tested,0,1,0
Mar 07 2016,2016-03-07,7.408,376,AWP | Elite Build,AWP,Elite Build,Field-Tested,0,1,0
Mar 08 2016,2016-03-08,7.244,421,AWP | Elite Build,AWP,Elite Build,Field-Tested,0,1,0
Mar 09 2016,2016-03-09,7.27,406,AWP | Elite Build,AWP,Elite Build,Field-Tested,0,1,0
Mar 10 2016,2016-03-10,7.429,333,AWP | Elite Build,AWP,Elite Build,Field-Tested,0,1,0
Mar 11 2016,2016-03-11,7.776,381,AWP | Elite Build,AWP,Elite Build,Field-Tested,0,1,0
Mar 12 2016,2016-03-12,8.126,419,AWP | Elite Build,AWP,Elite Build,Field-Tested,0,1,0
Mar 13 2016,2016-03-13,8.038,398,AWP | Elite Build,AWP,Elite Build,Field-Tested,0,1,0
Mar 14 2016,2016-03-14,7.872,339,AWP | Elite Build,AWP,Elite Build,Field-Tested,0,1,0
Mar 15 2016,2016-03-15,7.686,352,AWP | Elite Build,AWP,Elite Build,Field-Tested,0,1,0
Mar 16 2016,2016-03-16,7.925,355,AWP | Elite Build,AWP,Elite Build,Field-Tested,0,1,0
Mar 17 2016,2016-03-17,7.729,373,AWP | Elite Build,AWP,Elite Build,Field-Tested,0,1,0
Mar 18 2016,2016-03-18,7.295,532,AWP | Elite Build,AWP,Elite Build,Field-Tested,0,1,0
Mar 19 2016,2016-03-19,7.801,565,AWP | Elite Build,AWP,Elite Build,Field-Tested,0,1,0
Mar 20 2016,2016-03-20,7.769,466,AWP | Elite Build,AWP,Elite Build,Field-Tested,0,1,0
Mar 21 2016,2016-03-21,7.7,427,AWP | Elite Build,AWP,Elite Build,Field-Tested,0,1,0
Mar 22 2016,2016-03-22,7.577,402,AWP | Elite Build,AWP,Elite Build,Field-Tested,0,1,0
Mar 23 2016,2016-03-23,7.623,400,AWP | Elite Build,AWP,Elite Build,Field-Tested,0,1,0
Mar 24 2016,2016-03-24,7.632,471,AWP | Elite Build,AWP,Elite Build,Field-Tested,0,1,0
Mar 25 2016,2016-03-25,7.145,505,AWP | Elite Build,AWP,Elite Build,Field-Tested,0,1,0
Mar 26 2016,2016-03-26,7.118,516,AWP | Elite Build,AWP,Elite Build,Field-Tested,0,1,0
Mar 27 2016,2016-03-27,7.066,595,AWP | Elite Build,AWP,Elite Build,Field-Tested,0,1,0
Mar 28 2016,2016-03-28,7.288,505,AWP | Elite Build,AWP,Elite Build,Field-Tested,0,1,0
Mar 29 2016,2016-03-29,7.293,565,AWP | Elite Build,AWP,Elite Build,Field-Tested,0,1,0
Mar 30 2016,2016-03-30,7.353,606,AWP | Elite Build,AWP,Elite Build,Field-Tested,0,1,0
Mar 31 2016,2016-03-31,7.812,529,AWP | Elite Build,AWP,Elite Build,Field-Tested,0,1,0
Apr 01 2016,2016-04-01,8.208,628,AWP | Elite Build,AWP,Elite Build,Field-Tested,0,1,0
Apr 02 2016,2016-04-02,8.135,721,AWP | Elite Build,AWP,Elite Build,Field-Tested,0,1,0
Apr 03 2016,2016-04-03,7.847,746,AWP | Elite Build,AWP,Elite Build,Field-Tested,0,1,0
Apr 04 2016,2016-04-04,8.276,574,AWP | Elite Build,AWP,Elite Build,Field-Tested,0,1,0
Apr 05 2016,2016-04-05,8.532,456,AWP | Elite Build,AWP,Elite Build,Field-Tested,0,1,0
Apr 06 2016,2016-04-06,8.021,503,AWP | Elite Build,AWP,Elite Build,Field-Tested,0,1,0
Apr 07 2016,2016-04-07,8.225,500,AWP | Elite Build,AWP,Elite Build,Field-Tested,0,1,0
Apr 08 2016,2016-04-08,8.135,575,AWP | Elite Build,AWP,Elite Build,Field-Tested,0,1,0
Apr 09 2016,2016-04-09,8.153,642,AWP | Elite Build,AWP,Elite Build,Field-Tested,0,1,0
Apr 10 2016,2016-04-10,8.105,604,AWP | Elite Build,AWP,Elite Build,Field-Tested,0,1,0
Apr 11 2016,2016-04-11,7.936,482,AWP | Elite Build,AWP,Elite Build,Field-Tested,0,1,0
Apr 12 2016,2016-04-12,7.862,497,AWP | Elite Build,AWP,Elite Build,Field-Tested,0,1,0
Apr 13 2016,2016-04-13,7.631,502,AWP | Elite Build,AWP,Elite Build,Field-Tested,0,1,0
Apr 14 2016,2016-04-14,7.689,524,AWP | Elite Build,AWP,Elite Build,Field-Tested,0,1,0
Apr 15 2016,2016-04-15,7.703,568,AWP | Elite Build,AWP,Elite Build,Field-Tested,0,1,0
Apr 16 2016,2016-04-16,7.606,678,AWP | Elite Build,AWP,Elite Build,Field-Tested,0,1,0
Apr 17 2016,2016-04-17,7.267,662,AWP | Elite Build,AWP,Elite Build,Field-Tested,0,1,0
Apr 18 2016,2016-04-18,7.255,526,AWP | Elite Build,AWP,Elite Build,Field-Tested,0,1,0
Apr 19 2016,2016-04-19,7.303,497,AWP | Elite Build,AWP,Elite Build,Field-Tested,0,1,0
Apr 20 2016,2016-04-20,7.443,524,AWP | Elite Build,AWP,Elite Build,Field-Tested,0,1,0
Apr 21 2016,2016-04-21,7.471,461,AWP | Elite Build,AWP,Elite Build,Field-Tested,0,1,0
Apr 22 2016,2016-04-22,7.255,584,AWP | Elite Build,AWP,Elite Build,Field-Tested,0,1,0
Apr 23 2016,2016-04-23,7.273,711,AWP | Elite Build,AWP,Elite Build,Field-Tested,0,1,0
Apr 24 2016,2016-04-24,7.18,640,AWP | Elite Build,AWP,Elite Build,Field-Tested,0,1,0
Apr 25 2016,2016-04-25,6.891,598,AWP | Elite Build,AWP,Elite Build,Field-Tested,0,1,0
Apr 26 2016,2016-04-26,7.022,537,AWP | Elite Build,AWP,Elite Build,Field-Tested,0,1,0
Apr 27 2016,2016-04-27,6.734,518,AWP | Elite Build,AWP,Elite Build,Field-Tested,0,1,0
Apr 28 2016,2016-04-28,6.859,693,AWP | Elite Build,AWP,Elite Build,Field-Tested,0,1,0
Apr 29 2016,2016-04-29,7.105,760,AWP | Elite Build,AWP,Elite Build,Field-Tested,0,1,0
Apr 30 2016,2016-04-30,7.06,847,AWP | Elite Build,AWP,Elite Build,Field-Tested,0,1,0
May 01 2016,2016-05-01,7.009,748,AWP | Elite Build,AWP,Elite Build,Field-Tested,0,1,0
May 02 2016,2016-05-02,6.956,691,AWP | Elite Build,AWP,Elite Build,Field-Tested,0,1,0
May 03 2016,2016-05-03,7.048,592,AWP | Elite Build,AWP,Elite Build,Field-Tested,0,1,0
May 04 2016,2016-05-04,7.064,579,AWP | Elite Build,AWP,Elite Build,Field-Tested,0,1,0
May 05 2016,2016-05-05,6.95,579,AWP | Elite Build,AWP,Elite Build,Field-Tested,0,1,0
May 06 2016,2016-05-06,7.024,618,AWP | Elite Build,AWP,Elite Build,Field-Tested,0,1,0
May 07 2016,2016-05-07,6.903,700,AWP | Elite Build,AWP,Elite Build,Field-Tested,0,1,0
May 08 2016,2016-05-08,6.657,610,AWP | Elite Build,AWP,Elite Build,Field-Tested,0,1,0
May 09 2016,2016-05-09,6.717,540,AWP | Elite Build,AWP,Elite Build,Field-Tested,0,1,0
May 10 2016,2016-05-10,6.787,532,AWP | Elite Build,AWP,Elite Build,Field-Tested,0,1,0
May 11 2016,2016-05-11,6.633,540,AWP | Elite Build,AWP,Elite Build,Field-Tested,0,1,0
May 12 2016,2016-05-12,6.485,513,AWP | Elite Build,AWP,Elite Build,Field-Tested,0,1,0
May 13 2016,2016-05-13,6.351,637,AWP | Elite Build,AWP,Elite Build,Field-Tested,0,1,0
May 14 2016,2016-05-14,6.532,699,AWP | Elite Build,AWP,Elite Build,Field-Tested,0,1,0
May 15 2016,2016-05-15,6.387,621,AWP | Elite Build,AWP,Elite Build,Field-Tested,0,1,0
May 16 2016,2016-05-16,6.173,574,AWP | Elite Build,AWP,Elite Build,Field-Tested,0,1,0
May 17 2016,2016-05-17,5.873,558,AWP | Elite Build,AWP,Elite Build,Field-Tested,0,1,0
May 18 2016,2016-05-18,5.872,491,AWP | Elite Build,AWP,Elite Build,Field-Tested,0,1,0
May 19 2016,2016-05-19,5.797,521,AWP | Elite Build,AWP,Elite Build,Field-Tested,0,1,0
May 20 2016,2016-05-20,5.978,601,AWP | Elite Build,AWP,Elite Build,Field-Tested,0,1,0
May 21 2016,2016-05-21,6.035,604,AWP | Elite Build,AWP,Elite Build,Field-Tested,0,1,0
May 22 2016,2016-05-22,5.987,556,AWP | Elite Build,AWP,Elite Build,Field-Tested,0,1,0
May 23 2016,2016-05-23,5.878,489,AWP | Elite Build,AWP,Elite Build,Field-Tested,0,1,0
May 24 2016,2016-05-24,5.698,496,AWP | Elite Build,AWP,Elite Build,Field-Tested,0,1,0
May 25 2016,2016-05-25,5.592,535,AWP | Elite Build,AWP,Elite Build,Field-Tested,0,1,0
May 26 2016,2016-05-26,5.533,505,AWP | Elite Build,AWP,Elite Build,Field-Tested,0,1,0
May 27 2016,2016-05-27,5.622,653,AWP | Elite Build,AWP,Elite Build,Field-Tested,0,1,0
May 28 2016,2016-05-28,5.888,637,AWP | Elite Build,AWP,Elite Build,Field-Tested,0,1,0
May 29 2016,2016-05-29,5.76,596,AWP | Elite Build,AWP,Elite Build,Field-Tested,0,1,0
May 30 2016,2016-05-30,5.756,552,AWP | Elite Build,AWP,Elite Build,Field-Tested,0,1,0
May 31 2016,2016-05-31,5.812,513,AWP | Elite Build,AWP,Elite Build,Field-Tested,0,1,0
Jun 01 2016,2016-06-01,5.775,707,AWP | Elite Build,AWP,Elite Build,Field-Tested,0,1,0
Jun 02 2016,2016-06-02,5.729,670,AWP | Elite Build,AWP,Elite Build,Field-Tested,0,1,0
Jun 03 2016,2016-06-03,5.67,680,AWP | Elite Build,AWP,Elite Build,Field-Tested,0,1,0
Jun 04 2016,2016-06-04,5.59,723,AWP | Elite Build,AWP,Elite Build,Field-Tested,0,1,0
Jun 05 2016,2016-06-05,5.309,623,AWP | Elite Build,AWP,Elite Build,Field-Tested,0,1,0
