date,py_date,median_price,rolling_30day_sd,ewm_30day_sd,expanding_sd,total_sd,pre_sd,post_sd,volume_sold,item,equip,skin,wear,stattrak,treated_unit,post_treat
Feb 18 2016,2016-02-18,19.539,,,,9.597407670322575,2.238067456812758,9.929947590974308,388,AWP | Elite Build,AWP,Elite Build,Minimal Wear,0,1,0
Feb 19 2016,2016-02-19,16.388,2.2280934675188124,2.2280934675188115,2.2280934675188124,9.597407670322575,2.238067456812758,9.929947590974308,434,AWP | Elite Build,AWP,Elite Build,Minimal Wear,0,1,0
Feb 20 2016,2016-02-20,16.726,1.729933235705935,2.071888096162259,1.729933235705935,9.597407670322575,2.238067456812758,9.929947590974308,336,AWP | Elite Build,AWP,Elite Build,Minimal Wear,0,1,0
Feb 21 2016,2016-02-21,16.497,1.507594662588944,2.04969740032829,1.507594662588944,9.597407670322575,2.238067456812758,9.929947590974308,257,AWP | Elite Build,AWP,Elite Build,Minimal Wear,0,1,0
Feb 22 2016,2016-02-22,16.839,1.3209321330030563,1.958736015319935,1.3209321330030563,9.597407670322575,2.238067456812758,9.929947590974308,179,AWP | Elite Build,AWP,Elite Build,Minimal Wear,0,1,0
Feb 23 2016,2016-02-23,17.436,1.1854728592422534,1.8187027250775574,1.1854728592422534,9.597407670322575,2.238067456812758,9.929947590974308,187,AWP | Elite Build,AWP,Elite Build,Minimal Wear,0,1,0
Feb 24 2016,2016-02-24,19.332,1.3408303042376046,1.6645536944577537,1.3408303042376046,9.597407670322575,2.238067456812758,9.929947590974308,116,AWP | Elite Build,AWP,Elite Build,Minimal Wear,0,1,0
Feb 25 2016,2016-02-25,16.789,1.2692037717741451,1.6639917968505458,1.2692037717741451,9.597407670322575,2.238067456812758,9.929947590974308,196,AWP | Elite Build,AWP,Elite Build,Minimal Wear,0,1,0
Feb 26 2016,2016-02-26,14.196,1.6065939990482285,2.0742575308310025,1.6065939990482285,9.597407670322575,2.238067456812758,9.929947590974308,281,AWP | Elite Build,AWP,Elite Build,Minimal Wear,0,1,0
Feb 27 2016,2016-02-27,13.329,1.92436612651774,2.461459854977795,1.92436612651774,9.597407670322575,2.238067456812758,9.929947590974308,347,AWP | Elite Build,AWP,Elite Build,Minimal Wear,0,1,0
Feb 28 2016,2016-02-28,14.124,1.9848044785776304,2.5863983904825356,1.9848044785776304,9.597407670322575,2.238067456812758,9.929947590974308,203,AWP | Elite Build,AWP,Elite Build,Minimal Wear,0,1,0
Feb 29 2016,2016-02-29,13.089,2.129599720533643,2.7916407549727973,2.129599720533643,9.597407670322575,2.238067456812758,9.929947590974308,218,AWP | Elite Build,AWP,Elite Build,Minimal Wear,0,1,0
Mar 01 2016,2016-03-01,13.273,2.193613816724147,2.902436476450214,2.193613816724147,9.597407670322575,2.238067456812758,9.929947590974308,214,AWP | Elite Build,AWP,Elite Build,Minimal Wear,0,1,0
Mar 02 2016,2016-03-02,14.212,2.159056296951656,2.885878990956219,2.159056296951656,9.597407670322575,2.238067456812758,9.929947590974308,190,AWP | Elite Build,AWP,Elite Build,Minimal Wear,0,1,0
Mar 03 2016,2016-03-03,14.337,2.1164327399795027,2.850256907335921,2.1164327399795027,9.597407670322575,2.238067456812758,9.929947590974308,216,AWP | Elite Build,AWP,Elite Build,Minimal Wear,0,1,0
Mar 04 2016,2016-03-04,15.067,2.0515872138013864,2.7679896095805323,2.0515872138013864,9.597407670322575,2.238067456812758,9.929947590974308,224,AWP | Elite Build,AWP,Elite Build,Minimal Wear,0,1,0
Mar 05 2016,2016-03-05,13.845,2.036661998366012,2.7612631062485637,2.036661998366012,9.597407670322575,2.238067456812758,9.929947590974308,313,AWP | Elite Build,AWP,Elite Build,Minimal Wear,0,1,0
Mar 06 2016,2016-03-06,13.04,2.065197953765037,2.806372212739763,2.065197953765037,9.597407670322575,2.238067456812758,9.929947590974308,302,AWP | Elite Build,AWP,Elite Build,Minimal Wear,0,1,0
Mar 07 2016,2016-03-07,12.331,2.130572333396888,2.89136041261032,2.130572333396888,9.597407670322575,2.238067456812758,9.929947590974308,252,AWP | Elite Build,AWP,Elite Build,Minimal Wear,0,1,0
Mar 08 2016,2016-03-08,12.776,2.1482171034800492,2.908699819585569,2.1482171034800492,9.597407670322575,2.238067456812758,9.929947590974308,217,AWP | Elite Build,AWP,Elite Build,Minimal Wear,0,1,0
Mar 09 2016,2016-03-09,12.427,2.176997924184762,2.9360262768028735,2.176997924184762,9.597407670322575,2.238067456812758,9.929947590974308,204,AWP | Elite Build,AWP,Elite Build,Minimal Wear,0,1,0
Mar 10 2016,2016-03-10,13.249,2.158130041237501,2.892860314168291,2.158130041237501,9.597407670322575,2.238067456812758,9.929947590974308,170,AWP | Elite Build,AWP,Elite Build,Minimal Wear,0,1,0
Mar 11 2016,2016-03-11,13.356,2.1344599552100427,2.839757616634014,2.1344599552100427,9.597407670322575,2.238067456812758,9.929947590974308,207,AWP | Elite Build,AWP,Elite Build,Minimal Wear,0,1,0
Mar 12 2016,2016-03-12,13.617,2.1033555575435354,2.7725525107874276,2.1033555575435354,9.597407670322575,2.238067456812758,9.929947590974308,241,AWP | Elite Build,AWP,Elite Build,Minimal Wear,0,1,0
Mar 13 2016,2016-03-13,13.099,2.0878243484546304,2.7284067283654725,2.0878243484546304,9.597407670322575,2.238067456812758,9.929947590974308,234,AWP | Elite Build,AWP,Elite Build,Minimal Wear,0,1,0
