date,py_date,median_price,rolling_30day_sd,ewm_30day_sd,expanding_sd,total_sd,pre_sd,post_sd,volume_sold,item,weapon,skin,wear,stattrak,treated_unit,post_treat
May 27 2015,2015-05-27,41.062,,,,5.782656234511679,3.6563622001131746,5.360703934871537,144,AWP | Hyper Beast,AWP,Hyper Beast,Battle-Scarred,0,1,0
May 28 2015,2015-05-28,29.916,7.8814121831052555,7.881412183105258,7.8814121831052555,5.782656234511679,3.6563622001131746,5.360703934871537,126,AWP | Hyper Beast,AWP,Hyper Beast,Battle-Scarred,0,1,0
May 29 2015,2015-05-29,30.319,6.322022013037703,7.60143613696383,6.322022013037703,5.782656234511679,3.6563622001131746,5.360703934871537,100,AWP | Hyper Beast,AWP,Hyper Beast,Battle-Scarred,0,1,0
May 30 2015,2015-05-30,32.519,5.199408876657675,6.937683273130154,5.199408876657675,5.782656234511679,3.6563622001131746,5.360703934871537,88,AWP | Hyper Beast,AWP,Hyper Beast,Battle-Scarred,0,1,0
May 31 2015,2015-05-31,33.862,4.506515538639579,6.345767032065531,4.506515538639579,5.782656234511679,3.6563622001131746,5.360703934871537,52,AWP | Hyper Beast,AWP,Hyper Beast,Battle-Scarred,0,1,0
Jun 01 2015,2015-06-01,34.469,4.048722238764553,5.874139744866542,4.048722238764553,5.782656234511679,3.6563622001131746,5.360703934871537,52,AWP | Hyper Beast,AWP,Hyper Beast,Battle-Scarred,0,1,0
Jun 02 2015,2015-06-02,37.919,4.026616090820819,5.345650208840228,4.026616090820819,5.782656234511679,3.6563622001131746,5.360703934871537,47,AWP | Hyper Beast,AWP,Hyper Beast,Battle-Scarred,0,1,0
Jun 03 2015,2015-06-03,37.475,3.8937565019436655,4.937838580831114,3.8937565019436655,5.782656234511679,3.6563622001131746,5.360703934871537,51,AWP | Hyper Beast,AWP,Hyper Beast,Battle-Scarred,0,1,0
Jun 04 2015,2015-06-04,26.939,4.466097609895142,5.813482388990819,4.466097609895142,5.782656234511679,3.6563622001131746,5.360703934871537,104,AWP | Hyper Beast,AWP,Hyper Beast,Battle-Scarred,0,1,0
Jun 05 2015,2015-06-05,24.674,5.110290689709668,6.702934000306268,5.110290689709668,5.782656234511679,3.6563622001131746,5.360703934871537,98,AWP | Hyper Beast,AWP,Hyper Beast,Battle-Scarred,0,1,0
Jun 06 2015,2015-06-06,26.15,5.259708248044319,7.048445008130693,5.259708248044319,5.782656234511679,3.6563622001131746,5.360703934871537,99,AWP | Hyper Beast,AWP,Hyper Beast,Battle-Scarred,0,1,0
Jun 07 2015,2015-06-07,26.835,5.257257537024988,7.18428370731574,5.257257537024988,5.782656234511679,3.6563622001131746,5.360703934871537,71,AWP | Hyper Beast,AWP,Hyper Beast,Battle-Scarred,0,1,0
Jun 08 2015,2015-06-08,29.025,5.093840790601919,7.0657838719201305,5.093840790601919,5.782656234511679,3.6563622001131746,5.360703934871537,70,AWP | Hyper Beast,AWP,Hyper Beast,Battle-Scarred,0,1,0
Jun 09 2015,2015-06-09,27.286,5.029703246440364,7.070839373107286,5.029703246440364,5.782656234511679,3.6563622001131746,5.360703934871537,68,AWP | Hyper Beast,AWP,Hyper Beast,Battle-Scarred,0,1,0
Jun 10 2015,2015-06-10,29.406,4.871816979907423,6.898994318243142,4.871816979907423,5.782656234511679,3.6563622001131746,5.360703934871537,74,AWP | Hyper Beast,AWP,Hyper Beast,Battle-Scarred,0,1,0
Jun 11 2015,2015-06-11,26.494,4.850856087674971,6.925563714660538,4.850856087674971,5.782656234511679,3.6563622001131746,5.360703934871537,77,AWP | Hyper Beast,AWP,Hyper Beast,Battle-Scarred,0,1,0
Jun 12 2015,2015-06-12,24.568,4.9412838293659,7.076402306260496,4.9412838293659,5.782656234511679,3.6563622001131746,5.360703934871537,93,AWP | Hyper Beast,AWP,Hyper Beast,Battle-Scarred,0,1,0
Jun 13 2015,2015-06-13,26.074,4.907184888447934,7.045219251891658,4.907184888447934,5.782656234511679,3.6563622001131746,5.360703934871537,93,AWP | Hyper Beast,AWP,Hyper Beast,Battle-Scarred,0,1,0
Jun 14 2015,2015-06-14,25.566,4.889877846810198,7.02355329457196,4.889877846810198,5.782656234511679,3.6563622001131746,5.360703934871537,88,AWP | Hyper Beast,AWP,Hyper Beast,Battle-Scarred,0,1,0
Jun 15 2015,2015-06-15,23.928,4.9511384028534815,7.094623140785714,4.9511384028534815,5.782656234511679,3.6563622001131746,5.360703934871537,88,AWP | Hyper Beast,AWP,Hyper Beast,Battle-Scarred,0,1,0
Jun 16 2015,2015-06-16,23.619,5.006302833143722,7.143653232788805,5.006302833143722,5.782656234511679,3.6563622001131746,5.360703934871537,71,AWP | Hyper Beast,AWP,Hyper Beast,Battle-Scarred,0,1,0
Jun 17 2015,2015-06-17,22.82,5.08505062462296,7.211498003885113,5.08505062462296,5.782656234511679,3.6563622001131746,5.360703934871537,89,AWP | Hyper Beast,AWP,Hyper Beast,Battle-Scarred,0,1,0
Jun 18 2015,2015-06-18,24.522,5.060313733263125,7.12537236963244,5.060313733263125,5.782656234511679,3.6563622001131746,5.360703934871537,86,AWP | Hyper Beast,AWP,Hyper Beast,Battle-Scarred,0,1,0
Jun 19 2015,2015-06-19,23.244,5.083475163440738,7.100644322476473,5.083475163440738,5.782656234511679,3.6563622001131746,5.360703934871537,115,AWP | Hyper Beast,AWP,Hyper Beast,Battle-Scarred,0,1,0
Jun 20 2015,2015-06-20,22.36,5.13522177774891,7.107828044575846,5.13522177774891,5.782656234511679,3.6563622001131746,5.360703934871537,117,AWP | Hyper Beast,AWP,Hyper Beast,Battle-Scarred,0,1,0
