date,py_date,median_price,volume_sold,item,weapon,skin,wear,stattrak,treated_unit,post_treat
Jan 09 2015,2015-01-09,133.916,124,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,0,1,0
Jan 10 2015,2015-01-10,96.816,152,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,0,1,0
Jan 11 2015,2015-01-11,74.694,184,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,0,1,0
Jan 12 2015,2015-01-12,73.4,131,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,0,1,0
Jan 13 2015,2015-01-13,71.586,120,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,0,1,0
Jan 14 2015,2015-01-14,67.827,154,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,0,1,0
Jan 15 2015,2015-01-15,68.123,125,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,0,1,0
Jan 16 2015,2015-01-16,65.428,146,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,0,1,0
Jan 17 2015,2015-01-17,60.382,161,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,0,1,0
Jan 18 2015,2015-01-18,50.722,205,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,0,1,0
Jan 19 2015,2015-01-19,48.234,186,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,0,1,0
Jan 20 2015,2015-01-20,47.994,185,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,0,1,0
Jan 21 2015,2015-01-21,47.988,164,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,0,1,0
Jan 22 2015,2015-01-22,48.805,153,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,0,1,0
Jan 23 2015,2015-01-23,51.827,202,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,0,1,0
Jan 24 2015,2015-01-24,53.127,181,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,0,1,0
Jan 25 2015,2015-01-25,47.787,214,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,0,1,0
Jan 26 2015,2015-01-26,45.108,215,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,0,1,0
Jan 27 2015,2015-01-27,43.921,214,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,0,1,0
Jan 28 2015,2015-01-28,44.486,208,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,0,1,0
