date,py_date,median_price,rolling_30day_sd,ewm_30day_sd,expanding_sd,total_sd,pre_sd,post_sd,volume_sold,item,equip,skin,wear,stattrak,treated_unit,post_treat
Dec 19 2013,2013-12-19,34.722,,,,19.159559025849788,2.5991257311611795,17.72782835488476,35,AWP | Redline,AWP,Redline,Field-Tested,0,1,0
Dec 20 2013,2013-12-20,28.613,4.3197153262686205,4.3197153262686205,4.3197153262686205,19.159559025849788,2.5991257311611795,17.72782835488476,61,AWP | Redline,AWP,Redline,Field-Tested,0,1,0
Dec 21 2013,2013-12-21,21.459,6.638357803955232,7.312201258760092,6.638357803955232,19.159559025849788,2.5991257311611795,17.72782835488476,81,AWP | Redline,AWP,Redline,Field-Tested,0,1,0
Dec 22 2013,2013-12-22,19.542,6.956993459821562,8.508021020270899,6.956993459821562,19.159559025849788,2.5991257311611795,17.72782835488476,79,AWP | Redline,AWP,Redline,Field-Tested,0,1,0
Dec 23 2013,2013-12-23,18.589,6.894550275398679,9.145561012317103,6.894550275398679,19.159559025849788,2.5991257311611795,17.72782835488476,92,AWP | Redline,AWP,Redline,Field-Tested,0,1,0
Dec 24 2013,2013-12-24,18.239,6.688782510043713,9.470607873276968,6.688782510043713,19.159559025849788,2.5991257311611795,17.72782835488476,92,AWP | Redline,AWP,Redline,Field-Tested,0,1,0
Dec 25 2013,2013-12-25,18.859,6.355824883709506,9.506509550954188,6.355824883709506,19.159559025849788,2.5991257311611795,17.72782835488476,59,AWP | Redline,AWP,Redline,Field-Tested,0,1,0
Dec 26 2013,2013-12-26,19.868,5.978704588250822,9.34890977149198,5.978704588250822,19.159559025849788,2.5991257311611795,17.72782835488476,98,AWP | Redline,AWP,Redline,Field-Tested,0,1,0
Dec 27 2013,2013-12-27,18.653,5.7366842799458455,9.307537466179951,5.7366842799458455,19.159559025849788,2.5991257311611795,17.72782835488476,114,AWP | Redline,AWP,Redline,Field-Tested,0,1,0
Dec 28 2013,2013-12-28,18.519,5.523324462877609,9.237167164413858,5.523324462877609,19.159559025849788,2.5991257311611795,17.72782835488476,100,AWP | Redline,AWP,Redline,Field-Tested,0,1,0
Dec 29 2013,2013-12-29,15.205,5.594537283652852,9.472287997318471,5.594537283652852,19.159559025849788,2.5991257311611795,17.72782835488476,111,AWP | Redline,AWP,Redline,Field-Tested,0,1,0
Dec 30 2013,2013-12-30,14.882,5.629503091801804,9.627790226085388,5.629503091801804,19.159559025849788,2.5991257311611795,17.72782835488476,135,AWP | Redline,AWP,Redline,Field-Tested,0,1,0
Dec 31 2013,2013-12-31,13.558,5.732403286222755,9.824951831636518,5.732403286222755,19.159559025849788,2.5991257311611795,17.72782835488476,111,AWP | Redline,AWP,Redline,Field-Tested,0,1,0
Jan 01 2014,2014-01-01,14.075,5.734681771160761,9.879071279200948,5.734681771160761,19.159559025849788,2.5991257311611795,17.72782835488476,120,AWP | Redline,AWP,Redline,Field-Tested,0,1,0
Jan 02 2014,2014-01-02,13.819,5.725964383735681,9.894569847678085,5.725964383735681,19.159559025849788,2.5991257311611795,17.72782835488476,151,AWP | Redline,AWP,Redline,Field-Tested,0,1,0
Jan 03 2014,2014-01-03,13.7,5.702561493165447,9.869532755951356,5.702561493165447,19.159559025849788,2.5991257311611795,17.72782835488476,116,AWP | Redline,AWP,Redline,Field-Tested,0,1,0
Jan 04 2014,2014-01-04,14.228,5.636254807702802,9.768250150806566,5.636254807702802,19.159559025849788,2.5991257311611795,17.72782835488476,147,AWP | Redline,AWP,Redline,Field-Tested,0,1,0
Jan 05 2014,2014-01-05,14.034,5.573760912156383,9.65538759692821,5.573760912156383,19.159559025849788,2.5991257311611795,17.72782835488476,141,AWP | Redline,AWP,Redline,Field-Tested,0,1,0
Jan 06 2014,2014-01-06,13.478,5.531518159786406,9.555771917344305,5.531518159786406,19.159559025849788,2.5991257311611795,17.72782835488476,143,AWP | Redline,AWP,Redline,Field-Tested,0,1,0
Jan 07 2014,2014-01-07,13.329,5.488987045607058,9.442275808855142,5.488987045607058,19.159559025849788,2.5991257311611795,17.72782835488476,145,AWP | Redline,AWP,Redline,Field-Tested,0,1,0
Jan 08 2014,2014-01-08,13.451,5.436157058244801,9.302264956814609,5.436157058244801,19.159559025849788,2.5991257311611795,17.72782835488476,124,AWP | Redline,AWP,Redline,Field-Tested,0,1,0
Jan 09 2014,2014-01-09,13.162,5.3910547747556405,9.163376913655041,5.3910547747556405,19.159559025849788,2.5991257311611795,17.72782835488476,163,AWP | Redline,AWP,Redline,Field-Tested,0,1,0
Jan 10 2014,2014-01-10,12.914,5.351494131430509,9.023513839486276,5.351494131430509,19.159559025849788,2.5991257311611795,17.72782835488476,156,AWP | Redline,AWP,Redline,Field-Tested,0,1,0
Jan 11 2014,2014-01-11,13.278,5.296492741646952,8.852576888069343,5.296492741646952,19.159559025849788,2.5991257311611795,17.72782835488476,124,AWP | Redline,AWP,Redline,Field-Tested,0,1,0
Jan 12 2014,2014-01-12,12.829,5.2545636672642315,8.695220069740486,5.2545636672642315,19.159559025849788,2.5991257311611795,17.72782835488476,149,AWP | Redline,AWP,Redline,Field-Tested,0,1,0
Jan 13 2014,2014-01-13,11.986,5.238551236157393,8.57021671133688,5.238551236157393,19.159559025849788,2.5991257311611795,17.72782835488476,186,AWP | Redline,AWP,Redline,Field-Tested,0,1,0
Jan 14 2014,2014-01-14,11.73,5.2261863749431114,8.444282981870534,5.2261863749431114,19.159559025849788,2.5991257311611795,17.72782835488476,178,AWP | Redline,AWP,Redline,Field-Tested,0,1,0
Jan 15 2014,2014-01-15,11.715,5.209096103129622,8.305922833553986,5.209096103129622,19.159559025849788,2.5991257311611795,17.72782835488476,151,AWP | Redline,AWP,Redline,Field-Tested,0,1,0
Jan 16 2014,2014-01-16,11.545,5.193194589729719,8.164920436877813,5.193194589729719,19.159559025849788,2.5991257311611795,17.72782835488476,138,AWP | Redline,AWP,Redline,Field-Tested,0,1,0
Jan 17 2014,2014-01-17,11.428,5.176905276343183,8.019603996144607,5.176905276343183,19.159559025849788,2.5991257311611795,17.72782835488476,167,AWP | Redline,AWP,Redline,Field-Tested,0,1,0
Jan 18 2014,2014-01-18,11.741,3.8479298772495683,7.852537819669041,5.148311502719339,19.159559025849788,2.5991257311611795,17.72782835488476,183,AWP | Redline,AWP,Redline,Field-Tested,0,1,0
Jan 19 2014,2014-01-19,11.42,2.975183924576338,7.6940574808502324,5.126360096079617,19.159559025849788,2.5991257311611795,17.72782835488476,212,AWP | Redline,AWP,Redline,Field-Tested,0,1,0
Jan 20 2014,2014-01-20,11.147,2.755912557418671,7.541624298273002,5.1093403546689355,19.159559025849788,2.5991257311611795,17.72782835488476,192,AWP | Redline,AWP,Redline,Field-Tested,0,1,0
Jan 21 2014,2014-01-21,11.146,2.635646393049605,7.383679386870905,5.089701809955103,19.159559025849788,2.5991257311611795,17.72782835488476,183,AWP | Redline,AWP,Redline,Field-Tested,0,1,0
Jan 22 2014,2014-01-22,11.177,2.5446370255802715,7.220389828401206,5.067159775779457,19.159559025849788,2.5991257311611795,17.72782835488476,170,AWP | Redline,AWP,Redline,Field-Tested,0,1,0
Jan 23 2014,2014-01-23,11.16,2.4487915865754575,7.054943847060721,5.043356305616015,19.159559025849788,2.5991257311611795,17.72782835488476,147,AWP | Redline,AWP,Redline,Field-Tested,0,1,0
