date,py_date,median_price,rolling_30day_sd,ewm_30day_sd,expanding_sd,total_sd,pre_sd,post_sd,volume_sold,item,weapon,skin,wear,stattrak,treated_unit,post_treat
Dec 19 2013,2013-12-19,44.338,,,,32.54490900941797,3.6376830524949337,30.899187884759968,21,AWP | Redline,AWP,Redline,Minimal Wear,0,1,0
Dec 20 2013,2013-12-20,38.816,3.904643645712112,3.9046436457121145,3.904643645712112,32.54490900941797,3.6376830524949337,30.899187884759968,36,AWP | Redline,AWP,Redline,Minimal Wear,0,1,0
Dec 21 2013,2013-12-21,31.88,6.242359916997203,6.8306221701953715,6.242359916997203,32.54490900941797,3.6376830524949337,30.899187884759968,36,AWP | Redline,AWP,Redline,Minimal Wear,0,1,0
Dec 22 2013,2013-12-22,32.421,5.894955039410112,7.279491148053481,5.894955039410112,32.54490900941797,3.6376830524949337,30.899187884759968,44,AWP | Redline,AWP,Redline,Minimal Wear,0,1,0
Dec 23 2013,2013-12-23,26.448,6.910892909024131,8.858515512703773,6.910892909024131,32.54490900941797,3.6376830524949337,30.899187884759968,55,AWP | Redline,AWP,Redline,Minimal Wear,0,1,0
Dec 24 2013,2013-12-24,27.991,6.774323877701746,9.255721685985606,6.774323877701746,32.54490900941797,3.6376830524949337,30.899187884759968,43,AWP | Redline,AWP,Redline,Minimal Wear,0,1,0
Dec 25 2013,2013-12-25,27.853,6.560638281956008,9.446361367035841,6.560638281956008,32.54490900941797,3.6376830524949337,30.899187884759968,45,AWP | Redline,AWP,Redline,Minimal Wear,0,1,0
Dec 26 2013,2013-12-26,28.537,6.2599683020648875,9.421251641097555,6.2599683020648875,32.54490900941797,3.6376830524949337,30.899187884759968,66,AWP | Redline,AWP,Redline,Minimal Wear,0,1,0
Dec 27 2013,2013-12-27,28.721,5.974993119475351,9.326262419316365,5.974993119475351,32.54490900941797,3.6376830524949337,30.899187884759968,68,AWP | Redline,AWP,Redline,Minimal Wear,0,1,0
Dec 28 2013,2013-12-28,26.798,5.858847707148186,9.400077889386562,5.858847707148186,32.54490900941797,3.6376830524949337,30.899187884759968,53,AWP | Redline,AWP,Redline,Minimal Wear,0,1,0
Dec 29 2013,2013-12-29,23.601,6.032833371717562,9.75421883619371,6.032833371717562,32.54490900941797,3.6376830524949337,30.899187884759968,65,AWP | Redline,AWP,Redline,Minimal Wear,0,1,0
Dec 30 2013,2013-12-30,23.127,6.150750007851962,10.01106902564172,6.150750007851962,32.54490900941797,3.6376830524949337,30.899187884759968,68,AWP | Redline,AWP,Redline,Minimal Wear,0,1,0
Dec 31 2013,2013-12-31,22.114,6.286229940033562,10.253886322316552,6.286229940033562,32.54490900941797,3.6376830524949337,30.899187884759968,66,AWP | Redline,AWP,Redline,Minimal Wear,0,1,0
Jan 01 2014,2014-01-01,21.433,6.407009988209086,10.451815844644049,6.407009988209086,32.54490900941797,3.6376830524949337,30.899187884759968,71,AWP | Redline,AWP,Redline,Minimal Wear,0,1,0
Jan 02 2014,2014-01-02,21.235,6.480466938643938,10.57073153449676,6.480466938643938,32.54490900941797,3.6376830524949337,30.899187884759968,83,AWP | Redline,AWP,Redline,Minimal Wear,0,1,0
Jan 03 2014,2014-01-03,21.628,6.4826151124244085,10.581899337859927,6.4826151124244085,32.54490900941797,3.6376830524949337,30.899187884759968,68,AWP | Redline,AWP,Redline,Minimal Wear,0,1,0
Jan 04 2014,2014-01-04,20.789,6.511576144813626,10.60576973806009,6.511576144813626,32.54490900941797,3.6376830524949337,30.899187884759968,75,AWP | Redline,AWP,Redline,Minimal Wear,0,1,0
Jan 05 2014,2014-01-05,20.415,6.534972462699081,10.604343804507012,6.534972462699081,32.54490900941797,3.6376830524949337,30.899187884759968,79,AWP | Redline,AWP,Redline,Minimal Wear,0,1,0
Jan 06 2014,2014-01-06,19.596,6.581197540290634,10.614673572533553,6.581197540290634,32.54490900941797,3.6376830524949337,30.899187884759968,93,AWP | Redline,AWP,Redline,Minimal Wear,0,1,0
Jan 07 2014,2014-01-07,18.67,6.653967510361572,10.642424284700947,6.653967510361572,32.54490900941797,3.6376830524949337,30.899187884759968,104,AWP | Redline,AWP,Redline,Minimal Wear,0,1,0
Jan 08 2014,2014-01-08,18.778,6.691081373561307,10.61112023851225,6.691081373561307,32.54490900941797,3.6376830524949337,30.899187884759968,86,AWP | Redline,AWP,Redline,Minimal Wear,0,1,0
Jan 09 2014,2014-01-09,19.462,6.675232341076924,10.498184133704155,6.675232341076924,32.54490900941797,3.6376830524949337,30.899187884759968,86,AWP | Redline,AWP,Redline,Minimal Wear,0,1,0
Jan 10 2014,2014-01-10,19.317,6.654765591890069,10.369434313979166,6.654765591890069,32.54490900941797,3.6376830524949337,30.899187884759968,87,AWP | Redline,AWP,Redline,Minimal Wear,0,1,0
Jan 11 2014,2014-01-11,18.085,6.677112953177652,10.290582788497979,6.677112953177652,32.54490900941797,3.6376830524949337,30.899187884759968,82,AWP | Redline,AWP,Redline,Minimal Wear,0,1,0
Jan 12 2014,2014-01-12,17.868,6.694019256520457,10.195420027589142,6.694019256520457,32.54490900941797,3.6376830524949337,30.899187884759968,99,AWP | Redline,AWP,Redline,Minimal Wear,0,1,0
Jan 13 2014,2014-01-13,17.681,6.705595047077079,10.085158753956929,6.705595047077079,32.54490900941797,3.6376830524949337,30.899187884759968,110,AWP | Redline,AWP,Redline,Minimal Wear,0,1,0
Jan 14 2014,2014-01-14,18.078,6.69134519264845,9.93187897261691,6.69134519264845,32.54490900941797,3.6376830524949337,30.899187884759968,92,AWP | Redline,AWP,Redline,Minimal Wear,0,1,0
Jan 15 2014,2014-01-15,17.528,6.689255656505832,9.791333079826897,6.689255656505832,32.54490900941797,3.6376830524949337,30.899187884759968,99,AWP | Redline,AWP,Redline,Minimal Wear,0,1,0
Jan 16 2014,2014-01-16,16.331,6.723020220424485,9.697606145909033,6.723020220424485,32.54490900941797,3.6376830524949337,30.899187884759968,90,AWP | Redline,AWP,Redline,Minimal Wear,0,1,0
Jan 17 2014,2014-01-17,17.22,6.713690991026363,9.535621088772311,6.713690991026363,32.54490900941797,3.6376830524949337,30.899187884759968,91,AWP | Redline,AWP,Redline,Minimal Wear,0,1,0
Jan 18 2014,2014-01-18,18.446,5.505940908555574,9.311543806642817,6.664411903004139,32.54490900941797,3.6376830524949337,30.899187884759968,120,AWP | Redline,AWP,Redline,Minimal Wear,0,1,0
Jan 19 2014,2014-01-19,16.544,4.699907710637069,9.165609342171738,6.666923407144701,32.54490900941797,3.6376830524949337,30.899187884759968,145,AWP | Redline,AWP,Redline,Minimal Wear,0,1,0
Jan 20 2014,2014-01-20,17.672,4.36933791783491,8.959504221873038,6.6315980258829,32.54490900941797,3.6376830524949337,30.899187884759968,108,AWP | Redline,AWP,Redline,Minimal Wear,0,1,0
Jan 21 2014,2014-01-21,16.763,3.930433454058423,8.786557375964295,6.617720970615172,32.54490900941797,3.6376830524949337,30.899187884759968,105,AWP | Redline,AWP,Redline,Minimal Wear,0,1,0
Jan 22 2014,2014-01-22,16.457,3.872026757887027,8.619266159984958,6.608041459292695,32.54490900941797,3.6376830524949337,30.899187884759968,116,AWP | Redline,AWP,Redline,Minimal Wear,0,1,0
Jan 23 2014,2014-01-23,16.464,3.6831528424597795,8.444275812597908,6.593974284592945,32.54490900941797,3.6376830524949337,30.899187884759968,108,AWP | Redline,AWP,Redline,Minimal Wear,0,1,0
Jan 24 2014,2014-01-24,16.194,3.460579241262578,8.27450947265276,6.583235878398301,32.54490900941797,3.6376830524949337,30.899187884759968,111,AWP | Redline,AWP,Redline,Minimal Wear,0,1,0
Jan 25 2014,2014-01-25,16.787,3.088629323640275,8.077020521495081,6.555078338849165,32.54490900941797,3.6376830524949337,30.899187884759968,111,AWP | Redline,AWP,Redline,Minimal Wear,0,1,0
Jan 26 2014,2014-01-26,16.686,2.584781860335074,7.8819070363376245,6.527377486521825,32.54490900941797,3.6376830524949337,30.899187884759968,131,AWP | Redline,AWP,Redline,Minimal Wear,0,1,0
Jan 27 2014,2014-01-27,16.232,2.1824390839545598,7.701782559408214,6.50781397303982,32.54490900941797,3.6376830524949337,30.899187884759968,122,AWP | Redline,AWP,Redline,Minimal Wear,0,1,0
Jan 28 2014,2014-01-28,15.892,2.0351698892625456,7.531784439560551,6.493532247176568,32.54490900941797,3.6376830524949337,30.899187884759968,125,AWP | Redline,AWP,Redline,Minimal Wear,0,1,0
Jan 29 2014,2014-01-29,15.454,1.9050810007819174,7.375310257356657,6.48653134338818,32.54490900941797,3.6376830524949337,30.899187884759968,105,AWP | Redline,AWP,Redline,Minimal Wear,0,1,0
Jan 30 2014,2014-01-30,15.268,1.8277840112972932,7.221608314292216,6.48072326390009,32.54490900941797,3.6376830524949337,30.899187884759968,103,AWP | Redline,AWP,Redline,Minimal Wear,0,1,0
Jan 31 2014,2014-01-31,14.347,1.8221159485293619,7.102009983564071,6.493396314173159,32.54490900941797,3.6376830524949337,30.899187884759968,141,AWP | Redline,AWP,Redline,Minimal Wear,0,1,0
