date,py_date,median_price,rolling_30day_sd,ewm_30day_sd,expanding_sd,total_sd,pre_sd,post_sd,volume_sold,item,weapon,skin,wear,stattrak,treated_unit,post_treat
Apr 16 2015,2015-04-16,25.436,,,,1.1409184229292675,1.3690852492278562,0.9075835597984729,1056,AWP | Worm God,AWP,Worm God,Factory New,0,1,0
Apr 17 2015,2015-04-17,17.107,5.889492380502755,5.889492380502755,5.889492380502755,1.1409184229292675,1.3690852492278562,0.9075835597984729,1012,AWP | Worm God,AWP,Worm God,Factory New,0,1,0
Apr 18 2015,2015-04-18,12.985,6.342850647251072,7.426389095052925,6.342850647251072,1.1409184229292675,1.3690852492278562,0.9075835597984729,1203,AWP | Worm God,AWP,Worm God,Factory New,0,1,0
Apr 19 2015,2015-04-19,11.466,6.262851240981752,8.18504484363521,6.262851240981752,1.1409184229292675,1.3690852492278562,0.9075835597984729,963,AWP | Worm God,AWP,Worm God,Factory New,0,1,0
Apr 20 2015,2015-04-20,10.682,6.064483795015039,8.60687782775487,6.064483795015039,1.1409184229292675,1.3690852492278562,0.9075835597984729,948,AWP | Worm God,AWP,Worm God,Factory New,0,1,0
Apr 21 2015,2015-04-21,10.271,5.834466947945345,8.83453475109457,5.834466947945345,1.1409184229292675,1.3690852492278562,0.9075835597984729,899,AWP | Worm God,AWP,Worm God,Factory New,0,1,0
Apr 22 2015,2015-04-22,9.526,5.668310909912103,9.019001275874286,5.668310909912103,1.1409184229292675,1.3690852492278562,0.9075835597984729,897,AWP | Worm God,AWP,Worm God,Factory New,0,1,0
Apr 23 2015,2015-04-23,8.903,5.540034863221917,9.16109927216791,5.540034863221917,1.1409184229292675,1.3690852492278562,0.9075835597984729,1009,AWP | Worm God,AWP,Worm God,Factory New,0,1,0
Apr 24 2015,2015-04-24,8.675,5.406398225970575,9.228425962504884,5.406398225970575,1.1409184229292675,1.3690852492278562,0.9075835597984729,1084,AWP | Worm God,AWP,Worm God,Factory New,0,1,0
Apr 25 2015,2015-04-25,8.496,5.27443621105085,9.241668174949764,5.27443621105085,1.1409184229292675,1.3690852492278562,0.9075835597984729,1289,AWP | Worm God,AWP,Worm God,Factory New,0,1,0
Apr 26 2015,2015-04-26,7.566,5.20791751610425,9.291680228324726,5.20791751610425,1.1409184229292675,1.3690852492278562,0.9075835597984729,1280,AWP | Worm God,AWP,Worm God,Factory New,0,1,0
