date,py_date,median_price,rolling_30day_sd,ewm_30day_sd,expanding_sd,total_sd,pre_sd,post_sd,volume_sold,item,equip,skin,wear,stattrak,treated_unit,post_treat
Apr 16 2015,2015-04-16,16.15,,,,0.5907958890211694,0.9055306157407266,0.3779588761317471,1500,AWP | Worm God,AWP,Worm God,Field-Tested,0,1,0
Apr 17 2015,2015-04-17,10.894,3.716553241916492,3.7165532419164933,3.716553241916492,0.5907958890211694,0.9055306157407266,0.3779588761317471,1506,AWP | Worm God,AWP,Worm God,Field-Tested,0,1,0
Apr 18 2015,2015-04-18,8.405,3.9540207805894654,4.638535649591423,3.9540207805894654,0.5907958890211694,0.9055306157407266,0.3779588761317471,1797,AWP | Worm God,AWP,Worm God,Field-Tested,0,1,0
Apr 19 2015,2015-04-19,7.278,3.946133666852487,5.155117539709941,3.946133666852487,0.5907958890211694,0.9055306157407266,0.3779588761317471,1453,AWP | Worm God,AWP,Worm God,Field-Tested,0,1,0
Apr 20 2015,2015-04-20,6.814,3.8302579808676063,5.430599086090272,3.8302579808676063,0.5907958890211694,0.9055306157407266,0.3779588761317471,1507,AWP | Worm God,AWP,Worm God,Field-Tested,0,1,0
Apr 21 2015,2015-04-21,6.745,3.6611937943790944,5.545625128739893,3.6611937943790944,0.5907958890211694,0.9055306157407266,0.3779588761317471,1289,AWP | Worm God,AWP,Worm God,Field-Tested,0,1,0
Apr 22 2015,2015-04-22,6.427,3.5237581263947906,5.62146281478977,3.5237581263947906,0.5907958890211694,0.9055306157407266,0.3779588761317471,1289,AWP | Worm God,AWP,Worm God,Field-Tested,0,1,0
Apr 23 2015,2015-04-23,6.048,3.42085847360404,5.6824950446635585,3.42085847360404,0.5907958890211694,0.9055306157407266,0.3779588761317471,1404,AWP | Worm God,AWP,Worm God,Field-Tested,0,1,0
Apr 24 2015,2015-04-24,5.823,3.3306668418067726,5.715344982084552,3.3306668418067726,0.5907958890211694,0.9055306157407266,0.3779588761317471,1691,AWP | Worm God,AWP,Worm God,Field-Tested,0,1,0
Apr 25 2015,2015-04-25,5.768,3.2396512432324824,5.71137553550057,3.2396512432324824,0.5907958890211694,0.9055306157407266,0.3779588761317471,1902,AWP | Worm God,AWP,Worm God,Field-Tested,0,1,0
Apr 26 2015,2015-04-26,5.189,3.190963408240098,5.733083310481665,3.190963408240098,0.5907958890211694,0.9055306157407266,0.3779588761317471,1841,AWP | Worm God,AWP,Worm God,Field-Tested,0,1,0
