date,py_date,median_price,rolling_30day_sd,ewm_30day_sd,expanding_sd,total_sd,pre_sd,post_sd,volume_sold,item,equip,skin,wear,stattrak,treated_unit,post_treat
Apr 16 2015,2015-04-16,15.668,,,,0.6537764022887266,0.9066619449131809,0.47172919062842905,141,AWP | Worm God,AWP,Worm God,Well-Worn,0,1,0
Apr 17 2015,2015-04-17,11.173,3.178444981433531,3.178444981433531,3.178444981433531,0.6537764022887266,0.9066619449131809,0.47172919062842905,163,AWP | Worm God,AWP,Worm God,Well-Worn,0,1,0
Apr 18 2015,2015-04-18,8.66,3.550405094258025,4.132103812806658,3.550405094258025,0.6537764022887266,0.9066619449131809,0.47172919062842905,213,AWP | Worm God,AWP,Worm God,Well-Worn,0,1,0
Apr 19 2015,2015-04-19,7.72,3.5544546112355038,4.6067862466939085,3.5544546112355038,0.6537764022887266,0.9066619449131809,0.47172919062842905,137,AWP | Worm God,AWP,Worm God,Well-Worn,0,1,0
Apr 20 2015,2015-04-20,6.972,3.5234034398575482,4.933898554975023,3.5234034398575482,0.6537764022887266,0.9066619449131809,0.47172919062842905,163,AWP | Worm God,AWP,Worm God,Well-Worn,0,1,0
Apr 21 2015,2015-04-21,6.935,3.3965992207893283,5.073304616541131,3.3965992207893283,0.6537764022887266,0.9066619449131809,0.47172919062842905,172,AWP | Worm God,AWP,Worm God,Well-Worn,0,1,0
Apr 22 2015,2015-04-22,6.727,3.2755981351284755,5.151271847755623,3.2755981351284755,0.6537764022887266,0.9066619449131809,0.47172919062842905,139,AWP | Worm God,AWP,Worm God,Well-Worn,0,1,0
Apr 23 2015,2015-04-23,6.318,3.1905569123139443,5.221130135913196,3.1905569123139443,0.6537764022887266,0.9066619449131809,0.47172919062842905,134,AWP | Worm God,AWP,Worm God,Well-Worn,0,1,0
Apr 24 2015,2015-04-24,6.122,3.1124353317690714,5.259643752210791,3.1124353317690714,0.6537764022887266,0.9066619449131809,0.47172919062842905,155,AWP | Worm God,AWP,Worm God,Well-Worn,0,1,0
Apr 25 2015,2015-04-25,5.945,3.041727652356653,5.2752432547040975,3.041727652356653,0.6537764022887266,0.9066619449131809,0.47172919062842905,210,AWP | Worm God,AWP,Worm God,Well-Worn,0,1,0
Apr 26 2015,2015-04-26,5.375,3.0107785371893434,5.314154974794129,3.0107785371893434,0.6537764022887266,0.9066619449131809,0.47172919062842905,209,AWP | Worm God,AWP,Worm God,Well-Worn,0,1,0
Apr 27 2015,2015-04-27,5.204,2.979257609122641,5.331138552831415,2.979257609122641,0.6537764022887266,0.9066619449131809,0.47172919062842905,184,AWP | Worm God,AWP,Worm God,Well-Worn,0,1,0
Apr 28 2015,2015-04-28,5.252,2.934370871286793,5.312937662805089,2.934370871286793,0.6537764022887266,0.9066619449131809,0.47172919062842905,151,AWP | Worm God,AWP,Worm God,Well-Worn,0,1,0
Apr 29 2015,2015-04-29,5.151,2.890880408882654,5.280747947449627,2.890880408882654,0.6537764022887266,0.9066619449131809,0.47172919062842905,175,AWP | Worm God,AWP,Worm God,Well-Worn,0,1,0
Apr 30 2015,2015-04-30,5.193,2.8420193692580806,5.227357110673611,2.8420193692580806,0.6537764022887266,0.9066619449131809,0.47172919062842905,205,AWP | Worm God,AWP,Worm God,Well-Worn,0,1,0
May 01 2015,2015-05-01,4.825,2.810587649110651,5.186183823878677,2.810587649110651,0.6537764022887266,0.9066619449131809,0.47172919062842905,218,AWP | Worm God,AWP,Worm God,Well-Worn,0,1,0
May 02 2015,2015-05-02,4.846,2.774636452073762,5.128339738512885,2.774636452073762,0.6537764022887266,0.9066619449131809,0.47172919062842905,186,AWP | Worm God,AWP,Worm God,Well-Worn,0,1,0
May 03 2015,2015-05-03,4.404,2.757680461803319,5.087382071413937,2.757680461803319,0.6537764022887266,0.9066619449131809,0.47172919062842905,222,AWP | Worm God,AWP,Worm God,Well-Worn,0,1,0
May 04 2015,2015-05-04,4.25,2.743336074693265,5.0417226186890645,2.743336074693265,0.6537764022887266,0.9066619449131809,0.47172919062842905,207,AWP | Worm God,AWP,Worm God,Well-Worn,0,1,0
May 05 2015,2015-05-05,4.29,2.722707930293702,4.980348907552642,2.722707930293702,0.6537764022887266,0.9066619449131809,0.47172919062842905,181,AWP | Worm God,AWP,Worm God,Well-Worn,0,1,0
May 06 2015,2015-05-06,4.252,2.7007918838740617,4.911027663756851,2.7007918838740617,0.6537764022887266,0.9066619449131809,0.47172919062842905,192,AWP | Worm God,AWP,Worm God,Well-Worn,0,1,0
May 07 2015,2015-05-07,4.268,2.6761466725474925,4.832475202559288,2.6761466725474925,0.6537764022887266,0.9066619449131809,0.47172919062842905,159,AWP | Worm God,AWP,Worm God,Well-Worn,0,1,0
May 08 2015,2015-05-08,4.03,2.6587347253761426,4.75981533550498,2.6587347253761426,0.6537764022887266,0.9066619449131809,0.47172919062842905,209,AWP | Worm God,AWP,Worm God,Well-Worn,0,1,0
May 09 2015,2015-05-09,4.008,2.639998040183727,4.681109374234071,2.639998040183727,0.6537764022887266,0.9066619449131809,0.47172919062842905,266,AWP | Worm God,AWP,Worm God,Well-Worn,0,1,0
May 10 2015,2015-05-10,3.836,2.6255059271183026,4.605044692972693,2.6255059271183026,0.6537764022887266,0.9066619449131809,0.47172919062842905,221,AWP | Worm God,AWP,Worm God,Well-Worn,0,1,0
May 11 2015,2015-05-11,3.731,2.6125907639735706,4.528103704815118,2.6125907639735706,0.6537764022887266,0.9066619449131809,0.47172919062842905,227,AWP | Worm God,AWP,Worm God,Well-Worn,0,1,0
May 12 2015,2015-05-12,3.696,2.598885665762099,4.447272148484972,2.598885665762099,0.6537764022887266,0.9066619449131809,0.47172919062842905,199,AWP | Worm God,AWP,Worm God,Well-Worn,0,1,0
May 13 2015,2015-05-13,3.686,2.5838914571183746,4.362281615070303,2.5838914571183746,0.6537764022887266,0.9066619449131809,0.47172919062842905,188,AWP | Worm God,AWP,Worm God,Well-Worn,0,1,0
May 14 2015,2015-05-14,3.617,2.569652402649696,4.2766398301759025,2.569652402649696,0.6537764022887266,0.9066619449131809,0.47172919062842905,222,AWP | Worm God,AWP,Worm God,Well-Worn,0,1,0
May 15 2015,2015-05-15,3.52,2.5569790688663634,4.191891291888643,2.5569790688663634,0.6537764022887266,0.9066619449131809,0.47172919062842905,256,AWP | Worm God,AWP,Worm God,Well-Worn,0,1,0
May 16 2015,2015-05-16,3.576,1.7500113681075773,4.101806698824609,2.541601531758384,0.6537764022887266,0.9066619449131809,0.47172919062842905,270,AWP | Worm God,AWP,Worm God,Well-Worn,0,1,0
