date,py_date,median_price,volume_sold,item,weapon,skin,wear,stattrak,treated_unit,post_treat
Nov 12 2014,2014-11-12,2.537,542,M4A1-S | Basilisk,M4A1-S,Basilisk,Battle-Scarred,0,1,0
Nov 13 2014,2014-11-13,2.366,391,M4A1-S | Basilisk,M4A1-S,Basilisk,Battle-Scarred,0,1,0
Nov 14 2014,2014-11-14,2.252,289,M4A1-S | Basilisk,M4A1-S,Basilisk,Battle-Scarred,0,1,0
Nov 15 2014,2014-11-15,2.116,345,M4A1-S | Basilisk,M4A1-S,Basilisk,Battle-Scarred,0,1,0
Nov 16 2014,2014-11-16,1.977,258,M4A1-S | Basilisk,M4A1-S,Basilisk,Battle-Scarred,0,1,0
Nov 17 2014,2014-11-17,1.873,234,M4A1-S | Basilisk,M4A1-S,Basilisk,Battle-Scarred,0,1,0
Nov 18 2014,2014-11-18,1.834,181,M4A1-S | Basilisk,M4A1-S,Basilisk,Battle-Scarred,0,1,0
Nov 19 2014,2014-11-19,1.649,219,M4A1-S | Basilisk,M4A1-S,Basilisk,Battle-Scarred,0,1,0
Nov 20 2014,2014-11-20,1.436,193,M4A1-S | Basilisk,M4A1-S,Basilisk,Battle-Scarred,0,1,0
Nov 21 2014,2014-11-21,1.229,252,M4A1-S | Basilisk,M4A1-S,Basilisk,Battle-Scarred,0,1,0
Nov 22 2014,2014-11-22,1.27,276,M4A1-S | Basilisk,M4A1-S,Basilisk,Battle-Scarred,0,1,0
Nov 23 2014,2014-11-23,1.258,220,M4A1-S | Basilisk,M4A1-S,Basilisk,Battle-Scarred,0,1,0
Nov 24 2014,2014-11-24,1.241,192,M4A1-S | Basilisk,M4A1-S,Basilisk,Battle-Scarred,0,1,0
Nov 25 2014,2014-11-25,1.27,195,M4A1-S | Basilisk,M4A1-S,Basilisk,Battle-Scarred,0,1,0
Nov 26 2014,2014-11-26,1.249,189,M4A1-S | Basilisk,M4A1-S,Basilisk,Battle-Scarred,0,1,0
Nov 27 2014,2014-11-27,1.128,282,M4A1-S | Basilisk,M4A1-S,Basilisk,Battle-Scarred,0,1,0
Nov 28 2014,2014-11-28,1.314,261,M4A1-S | Basilisk,M4A1-S,Basilisk,Battle-Scarred,0,1,0
Nov 29 2014,2014-11-29,2.523,47,M4A1-S | Basilisk,M4A1-S,Basilisk,Battle-Scarred,0,1,0
Nov 30 2014,2014-11-30,1.139,354,M4A1-S | Basilisk,M4A1-S,Basilisk,Battle-Scarred,0,1,0
Dec 01 2014,2014-12-01,1.195,219,M4A1-S | Basilisk,M4A1-S,Basilisk,Battle-Scarred,0,1,0
Dec 02 2014,2014-12-02,1.234,217,M4A1-S | Basilisk,M4A1-S,Basilisk,Battle-Scarred,0,1,0
Dec 03 2014,2014-12-03,1.347,204,M4A1-S | Basilisk,M4A1-S,Basilisk,Battle-Scarred,0,1,0
Dec 04 2014,2014-12-04,1.32,218,M4A1-S | Basilisk,M4A1-S,Basilisk,Battle-Scarred,0,1,0
Dec 05 2014,2014-12-05,1.43,288,M4A1-S | Basilisk,M4A1-S,Basilisk,Battle-Scarred,0,1,0
Dec 06 2014,2014-12-06,1.519,318,M4A1-S | Basilisk,M4A1-S,Basilisk,Battle-Scarred,0,1,0
Dec 07 2014,2014-12-07,1.471,312,M4A1-S | Basilisk,M4A1-S,Basilisk,Battle-Scarred,0,1,0
Dec 08 2014,2014-12-08,1.386,219,M4A1-S | Basilisk,M4A1-S,Basilisk,Battle-Scarred,0,1,0
Dec 09 2014,2014-12-09,1.352,240,M4A1-S | Basilisk,M4A1-S,Basilisk,Battle-Scarred,0,1,0
Dec 10 2014,2014-12-10,1.159,399,M4A1-S | Basilisk,M4A1-S,Basilisk,Battle-Scarred,0,1,0
Dec 11 2014,2014-12-11,1.146,342,M4A1-S | Basilisk,M4A1-S,Basilisk,Battle-Scarred,0,1,0
Dec 12 2014,2014-12-12,1.077,298,M4A1-S | Basilisk,M4A1-S,Basilisk,Battle-Scarred,0,1,0
Dec 13 2014,2014-12-13,1.083,345,M4A1-S | Basilisk,M4A1-S,Basilisk,Battle-Scarred,0,1,0
Dec 14 2014,2014-12-14,1.043,354,M4A1-S | Basilisk,M4A1-S,Basilisk,Battle-Scarred,0,1,0
