date,py_date,median_price,volume_sold,item,weapon,skin,wear,stattrak,treated_unit,post_treat
Nov 12 2014,2014-11-12,8.255,1001,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,0,1,0
Nov 13 2014,2014-11-13,7.279,687,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,0,1,0
Nov 14 2014,2014-11-14,6.31,579,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,0,1,0
Nov 15 2014,2014-11-15,6.13,562,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,0,1,0
Nov 16 2014,2014-11-16,5.405,602,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,0,1,0
Nov 17 2014,2014-11-17,5.294,407,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,0,1,0
Nov 18 2014,2014-11-18,5.473,356,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,0,1,0
Nov 19 2014,2014-11-19,5.192,326,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,0,1,0
Nov 20 2014,2014-11-20,4.647,346,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,0,1,0
Nov 21 2014,2014-11-21,4.207,432,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,0,1,0
Nov 22 2014,2014-11-22,4.127,460,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,0,1,0
Nov 23 2014,2014-11-23,3.926,425,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,0,1,0
Nov 24 2014,2014-11-24,4.065,336,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,0,1,0
Nov 25 2014,2014-11-25,4.047,334,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,0,1,0
Nov 26 2014,2014-11-26,3.878,400,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,0,1,0
Nov 27 2014,2014-11-27,3.813,522,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,0,1,0
Nov 28 2014,2014-11-28,4.268,485,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,0,1,0
Nov 29 2014,2014-11-29,8.267,38,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,0,1,0
Nov 30 2014,2014-11-30,3.826,699,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,0,1,0
Dec 01 2014,2014-12-01,3.733,451,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,0,1,0
Dec 02 2014,2014-12-02,3.718,423,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,0,1,0
Dec 03 2014,2014-12-03,4.052,360,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,0,1,0
Dec 04 2014,2014-12-04,4.03,370,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,0,1,0
Dec 05 2014,2014-12-05,4.165,441,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,0,1,0
Dec 06 2014,2014-12-06,4.187,558,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,0,1,0
