date,py_date,median_price,rolling_30day_sd,ewm_30day_sd,expanding_sd,total_sd,pre_sd,post_sd,volume_sold,item,weapon,skin,wear,stattrak,treated_unit,post_treat
Nov 12 2014,2014-11-12,2.926,,,,2.98820047997461,0.273909771490582,3.0577473446095995,2645,M4A1-S | Basilisk,M4A1-S,Basilisk,Field-Tested,0,1,0
Nov 13 2014,2014-11-13,2.663,0.18596908345206192,0.18596908345206195,0.18596908345206192,2.98820047997461,0.273909771490582,3.0577473446095995,1969,M4A1-S | Basilisk,M4A1-S,Basilisk,Field-Tested,0,1,0
Nov 14 2014,2014-11-14,2.371,0.27762624755835563,0.3073155276231792,0.27762624755835563,2.98820047997461,0.273909771490582,3.0577473446095995,1567,M4A1-S | Basilisk,M4A1-S,Basilisk,Field-Tested,0,1,0
Nov 15 2014,2014-11-15,2.336,0.2766935729888451,0.34291872634656145,0.2766935729888451,2.98820047997461,0.273909771490582,3.0577473446095995,1562,M4A1-S | Basilisk,M4A1-S,Basilisk,Field-Tested,0,1,0
Nov 16 2014,2014-11-16,2.089,0.32320968426085256,0.41570757457011476,0.32320968426085256,2.98820047997461,0.273909771490582,3.0577473446095995,1498,M4A1-S | Basilisk,M4A1-S,Basilisk,Field-Tested,0,1,0
Nov 17 2014,2014-11-17,2.041,0.33949118790723665,0.45773959071665515,0.33949118790723665,2.98820047997461,0.273909771490582,3.0577473446095995,1135,M4A1-S | Basilisk,M4A1-S,Basilisk,Field-Tested,0,1,0
Nov 18 2014,2014-11-18,1.941,0.3559683640303955,0.49605002627810557,0.3559683640303955,2.98820047997461,0.273909771490582,3.0577473446095995,1063,M4A1-S | Basilisk,M4A1-S,Basilisk,Field-Tested,0,1,0
Nov 19 2014,2014-11-19,1.796,0.3812498009367161,0.5397492292962536,0.3812498009367161,2.98820047997461,0.273909771490582,3.0577473446095995,1000,M4A1-S | Basilisk,M4A1-S,Basilisk,Field-Tested,0,1,0
Nov 20 2014,2014-11-20,1.546,0.43067924388239454,0.6038713038224011,0.43067924388239454,2.98820047997461,0.273909771490582,3.0577473446095995,1131,M4A1-S | Basilisk,M4A1-S,Basilisk,Field-Tested,0,1,0
Nov 21 2014,2014-11-21,1.361,0.48330206795428565,0.6702693311854503,0.48330206795428565,2.98820047997461,0.273909771490582,3.0577473446095995,1298,M4A1-S | Basilisk,M4A1-S,Basilisk,Field-Tested,0,1,0
Nov 22 2014,2014-11-22,1.397,0.5060139056659142,0.7065963102994808,0.5060139056659142,2.98820047997461,0.273909771490582,3.0577473446095995,1418,M4A1-S | Basilisk,M4A1-S,Basilisk,Field-Tested,0,1,0
