date,py_date,median_price,rolling_30day_sd,ewm_30day_sd,expanding_sd,total_sd,pre_sd,post_sd,volume_sold,item,equip,skin,wear,stattrak,treated_unit,post_treat
Jul 18 2014,2014-07-18,23.0,,,,15.145323660447753,4.822810756062845,18.616630075293806,1,M4A4 | Bullet Rain,M4A4,Bullet Rain,Battle-Scarred,0,1,0
Jul 19 2014,2014-07-19,22.861,0.09828784258493091,0.09828784258492966,0.09828784258493091,15.145323660447753,4.822810756062845,18.616630075293806,2,M4A4 | Bullet Rain,M4A4,Bullet Rain,Battle-Scarred,0,1,0
Jul 20 2014,2014-07-20,17.914,2.8971113774470836,2.6225962580824125,2.8971113774470836,15.145323660447753,4.822810756062845,18.616630075293806,2,M4A4 | Bullet Rain,M4A4,Bullet Rain,Battle-Scarred,0,1,0
Jul 21 2014,2014-07-21,17.928,2.8927984576645973,2.96882939091768,2.8927984576645973,15.145323660447753,4.822810756062845,18.616630075293806,1,M4A4 | Bullet Rain,M4A4,Bullet Rain,Battle-Scarred,0,1,0
Jul 22 2014,2014-07-22,21.71,2.5702279665430465,2.576775852562179,2.5702279665430465,15.145323660447753,4.822810756062845,18.616630075293806,2,M4A4 | Bullet Rain,M4A4,Bullet Rain,Battle-Scarred,0,1,0
Jul 23 2014,2014-07-23,24.15,2.699753303544604,2.3891651510118894,2.699753303544604,15.145323660447753,4.822810756062845,18.616630075293806,1,M4A4 | Bullet Rain,M4A4,Bullet Rain,Battle-Scarred,0,1,0
Jul 25 2014,2014-07-25,16.481,3.055693740886877,2.9556923871190555,3.055693740886877,15.145323660447753,4.822810756062845,18.616630075293806,1,M4A4 | Bullet Rain,M4A4,Bullet Rain,Battle-Scarred,0,1,0
Jul 26 2014,2014-07-26,16.106,3.2408174784414236,3.324509166031042,3.2408174784414236,15.145323660447753,4.822810756062845,18.616630075293806,1,M4A4 | Bullet Rain,M4A4,Bullet Rain,Battle-Scarred,0,1,0
Jul 27 2014,2014-07-27,18.135,3.095854490730754,3.279158042056759,3.095854490730754,15.145323660447753,4.822810756062845,18.616630075293806,2,M4A4 | Bullet Rain,M4A4,Bullet Rain,Battle-Scarred,0,1,0
Jul 28 2014,2014-07-28,20.575,2.928822061284479,3.0834369915992554,2.928822061284479,15.145323660447753,4.822810756062845,18.616630075293806,2,M4A4 | Bullet Rain,M4A4,Bullet Rain,Battle-Scarred,0,1,0
Jul 29 2014,2014-07-29,18.21,2.8241034426071314,3.048575303945112,2.8241034426071314,15.145323660447753,4.822810756062845,18.616630075293806,1,M4A4 | Bullet Rain,M4A4,Bullet Rain,Battle-Scarred,0,1,0
Aug 01 2014,2014-08-01,16.99,2.806742660743297,3.121866340359059,2.806742660743297,15.145323660447753,4.822810756062845,18.616630075293806,1,M4A4 | Bullet Rain,M4A4,Bullet Rain,Battle-Scarred,0,1,0
Aug 02 2014,2014-08-02,18.161,2.7129816788440695,3.0624803017007434,2.7129816788440695,15.145323660447753,4.822810756062845,18.616630075293806,2,M4A4 | Bullet Rain,M4A4,Bullet Rain,Battle-Scarred,0,1,0
Aug 03 2014,2014-08-03,21.555,2.6693283717152436,2.9251854790972938,2.6693283717152436,15.145323660447753,4.822810756062845,18.616630075293806,2,M4A4 | Bullet Rain,M4A4,Bullet Rain,Battle-Scarred,0,1,0
Aug 04 2014,2014-08-04,16.105,2.7221425595081734,3.068026030548852,2.7221425595081734,15.145323660447753,4.822810756062845,18.616630075293806,1,M4A4 | Bullet Rain,M4A4,Bullet Rain,Battle-Scarred,0,1,0
