date,py_date,median_price,rolling_30day_sd,ewm_30day_sd,expanding_sd,total_sd,pre_sd,post_sd,volume_sold,item,equip,skin,wear,stattrak,treated_unit,post_treat
May 27 2015,2015-05-27,3.252,,,,0.9690906994115946,0.6151860608456209,0.8364904614435444,197,M4A4 | Evil Daimyo,M4A4,Evil Daimyo,Well-Worn,0,1,0
May 28 2015,2015-05-28,2.408,0.5967981233214462,0.5967981233214461,0.5967981233214462,0.9690906994115946,0.6151860608456209,0.8364904614435444,191,M4A4 | Evil Daimyo,M4A4,Evil Daimyo,Well-Worn,0,1,0
May 29 2015,2015-05-29,2.557,0.45047419459942434,0.5358125016304124,0.45047419459942434,0.9690906994115946,0.6151860608456209,0.8364904614435444,162,M4A4 | Evil Daimyo,M4A4,Evil Daimyo,Well-Worn,0,1,0
May 30 2015,2015-05-30,2.719,0.3679465540899476,0.4763210367394165,0.3679465540899476,0.9690906994115946,0.6151860608456209,0.8364904614435444,141,M4A4 | Evil Daimyo,M4A4,Evil Daimyo,Well-Worn,0,1,0
May 31 2015,2015-05-31,2.616,0.3229911763500669,0.4570235601759547,0.3229911763500669,0.9690906994115946,0.6151860608456209,0.8364904614435444,100,M4A4 | Evil Daimyo,M4A4,Evil Daimyo,Well-Worn,0,1,0
Jun 01 2015,2015-06-01,2.636,0.29048442299028704,0.43933577917592886,0.29048442299028704,0.9690906994115946,0.6151860608456209,0.8364904614435444,120,M4A4 | Evil Daimyo,M4A4,Evil Daimyo,Well-Worn,0,1,0
Jun 02 2015,2015-06-02,3.111,0.30770873674087756,0.3997349012662722,0.30770873674087756,0.9690906994115946,0.6151860608456209,0.8364904614435444,67,M4A4 | Evil Daimyo,M4A4,Evil Daimyo,Well-Worn,0,1,0
Jun 03 2015,2015-06-03,2.293,0.3287404534192373,0.44441391867591545,0.3287404534192373,0.9690906994115946,0.6151860608456209,0.8364904614435444,94,M4A4 | Evil Daimyo,M4A4,Evil Daimyo,Well-Worn,0,1,0
Jun 04 2015,2015-06-04,1.669,0.46091135566156083,0.586699222760016,0.46091135566156083,0.9690906994115946,0.6151860608456209,0.8364904614435444,165,M4A4 | Evil Daimyo,M4A4,Evil Daimyo,Well-Worn,0,1,0
Jun 05 2015,2015-06-05,1.491,0.5553569022609596,0.6982196412836394,0.5553569022609596,0.9690906994115946,0.6151860608456209,0.8364904614435444,155,M4A4 | Evil Daimyo,M4A4,Evil Daimyo,Well-Worn,0,1,0
Jun 06 2015,2015-06-06,1.615,0.5872365792421315,0.7480900974403374,0.5872365792421315,0.9690906994115946,0.6151860608456209,0.8364904614435444,156,M4A4 | Evil Daimyo,M4A4,Evil Daimyo,Well-Worn,0,1,0
Jun 07 2015,2015-06-07,1.674,0.5975431707492699,0.7724916519064031,0.5975431707492699,0.9690906994115946,0.6151860608456209,0.8364904614435444,151,M4A4 | Evil Daimyo,M4A4,Evil Daimyo,Well-Worn,0,1,0
Jun 08 2015,2015-06-08,1.738,0.5957181079189756,0.7803230626397634,0.5957181079189756,0.9690906994115946,0.6151860608456209,0.8364904614435444,99,M4A4 | Evil Daimyo,M4A4,Evil Daimyo,Well-Worn,0,1,0
Jun 09 2015,2015-06-09,1.86,0.5838075900481274,0.7726010125075274,0.5838075900481274,0.9690906994115946,0.6151860608456209,0.8364904614435444,120,M4A4 | Evil Daimyo,M4A4,Evil Daimyo,Well-Worn,0,1,0
Jun 10 2015,2015-06-10,1.612,0.5869187661808389,0.7828237010254273,0.5869187661808389,0.9690906994115946,0.6151860608456209,0.8364904614435444,137,M4A4 | Evil Daimyo,M4A4,Evil Daimyo,Well-Worn,0,1,0
