date,py_date,median_price,rolling_30day_sd,ewm_30day_sd,expanding_sd,total_sd,pre_sd,post_sd,volume_sold,item,equip,skin,wear,stattrak,treated_unit,post_treat
Nov 12 2014,2014-11-12,7.216,,,,1.4817791662072608,0.8800812620360657,1.3064485582196734,2394,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,0,1,0
Nov 13 2014,2014-11-13,5.909,0.9241885630108179,0.924188563010818,0.9241885630108179,1.4817791662072608,0.8800812620360657,1.3064485582196734,1602,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,0,1,0
Nov 14 2014,2014-11-14,4.776,1.2210335785718591,1.3805080905079212,1.2210335785718591,1.4817791662072608,0.8800812620360657,1.3064485582196734,1322,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,0,1,0
Nov 15 2014,2014-11-15,4.192,1.334767738846975,1.654426112365135,1.334767738846975,1.4817791662072608,0.8800812620360657,1.3064485582196734,1341,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,0,1,0
Nov 16 2014,2014-11-16,3.562,1.4510354923295294,1.9040263431329283,1.4510354923295294,1.4817791662072608,0.8800812620360657,1.3064485582196734,1270,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,0,1,0
Nov 17 2014,2014-11-17,3.411,1.4756252460115566,2.0440795619824272,1.4756252460115566,1.4817791662072608,0.8800812620360657,1.3064485582196734,945,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,0,1,0
Nov 18 2014,2014-11-18,3.047,1.5086566714733183,2.171971632578228,1.5086566714733183,1.4817791662072608,0.8800812620360657,1.3064485582196734,905,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,0,1,0
Nov 19 2014,2014-11-19,2.883,1.5212137071618645,2.2620807824728595,1.5212137071618645,1.4817791662072608,0.8800812620360657,1.3064485582196734,822,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,0,1,0
Nov 20 2014,2014-11-20,2.558,1.546434609028135,2.3514098852503484,1.546434609028135,1.4817791662072608,0.8800812620360657,1.3064485582196734,896,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,0,1,0
Nov 21 2014,2014-11-21,2.262,1.5782290497051858,2.436061931647237,1.5782290497051858,1.4817791662072608,0.8800812620360657,1.3064485582196734,1053,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,0,1,0
Nov 22 2014,2014-11-22,2.264,1.584273231714553,2.482716639181582,1.584273231714553,1.4817791662072608,0.8800812620360657,1.3064485582196734,1187,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,0,1,0
Nov 23 2014,2014-11-23,2.117,1.5890191061459804,2.518789902261197,1.5890191061459804,1.4817791662072608,0.8800812620360657,1.3064485582196734,1079,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,0,1,0
Nov 24 2014,2014-11-24,2.094,1.5839228646072514,2.5352186062115627,1.5839228646072514,1.4817791662072608,0.8800812620360657,1.3064485582196734,797,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,0,1,0
Nov 25 2014,2014-11-25,2.131,1.569031226270207,2.5322514781752052,1.569031226270207,1.4817791662072608,0.8800812620360657,1.3064485582196734,819,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,0,1,0
Nov 26 2014,2014-11-26,2.063,1.554310075089205,2.523089919240224,1.554310075089205,1.4817791662072608,0.8800812620360657,1.3064485582196734,916,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,0,1,0
Nov 27 2014,2014-11-27,1.798,1.551908447417781,2.524080559524056,1.551908447417781,1.4817791662072608,0.8800812620360657,1.3064485582196734,1154,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,0,1,0
Nov 28 2014,2014-11-28,1.924,1.5375627605555031,2.504356026546659,1.5375627605555031,1.4817791662072608,0.8800812620360657,1.3064485582196734,1205,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,0,1,0
Nov 29 2014,2014-11-29,4.545,1.5255293391822666,2.4037202177161143,1.5255293391822666,1.4817791662072608,0.8800812620360657,1.3064485582196734,152,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,0,1,0
Nov 30 2014,2014-11-30,2.54,1.491823339807024,2.350859696072401,1.491823339807024,1.4817791662072608,0.8800812620360657,1.3064485582196734,1828,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,0,1,0
Dec 01 2014,2014-12-01,1.658,1.4937597037782147,2.349635312706078,1.4937597037782147,1.4817791662072608,0.8800812620360657,1.3064485582196734,1150,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,0,1,0
Dec 02 2014,2014-12-02,1.754,1.4873536326548,2.3322133385385766,1.4873536326548,1.4817791662072608,0.8800812620360657,1.3064485582196734,1045,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,0,1,0
Dec 03 2014,2014-12-03,1.865,1.4744844553575023,2.301593323115215,1.4744844553575023,1.4817791662072608,0.8800812620360657,1.3064485582196734,980,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,0,1,0
Dec 04 2014,2014-12-04,1.855,1.4611251728551489,2.2672720497626035,1.4611251728551489,1.4817791662072608,0.8800812620360657,1.3064485582196734,940,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,0,1,0
