date,py_date,median_price,volume_sold,item,weapon,skin,wear,stattrak,treated_unit,post_treat
Jan 09 2015,2015-01-09,83.547,183,M4A4 | 龍王Minimal Wear,M4A4,龍王Minimal Wear,Dragon King,0,1,0
Jan 10 2015,2015-01-10,59.373,252,M4A4 | 龍王Minimal Wear,M4A4,龍王Minimal Wear,Dragon King,0,1,0
Jan 11 2015,2015-01-11,47.368,274,M4A4 | 龍王Minimal Wear,M4A4,龍王Minimal Wear,Dragon King,0,1,0
Jan 12 2015,2015-01-12,44.559,227,M4A4 | 龍王Minimal Wear,M4A4,龍王Minimal Wear,Dragon King,0,1,0
Jan 13 2015,2015-01-13,42.556,201,M4A4 | 龍王Minimal Wear,M4A4,龍王Minimal Wear,Dragon King,0,1,0
Jan 14 2015,2015-01-14,40.316,237,M4A4 | 龍王Minimal Wear,M4A4,龍王Minimal Wear,Dragon King,0,1,0
Jan 15 2015,2015-01-15,39.398,224,M4A4 | 龍王Minimal Wear,M4A4,龍王Minimal Wear,Dragon King,0,1,0
Jan 16 2015,2015-01-16,37.962,271,M4A4 | 龍王Minimal Wear,M4A4,龍王Minimal Wear,Dragon King,0,1,0
Jan 17 2015,2015-01-17,34.296,291,M4A4 | 龍王Minimal Wear,M4A4,龍王Minimal Wear,Dragon King,0,1,0
Jan 18 2015,2015-01-18,29.511,363,M4A4 | 龍王Minimal Wear,M4A4,龍王Minimal Wear,Dragon King,0,1,0
Jan 19 2015,2015-01-19,29.263,305,M4A4 | 龍王Minimal Wear,M4A4,龍王Minimal Wear,Dragon King,0,1,0
Jan 20 2015,2015-01-20,29.624,254,M4A4 | 龍王Minimal Wear,M4A4,龍王Minimal Wear,Dragon King,0,1,0
Jan 21 2015,2015-01-21,28.489,287,M4A4 | 龍王Minimal Wear,M4A4,龍王Minimal Wear,Dragon King,0,1,0
Jan 22 2015,2015-01-22,27.684,301,M4A4 | 龍王Minimal Wear,M4A4,龍王Minimal Wear,Dragon King,0,1,0
Jan 23 2015,2015-01-23,26.621,357,M4A4 | 龍王Minimal Wear,M4A4,龍王Minimal Wear,Dragon King,0,1,0
Jan 24 2015,2015-01-24,28.183,332,M4A4 | 龍王Minimal Wear,M4A4,龍王Minimal Wear,Dragon King,0,1,0
Jan 25 2015,2015-01-25,25.282,385,M4A4 | 龍王Minimal Wear,M4A4,龍王Minimal Wear,Dragon King,0,1,0
Jan 26 2015,2015-01-26,23.949,353,M4A4 | 龍王Minimal Wear,M4A4,龍王Minimal Wear,Dragon King,0,1,0
Jan 27 2015,2015-01-27,23.754,332,M4A4 | 龍王Minimal Wear,M4A4,龍王Minimal Wear,Dragon King,0,1,0
Jan 28 2015,2015-01-28,22.458,356,M4A4 | 龍王Minimal Wear,M4A4,龍王Minimal Wear,Dragon King,0,1,0
Jan 29 2015,2015-01-29,21.546,353,M4A4 | 龍王Minimal Wear,M4A4,龍王Minimal Wear,Dragon King,0,1,0
Jan 30 2015,2015-01-30,21.088,505,M4A4 | 龍王Minimal Wear,M4A4,龍王Minimal Wear,Dragon King,0,1,0
Jan 31 2015,2015-01-31,21.566,502,M4A4 | 龍王Minimal Wear,M4A4,龍王Minimal Wear,Dragon King,0,1,0
Feb 01 2015,2015-02-01,20.263,527,M4A4 | 龍王Minimal Wear,M4A4,龍王Minimal Wear,Dragon King,0,1,0
