date,py_date,median_price,volume_sold,item,weapon,skin,wear,stattrak,treated_unit,post_treat
May 27 2015,2015-05-27,102.879,2,AK-47 | Aquamarine Revenge,AK-47,Aquamarine Revenge,Battle-Scarred,1,1,0
May 28 2015,2015-05-28,77.859,11,AK-47 | Aquamarine Revenge,AK-47,Aquamarine Revenge,Battle-Scarred,1,1,0
May 29 2015,2015-05-29,80.221,12,AK-47 | Aquamarine Revenge,AK-47,Aquamarine Revenge,Battle-Scarred,1,1,0
May 30 2015,2015-05-30,75.778,6,AK-47 | Aquamarine Revenge,AK-47,Aquamarine Revenge,Battle-Scarred,1,1,0
May 31 2015,2015-05-31,74.187,9,AK-47 | Aquamarine Revenge,AK-47,Aquamarine Revenge,Battle-Scarred,1,1,0
Jun 01 2015,2015-06-01,93.045,4,AK-47 | Aquamarine Revenge,AK-47,Aquamarine Revenge,Battle-Scarred,1,1,0
Jun 02 2015,2015-06-02,101.082,1,AK-47 | Aquamarine Revenge,AK-47,Aquamarine Revenge,Battle-Scarred,1,1,0
Jun 03 2015,2015-06-03,80.001,4,AK-47 | Aquamarine Revenge,AK-47,Aquamarine Revenge,Battle-Scarred,1,1,0
Jun 04 2015,2015-06-04,74.474,6,AK-47 | Aquamarine Revenge,AK-47,Aquamarine Revenge,Battle-Scarred,1,1,0
Jun 05 2015,2015-06-05,71.559,8,AK-47 | Aquamarine Revenge,AK-47,Aquamarine Revenge,Battle-Scarred,1,1,0
Jun 06 2015,2015-06-06,70.82,12,AK-47 | Aquamarine Revenge,AK-47,Aquamarine Revenge,Battle-Scarred,1,1,0
Jun 07 2015,2015-06-07,78.369,7,AK-47 | Aquamarine Revenge,AK-47,Aquamarine Revenge,Battle-Scarred,1,1,0
Jun 08 2015,2015-06-08,83.285,5,AK-47 | Aquamarine Revenge,AK-47,Aquamarine Revenge,Battle-Scarred,1,1,0
Jun 09 2015,2015-06-09,84.793,5,AK-47 | Aquamarine Revenge,AK-47,Aquamarine Revenge,Battle-Scarred,1,1,0
Jun 10 2015,2015-06-10,84.651,2,AK-47 | Aquamarine Revenge,AK-47,Aquamarine Revenge,Battle-Scarred,1,1,0
Jun 11 2015,2015-06-11,76.292,5,AK-47 | Aquamarine Revenge,AK-47,Aquamarine Revenge,Battle-Scarred,1,1,0
Jun 12 2015,2015-06-12,75.047,11,AK-47 | Aquamarine Revenge,AK-47,Aquamarine Revenge,Battle-Scarred,1,1,0
Jun 13 2015,2015-06-13,80.814,2,AK-47 | Aquamarine Revenge,AK-47,Aquamarine Revenge,Battle-Scarred,1,1,0
Jun 14 2015,2015-06-14,69.677,8,AK-47 | Aquamarine Revenge,AK-47,Aquamarine Revenge,Battle-Scarred,1,1,0
Jun 15 2015,2015-06-15,63.983,10,AK-47 | Aquamarine Revenge,AK-47,Aquamarine Revenge,Battle-Scarred,1,1,0
Jun 16 2015,2015-06-16,71.602,7,AK-47 | Aquamarine Revenge,AK-47,Aquamarine Revenge,Battle-Scarred,1,1,0
