date,py_date,median_price,rolling_30day_sd,ewm_30day_sd,expanding_sd,total_sd,pre_sd,post_sd,volume_sold,item,equip,skin,wear,stattrak,treated_unit,post_treat
May 27 2015,2015-05-27,130.253,,,,15.697827819701937,18.87160503847246,14.147723841859824,13,AK-47 | Aquamarine Revenge,AK-47,Aquamarine Revenge,Well-Worn,1,1,0
May 28 2015,2015-05-28,106.184,17.019353116379005,17.019353116379005,17.019353116379005,15.697827819701937,18.87160503847246,14.147723841859824,10,AK-47 | Aquamarine Revenge,AK-47,Aquamarine Revenge,Well-Worn,1,1,0
May 29 2015,2015-05-29,105.471,14.106574436528986,16.982032835373328,14.106574436528986,15.697827819701937,18.87160503847246,14.147723841859824,18,AK-47 | Aquamarine Revenge,AK-47,Aquamarine Revenge,Well-Worn,1,1,0
May 30 2015,2015-05-30,118.755,11.763897295681103,14.319800969948714,11.763897295681103,15.697827819701937,18.87160503847246,14.147723841859824,11,AK-47 | Aquamarine Revenge,AK-47,Aquamarine Revenge,Well-Worn,1,1,0
May 31 2015,2015-05-31,146.166,17.204506958933752,14.507712935079958,17.204506958933752,15.697827819701937,18.87160503847246,14.147723841859824,9,AK-47 | Aquamarine Revenge,AK-47,Aquamarine Revenge,Well-Worn,1,1,0
Jun 01 2015,2015-06-01,139.175,17.019321819626068,13.547311992819093,17.019321819626068,15.697827819701937,18.87160503847246,14.147723841859824,10,AK-47 | Aquamarine Revenge,AK-47,Aquamarine Revenge,Well-Worn,1,1,0
Jun 02 2015,2015-06-02,135.028,16.053612446157672,12.503338506455776,16.053612446157672,15.697827819701937,18.87160503847246,14.147723841859824,5,AK-47 | Aquamarine Revenge,AK-47,Aquamarine Revenge,Well-Worn,1,1,0
Jun 03 2015,2015-06-03,151.57,17.421711804937125,13.597326716715889,17.421711804937125,15.697827819701937,18.87160503847246,14.147723841859824,5,AK-47 | Aquamarine Revenge,AK-47,Aquamarine Revenge,Well-Worn,1,1,0
Jun 04 2015,2015-06-04,126.367,16.321504051404084,12.714063589735952,16.321504051404084,15.697827819701937,18.87160503847246,14.147723841859824,8,AK-47 | Aquamarine Revenge,AK-47,Aquamarine Revenge,Well-Worn,1,1,0
Jun 05 2015,2015-06-05,116.698,15.854848540220537,12.58190557290602,15.854848540220537,15.697827819701937,18.87160503847246,14.147723841859824,6,AK-47 | Aquamarine Revenge,AK-47,Aquamarine Revenge,Well-Worn,1,1,0
Jun 06 2015,2015-06-06,109.481,15.999196413342995,13.192801895227074,15.999196413342995,15.697827819701937,18.87160503847246,14.147723841859824,6,AK-47 | Aquamarine Revenge,AK-47,Aquamarine Revenge,Well-Worn,1,1,0
Jun 07 2015,2015-06-07,103.205,16.604551651215363,14.35547529892386,16.604551651215363,15.697827819701937,18.87160503847246,14.147723841859824,14,AK-47 | Aquamarine Revenge,AK-47,Aquamarine Revenge,Well-Worn,1,1,0
Jun 08 2015,2015-06-08,117.732,15.993304260429325,13.849673065151872,15.993304260429325,15.697827819701937,18.87160503847246,14.147723841859824,10,AK-47 | Aquamarine Revenge,AK-47,Aquamarine Revenge,Well-Worn,1,1,0
Jun 09 2015,2015-06-09,121.416,15.376401136728402,13.246942570257008,15.376401136728402,15.697827819701937,18.87160503847246,14.147723841859824,6,AK-47 | Aquamarine Revenge,AK-47,Aquamarine Revenge,Well-Worn,1,1,0
Jun 10 2015,2015-06-10,115.185,14.96786320977937,12.958592726251508,14.96786320977937,15.697827819701937,18.87160503847246,14.147723841859824,7,AK-47 | Aquamarine Revenge,AK-47,Aquamarine Revenge,Well-Worn,1,1,0
Jun 11 2015,2015-06-11,114.299,14.617337290440421,12.719131559322033,14.617337290440421,15.697827819701937,18.87160503847246,14.147723841859824,9,AK-47 | Aquamarine Revenge,AK-47,Aquamarine Revenge,Well-Worn,1,1,0
Jun 12 2015,2015-06-12,109.17,14.507627399568339,12.828550625154492,14.507627399568339,15.697827819701937,18.87160503847246,14.147723841859824,7,AK-47 | Aquamarine Revenge,AK-47,Aquamarine Revenge,Well-Worn,1,1,0
Jun 13 2015,2015-06-13,99.206,15.026592178534697,13.849612755574265,15.026592178534697,15.697827819701937,18.87160503847246,14.147723841859824,9,AK-47 | Aquamarine Revenge,AK-47,Aquamarine Revenge,Well-Worn,1,1,0
Jun 14 2015,2015-06-14,100.452,15.296517054736613,14.42170186647493,15.296517054736613,15.697827819701937,18.87160503847246,14.147723841859824,7,AK-47 | Aquamarine Revenge,AK-47,Aquamarine Revenge,Well-Worn,1,1,0
Jun 15 2015,2015-06-15,98.787,15.576007849456031,14.958003253548235,15.576007849456031,15.697827819701937,18.87160503847246,14.147723841859824,12,AK-47 | Aquamarine Revenge,AK-47,Aquamarine Revenge,Well-Worn,1,1,0
Jun 16 2015,2015-06-16,97.027,15.871023339196922,15.472052256691997,15.871023339196922,15.697827819701937,18.87160503847246,14.147723841859824,8,AK-47 | Aquamarine Revenge,AK-47,Aquamarine Revenge,Well-Worn,1,1,0
Jun 17 2015,2015-06-17,100.934,15.872971508877761,15.499557750337043,15.872971508877761,15.697827819701937,18.87160503847246,14.147723841859824,14,AK-47 | Aquamarine Revenge,AK-47,Aquamarine Revenge,Well-Worn,1,1,0
Jun 18 2015,2015-06-18,113.709,15.518787077211485,14.948038811014762,15.518787077211485,15.697827819701937,18.87160503847246,14.147723841859824,3,AK-47 | Aquamarine Revenge,AK-47,Aquamarine Revenge,Well-Worn,1,1,0
Jun 19 2015,2015-06-19,103.08,15.417832163778241,14.799414788557533,15.417832163778241,15.697827819701937,18.87160503847246,14.147723841859824,11,AK-47 | Aquamarine Revenge,AK-47,Aquamarine Revenge,Well-Worn,1,1,0
Jun 20 2015,2015-06-20,103.785,15.283500978724303,14.57765171769919,15.283500978724303,15.697827819701937,18.87160503847246,14.147723841859824,7,AK-47 | Aquamarine Revenge,AK-47,Aquamarine Revenge,Well-Worn,1,1,0
Jun 21 2015,2015-06-21,97.285,15.386992096523011,14.743790515002157,15.386992096523011,15.697827819701937,18.87160503847246,14.147723841859824,7,AK-47 | Aquamarine Revenge,AK-47,Aquamarine Revenge,Well-Worn,1,1,0
Jun 22 2015,2015-06-22,94.466,15.579295942914852,15.031673938113167,15.579295942914852,15.697827819701937,18.87160503847246,14.147723841859824,9,AK-47 | Aquamarine Revenge,AK-47,Aquamarine Revenge,Well-Worn,1,1,0
Jun 23 2015,2015-06-23,88.358,16.03112125419388,15.730480183143033,16.03112125419388,15.697827819701937,18.87160503847246,14.147723841859824,15,AK-47 | Aquamarine Revenge,AK-47,Aquamarine Revenge,Well-Worn,1,1,0
Jun 24 2015,2015-06-24,94.624,16.106776368740302,15.728953753269726,16.106776368740302,15.697827819701937,18.87160503847246,14.147723841859824,6,AK-47 | Aquamarine Revenge,AK-47,Aquamarine Revenge,Well-Worn,1,1,0
Jun 25 2015,2015-06-25,98.672,16.022167007280743,15.445412897950206,16.022167007280743,15.697827819701937,18.87160503847246,14.147723841859824,15,AK-47 | Aquamarine Revenge,AK-47,Aquamarine Revenge,Well-Worn,1,1,0
Jun 26 2015,2015-06-26,113.443,15.647186331476794,14.960336144726774,15.755353904700641,15.697827819701937,18.87160503847246,14.147723841859824,7,AK-47 | Aquamarine Revenge,AK-47,Aquamarine Revenge,Well-Worn,1,1,0
Jun 27 2015,2015-06-27,97.236,15.832733423214544,14.769975335770264,15.715455890997731,15.697827819701937,18.87160503847246,14.147723841859824,10,AK-47 | Aquamarine Revenge,AK-47,Aquamarine Revenge,Well-Worn,1,1,0
Jun 28 2015,2015-06-28,99.137,15.951155837340648,14.465953928099522,15.61636732022858,15.697827819701937,18.87160503847246,14.147723841859824,9,AK-47 | Aquamarine Revenge,AK-47,Aquamarine Revenge,Well-Worn,1,1,0
Jun 29 2015,2015-06-29,104.385,15.920229982166015,14.007587012791193,15.421017574671412,15.697827819701937,18.87160503847246,14.147723841859824,10,AK-47 | Aquamarine Revenge,AK-47,Aquamarine Revenge,Well-Worn,1,1,0
Jun 30 2015,2015-06-30,114.47,14.443668111810734,13.643968087612153,15.204497064018527,15.697827819701937,18.87160503847246,14.147723841859824,5,AK-47 | Aquamarine Revenge,AK-47,Aquamarine Revenge,Well-Worn,1,1,0
Jul 01 2015,2015-07-01,106.375,13.298683126233003,13.195033076694163,15.005579480937424,15.697827819701937,18.87160503847246,14.147723841859824,8,AK-47 | Aquamarine Revenge,AK-47,Aquamarine Revenge,Well-Worn,1,1,0
Jul 02 2015,2015-07-02,103.259,12.316149340433581,12.810740024259026,14.84861642380196,15.697827819701937,18.87160503847246,14.147723841859824,11,AK-47 | Aquamarine Revenge,AK-47,Aquamarine Revenge,Well-Worn,1,1,0
Jul 03 2015,2015-07-03,91.168,9.389735092844402,13.061291198740873,14.984412240245964,15.697827819701937,18.87160503847246,14.147723841859824,9,AK-47 | Aquamarine Revenge,AK-47,Aquamarine Revenge,Well-Worn,1,1,0
Jul 04 2015,2015-07-04,103.802,8.489124449119844,12.647420189946445,14.820924381140033,15.697827819701937,18.87160503847246,14.147723841859824,11,AK-47 | Aquamarine Revenge,AK-47,Aquamarine Revenge,Well-Worn,1,1,0
Jul 05 2015,2015-07-05,106.324,8.17474521350652,12.227857984289715,14.641190185590824,15.697827819701937,18.87160503847246,14.147723841859824,7,AK-47 | Aquamarine Revenge,AK-47,Aquamarine Revenge,Well-Worn,1,1,0
Jul 06 2015,2015-07-06,107.469,8.136525337926091,11.825455812253393,14.462015478149786,15.697827819701937,18.87160503847246,14.147723841859824,5,AK-47 | Aquamarine Revenge,AK-47,Aquamarine Revenge,Well-Worn,1,1,0
Jul 07 2015,2015-07-07,98.624,8.193748266454348,11.604027909841559,14.389095517180893,15.697827819701937,18.87160503847246,14.147723841859824,11,AK-47 | Aquamarine Revenge,AK-47,Aquamarine Revenge,Well-Worn,1,1,0
Jul 08 2015,2015-07-08,96.561,7.856864233370071,11.467337370164524,14.354660761434188,15.697827819701937,18.87160503847246,14.147723841859824,9,AK-47 | Aquamarine Revenge,AK-47,Aquamarine Revenge,Well-Worn,1,1,0
Jul 09 2015,2015-07-09,95.265,7.174633527506733,11.375358508263233,14.34310692979653,15.697827819701937,18.87160503847246,14.147723841859824,13,AK-47 | Aquamarine Revenge,AK-47,Aquamarine Revenge,Well-Worn,1,1,0
Jul 10 2015,2015-07-10,102.258,6.744316991227626,11.017733238563352,14.214291194378491,15.697827819701937,18.87160503847246,14.147723841859824,9,AK-47 | Aquamarine Revenge,AK-47,Aquamarine Revenge,Well-Worn,1,1,0
Jul 11 2015,2015-07-11,90.073,6.644222767826688,11.256471417590044,14.324308172838048,15.697827819701937,18.87160503847246,14.147723841859824,13,AK-47 | Aquamarine Revenge,AK-47,Aquamarine Revenge,Well-Worn,1,1,0
Jul 12 2015,2015-07-12,101.24,6.462418253468234,10.902341826491858,14.206193306081992,15.697827819701937,18.87160503847246,14.147723841859824,8,AK-47 | Aquamarine Revenge,AK-47,Aquamarine Revenge,Well-Worn,1,1,0
Jul 13 2015,2015-07-13,88.181,6.852919509482736,11.217702710992539,14.349590663040134,15.697827819701937,18.87160503847246,14.147723841859824,11,AK-47 | Aquamarine Revenge,AK-47,Aquamarine Revenge,Well-Worn,1,1,0
Jul 14 2015,2015-07-14,90.654,7.077602702211086,11.246329685311327,14.409761292262965,15.697827819701937,18.87160503847246,14.147723841859824,14,AK-47 | Aquamarine Revenge,AK-47,Aquamarine Revenge,Well-Worn,1,1,0
