date,py_date,median_price,rolling_30day_sd,ewm_30day_sd,expanding_sd,total_sd,pre_sd,post_sd,volume_sold,item,equip,skin,wear,stattrak,treated_unit,post_treat
Dec 19 2013,2013-12-19,90.17,,,,13.031538476086158,4.9702176587426425,14.007980347974412,3,AK-47 | Blue Laminate,AK-47,Blue Laminate,Field-Tested,1,1,0
Dec 20 2013,2013-12-20,57.795,22.892582040914476,22.89258204091448,22.892582040914476,13.031538476086158,4.9702176587426425,14.007980347974412,28,AK-47 | Blue Laminate,AK-47,Blue Laminate,Field-Tested,1,1,0
Dec 21 2013,2013-12-21,52.986,20.223406249525162,24.287415658648648,20.223406249525162,13.031538476086158,4.9702176587426425,14.007980347974412,30,AK-47 | Blue Laminate,AK-47,Blue Laminate,Field-Tested,1,1,0
Dec 22 2013,2013-12-22,51.016,18.34118411980717,24.92173321684897,18.34118411980717,13.031538476086158,4.9702176587426425,14.007980347974412,33,AK-47 | Blue Laminate,AK-47,Blue Laminate,Field-Tested,1,1,0
Dec 23 2013,2013-12-23,45.613,17.683423494900527,26.095845565881646,17.683423494900527,13.031538476086158,4.9702176587426425,14.007980347974412,37,AK-47 | Blue Laminate,AK-47,Blue Laminate,Field-Tested,1,1,0
Dec 24 2013,2013-12-24,43.015,17.191372061783394,26.97189097092292,17.191372061783394,13.031538476086158,4.9702176587426425,14.007980347974412,39,AK-47 | Blue Laminate,AK-47,Blue Laminate,Field-Tested,1,1,0
Dec 25 2013,2013-12-25,46.994,16.122261249884392,26.740413178704294,16.122261249884392,13.031538476086158,4.9702176587426425,14.007980347974412,26,AK-47 | Blue Laminate,AK-47,Blue Laminate,Field-Tested,1,1,0
Dec 26 2013,2013-12-26,44.208,15.439177993824671,26.742782340244005,15.439177993824671,13.031538476086158,4.9702176587426425,14.007980347974412,50,AK-47 | Blue Laminate,AK-47,Blue Laminate,Field-Tested,1,1,0
Dec 27 2013,2013-12-27,44.231,14.802732247798039,26.577202937769783,14.802732247798039,13.031538476086158,4.9702176587426425,14.007980347974412,54,AK-47 | Blue Laminate,AK-47,Blue Laminate,Field-Tested,1,1,0
Dec 28 2013,2013-12-28,43.594,14.262517229904871,26.366497323839535,14.262517229904871,13.031538476086158,4.9702176587426425,14.007980347974412,43,AK-47 | Blue Laminate,AK-47,Blue Laminate,Field-Tested,1,1,0
Dec 29 2013,2013-12-29,40.987,13.929390290774657,26.306144923388427,13.929390290774657,13.031538476086158,4.9702176587426425,14.007980347974412,40,AK-47 | Blue Laminate,AK-47,Blue Laminate,Field-Tested,1,1,0
