date,py_date,median_price,rolling_30day_sd,ewm_30day_sd,expanding_sd,total_sd,pre_sd,post_sd,volume_sold,item,equip,skin,wear,stattrak,treated_unit,post_treat
Dec 20 2013,2013-12-20,61.68,,,,18.597966089647294,5.31875064408754,24.218389348126163,2,AK-47 | Blue Laminate,AK-47,Blue Laminate,Well-Worn,1,1,0
Dec 21 2013,2013-12-21,53.594,5.717665432674422,5.717665432674423,5.717665432674422,18.597966089647294,5.31875064408754,24.218389348126163,2,AK-47 | Blue Laminate,AK-47,Blue Laminate,Well-Worn,1,1,0
Dec 24 2013,2013-12-24,49.96,5.999274289445349,7.053218637524548,5.999274289445349,18.597966089647294,5.31875064408754,24.218389348126163,1,AK-47 | Blue Laminate,AK-47,Blue Laminate,Well-Worn,1,1,0
Dec 25 2013,2013-12-25,48.33,5.947946760577695,7.7966953193907065,5.947946760577695,18.597966089647294,5.31875064408754,24.218389348126163,5,AK-47 | Blue Laminate,AK-47,Blue Laminate,Well-Worn,1,1,0
Dec 26 2013,2013-12-26,46.432,6.018229739715826,8.471009681757964,6.018229739715826,18.597966089647294,5.31875064408754,24.218389348126163,3,AK-47 | Blue Laminate,AK-47,Blue Laminate,Well-Worn,1,1,0
Dec 28 2013,2013-12-28,51.569,5.385732698528587,7.983584133122849,5.385732698528587,18.597966089647294,5.31875064408754,24.218389348126163,2,AK-47 | Blue Laminate,AK-47,Blue Laminate,Well-Worn,1,1,0
Dec 29 2013,2013-12-29,54.75,5.030888215623087,7.358266850317363,5.030888215623087,18.597966089647294,5.31875064408754,24.218389348126163,1,AK-47 | Blue Laminate,AK-47,Blue Laminate,Well-Worn,1,1,0
Dec 31 2013,2013-12-31,44.191,5.475035518475788,8.116831878882678,5.475035518475788,18.597966089647294,5.31875064408754,24.218389348126163,2,AK-47 | Blue Laminate,AK-47,Blue Laminate,Well-Worn,1,1,0
Jan 01 2014,2014-01-01,34.022,7.710371343197423,10.400929464864067,7.710371343197423,18.597966089647294,5.31875064408754,24.218389348126163,2,AK-47 | Blue Laminate,AK-47,Blue Laminate,Well-Worn,1,1,0
Jan 02 2014,2014-01-02,35.689,8.462949302695842,11.436264113929157,8.462949302695842,18.597966089647294,5.31875064408754,24.218389348126163,2,AK-47 | Blue Laminate,AK-47,Blue Laminate,Well-Worn,1,1,0
Jan 03 2014,2014-01-03,34.097,9.060153661149263,12.292784855777487,9.060153661149263,18.597966089647294,5.31875064408754,24.218389348126163,1,AK-47 | Blue Laminate,AK-47,Blue Laminate,Well-Worn,1,1,0
Jan 04 2014,2014-01-04,39.852,8.865431625650888,12.23017078174271,8.865431625650888,18.597966089647294,5.31875064408754,24.218389348126163,2,AK-47 | Blue Laminate,AK-47,Blue Laminate,Well-Worn,1,1,0
Jan 05 2014,2014-01-05,31.28,9.440606966579848,13.010896762958033,9.440606966579848,18.597966089647294,5.31875064408754,24.218389348126163,1,AK-47 | Blue Laminate,AK-47,Blue Laminate,Well-Worn,1,1,0
Jan 06 2014,2014-01-06,54.729,9.433061401903835,12.43495940423448,9.433061401903835,18.597966089647294,5.31875064408754,24.218389348126163,1,AK-47 | Blue Laminate,AK-47,Blue Laminate,Well-Worn,1,1,0
Jan 07 2014,2014-01-07,40.79,9.178863450236923,12.198370027452903,9.178863450236923,18.597966089647294,5.31875064408754,24.218389348126163,1,AK-47 | Blue Laminate,AK-47,Blue Laminate,Well-Worn,1,1,0
Jan 08 2014,2014-01-08,43.07,8.886697490959921,11.834551344493565,8.886697490959921,18.597966089647294,5.31875064408754,24.218389348126163,1,AK-47 | Blue Laminate,AK-47,Blue Laminate,Well-Worn,1,1,0
Jan 09 2014,2014-01-09,30.608,9.308726668625333,12.455619725845935,9.308726668625333,18.597966089647294,5.31875064408754,24.218389348126163,4,AK-47 | Blue Laminate,AK-47,Blue Laminate,Well-Worn,1,1,0
Jan 10 2014,2014-01-10,33.295,9.401859928633646,12.624383457397139,9.401859928633646,18.597966089647294,5.31875064408754,24.218389348126163,2,AK-47 | Blue Laminate,AK-47,Blue Laminate,Well-Worn,1,1,0
Jan 12 2014,2014-01-12,30.705,9.616340545414358,12.919941335258583,9.616340545414358,18.597966089647294,5.31875064408754,24.218389348126163,2,AK-47 | Blue Laminate,AK-47,Blue Laminate,Well-Worn,1,1,0
