date,py_date,median_price,rolling_30day_sd,ewm_30day_sd,expanding_sd,total_sd,pre_sd,post_sd,volume_sold,item,equip,skin,wear,stattrak,treated_unit,post_treat
Apr 16 2015,2015-04-16,115.587,,,,8.682937609878298,7.467060515250897,6.930391216846948,68,AK-47 | Elite Build,AK-47,Elite Build,Factory New,1,1,0
Apr 17 2015,2015-04-17,87.326,19.983544743113033,19.98354474311303,19.983544743113033,8.682937609878298,7.467060515250897,6.930391216846948,43,AK-47 | Elite Build,AK-47,Elite Build,Factory New,1,1,0
Apr 18 2015,2015-04-18,68.689,23.613005928936715,27.221035011990814,23.613005928936715,8.682937609878298,7.467060515250897,6.930391216846948,55,AK-47 | Elite Build,AK-47,Elite Build,Factory New,1,1,0
Apr 19 2015,2015-04-19,54.758,26.300125031388482,32.98419103705208,26.300125031388482,8.682937609878298,7.467060515250897,6.930391216846948,51,AK-47 | Elite Build,AK-47,Elite Build,Factory New,1,1,0
Apr 20 2015,2015-04-20,54.724,25.751287806632124,35.04508927893478,25.751287806632124,8.682937609878298,7.467060515250897,6.930391216846948,50,AK-47 | Elite Build,AK-47,Elite Build,Factory New,1,1,0
Apr 21 2015,2015-04-21,63.834,23.580896539359994,34.371929831957566,23.580896539359994,8.682937609878298,7.467060515250897,6.930391216846948,37,AK-47 | Elite Build,AK-47,Elite Build,Factory New,1,1,0
Apr 22 2015,2015-04-22,69.261,21.60557899732206,33.0562631657309,21.60557899732206,8.682937609878298,7.467060515250897,6.930391216846948,31,AK-47 | Elite Build,AK-47,Elite Build,Factory New,1,1,0
Apr 23 2015,2015-04-23,58.538,20.686386710225648,33.13388897451232,20.686386710225648,8.682937609878298,7.467060515250897,6.930391216846948,37,AK-47 | Elite Build,AK-47,Elite Build,Factory New,1,1,0
Apr 24 2015,2015-04-24,54.14,20.205640986973034,33.490173494306354,20.205640986973034,8.682937609878298,7.467060515250897,6.930391216846948,47,AK-47 | Elite Build,AK-47,Elite Build,Factory New,1,1,0
Apr 25 2015,2015-04-25,53.921,19.688763686710022,33.57224072822255,19.688763686710022,8.682937609878298,7.467060515250897,6.930391216846948,58,AK-47 | Elite Build,AK-47,Elite Build,Factory New,1,1,0
Apr 26 2015,2015-04-26,49.513,19.499093714603998,33.887097125075,19.499093714603998,8.682937609878298,7.467060515250897,6.930391216846948,55,AK-47 | Elite Build,AK-47,Elite Build,Factory New,1,1,0
Apr 27 2015,2015-04-27,44.632,19.623987795359646,34.42353953293843,19.623987795359646,8.682937609878298,7.467060515250897,6.930391216846948,47,AK-47 | Elite Build,AK-47,Elite Build,Factory New,1,1,0
Apr 28 2015,2015-04-28,51.629,19.128648608224346,34.05200787647026,19.128648608224346,8.682937609878298,7.467060515250897,6.930391216846948,38,AK-47 | Elite Build,AK-47,Elite Build,Factory New,1,1,0
Apr 29 2015,2015-04-29,56.675,18.470657789324388,33.260295512856274,18.470657789324388,8.682937609878298,7.467060515250897,6.930391216846948,29,AK-47 | Elite Build,AK-47,Elite Build,Factory New,1,1,0
Apr 30 2015,2015-04-30,47.891,18.22613837270398,33.0577275462739,18.22613837270398,8.682937609878298,7.467060515250897,6.930391216846948,52,AK-47 | Elite Build,AK-47,Elite Build,Factory New,1,1,0
May 01 2015,2015-05-01,40.967,18.381824620056083,33.27672151070622,18.381824620056083,8.682937609878298,7.467060515250897,6.930391216846948,77,AK-47 | Elite Build,AK-47,Elite Build,Factory New,1,1,0
May 02 2015,2015-05-02,40.989,18.432472168902166,33.29435129867847,18.432472168902166,8.682937609878298,7.467060515250897,6.930391216846948,69,AK-47 | Elite Build,AK-47,Elite Build,Factory New,1,1,0
May 03 2015,2015-05-03,40.741,18.425901522538883,33.17605450440459,18.425901522538883,8.682937609878298,7.467060515250897,6.930391216846948,54,AK-47 | Elite Build,AK-47,Elite Build,Factory New,1,1,0
May 04 2015,2015-05-04,40.469,18.38068090836057,32.95228955637396,18.38068090836057,8.682937609878298,7.467060515250897,6.930391216846948,59,AK-47 | Elite Build,AK-47,Elite Build,Factory New,1,1,0
May 05 2015,2015-05-05,40.471,18.295561152410137,32.62742515218549,18.295561152410137,8.682937609878298,7.467060515250897,6.930391216846948,45,AK-47 | Elite Build,AK-47,Elite Build,Factory New,1,1,0
May 06 2015,2015-05-06,39.099,18.24298988822569,32.3046603378937,18.24298988822569,8.682937609878298,7.467060515250897,6.930391216846948,46,AK-47 | Elite Build,AK-47,Elite Build,Factory New,1,1,0
May 07 2015,2015-05-07,39.684,18.13582587465606,31.870039583063388,18.13582587465606,8.682937609878298,7.467060515250897,6.930391216846948,40,AK-47 | Elite Build,AK-47,Elite Build,Factory New,1,1,0
May 08 2015,2015-05-08,37.576,18.094264551402098,31.494908621418002,18.094264551402098,8.682937609878298,7.467060515250897,6.930391216846948,55,AK-47 | Elite Build,AK-47,Elite Build,Factory New,1,1,0
May 09 2015,2015-05-09,33.181,18.21870356309492,31.31097051971787,18.21870356309492,8.682937609878298,7.467060515250897,6.930391216846948,93,AK-47 | Elite Build,AK-47,Elite Build,Factory New,1,1,0
May 10 2015,2015-05-10,34.594,18.232037230929517,30.94799028292949,18.232037230929517,8.682937609878298,7.467060515250897,6.930391216846948,64,AK-47 | Elite Build,AK-47,Elite Build,Factory New,1,1,0
May 11 2015,2015-05-11,31.978,18.322527382810655,30.665470891439384,18.322527382810655,8.682937609878298,7.467060515250897,6.930391216846948,52,AK-47 | Elite Build,AK-47,Elite Build,Factory New,1,1,0
May 12 2015,2015-05-12,32.727,18.343884689104964,30.265327931610404,18.343884689104964,8.682937609878298,7.467060515250897,6.930391216846948,69,AK-47 | Elite Build,AK-47,Elite Build,Factory New,1,1,0
May 13 2015,2015-05-13,35.518,18.244666559945617,29.67710138445345,18.244666559945617,8.682937609878298,7.467060515250897,6.930391216846948,49,AK-47 | Elite Build,AK-47,Elite Build,Factory New,1,1,0
May 14 2015,2015-05-14,35.915,18.12456234796909,29.048961956496015,18.12456234796909,8.682937609878298,7.467060515250897,6.930391216846948,58,AK-47 | Elite Build,AK-47,Elite Build,Factory New,1,1,0
May 15 2015,2015-05-15,33.003,18.083128612433,28.53065487445557,18.083128612433,8.682937609878298,7.467060515250897,6.930391216846948,59,AK-47 | Elite Build,AK-47,Elite Build,Factory New,1,1,0
May 16 2015,2015-05-16,33.869,13.330980143320643,27.945527913854693,18.00231351775093,8.682937609878298,7.467060515250897,6.930391216846948,63,AK-47 | Elite Build,AK-47,Elite Build,Factory New,1,1,0
May 17 2015,2015-05-17,33.422,11.144511282220517,27.361066365120013,17.924951333419113,8.682937609878298,7.467060515250897,6.930391216846948,71,AK-47 | Elite Build,AK-47,Elite Build,Factory New,1,1,0
May 18 2015,2015-05-18,32.558,10.434894577892214,26.79582858100261,17.86239533925061,8.682937609878298,7.467060515250897,6.930391216846948,51,AK-47 | Elite Build,AK-47,Elite Build,Factory New,1,1,0
May 19 2015,2015-05-19,31.492,10.462776451201481,26.25749945170664,17.819264723447873,8.682937609878298,7.467060515250897,6.930391216846948,45,AK-47 | Elite Build,AK-47,Elite Build,Factory New,1,1,0
May 20 2015,2015-05-20,30.241,10.479692881566436,25.752563496624244,17.79958172523381,8.682937609878298,7.467060515250897,6.930391216846948,62,AK-47 | Elite Build,AK-47,Elite Build,Factory New,1,1,0
May 21 2015,2015-05-21,30.31,9.872331637390475,25.223441858623673,17.766071506425632,8.682937609878298,7.467060515250897,6.930391216846948,48,AK-47 | Elite Build,AK-47,Elite Build,Factory New,1,1,0
May 22 2015,2015-05-22,30.466,8.512626874778174,24.67248024305718,17.71884208165745,8.682937609878298,7.467060515250897,6.930391216846948,47,AK-47 | Elite Build,AK-47,Elite Build,Factory New,1,1,0
May 23 2015,2015-05-23,30.457,7.912254400393859,24.11123553959246,17.663984085670066,8.682937609878298,7.467060515250897,6.930391216846948,60,AK-47 | Elite Build,AK-47,Elite Build,Factory New,1,1,0
May 24 2015,2015-05-24,28.462,7.593454292478115,23.618237561919468,17.650032456416355,8.682937609878298,7.467060515250897,6.930391216846948,62,AK-47 | Elite Build,AK-47,Elite Build,Factory New,1,1,0
