date,py_date,median_price,rolling_30day_sd,ewm_30day_sd,expanding_sd,total_sd,pre_sd,post_sd,volume_sold,item,weapon,skin,wear,stattrak,treated_unit,post_treat
Apr 16 2015,2015-04-16,34.47,,,,1.819244104113355,2.3731680316737176,1.2093590411814084,518,AK-47 | Elite Build,AK-47,Elite Build,Field-Tested,1,1,0
Apr 17 2015,2015-04-17,23.976,7.42037856177163,7.4203785617716305,7.42037856177163,1.819244104113355,2.3731680316737176,1.2093590411814084,485,AK-47 | Elite Build,AK-47,Elite Build,Field-Tested,1,1,0
Apr 18 2015,2015-04-18,20.891,7.1184092558192615,8.476812891284094,7.1184092558192615,1.819244104113355,2.3731680316737176,1.2093590411814084,546,AK-47 | Elite Build,AK-47,Elite Build,Field-Tested,1,1,0
Apr 19 2015,2015-04-19,18.609,7.009600773225247,9.312460119429703,7.009600773225247,1.819244104113355,2.3731680316737176,1.2093590411814084,419,AK-47 | Elite Build,AK-47,Elite Build,Field-Tested,1,1,0
Apr 20 2015,2015-04-20,17.718,6.7833174553458715,9.780419166749285,6.7833174553458715,1.819244104113355,2.3731680316737176,1.2093590411814084,466,AK-47 | Elite Build,AK-47,Elite Build,Field-Tested,1,1,0
Apr 21 2015,2015-04-21,17.877,6.435419346605679,9.924025913229666,6.435419346605679,1.819244104113355,2.3731680316737176,1.2093590411814084,429,AK-47 | Elite Build,AK-47,Elite Build,Field-Tested,1,1,0
Apr 22 2015,2015-04-22,17.353,6.160158594124172,10.014320132905475,6.160158594124172,1.819244104113355,2.3731680316737176,1.2093590411814084,418,AK-47 | Elite Build,AK-47,Elite Build,Field-Tested,1,1,0
Apr 23 2015,2015-04-23,16.834,5.942556063801886,10.072445125997778,5.942556063801886,1.819244104113355,2.3731680316737176,1.2093590411814084,394,AK-47 | Elite Build,AK-47,Elite Build,Field-Tested,1,1,0
Apr 24 2015,2015-04-24,16.453,5.758710339805066,10.093503748195413,5.758710339805066,1.819244104113355,2.3731680316737176,1.2093590411814084,503,AK-47 | Elite Build,AK-47,Elite Build,Field-Tested,1,1,0
Apr 25 2015,2015-04-25,16.509,5.571591992719256,10.044545617576954,5.571591992719256,1.819244104113355,2.3731680316737176,1.2093590411814084,566,AK-47 | Elite Build,AK-47,Elite Build,Field-Tested,1,1,0
Apr 26 2015,2015-04-26,14.76,5.522742982843349,10.122723640603498,5.522742982843349,1.819244104113355,2.3731680316737176,1.2093590411814084,550,AK-47 | Elite Build,AK-47,Elite Build,Field-Tested,1,1,0
Apr 27 2015,2015-04-27,14.981,5.430961968336287,10.107381476840933,5.430961968336287,1.819244104113355,2.3731680316737176,1.2093590411814084,463,AK-47 | Elite Build,AK-47,Elite Build,Field-Tested,1,1,0
Apr 28 2015,2015-04-28,14.468,5.362996496649696,10.087820556283177,5.362996496649696,1.819244104113355,2.3731680316737176,1.2093590411814084,484,AK-47 | Elite Build,AK-47,Elite Build,Field-Tested,1,1,0
