date,py_date,median_price,volume_sold,item,weapon,skin,wear,stattrak,treated_unit,post_treat
Apr 16 2015,2015-04-16,23.283,324,AK-47 | Elite Build,AK-47,Elite Build,Well-Worn,1,1,0
Apr 17 2015,2015-04-17,17.566,343,AK-47 | Elite Build,AK-47,Elite Build,Well-Worn,1,1,0
Apr 18 2015,2015-04-18,14.42,448,AK-47 | Elite Build,AK-47,Elite Build,Well-Worn,1,1,0
Apr 19 2015,2015-04-19,13.247,318,AK-47 | Elite Build,AK-47,Elite Build,Well-Worn,1,1,0
Apr 20 2015,2015-04-20,12.678,341,AK-47 | Elite Build,AK-47,Elite Build,Well-Worn,1,1,0
Apr 21 2015,2015-04-21,13.029,337,AK-47 | Elite Build,AK-47,Elite Build,Well-Worn,1,1,0
Apr 22 2015,2015-04-22,13.12,276,AK-47 | Elite Build,AK-47,Elite Build,Well-Worn,1,1,0
Apr 23 2015,2015-04-23,12.716,293,AK-47 | Elite Build,AK-47,Elite Build,Well-Worn,1,1,0
Apr 24 2015,2015-04-24,11.925,381,AK-47 | Elite Build,AK-47,Elite Build,Well-Worn,1,1,0
Apr 25 2015,2015-04-25,12.472,362,AK-47 | Elite Build,AK-47,Elite Build,Well-Worn,1,1,0
Apr 26 2015,2015-04-26,10.994,405,AK-47 | Elite Build,AK-47,Elite Build,Well-Worn,1,1,0
Apr 27 2015,2015-04-27,10.995,368,AK-47 | Elite Build,AK-47,Elite Build,Well-Worn,1,1,0
Apr 28 2015,2015-04-28,10.756,336,AK-47 | Elite Build,AK-47,Elite Build,Well-Worn,1,1,0
Apr 29 2015,2015-04-29,10.716,344,AK-47 | Elite Build,AK-47,Elite Build,Well-Worn,1,1,0
Apr 30 2015,2015-04-30,10.956,404,AK-47 | Elite Build,AK-47,Elite Build,Well-Worn,1,1,0
May 01 2015,2015-05-01,9.981,401,AK-47 | Elite Build,AK-47,Elite Build,Well-Worn,1,1,0
May 02 2015,2015-05-02,10.456,474,AK-47 | Elite Build,AK-47,Elite Build,Well-Worn,1,1,0
May 03 2015,2015-05-03,9.832,442,AK-47 | Elite Build,AK-47,Elite Build,Well-Worn,1,1,0
May 04 2015,2015-05-04,9.727,420,AK-47 | Elite Build,AK-47,Elite Build,Well-Worn,1,1,0
May 05 2015,2015-05-05,9.335,397,AK-47 | Elite Build,AK-47,Elite Build,Well-Worn,1,1,0
May 06 2015,2015-05-06,9.637,355,AK-47 | Elite Build,AK-47,Elite Build,Well-Worn,1,1,0
May 07 2015,2015-05-07,9.362,362,AK-47 | Elite Build,AK-47,Elite Build,Well-Worn,1,1,0
May 08 2015,2015-05-08,9.135,444,AK-47 | Elite Build,AK-47,Elite Build,Well-Worn,1,1,0
May 09 2015,2015-05-09,8.895,478,AK-47 | Elite Build,AK-47,Elite Build,Well-Worn,1,1,0
May 10 2015,2015-05-10,8.219,464,AK-47 | Elite Build,AK-47,Elite Build,Well-Worn,1,1,0
May 11 2015,2015-05-11,7.863,440,AK-47 | Elite Build,AK-47,Elite Build,Well-Worn,1,1,0
May 12 2015,2015-05-12,8.253,398,AK-47 | Elite Build,AK-47,Elite Build,Well-Worn,1,1,0
May 13 2015,2015-05-13,8.272,432,AK-47 | Elite Build,AK-47,Elite Build,Well-Worn,1,1,0
May 14 2015,2015-05-14,8.355,403,AK-47 | Elite Build,AK-47,Elite Build,Well-Worn,1,1,0
May 15 2015,2015-05-15,8.047,425,AK-47 | Elite Build,AK-47,Elite Build,Well-Worn,1,1,0
May 16 2015,2015-05-16,7.967,551,AK-47 | Elite Build,AK-47,Elite Build,Well-Worn,1,1,0
May 17 2015,2015-05-17,7.537,542,AK-47 | Elite Build,AK-47,Elite Build,Well-Worn,1,1,0
May 18 2015,2015-05-18,7.437,474,AK-47 | Elite Build,AK-47,Elite Build,Well-Worn,1,1,0
May 19 2015,2015-05-19,7.506,410,AK-47 | Elite Build,AK-47,Elite Build,Well-Worn,1,1,0
May 20 2015,2015-05-20,7.124,428,AK-47 | Elite Build,AK-47,Elite Build,Well-Worn,1,1,0
May 21 2015,2015-05-21,7.066,468,AK-47 | Elite Build,AK-47,Elite Build,Well-Worn,1,1,0
May 22 2015,2015-05-22,7.252,433,AK-47 | Elite Build,AK-47,Elite Build,Well-Worn,1,1,0
May 23 2015,2015-05-23,7.041,536,AK-47 | Elite Build,AK-47,Elite Build,Well-Worn,1,1,0
May 24 2015,2015-05-24,6.784,501,AK-47 | Elite Build,AK-47,Elite Build,Well-Worn,1,1,0
May 25 2015,2015-05-25,6.692,474,AK-47 | Elite Build,AK-47,Elite Build,Well-Worn,1,1,0
