date,py_date,median_price,volume_sold,item,weapon,skin,wear,stattrak,treated_unit,post_treat
Feb 21 2014,2014-02-21,235.829,11,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
Feb 22 2014,2014-02-22,165.948,21,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
Feb 23 2014,2014-02-23,166.4,10,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
Feb 24 2014,2014-02-24,167.496,9,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
Feb 25 2014,2014-02-25,206.853,7,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
Feb 26 2014,2014-02-26,147.371,7,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
Feb 27 2014,2014-02-27,212.682,4,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
Feb 28 2014,2014-02-28,196.954,13,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
Mar 01 2014,2014-03-01,149.799,20,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
Mar 02 2014,2014-03-02,134.675,14,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
Mar 03 2014,2014-03-03,148.057,10,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
Mar 04 2014,2014-03-04,160.613,9,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
Mar 05 2014,2014-03-05,159.635,9,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
Mar 06 2014,2014-03-06,176.23,11,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
Mar 07 2014,2014-03-07,169.346,10,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
Mar 08 2014,2014-03-08,191.592,6,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
Mar 09 2014,2014-03-09,136.447,23,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
Mar 10 2014,2014-03-10,145.15,8,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
Mar 11 2014,2014-03-11,139.941,15,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
Mar 12 2014,2014-03-12,149.864,13,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
Mar 13 2014,2014-03-13,154.221,7,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
Mar 14 2014,2014-03-14,160.182,11,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
Mar 15 2014,2014-03-15,162.07,16,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
Mar 16 2014,2014-03-16,130.592,17,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
Mar 17 2014,2014-03-17,143.749,14,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
Mar 18 2014,2014-03-18,128.738,18,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
Mar 19 2014,2014-03-19,127.685,17,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
Mar 20 2014,2014-03-20,147.259,16,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
Mar 21 2014,2014-03-21,164.217,12,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
Mar 22 2014,2014-03-22,143.48,13,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
