date,py_date,median_price,volume_sold,item,weapon,skin,wear,stattrak,treated_unit,post_treat
Feb 18 2016,2016-02-18,22.443,20,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
Feb 19 2016,2016-02-19,18.375,29,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
Feb 20 2016,2016-02-20,20.674,22,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
Feb 21 2016,2016-02-21,21.183,11,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
Feb 22 2016,2016-02-22,23.838,8,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
Feb 23 2016,2016-02-23,22.714,9,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
Feb 24 2016,2016-02-24,23.123,14,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
Feb 25 2016,2016-02-25,22.294,13,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
Feb 26 2016,2016-02-26,22.031,19,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
Feb 27 2016,2016-02-27,19.711,24,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
Feb 28 2016,2016-02-28,19.592,10,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
Feb 29 2016,2016-02-29,20.073,14,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
Mar 01 2016,2016-03-01,21.411,18,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
Mar 02 2016,2016-03-02,21.792,15,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
Mar 03 2016,2016-03-03,21.035,16,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
Mar 04 2016,2016-03-04,21.561,16,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
Mar 05 2016,2016-03-05,20.227,18,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
Mar 06 2016,2016-03-06,19.607,22,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
Mar 07 2016,2016-03-07,20.466,15,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
Mar 08 2016,2016-03-08,19.116,16,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
Mar 09 2016,2016-03-09,19.117,13,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
Mar 10 2016,2016-03-10,19.896,16,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
Mar 11 2016,2016-03-11,21.134,12,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
Mar 12 2016,2016-03-12,20.093,17,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
Mar 13 2016,2016-03-13,19.445,10,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
Mar 14 2016,2016-03-14,19.521,15,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
Mar 15 2016,2016-03-15,20.508,12,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
Mar 16 2016,2016-03-16,19.526,12,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
Mar 17 2016,2016-03-17,19.654,12,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
Mar 18 2016,2016-03-18,20.703,13,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
Mar 19 2016,2016-03-19,19.195,21,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
Mar 20 2016,2016-03-20,20.451,26,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
Mar 21 2016,2016-03-21,21.279,12,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
