date,py_date,median_price,rolling_30day_sd,ewm_30day_sd,expanding_sd,total_sd,pre_sd,post_sd,volume_sold,item,equip,skin,wear,stattrak,treated_unit,post_treat
Feb 18 2016,2016-02-18,164.156,,,,19.19775978129481,17.012112183097926,19.06419132539622,7,AWP | Elite Build,AWP,Elite Build,Factory New,1,1,0
Feb 19 2016,2016-02-19,132.75,22.207395569944715,22.20739556994472,22.207395569944715,19.19775978129481,17.012112183097926,19.06419132539622,9,AWP | Elite Build,AWP,Elite Build,Factory New,1,1,0
Feb 20 2016,2016-02-20,159.573,16.964738204090665,15.74102920610772,16.964738204090665,19.19775978129481,17.012112183097926,19.06419132539622,10,AWP | Elite Build,AWP,Elite Build,Factory New,1,1,0
Feb 21 2016,2016-02-21,140.132,15.100808573825889,15.96315052776784,15.100808573825889,19.19775978129481,17.012112183097926,19.06419132539622,5,AWP | Elite Build,AWP,Elite Build,Factory New,1,1,0
Feb 22 2016,2016-02-22,115.273,20.01482717137474,22.355606756367514,20.01482717137474,19.19775978129481,17.012112183097926,19.06419132539622,9,AWP | Elite Build,AWP,Elite Build,Factory New,1,1,0
Feb 23 2016,2016-02-23,138.922,17.95728039542738,21.026064283653206,17.95728039542738,19.19775978129481,17.012112183097926,19.06419132539622,7,AWP | Elite Build,AWP,Elite Build,Factory New,1,1,0
Feb 24 2016,2016-02-24,124.545,17.6425178988013,21.924176568802814,17.6425178988013,19.19775978129481,17.012112183097926,19.06419132539622,3,AWP | Elite Build,AWP,Elite Build,Factory New,1,1,0
Feb 25 2016,2016-02-25,119.523,17.772495891525374,23.087390375607903,17.772495891525374,19.19775978129481,17.012112183097926,19.06419132539622,3,AWP | Elite Build,AWP,Elite Build,Factory New,1,1,0
Feb 26 2016,2016-02-26,111.513,18.64833197634578,24.865341650601923,18.64833197634578,19.19775978129481,17.012112183097926,19.06419132539622,8,AWP | Elite Build,AWP,Elite Build,Factory New,1,1,0
Feb 27 2016,2016-02-27,92.768,21.897096069519772,28.816237073400895,21.897096069519772,19.19775978129481,17.012112183097926,19.06419132539622,13,AWP | Elite Build,AWP,Elite Build,Factory New,1,1,0
Feb 28 2016,2016-02-28,84.991,24.79935956174529,32.41975417892884,24.79935956174529,19.19775978129481,17.012112183097926,19.06419132539622,6,AWP | Elite Build,AWP,Elite Build,Factory New,1,1,0
Feb 29 2016,2016-02-29,100.143,24.78083506599772,32.90573732955086,24.78083506599772,19.19775978129481,17.012112183097926,19.06419132539622,12,AWP | Elite Build,AWP,Elite Build,Factory New,1,1,0
Mar 01 2016,2016-03-01,113.67,23.888070277377437,32.05402136377326,23.888070277377437,19.19775978129481,17.012112183097926,19.06419132539622,7,AWP | Elite Build,AWP,Elite Build,Factory New,1,1,0
Mar 02 2016,2016-03-02,116.529,23.014385627302723,31.069909688135706,23.014385627302723,19.19775978129481,17.012112183097926,19.06419132539622,5,AWP | Elite Build,AWP,Elite Build,Factory New,1,1,0
Mar 03 2016,2016-03-03,117.062,22.221025592464287,30.109758535405607,22.221025592464287,19.19775978129481,17.012112183097926,19.06419132539622,4,AWP | Elite Build,AWP,Elite Build,Factory New,1,1,0
Mar 04 2016,2016-03-04,110.443,21.664566092950803,29.54063049560127,21.664566092950803,19.19775978129481,17.012112183097926,19.06419132539622,4,AWP | Elite Build,AWP,Elite Build,Factory New,1,1,0
Mar 05 2016,2016-03-05,110.993,21.127201639362806,28.918095188272943,21.127201639362806,19.19775978129481,17.012112183097926,19.06419132539622,10,AWP | Elite Build,AWP,Elite Build,Factory New,1,1,0
Mar 06 2016,2016-03-06,95.019,21.375790578125283,29.400783969795764,21.375790578125283,19.19775978129481,17.012112183097926,19.06419132539622,9,AWP | Elite Build,AWP,Elite Build,Factory New,1,1,0
Mar 07 2016,2016-03-07,95.391,21.487454782754888,29.619860106742262,21.487454782754888,19.19775978129481,17.012112183097926,19.06419132539622,4,AWP | Elite Build,AWP,Elite Build,Factory New,1,1,0
Mar 08 2016,2016-03-08,101.94,21.223208943339174,29.231416305203016,21.223208943339174,19.19775978129481,17.012112183097926,19.06419132539622,6,AWP | Elite Build,AWP,Elite Build,Factory New,1,1,0
Mar 09 2016,2016-03-09,94.254,21.286659908205873,29.279379074615818,21.286659908205873,19.19775978129481,17.012112183097926,19.06419132539622,7,AWP | Elite Build,AWP,Elite Build,Factory New,1,1,0
Mar 10 2016,2016-03-10,93.686,21.319597836171866,29.230557632866507,21.319597836171866,19.19775978129481,17.012112183097926,19.06419132539622,4,AWP | Elite Build,AWP,Elite Build,Factory New,1,1,0
Mar 11 2016,2016-03-11,95.867,21.213907785451614,28.932625382410738,21.213907785451614,19.19775978129481,17.012112183097926,19.06419132539622,6,AWP | Elite Build,AWP,Elite Build,Factory New,1,1,0
Mar 12 2016,2016-03-12,108.706,20.779128105487864,28.037823535719266,20.779128105487864,19.19775978129481,17.012112183097926,19.06419132539622,3,AWP | Elite Build,AWP,Elite Build,Factory New,1,1,0
Mar 13 2016,2016-03-13,106.904,20.392149445967362,27.22194463828782,20.392149445967362,19.19775978129481,17.012112183097926,19.06419132539622,4,AWP | Elite Build,AWP,Elite Build,Factory New,1,1,0
Mar 14 2016,2016-03-14,106.482,20.031483876100186,26.43858255319471,20.031483876100186,19.19775978129481,17.012112183097926,19.06419132539622,3,AWP | Elite Build,AWP,Elite Build,Factory New,1,1,0
Mar 15 2016,2016-03-15,92.446,20.056390412507373,26.310261373872276,20.056390412507373,19.19775978129481,17.012112183097926,19.06419132539622,9,AWP | Elite Build,AWP,Elite Build,Factory New,1,1,0
Mar 16 2016,2016-03-16,75.382,20.908714779460652,27.41511920961164,20.908714779460652,19.19775978129481,17.012112183097926,19.06419132539622,6,AWP | Elite Build,AWP,Elite Build,Factory New,1,1,0
Mar 17 2016,2016-03-17,80.24,21.331463919657867,27.774695946419303,21.331463919657867,19.19775978129481,17.012112183097926,19.06419132539622,5,AWP | Elite Build,AWP,Elite Build,Factory New,1,1,0
Mar 18 2016,2016-03-18,80.107,21.67417187430196,27.959896268803263,21.67417187430196,19.19775978129481,17.012112183097926,19.06419132539622,6,AWP | Elite Build,AWP,Elite Build,Factory New,1,1,0
Mar 19 2016,2016-03-19,84.667,19.486938167315618,27.714740932835863,21.764791766639114,19.19775978129481,17.012112183097926,19.06419132539622,8,AWP | Elite Build,AWP,Elite Build,Factory New,1,1,0
Mar 20 2016,2016-03-20,79.091,19.472615828742523,27.730994677418686,22.033777009181225,19.19775978129481,17.012112183097926,19.06419132539622,5,AWP | Elite Build,AWP,Elite Build,Factory New,1,1,0
Mar 21 2016,2016-03-21,98.618,16.52560965265593,26.856983742910575,21.74304585396389,19.19775978129481,17.012112183097926,19.06419132539622,4,AWP | Elite Build,AWP,Elite Build,Factory New,1,1,0
Mar 22 2016,2016-03-22,99.573,14.95419718178562,25.994969707878198,21.4523257505531,19.19775978129481,17.012112183097926,19.06419132539622,6,AWP | Elite Build,AWP,Elite Build,Factory New,1,1,0
Mar 23 2016,2016-03-23,91.895,14.819793889239522,25.339596922672,21.290170446918083,19.19775978129481,17.012112183097926,19.06419132539622,1,AWP | Elite Build,AWP,Elite Build,Factory New,1,1,0
Mar 24 2016,2016-03-24,87.073,13.138000421213913,24.866826930609797,21.236348465805314,19.19775978129481,17.012112183097926,19.06419132539622,7,AWP | Elite Build,AWP,Elite Build,Factory New,1,1,0
Mar 25 2016,2016-03-25,84.797,12.45799846200469,24.471871109632776,21.230728107815533,19.19775978129481,17.012112183097926,19.06419132539622,4,AWP | Elite Build,AWP,Elite Build,Factory New,1,1,0
Mar 26 2016,2016-03-26,80.763,12.11755665126236,24.244717479585873,21.324208832868706,19.19775978129481,17.012112183097926,19.06419132539622,5,AWP | Elite Build,AWP,Elite Build,Factory New,1,1,0
Mar 27 2016,2016-03-27,86.204,11.905893926476361,23.713429347302725,21.25347492296131,19.19775978129481,17.012112183097926,19.06419132539622,7,AWP | Elite Build,AWP,Elite Build,Factory New,1,1,0
Mar 28 2016,2016-03-28,84.705,12.060248974241395,23.229621589827968,21.20937554273631,19.19775978129481,17.012112183097926,19.06419132539622,11,AWP | Elite Build,AWP,Elite Build,Factory New,1,1,0
Mar 29 2016,2016-03-29,91.95,11.922163947681781,22.522938158606273,21.025847624948717,19.19775978129481,17.012112183097926,19.06419132539622,2,AWP | Elite Build,AWP,Elite Build,Factory New,1,1,0
Mar 30 2016,2016-03-30,84.052,12.066541498477669,22.065291434719008,20.98637442115594,19.19775978129481,17.012112183097926,19.06419132539622,6,AWP | Elite Build,AWP,Elite Build,Factory New,1,1,0
Mar 31 2016,2016-03-31,98.47,11.561978525003608,21.337949579853742,20.747372723050795,19.19775978129481,17.012112183097926,19.06419132539622,5,AWP | Elite Build,AWP,Elite Build,Factory New,1,1,0
Apr 01 2016,2016-04-01,90.464,10.799311911030495,20.706117224964867,20.5923448681062,19.19775978129481,17.012112183097926,19.06419132539622,3,AWP | Elite Build,AWP,Elite Build,Factory New,1,1,0
Apr 02 2016,2016-04-02,94.391,9.850632989813448,20.03319242459165,20.3952495890835,19.19775978129481,17.012112183097926,19.06419132539622,10,AWP | Elite Build,AWP,Elite Build,Factory New,1,1,0
Apr 03 2016,2016-04-03,98.332,9.33830661603984,19.37664647759629,20.177088499326715,19.19775978129481,17.012112183097926,19.06419132539622,4,AWP | Elite Build,AWP,Elite Build,Factory New,1,1,0
Apr 04 2016,2016-04-04,91.736,8.654057126075632,18.78241191403913,20.018100249256165,19.19775978129481,17.012112183097926,19.06419132539622,7,AWP | Elite Build,AWP,Elite Build,Factory New,1,1,0
Apr 05 2016,2016-04-05,102.63,8.861555574502768,18.227533092761753,19.804069012629803,19.19775978129481,17.012112183097926,19.06419132539622,2,AWP | Elite Build,AWP,Elite Build,Factory New,1,1,0
Apr 06 2016,2016-04-06,99.717,8.95290727814354,17.641320080720106,19.600076711593264,19.19775978129481,17.012112183097926,19.06419132539622,6,AWP | Elite Build,AWP,Elite Build,Factory New,1,1,0
Apr 07 2016,2016-04-07,105.8,9.124235351744499,17.198486054217724,19.405668796808552,19.19775978129481,17.012112183097926,19.06419132539622,2,AWP | Elite Build,AWP,Elite Build,Factory New,1,1,0
Apr 08 2016,2016-04-08,98.433,9.186780857084434,16.634003385402146,19.2182097772083,19.19775978129481,17.012112183097926,19.06419132539622,8,AWP | Elite Build,AWP,Elite Build,Factory New,1,1,0
Apr 09 2016,2016-04-09,98.782,9.257467806320395,16.089355204719933,19.03480434328799,19.19775978129481,17.012112183097926,19.06419132539622,8,AWP | Elite Build,AWP,Elite Build,Factory New,1,1,0
