date,py_date,median_price,rolling_30day_sd,ewm_30day_sd,expanding_sd,total_sd,pre_sd,post_sd,volume_sold,item,weapon,skin,wear,stattrak,treated_unit,post_treat
May 28 2015,2015-05-28,381.945,,,,59.63782345321474,52.40856422514416,62.052350209229964,1,AWP | Hyper Beast,AWP,Hyper Beast,Factory New,1,1,0
May 29 2015,2015-05-29,391.89,7.03217693890019,7.032176938900211,7.03217693890019,59.63782345321474,52.40856422514416,62.052350209229964,1,AWP | Hyper Beast,AWP,Hyper Beast,Factory New,1,1,0
May 30 2015,2015-05-30,378.71,6.868777790359314,5.355193162942931,6.868777790359314,59.63782345321474,52.40856422514416,62.052350209229964,1,AWP | Hyper Beast,AWP,Hyper Beast,Factory New,1,1,0
Jun 01 2015,2015-06-01,243.0,70.81326963394645,60.78403864657732,70.81326963394645,59.63782345321474,52.40856422514416,62.052350209229964,1,AWP | Hyper Beast,AWP,Hyper Beast,Factory New,1,1,0
Jun 23 2015,2015-06-23,407.52,66.69687170325157,54.15786908863586,66.69687170325157,59.63782345321474,52.40856422514416,62.052350209229964,1,AWP | Hyper Beast,AWP,Hyper Beast,Factory New,1,1,0
Jun 26 2015,2015-06-26,401.992,62.00119700054185,49.19989342436858,62.00119700054185,59.63782345321474,52.40856422514416,62.052350209229964,4,AWP | Hyper Beast,AWP,Hyper Beast,Factory New,1,1,0
Jun 27 2015,2015-06-27,399.763,57.89706066352756,45.36923514916547,57.89706066352756,59.63782345321474,52.40856422514416,62.052350209229964,2,AWP | Hyper Beast,AWP,Hyper Beast,Factory New,1,1,0
Jun 30 2015,2015-06-30,402.471,54.66600518979518,42.49337930212417,54.66600518979518,59.63782345321474,52.40856422514416,62.052350209229964,2,AWP | Hyper Beast,AWP,Hyper Beast,Factory New,1,1,0
Jul 02 2015,2015-07-02,399.707,51.746886370099595,39.98561233737184,51.746886370099595,59.63782345321474,52.40856422514416,62.052350209229964,1,AWP | Hyper Beast,AWP,Hyper Beast,Factory New,1,1,0
Jul 03 2015,2015-07-03,395.114,49.06763188543384,37.68727836190746,49.06763188543384,59.63782345321474,52.40856422514416,62.052350209229964,4,AWP | Hyper Beast,AWP,Hyper Beast,Factory New,1,1,0
Jul 04 2015,2015-07-04,400.0,46.93046921098952,35.87765449945767,46.93046921098952,59.63782345321474,52.40856422514416,62.052350209229964,1,AWP | Hyper Beast,AWP,Hyper Beast,Factory New,1,1,0
Jul 05 2015,2015-07-05,399.99,45.04646467512487,34.27391869049964,45.04646467512487,59.63782345321474,52.40856422514416,62.052350209229964,1,AWP | Hyper Beast,AWP,Hyper Beast,Factory New,1,1,0
Jul 06 2015,2015-07-06,401.076,43.40305390531514,32.872033526676525,43.40305390531514,59.63782345321474,52.40856422514416,62.052350209229964,5,AWP | Hyper Beast,AWP,Hyper Beast,Factory New,1,1,0
Jul 07 2015,2015-07-07,397.038,41.82713059804525,31.460668729455232,41.82713059804525,59.63782345321474,52.40856422514416,62.052350209229964,1,AWP | Hyper Beast,AWP,Hyper Beast,Factory New,1,1,0
Jul 08 2015,2015-07-08,309.661,44.83644970471914,36.556477209331014,44.83644970471914,59.63782345321474,52.40856422514416,62.052350209229964,4,AWP | Hyper Beast,AWP,Hyper Beast,Factory New,1,1,0
Jul 09 2015,2015-07-09,401.592,43.63112469055204,35.37824210171339,43.63112469055204,59.63782345321474,52.40856422514416,62.052350209229964,4,AWP | Hyper Beast,AWP,Hyper Beast,Factory New,1,1,0
Jul 10 2015,2015-07-10,404.599,42.600771112273236,34.384850936306066,42.600771112273236,59.63782345321474,52.40856422514416,62.052350209229964,1,AWP | Hyper Beast,AWP,Hyper Beast,Factory New,1,1,0
Jul 11 2015,2015-07-11,382.507,41.32923924841759,32.984712442324266,41.32923924841759,59.63782345321474,52.40856422514416,62.052350209229964,5,AWP | Hyper Beast,AWP,Hyper Beast,Factory New,1,1,0
Jul 12 2015,2015-07-12,391.875,40.21346481230542,31.741845398046916,40.21346481230542,59.63782345321474,52.40856422514416,62.052350209229964,6,AWP | Hyper Beast,AWP,Hyper Beast,Factory New,1,1,0
Jul 13 2015,2015-07-13,372.577,39.219967737009995,30.670177381132604,39.219967737009995,59.63782345321474,52.40856422514416,62.052350209229964,8,AWP | Hyper Beast,AWP,Hyper Beast,Factory New,1,1,0
Jul 14 2015,2015-07-14,395.968,38.3290723985506,29.674776091387205,38.3290723985506,59.63782345321474,52.40856422514416,62.052350209229964,3,AWP | Hyper Beast,AWP,Hyper Beast,Factory New,1,1,0
Jul 15 2015,2015-07-15,372.663,37.48011352785109,28.73287836726273,37.48011352785109,59.63782345321474,52.40856422514416,62.052350209229964,6,AWP | Hyper Beast,AWP,Hyper Beast,Factory New,1,1,0
Jul 16 2015,2015-07-16,356.691,37.03500421751433,28.540210662569137,37.03500421751433,59.63782345321474,52.40856422514416,62.052350209229964,3,AWP | Hyper Beast,AWP,Hyper Beast,Factory New,1,1,0
Jul 17 2015,2015-07-17,359.404,36.51607869062911,28.111171257869216,36.51607869062911,59.63782345321474,52.40856422514416,62.052350209229964,5,AWP | Hyper Beast,AWP,Hyper Beast,Factory New,1,1,0
Jul 18 2015,2015-07-18,366.482,35.86750842684783,27.344330349679876,35.86750842684783,59.63782345321474,52.40856422514416,62.052350209229964,2,AWP | Hyper Beast,AWP,Hyper Beast,Factory New,1,1,0
Jul 19 2015,2015-07-19,360.255,35.36793949092661,26.836330088011227,35.36793949092661,59.63782345321474,52.40856422514416,62.052350209229964,4,AWP | Hyper Beast,AWP,Hyper Beast,Factory New,1,1,0
Jul 20 2015,2015-07-20,360.657,34.87600079332753,26.28608269206816,34.87600079332753,59.63782345321474,52.40856422514416,62.052350209229964,5,AWP | Hyper Beast,AWP,Hyper Beast,Factory New,1,1,0
Jul 21 2015,2015-07-21,379.567,34.22417943493619,25.379738968502345,34.22417943493619,59.63782345321474,52.40856422514416,62.052350209229964,9,AWP | Hyper Beast,AWP,Hyper Beast,Factory New,1,1,0
Jul 22 2015,2015-07-22,361.441,33.76702364664677,24.835482118647075,33.76702364664677,59.63782345321474,52.40856422514416,62.052350209229964,4,AWP | Hyper Beast,AWP,Hyper Beast,Factory New,1,1,0
Jul 23 2015,2015-07-23,372.647,33.196860057790886,24.002978226644693,33.196860057790886,59.63782345321474,52.40856422514416,62.052350209229964,4,AWP | Hyper Beast,AWP,Hyper Beast,Factory New,1,1,0
Jul 24 2015,2015-07-24,394.491,33.323231690777554,23.64191702507831,32.76828393467769,59.63782345321474,52.40856422514416,62.052350209229964,3,AWP | Hyper Beast,AWP,Hyper Beast,Factory New,1,1,0
Jul 25 2015,2015-07-25,386.59,33.26495409942394,22.958789508901685,32.26471202223916,59.63782345321474,52.40856422514416,62.052350209229964,1,AWP | Hyper Beast,AWP,Hyper Beast,Factory New,1,1,0
Jul 26 2015,2015-07-26,338.363,34.06365687182763,24.315083105118187,32.537154810710426,59.63782345321474,52.40856422514416,62.052350209229964,3,AWP | Hyper Beast,AWP,Hyper Beast,Factory New,1,1,0
Jul 27 2015,2015-07-27,353.124,23.354549582739622,24.153620316021712,32.319217858977396,59.63782345321474,52.40856422514416,62.052350209229964,5,AWP | Hyper Beast,AWP,Hyper Beast,Factory New,1,1,0
