date,py_date,median_price,volume_sold,item,weapon,skin,wear,stattrak,treated_unit,post_treat
May 27 2015,2015-05-27,256.341,26,AWP | Hyper Beast,AWP,Hyper Beast,Field-Tested,1,1,0
May 28 2015,2015-05-28,193.545,19,AWP | Hyper Beast,AWP,Hyper Beast,Field-Tested,1,1,0
May 29 2015,2015-05-29,215.369,12,AWP | Hyper Beast,AWP,Hyper Beast,Field-Tested,1,1,0
May 30 2015,2015-05-30,228.011,14,AWP | Hyper Beast,AWP,Hyper Beast,Field-Tested,1,1,0
May 31 2015,2015-05-31,237.384,6,AWP | Hyper Beast,AWP,Hyper Beast,Field-Tested,1,1,0
Jun 01 2015,2015-06-01,247.972,8,AWP | Hyper Beast,AWP,Hyper Beast,Field-Tested,1,1,0
Jun 02 2015,2015-06-02,266.397,9,AWP | Hyper Beast,AWP,Hyper Beast,Field-Tested,1,1,0
Jun 03 2015,2015-06-03,248.486,5,AWP | Hyper Beast,AWP,Hyper Beast,Field-Tested,1,1,0
Jun 04 2015,2015-06-04,208.199,5,AWP | Hyper Beast,AWP,Hyper Beast,Field-Tested,1,1,0
Jun 05 2015,2015-06-05,170.177,22,AWP | Hyper Beast,AWP,Hyper Beast,Field-Tested,1,1,0
Jun 06 2015,2015-06-06,206.598,10,AWP | Hyper Beast,AWP,Hyper Beast,Field-Tested,1,1,0
Jun 07 2015,2015-06-07,219.235,6,AWP | Hyper Beast,AWP,Hyper Beast,Field-Tested,1,1,0
Jun 08 2015,2015-06-08,212.94,15,AWP | Hyper Beast,AWP,Hyper Beast,Field-Tested,1,1,0
Jun 09 2015,2015-06-09,222.911,9,AWP | Hyper Beast,AWP,Hyper Beast,Field-Tested,1,1,0
Jun 10 2015,2015-06-10,232.493,7,AWP | Hyper Beast,AWP,Hyper Beast,Field-Tested,1,1,0
Jun 11 2015,2015-06-11,205.365,9,AWP | Hyper Beast,AWP,Hyper Beast,Field-Tested,1,1,0
Jun 12 2015,2015-06-12,217.38,6,AWP | Hyper Beast,AWP,Hyper Beast,Field-Tested,1,1,0
Jun 13 2015,2015-06-13,208.038,10,AWP | Hyper Beast,AWP,Hyper Beast,Field-Tested,1,1,0
Jun 14 2015,2015-06-14,210.66,10,AWP | Hyper Beast,AWP,Hyper Beast,Field-Tested,1,1,0
Jun 15 2015,2015-06-15,209.627,10,AWP | Hyper Beast,AWP,Hyper Beast,Field-Tested,1,1,0
Jun 16 2015,2015-06-16,199.993,14,AWP | Hyper Beast,AWP,Hyper Beast,Field-Tested,1,1,0
Jun 17 2015,2015-06-17,216.19,8,AWP | Hyper Beast,AWP,Hyper Beast,Field-Tested,1,1,0
Jun 18 2015,2015-06-18,211.726,2,AWP | Hyper Beast,AWP,Hyper Beast,Field-Tested,1,1,0
Jun 19 2015,2015-06-19,201.257,11,AWP | Hyper Beast,AWP,Hyper Beast,Field-Tested,1,1,0
Jun 20 2015,2015-06-20,200.056,7,AWP | Hyper Beast,AWP,Hyper Beast,Field-Tested,1,1,0
