date,py_date,median_price,volume_sold,item,weapon,skin,wear,stattrak,treated_unit,post_treat
Jan 10 2015,2015-01-10,194.992,1,AWP | Man-o'-war,AWP,Man-o'-war,Field-Tested,1,1,0
Jan 11 2015,2015-01-11,199.791,1,AWP | Man-o'-war,AWP,Man-o'-war,Field-Tested,1,1,0
Jan 12 2015,2015-01-12,184.975,4,AWP | Man-o'-war,AWP,Man-o'-war,Field-Tested,1,1,0
Jan 13 2015,2015-01-13,177.002,2,AWP | Man-o'-war,AWP,Man-o'-war,Field-Tested,1,1,0
Jan 15 2015,2015-01-15,171.578,2,AWP | Man-o'-war,AWP,Man-o'-war,Field-Tested,1,1,0
Jan 16 2015,2015-01-16,176.075,4,AWP | Man-o'-war,AWP,Man-o'-war,Field-Tested,1,1,0
Jan 18 2015,2015-01-18,179.389,1,AWP | Man-o'-war,AWP,Man-o'-war,Field-Tested,1,1,0
Jan 19 2015,2015-01-19,139.329,2,AWP | Man-o'-war,AWP,Man-o'-war,Field-Tested,1,1,0
Jan 20 2015,2015-01-20,117.941,4,AWP | Man-o'-war,AWP,Man-o'-war,Field-Tested,1,1,0
Jan 21 2015,2015-01-21,112.814,5,AWP | Man-o'-war,AWP,Man-o'-war,Field-Tested,1,1,0
Jan 22 2015,2015-01-22,140.63,4,AWP | Man-o'-war,AWP,Man-o'-war,Field-Tested,1,1,0
Jan 23 2015,2015-01-23,134.87,1,AWP | Man-o'-war,AWP,Man-o'-war,Field-Tested,1,1,0
Jan 24 2015,2015-01-24,134.385,1,AWP | Man-o'-war,AWP,Man-o'-war,Field-Tested,1,1,0
Jan 25 2015,2015-01-25,104.574,1,AWP | Man-o'-war,AWP,Man-o'-war,Field-Tested,1,1,0
Jan 26 2015,2015-01-26,99.08,5,AWP | Man-o'-war,AWP,Man-o'-war,Field-Tested,1,1,0
Jan 27 2015,2015-01-27,94.364,8,AWP | Man-o'-war,AWP,Man-o'-war,Field-Tested,1,1,0
Jan 28 2015,2015-01-28,106.216,6,AWP | Man-o'-war,AWP,Man-o'-war,Field-Tested,1,1,0
Jan 29 2015,2015-01-29,107.197,5,AWP | Man-o'-war,AWP,Man-o'-war,Field-Tested,1,1,0
Jan 30 2015,2015-01-30,118.614,7,AWP | Man-o'-war,AWP,Man-o'-war,Field-Tested,1,1,0
Jan 31 2015,2015-01-31,125.329,8,AWP | Man-o'-war,AWP,Man-o'-war,Field-Tested,1,1,0
Feb 01 2015,2015-02-01,109.205,4,AWP | Man-o'-war,AWP,Man-o'-war,Field-Tested,1,1,0
Feb 02 2015,2015-02-02,102.212,8,AWP | Man-o'-war,AWP,Man-o'-war,Field-Tested,1,1,0
Feb 03 2015,2015-02-03,116.659,2,AWP | Man-o'-war,AWP,Man-o'-war,Field-Tested,1,1,0
Feb 04 2015,2015-02-04,109.721,8,AWP | Man-o'-war,AWP,Man-o'-war,Field-Tested,1,1,0
Feb 05 2015,2015-02-05,104.589,1,AWP | Man-o'-war,AWP,Man-o'-war,Field-Tested,1,1,0
Feb 06 2015,2015-02-06,108.77,6,AWP | Man-o'-war,AWP,Man-o'-war,Field-Tested,1,1,0
Feb 07 2015,2015-02-07,112.167,3,AWP | Man-o'-war,AWP,Man-o'-war,Field-Tested,1,1,0
Feb 08 2015,2015-02-08,104.482,4,AWP | Man-o'-war,AWP,Man-o'-war,Field-Tested,1,1,0
Feb 09 2015,2015-02-09,101.525,4,AWP | Man-o'-war,AWP,Man-o'-war,Field-Tested,1,1,0
Feb 10 2015,2015-02-10,99.872,3,AWP | Man-o'-war,AWP,Man-o'-war,Field-Tested,1,1,0
Feb 11 2015,2015-02-11,99.864,6,AWP | Man-o'-war,AWP,Man-o'-war,Field-Tested,1,1,0
Feb 12 2015,2015-02-12,97.159,2,AWP | Man-o'-war,AWP,Man-o'-war,Field-Tested,1,1,0
Feb 13 2015,2015-02-13,99.068,2,AWP | Man-o'-war,AWP,Man-o'-war,Field-Tested,1,1,0
Feb 14 2015,2015-02-14,110.716,5,AWP | Man-o'-war,AWP,Man-o'-war,Field-Tested,1,1,0
Feb 15 2015,2015-02-15,100.99,1,AWP | Man-o'-war,AWP,Man-o'-war,Field-Tested,1,1,0
Feb 16 2015,2015-02-16,94.947,5,AWP | Man-o'-war,AWP,Man-o'-war,Field-Tested,1,1,0
Feb 17 2015,2015-02-17,101.073,5,AWP | Man-o'-war,AWP,Man-o'-war,Field-Tested,1,1,0
Feb 18 2015,2015-02-18,81.986,3,AWP | Man-o'-war,AWP,Man-o'-war,Field-Tested,1,1,0
Feb 19 2015,2015-02-19,85.8,7,AWP | Man-o'-war,AWP,Man-o'-war,Field-Tested,1,1,0
Feb 20 2015,2015-02-20,92.569,8,AWP | Man-o'-war,AWP,Man-o'-war,Field-Tested,1,1,0
Feb 21 2015,2015-02-21,96.717,4,AWP | Man-o'-war,AWP,Man-o'-war,Field-Tested,1,1,0
Feb 22 2015,2015-02-22,91.291,6,AWP | Man-o'-war,AWP,Man-o'-war,Field-Tested,1,1,0
Feb 23 2015,2015-02-23,101.703,3,AWP | Man-o'-war,AWP,Man-o'-war,Field-Tested,1,1,0
Feb 24 2015,2015-02-24,94.102,8,AWP | Man-o'-war,AWP,Man-o'-war,Field-Tested,1,1,0
Feb 25 2015,2015-02-25,96.577,3,AWP | Man-o'-war,AWP,Man-o'-war,Field-Tested,1,1,0
Feb 26 2015,2015-02-26,97.052,3,AWP | Man-o'-war,AWP,Man-o'-war,Field-Tested,1,1,0
Feb 27 2015,2015-02-27,100.325,6,AWP | Man-o'-war,AWP,Man-o'-war,Field-Tested,1,1,0
Feb 28 2015,2015-02-28,105.482,4,AWP | Man-o'-war,AWP,Man-o'-war,Field-Tested,1,1,0
Mar 01 2015,2015-03-01,89.077,7,AWP | Man-o'-war,AWP,Man-o'-war,Field-Tested,1,1,0
Mar 02 2015,2015-03-02,94.144,5,AWP | Man-o'-war,AWP,Man-o'-war,Field-Tested,1,1,0
Mar 03 2015,2015-03-03,100.517,1,AWP | Man-o'-war,AWP,Man-o'-war,Field-Tested,1,1,0
Mar 04 2015,2015-03-04,97.459,6,AWP | Man-o'-war,AWP,Man-o'-war,Field-Tested,1,1,0
Mar 05 2015,2015-03-05,100.219,1,AWP | Man-o'-war,AWP,Man-o'-war,Field-Tested,1,1,0
Mar 06 2015,2015-03-06,92.425,11,AWP | Man-o'-war,AWP,Man-o'-war,Field-Tested,1,1,0
Mar 07 2015,2015-03-07,90.832,5,AWP | Man-o'-war,AWP,Man-o'-war,Field-Tested,1,1,0
Mar 08 2015,2015-03-08,88.393,6,AWP | Man-o'-war,AWP,Man-o'-war,Field-Tested,1,1,0
Mar 09 2015,2015-03-09,80.555,8,AWP | Man-o'-war,AWP,Man-o'-war,Field-Tested,1,1,0
Mar 10 2015,2015-03-10,83.172,10,AWP | Man-o'-war,AWP,Man-o'-war,Field-Tested,1,1,0
Mar 11 2015,2015-03-11,93.323,4,AWP | Man-o'-war,AWP,Man-o'-war,Field-Tested,1,1,0
Mar 12 2015,2015-03-12,78.882,5,AWP | Man-o'-war,AWP,Man-o'-war,Field-Tested,1,1,0
Mar 13 2015,2015-03-13,89.405,6,AWP | Man-o'-war,AWP,Man-o'-war,Field-Tested,1,1,0
Mar 14 2015,2015-03-14,92.056,8,AWP | Man-o'-war,AWP,Man-o'-war,Field-Tested,1,1,0
Mar 15 2015,2015-03-15,76.08,2,AWP | Man-o'-war,AWP,Man-o'-war,Field-Tested,1,1,0
Mar 16 2015,2015-03-16,86.088,5,AWP | Man-o'-war,AWP,Man-o'-war,Field-Tested,1,1,0
Mar 17 2015,2015-03-17,83.288,7,AWP | Man-o'-war,AWP,Man-o'-war,Field-Tested,1,1,0
Mar 18 2015,2015-03-18,82.042,7,AWP | Man-o'-war,AWP,Man-o'-war,Field-Tested,1,1,0
Mar 19 2015,2015-03-19,91.701,5,AWP | Man-o'-war,AWP,Man-o'-war,Field-Tested,1,1,0
Mar 20 2015,2015-03-20,99.516,2,AWP | Man-o'-war,AWP,Man-o'-war,Field-Tested,1,1,0
Mar 21 2015,2015-03-21,89.649,8,AWP | Man-o'-war,AWP,Man-o'-war,Field-Tested,1,1,0
Mar 22 2015,2015-03-22,97.022,3,AWP | Man-o'-war,AWP,Man-o'-war,Field-Tested,1,1,0
