date,py_date,median_price,rolling_30day_sd,ewm_30day_sd,expanding_sd,total_sd,pre_sd,post_sd,volume_sold,item,weapon,skin,wear,stattrak,treated_unit,post_treat
Jan 09 2015,2015-01-09,312.129,,,,30.62980114355107,26.45170567197574,29.59447172550897,17,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,1,1,0
Jan 10 2015,2015-01-10,277.982,24.145575257177054,24.145575257177036,24.145575257177054,30.62980114355107,26.45170567197574,29.59447172550897,15,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,1,1,0
Jan 11 2015,2015-01-11,226.451,43.131931817776675,46.356019052598036,43.131931817776675,30.62980114355107,26.45170567197574,29.59447172550897,10,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,1,1,0
Jan 12 2015,2015-01-12,206.771,48.06315145982422,56.89478033726178,48.06315145982422,30.62980114355107,26.45170567197574,29.59447172550897,7,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,1,1,0
Jan 13 2015,2015-01-13,186.635,51.867421921664885,65.54264212334279,51.867421921664885,30.62980114355107,26.45170567197574,29.59447172550897,15,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,1,1,0
Jan 14 2015,2015-01-14,189.72,51.06471490439039,68.77977780108891,51.06471490439039,30.62980114355107,26.45170567197574,29.59447172550897,10,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,1,1,0
Jan 15 2015,2015-01-15,189.164,49.50810741494293,70.28986804664112,49.50810741494293,30.62980114355107,26.45170567197574,29.59447172550897,16,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,1,1,0
Jan 16 2015,2015-01-16,189.12,47.75001515332597,70.80797171733713,47.75001515332597,30.62980114355107,26.45170567197574,29.59447172550897,14,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,1,1,0
Jan 17 2015,2015-01-17,200.396,45.25599767986562,69.53693131813058,45.25599767986562,30.62980114355107,26.45170567197574,29.59447172550897,8,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,1,1,0
Jan 18 2015,2015-01-18,161.447,46.48938819236066,72.51417728471505,46.48938819236066,30.62980114355107,26.45170567197574,29.59447172550897,21,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,1,1,0
Jan 19 2015,2015-01-19,153.894,47.67981608395739,75.11026983344189,47.67981608395739,30.62980114355107,26.45170567197574,29.59447172550897,15,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,1,1,0
Jan 20 2015,2015-01-20,130.838,50.690796097441854,79.28271447395169,50.690796097441854,30.62980114355107,26.45170567197574,29.59447172550897,15,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,1,1,0
Jan 21 2015,2015-01-21,139.77,51.51459856818286,80.95673761231731,51.51459856818286,30.62980114355107,26.45170567197574,29.59447172550897,15,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,1,1,0
Jan 22 2015,2015-01-22,151.406,50.987960938273055,80.80635896636821,50.987960938273055,30.62980114355107,26.45170567197574,29.59447172550897,11,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,1,1,0
Jan 23 2015,2015-01-23,158.979,49.95744671818208,79.75518436782461,49.95744671818208,30.62980114355107,26.45170567197574,29.59447172550897,14,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,1,1,0
Jan 24 2015,2015-01-24,154.947,49.127824002926296,78.81566921831053,49.127824002926296,30.62980114355107,26.45170567197574,29.59447172550897,8,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,1,1,0
Jan 25 2015,2015-01-25,131.122,49.62014513628098,79.44577126498261,49.62014513628098,30.62980114355107,26.45170567197574,29.59447172550897,20,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,1,1,0
Jan 26 2015,2015-01-26,132.551,49.75547960718676,79.47639614997397,49.75547960718676,30.62980114355107,26.45170567197574,29.59447172550897,13,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,1,1,0
Jan 27 2015,2015-01-27,128.815,49.923804816683095,79.41286795828562,49.923804816683095,30.62980114355107,26.45170567197574,29.59447172550897,17,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,1,1,0
Jan 28 2015,2015-01-28,135.615,49.600497174290936,78.5752046541333,49.600497174290936,30.62980114355107,26.45170567197574,29.59447172550897,13,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,1,1,0
Jan 29 2015,2015-01-29,128.317,49.539988809955105,77.99903727365829,49.539988809955105,30.62980114355107,26.45170567197574,29.59447172550897,18,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,1,1,0
Jan 30 2015,2015-01-30,142.173,48.86625942304159,76.44694230538686,48.86625942304159,30.62980114355107,26.45170567197574,29.59447172550897,16,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,1,1,0
Jan 31 2015,2015-01-31,154.716,47.91196837943621,74.33642835138846,47.91196837943621,30.62980114355107,26.45170567197574,29.59447172550897,16,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,1,1,0
Feb 01 2015,2015-02-01,136.533,47.451914389364525,73.0212349954725,47.451914389364525,30.62980114355107,26.45170567197574,29.59447172550897,12,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,1,1,0
Feb 02 2015,2015-02-02,134.541,47.041828601894295,71.72404904415949,47.041828601894295,30.62980114355107,26.45170567197574,29.59447172550897,13,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,1,1,0
Feb 03 2015,2015-02-03,138.623,46.504543498077865,70.17122053473909,46.504543498077865,30.62980114355107,26.45170567197574,29.59447172550897,17,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,1,1,0
Feb 04 2015,2015-02-04,136.359,46.03073348117337,68.68281638626,46.03073348117337,30.62980114355107,26.45170567197574,29.59447172550897,15,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,1,1,0
Feb 05 2015,2015-02-05,124.298,45.910319847589136,67.7159111001514,45.910319847589136,30.62980114355107,26.45170567197574,29.59447172550897,15,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,1,1,0
Feb 06 2015,2015-02-06,121.77,45.83141637566965,66.76309896997425,45.83141637566965,30.62980114355107,26.45170567197574,29.59447172550897,23,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,1,1,0
Feb 07 2015,2015-02-07,127.013,45.55573781195904,65.45796991834231,45.55573781195904,30.62980114355107,26.45170567197574,29.59447172550897,34,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,1,1,0
Feb 08 2015,2015-02-08,115.452,36.70712526898073,64.64654565997613,45.61051601443713,30.62980114355107,26.45170567197574,29.59447172550897,24,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,1,1,0
Feb 09 2015,2015-02-09,111.979,29.650812351589884,63.88861374382621,45.72695381277839,30.62980114355107,26.45170567197574,29.59447172550897,18,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,1,1,0
Feb 10 2015,2015-02-10,114.547,26.771535899610573,62.87409097924728,45.7060173893198,30.62980114355107,26.45170567197574,29.59447172550897,22,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,1,1,0
Feb 11 2015,2015-02-11,120.106,24.765288328255114,61.53692640876544,45.497533270121096,30.62980114355107,26.45170567197574,29.59447172550897,13,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,1,1,0
Feb 12 2015,2015-02-12,117.25,23.939604795348462,60.281170287765875,45.34372001160421,30.62980114355107,26.45170567197574,29.59447172550897,17,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,1,1,0
Feb 13 2015,2015-02-13,105.254,23.13366451843987,59.53040908966029,45.503595481897456,30.62980114355107,26.45170567197574,29.59447172550897,23,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,1,1,0
Feb 14 2015,2015-02-14,111.961,21.674155464489274,58.36130463650626,45.42639803967357,30.62980114355107,26.45170567197574,29.59447172550897,25,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,1,1,0
Feb 15 2015,2015-02-15,108.219,19.927338217813386,57.30425547126709,45.42007287167043,30.62980114355107,26.45170567197574,29.59447172550897,28,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,1,1,0
Feb 16 2015,2015-02-16,112.477,15.936436593722782,56.021046103046174,45.281453951310674,30.62980114355107,26.45170567197574,29.59447172550897,18,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,1,1,0
Feb 17 2015,2015-02-17,106.315,15.521363531019702,54.95899760074823,45.27148603004533,30.62980114355107,26.45170567197574,29.59447172550897,19,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,1,1,0
Feb 18 2015,2015-02-18,98.428,15.81948586228787,54.20369456821931,45.439666977870296,30.62980114355107,26.45170567197574,29.59447172550897,21,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,1,1,0
Feb 19 2015,2015-02-19,104.302,16.369091777725043,53.099911243962836,45.41760462650878,30.62980114355107,26.45170567197574,29.59447172550897,26,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,1,1,0
Feb 20 2015,2015-02-20,106.098,16.60147749635761,51.89389355087779,45.332706370998395,30.62980114355107,26.45170567197574,29.59447172550897,33,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,1,1,0
Feb 21 2015,2015-02-21,110.48,16.087482632415647,50.53126296585638,45.145283787468394,30.62980114355107,26.45170567197574,29.59447172550897,21,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,1,1,0
Feb 22 2015,2015-02-22,112.585,14.819616007248566,49.122695679357186,44.914378122369584,30.62980114355107,26.45170567197574,29.59447172550897,16,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,1,1,0
Feb 23 2015,2015-02-23,107.217,13.77003162977691,47.88705553542718,44.7739410479005,30.62980114355107,26.45170567197574,29.59447172550897,17,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,1,1,0
Feb 24 2015,2015-02-24,104.125,13.977843648711168,46.754039526151765,44.68194008302228,30.62980114355107,26.45170567197574,29.59447172550897,22,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,1,1,0
Feb 25 2015,2015-02-25,108.695,13.933636886136789,45.47651560152533,44.49711213220403,30.62980114355107,26.45170567197574,29.59447172550897,30,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,1,1,0
Feb 26 2015,2015-02-26,108.308,13.96264354659226,44.22560759896777,44.31373898010761,30.62980114355107,26.45170567197574,29.59447172550897,26,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,1,1,0
Feb 27 2015,2015-02-27,110.084,13.677049016467317,42.94918263136065,44.09917938715885,30.62980114355107,26.45170567197574,29.59447172550897,28,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,1,1,0
Feb 28 2015,2015-02-28,108.162,13.644764525836136,41.742543587381576,43.91113081575594,30.62980114355107,26.45170567197574,29.59447172550897,26,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,1,1,0
Mar 01 2015,2015-03-01,106.075,12.946666818897413,40.60869197504826,43.751388453468934,30.62980114355107,26.45170567197574,29.59447172550897,28,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,1,1,0
Mar 02 2015,2015-03-02,107.795,10.76719983817387,39.44615189570751,43.562074696967876,30.62980114355107,26.45170567197574,29.59447172550897,18,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,1,1,0
Mar 03 2015,2015-03-03,106.411,10.020465143320683,38.337747149017225,43.39004292947154,30.62980114355107,26.45170567197574,29.59447172550897,26,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,1,1,0
Mar 04 2015,2015-03-04,115.026,9.207755437048966,37.10449665815777,43.111258698984585,30.62980114355107,26.45170567197574,29.59447172550897,26,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,1,1,0
Mar 05 2015,2015-03-05,111.884,7.815545733293003,35.94650035166134,42.86980982661492,30.62980114355107,26.45170567197574,29.59447172550897,26,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,1,1,0
Mar 06 2015,2015-03-06,106.709,6.362905786802378,34.91723584609012,42.692393714610716,30.62980114355107,26.45170567197574,29.59447172550897,29,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,1,1,0
Mar 07 2015,2015-03-07,107.187,5.8749642331021,33.89650125565627,42.50748101515876,30.62980114355107,26.45170567197574,29.59447172550897,26,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,1,1,0
Mar 08 2015,2015-03-08,102.328,5.644985696407277,33.01991615596901,42.385133956490485,30.62980114355107,26.45170567197574,29.59447172550897,26,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,1,1,0
Mar 09 2015,2015-03-09,102.772,4.753070045867053,32.13574225919535,42.2525598982586,30.62980114355107,26.45170567197574,29.59447172550897,18,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,1,1,0
Mar 10 2015,2015-03-10,107.819,4.594159535157857,31.150879333044113,42.0559488219143,30.62980114355107,26.45170567197574,29.59447172550897,19,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,1,1,0
Mar 11 2015,2015-03-11,98.361,4.918926174750216,30.43581078752473,41.97860886481681,30.62980114355107,26.45170567197574,29.59447172550897,26,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,1,1,0
Mar 12 2015,2015-03-12,97.196,5.16480520813033,29.753282093773024,41.91171524078291,30.62980114355107,26.45170567197574,29.59447172550897,21,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,1,1,0
Mar 13 2015,2015-03-13,103.858,4.639219302262174,28.875458680578962,41.75384232884707,30.62980114355107,26.45170567197574,29.59447172550897,35,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,1,1,0
Mar 14 2015,2015-03-14,105.432,4.232683641113084,27.98829253394727,41.57788204424433,30.62980114355107,26.45170567197574,29.59447172550897,25,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,1,1,0
Mar 15 2015,2015-03-15,99.397,4.432917454005002,27.26145454348165,41.470874560068324,30.62980114355107,26.45170567197574,29.59447172550897,27,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,1,1,0
Mar 16 2015,2015-03-16,97.223,4.622156333121515,26.606337765220204,41.38781009470175,30.62980114355107,26.45170567197574,29.59447172550897,20,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,1,1,0
Mar 17 2015,2015-03-17,96.6,4.910408926600314,25.96854273402755,41.308241078516964,30.62980114355107,26.45170567197574,29.59447172550897,29,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,1,1,0
Mar 18 2015,2015-03-18,100.64,4.817188639259022,25.217379900529075,41.17684810467483,30.62980114355107,26.45170567197574,29.59447172550897,22,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,1,1,0
Mar 19 2015,2015-03-19,108.134,4.842432307634489,24.39129716657533,40.97306330683817,30.62980114355107,26.45170567197574,29.59447172550897,25,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,1,1,0
Mar 20 2015,2015-03-20,101.384,4.726227435414386,23.668017286635788,40.83309991307377,30.62980114355107,26.45170567197574,29.59447172550897,27,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,1,1,0
Mar 21 2015,2015-03-21,99.638,4.839274413765294,22.99892957555688,40.71044340811251,30.62980114355107,26.45170567197574,29.59447172550897,31,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,1,1,0
Mar 22 2015,2015-03-22,101.185,4.892568434376444,22.308568594100233,40.57071079096931,30.62980114355107,26.45170567197574,29.59447172550897,26,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,1,1,0
Mar 23 2015,2015-03-23,101.624,4.822834405797741,21.626876326402687,40.426308804837,30.62980114355107,26.45170567197574,29.59447172550897,27,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,1,1,0
Mar 24 2015,2015-03-24,100.863,4.641386881020552,20.97602466485143,40.28890633450639,30.62980114355107,26.45170567197574,29.59447172550897,24,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,1,1,0
Mar 25 2015,2015-03-25,101.354,4.642309506115903,20.33235369853681,40.14664197865251,30.62980114355107,26.45170567197574,29.59447172550897,29,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,1,1,0
Mar 26 2015,2015-03-26,103.503,4.644086084943644,19.67859223375895,39.9859450177613,30.62980114355107,26.45170567197574,29.59447172550897,31,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,1,1,0
Mar 27 2015,2015-03-27,103.448,4.566662671363233,19.045513939015887,39.82659507639904,30.62980114355107,26.45170567197574,29.59447172550897,32,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,1,1,0
Mar 28 2015,2015-03-28,95.702,4.734739149012838,18.60022978793629,39.738821054762795,30.62980114355107,26.45170567197574,29.59447172550897,35,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,1,1,0
Mar 29 2015,2015-03-29,93.568,4.910910545530874,18.229459781587064,39.67121145291145,30.62980114355107,26.45170567197574,29.59447172550897,35,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,1,1,0
Mar 30 2015,2015-03-30,91.722,5.227028024835268,17.922338279173502,39.620642423142634,30.62980114355107,26.45170567197574,29.59447172550897,32,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,1,1,0
Mar 31 2015,2015-03-31,95.159,5.347744067931024,17.467230649832533,39.53102995885571,30.62980114355107,26.45170567197574,29.59447172550897,32,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,1,1,0
Apr 01 2015,2015-04-01,85.58,6.030798201206679,17.45889816216052,39.545324622393075,30.62980114355107,26.45170567197574,29.59447172550897,47,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,1,1,0
Apr 02 2015,2015-04-02,86.77,6.513724088326904,17.31351100842564,39.538993436286084,30.62980114355107,26.45170567197574,29.59447172550897,41,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,1,1,0
Apr 03 2015,2015-04-03,86.475,6.439112249174639,17.138745448874378,39.530836628647045,30.62980114355107,26.45170567197574,29.59447172550897,57,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,1,1,0
Apr 04 2015,2015-04-04,87.686,6.386484277475082,16.86613097629764,39.50409857642073,30.62980114355107,26.45170567197574,29.59447172550897,42,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,1,1,0
