date,py_date,median_price,rolling_30day_sd,ewm_30day_sd,expanding_sd,total_sd,pre_sd,post_sd,volume_sold,item,equip,skin,wear,stattrak,treated_unit,post_treat
Dec 19 2013,2013-12-19,396.317,,,,28.69322266335191,12.916930676251804,29.427608187389254,1,AWP | Redline,AWP,Redline,Field-Tested,1,1,0
Dec 20 2013,2013-12-20,120.982,194.69124559799806,194.69124559799812,194.69124559799806,28.69322266335191,12.916930676251804,29.427608187389254,1,AWP | Redline,AWP,Redline,Field-Tested,1,1,0
Dec 21 2013,2013-12-21,117.607,159.94791701780093,192.52833099092086,159.94791701780093,28.69322266335191,12.916930676251804,29.427608187389254,5,AWP | Redline,AWP,Redline,Field-Tested,1,1,0
Dec 22 2013,2013-12-22,105.078,141.04670772714502,192.58719796770373,141.04670772714502,28.69322266335191,12.916930676251804,29.427608187389254,6,AWP | Redline,AWP,Redline,Field-Tested,1,1,0
Dec 23 2013,2013-12-23,87.253,129.73576658076985,194.21141786734512,129.73576658076985,28.69322266335191,12.916930676251804,29.427608187389254,9,AWP | Redline,AWP,Redline,Field-Tested,1,1,0
Dec 24 2013,2013-12-24,85.484,120.5437107200814,193.7837725609902,120.5437107200814,28.69322266335191,12.916930676251804,29.427608187389254,9,AWP | Redline,AWP,Redline,Field-Tested,1,1,0
Dec 25 2013,2013-12-25,85.958,112.84651508259223,192.0326385258698,112.84651508259223,28.69322266335191,12.916930676251804,29.427608187389254,12,AWP | Redline,AWP,Redline,Field-Tested,1,1,0
Dec 26 2013,2013-12-26,117.897,104.84201482775337,186.15481732959086,104.84201482775337,28.69322266335191,12.916930676251804,29.427608187389254,8,AWP | Redline,AWP,Redline,Field-Tested,1,1,0
Dec 27 2013,2013-12-27,89.482,99.48188650089915,183.54613672965175,99.48188650089915,28.69322266335191,12.916930676251804,29.427608187389254,7,AWP | Redline,AWP,Redline,Field-Tested,1,1,0
Dec 28 2013,2013-12-28,76.317,95.55012107353224,181.83628024081992,95.55012107353224,28.69322266335191,12.916930676251804,29.427608187389254,9,AWP | Redline,AWP,Redline,Field-Tested,1,1,0
Dec 29 2013,2013-12-29,83.948,91.62514225126006,178.92207424617823,91.62514225126006,28.69322266335191,12.916930676251804,29.427608187389254,14,AWP | Redline,AWP,Redline,Field-Tested,1,1,0
Dec 30 2013,2013-12-30,69.212,88.79214804193847,176.9464860959128,88.79214804193847,28.69322266335191,12.916930676251804,29.427608187389254,12,AWP | Redline,AWP,Redline,Field-Tested,1,1,0
Dec 31 2013,2013-12-31,71.178,86.06747678227049,174.38852017865045,86.06747678227049,28.69322266335191,12.916930676251804,29.427608187389254,10,AWP | Redline,AWP,Redline,Field-Tested,1,1,0
