date,py_date,median_price,volume_sold,item,weapon,skin,wear,stattrak,treated_unit,post_treat
Dec 19 2013,2013-12-19,376.556,1,AWP | Redline,AWP,Redline,Minimal Wear,1,1,0
Dec 20 2013,2013-12-20,172.667,2,AWP | Redline,AWP,Redline,Minimal Wear,1,1,0
Dec 21 2013,2013-12-21,192.452,4,AWP | Redline,AWP,Redline,Minimal Wear,1,1,0
Dec 22 2013,2013-12-22,185.332,3,AWP | Redline,AWP,Redline,Minimal Wear,1,1,0
Dec 23 2013,2013-12-23,167.858,4,AWP | Redline,AWP,Redline,Minimal Wear,1,1,0
Dec 24 2013,2013-12-24,138.491,4,AWP | Redline,AWP,Redline,Minimal Wear,1,1,0
Dec 25 2013,2013-12-25,143.248,4,AWP | Redline,AWP,Redline,Minimal Wear,1,1,0
Dec 26 2013,2013-12-26,79.04,1,AWP | Redline,AWP,Redline,Minimal Wear,1,1,0
Dec 27 2013,2013-12-27,138.244,7,AWP | Redline,AWP,Redline,Minimal Wear,1,1,0
Dec 28 2013,2013-12-28,111.292,5,AWP | Redline,AWP,Redline,Minimal Wear,1,1,0
Dec 29 2013,2013-12-29,125.378,6,AWP | Redline,AWP,Redline,Minimal Wear,1,1,0
Dec 30 2013,2013-12-30,123.135,3,AWP | Redline,AWP,Redline,Minimal Wear,1,1,0
Dec 31 2013,2013-12-31,131.497,2,AWP | Redline,AWP,Redline,Minimal Wear,1,1,0
Jan 01 2014,2014-01-01,133.703,7,AWP | Redline,AWP,Redline,Minimal Wear,1,1,0
Jan 02 2014,2014-01-02,114.808,5,AWP | Redline,AWP,Redline,Minimal Wear,1,1,0
Jan 03 2014,2014-01-03,109.448,4,AWP | Redline,AWP,Redline,Minimal Wear,1,1,0
Jan 04 2014,2014-01-04,132.933,4,AWP | Redline,AWP,Redline,Minimal Wear,1,1,0
Jan 05 2014,2014-01-05,118.613,4,AWP | Redline,AWP,Redline,Minimal Wear,1,1,0
Jan 06 2014,2014-01-06,97.687,7,AWP | Redline,AWP,Redline,Minimal Wear,1,1,0
Jan 07 2014,2014-01-07,76.767,13,AWP | Redline,AWP,Redline,Minimal Wear,1,1,0
Jan 08 2014,2014-01-08,107.929,6,AWP | Redline,AWP,Redline,Minimal Wear,1,1,0
Jan 09 2014,2014-01-09,99.858,6,AWP | Redline,AWP,Redline,Minimal Wear,1,1,0
Jan 10 2014,2014-01-10,106.915,6,AWP | Redline,AWP,Redline,Minimal Wear,1,1,0
Jan 11 2014,2014-01-11,104.375,5,AWP | Redline,AWP,Redline,Minimal Wear,1,1,0
Jan 12 2014,2014-01-12,95.735,7,AWP | Redline,AWP,Redline,Minimal Wear,1,1,0
Jan 13 2014,2014-01-13,96.34,9,AWP | Redline,AWP,Redline,Minimal Wear,1,1,0
Jan 14 2014,2014-01-14,95.625,7,AWP | Redline,AWP,Redline,Minimal Wear,1,1,0
Jan 15 2014,2014-01-15,78.572,6,AWP | Redline,AWP,Redline,Minimal Wear,1,1,0
Jan 16 2014,2014-01-16,84.2,9,AWP | Redline,AWP,Redline,Minimal Wear,1,1,0
Jan 17 2014,2014-01-17,97.625,4,AWP | Redline,AWP,Redline,Minimal Wear,1,1,0
Jan 18 2014,2014-01-18,102.189,10,AWP | Redline,AWP,Redline,Minimal Wear,1,1,0
Jan 19 2014,2014-01-19,97.727,8,AWP | Redline,AWP,Redline,Minimal Wear,1,1,0
Jan 20 2014,2014-01-20,92.8,3,AWP | Redline,AWP,Redline,Minimal Wear,1,1,0
Jan 21 2014,2014-01-21,92.391,6,AWP | Redline,AWP,Redline,Minimal Wear,1,1,0
Jan 22 2014,2014-01-22,84.283,10,AWP | Redline,AWP,Redline,Minimal Wear,1,1,0
Jan 23 2014,2014-01-23,85.94,11,AWP | Redline,AWP,Redline,Minimal Wear,1,1,0
Jan 24 2014,2014-01-24,91.113,8,AWP | Redline,AWP,Redline,Minimal Wear,1,1,0
Jan 25 2014,2014-01-25,96.11,9,AWP | Redline,AWP,Redline,Minimal Wear,1,1,0
Jan 26 2014,2014-01-26,86.87,5,AWP | Redline,AWP,Redline,Minimal Wear,1,1,0
Jan 27 2014,2014-01-27,84.77,10,AWP | Redline,AWP,Redline,Minimal Wear,1,1,0
Jan 28 2014,2014-01-28,82.506,8,AWP | Redline,AWP,Redline,Minimal Wear,1,1,0
Jan 29 2014,2014-01-29,81.016,6,AWP | Redline,AWP,Redline,Minimal Wear,1,1,0
Jan 30 2014,2014-01-30,91.853,7,AWP | Redline,AWP,Redline,Minimal Wear,1,1,0
Jan 31 2014,2014-01-31,92.933,6,AWP | Redline,AWP,Redline,Minimal Wear,1,1,0
Feb 01 2014,2014-02-01,80.074,16,AWP | Redline,AWP,Redline,Minimal Wear,1,1,0
Feb 02 2014,2014-02-02,83.357,5,AWP | Redline,AWP,Redline,Minimal Wear,1,1,0
Feb 03 2014,2014-02-03,88.335,8,AWP | Redline,AWP,Redline,Minimal Wear,1,1,0
Feb 04 2014,2014-02-04,93.701,8,AWP | Redline,AWP,Redline,Minimal Wear,1,1,0
Feb 05 2014,2014-02-05,87.38,5,AWP | Redline,AWP,Redline,Minimal Wear,1,1,0
Feb 06 2014,2014-02-06,88.7,5,AWP | Redline,AWP,Redline,Minimal Wear,1,1,0
Feb 07 2014,2014-02-07,97.265,6,AWP | Redline,AWP,Redline,Minimal Wear,1,1,0
Feb 08 2014,2014-02-08,91.241,5,AWP | Redline,AWP,Redline,Minimal Wear,1,1,0
Feb 09 2014,2014-02-09,87.077,10,AWP | Redline,AWP,Redline,Minimal Wear,1,1,0
Feb 10 2014,2014-02-10,86.268,13,AWP | Redline,AWP,Redline,Minimal Wear,1,1,0
Feb 11 2014,2014-02-11,92.315,7,AWP | Redline,AWP,Redline,Minimal Wear,1,1,0
Feb 12 2014,2014-02-12,91.933,4,AWP | Redline,AWP,Redline,Minimal Wear,1,1,0
Feb 13 2014,2014-02-13,107.147,8,AWP | Redline,AWP,Redline,Minimal Wear,1,1,0
Feb 14 2014,2014-02-14,95.325,11,AWP | Redline,AWP,Redline,Minimal Wear,1,1,0
Feb 15 2014,2014-02-15,86.794,5,AWP | Redline,AWP,Redline,Minimal Wear,1,1,0
Feb 16 2014,2014-02-16,78.996,11,AWP | Redline,AWP,Redline,Minimal Wear,1,1,0
Feb 17 2014,2014-02-17,75.848,7,AWP | Redline,AWP,Redline,Minimal Wear,1,1,0
Feb 18 2014,2014-02-18,73.043,11,AWP | Redline,AWP,Redline,Minimal Wear,1,1,0
Feb 19 2014,2014-02-19,70.264,14,AWP | Redline,AWP,Redline,Minimal Wear,1,1,0
Feb 20 2014,2014-02-20,76.927,7,AWP | Redline,AWP,Redline,Minimal Wear,1,1,0
Feb 21 2014,2014-02-21,65.318,22,AWP | Redline,AWP,Redline,Minimal Wear,1,1,0
Feb 22 2014,2014-02-22,68.23,16,AWP | Redline,AWP,Redline,Minimal Wear,1,1,0
Feb 23 2014,2014-02-23,75.229,14,AWP | Redline,AWP,Redline,Minimal Wear,1,1,0
Feb 24 2014,2014-02-24,68.228,11,AWP | Redline,AWP,Redline,Minimal Wear,1,1,0
Feb 25 2014,2014-02-25,76.316,10,AWP | Redline,AWP,Redline,Minimal Wear,1,1,0
