date,py_date,median_price,rolling_30day_sd,ewm_30day_sd,expanding_sd,total_sd,pre_sd,post_sd,volume_sold,item,equip,skin,wear,stattrak,treated_unit,post_treat
Apr 16 2015,2015-04-16,44.483,,,,1.986937775144512,3.406103775791007,1.087982985892537,149,AWP | Worm God,AWP,Worm God,Field-Tested,1,1,0
Apr 17 2015,2015-04-17,33.94,7.455026794049773,7.455026794049771,7.455026794049773,1.986937775144512,3.406103775791007,1.087982985892537,142,AWP | Worm God,AWP,Worm God,Field-Tested,1,1,0
Apr 18 2015,2015-04-18,28.934,7.9371099484216145,9.310100963472712,7.9371099484216145,1.986937775144512,3.406103775791007,1.087982985892537,197,AWP | Worm God,AWP,Worm God,Field-Tested,1,1,0
Apr 19 2015,2015-04-19,27.229,7.765475666907558,10.184869443177043,7.765475666907558,1.986937775144512,3.406103775791007,1.087982985892537,167,AWP | Worm God,AWP,Worm God,Field-Tested,1,1,0
Apr 20 2015,2015-04-20,25.844,7.5764609482264245,10.771080214453358,7.5764609482264245,1.986937775144512,3.406103775791007,1.087982985892537,173,AWP | Worm God,AWP,Worm God,Field-Tested,1,1,0
Apr 21 2015,2015-04-21,25.957,7.223778921035724,10.976251507294133,7.223778921035724,1.986937775144512,3.406103775791007,1.087982985892537,154,AWP | Worm God,AWP,Worm God,Field-Tested,1,1,0
Apr 22 2015,2015-04-22,24.96,6.986370895229821,11.167366643207625,6.986370895229821,1.986937775144512,3.406103775791007,1.087982985892537,165,AWP | Worm God,AWP,Worm God,Field-Tested,1,1,0
Apr 23 2015,2015-04-23,23.975,6.831446568208358,11.347038233615443,6.831446568208358,1.986937775144512,3.406103775791007,1.087982985892537,155,AWP | Worm God,AWP,Worm God,Field-Tested,1,1,0
Apr 24 2015,2015-04-24,24.069,6.6340711817438685,11.38885311143749,6.6340711817438685,1.986937775144512,3.406103775791007,1.087982985892537,167,AWP | Worm God,AWP,Worm God,Field-Tested,1,1,0
Apr 25 2015,2015-04-25,23.307,6.493186048979862,11.432546627194272,6.493186048979862,1.986937775144512,3.406103775791007,1.087982985892537,222,AWP | Worm God,AWP,Worm God,Field-Tested,1,1,0
Apr 26 2015,2015-04-26,21.342,6.50449436928037,11.601925664162193,6.50449436928037,1.986937775144512,3.406103775791007,1.087982985892537,210,AWP | Worm God,AWP,Worm God,Field-Tested,1,1,0
Apr 27 2015,2015-04-27,21.235,6.471544892485456,11.676394571062582,6.471544892485456,1.986937775144512,3.406103775791007,1.087982985892537,202,AWP | Worm God,AWP,Worm God,Field-Tested,1,1,0
Apr 28 2015,2015-04-28,21.583,6.382590116069152,11.64347351840792,6.382590116069152,1.986937775144512,3.406103775791007,1.087982985892537,170,AWP | Worm God,AWP,Worm God,Field-Tested,1,1,0
Apr 29 2015,2015-04-29,21.43,6.290754698867119,11.573001479089854,6.290754698867119,1.986937775144512,3.406103775791007,1.087982985892537,174,AWP | Worm God,AWP,Worm God,Field-Tested,1,1,0
Apr 30 2015,2015-04-30,22.117,6.157671394285347,11.41427284817379,6.157671394285347,1.986937775144512,3.406103775791007,1.087982985892537,210,AWP | Worm God,AWP,Worm God,Field-Tested,1,1,0
May 01 2015,2015-05-01,20.921,6.084289176504793,11.31545381912703,6.084289176504793,1.986937775144512,3.406103775791007,1.087982985892537,233,AWP | Worm God,AWP,Worm God,Field-Tested,1,1,0
May 02 2015,2015-05-02,20.967,6.002251692073571,11.182071287606439,6.002251692073571,1.986937775144512,3.406103775791007,1.087982985892537,255,AWP | Worm God,AWP,Worm God,Field-Tested,1,1,0
May 03 2015,2015-05-03,19.929,5.965596713136993,11.091311462742638,5.965596713136993,1.986937775144512,3.406103775791007,1.087982985892537,208,AWP | Worm God,AWP,Worm God,Field-Tested,1,1,0
May 04 2015,2015-05-04,19.451,5.941777557588276,10.999796349024248,5.941777557588276,1.986937775144512,3.406103775791007,1.087982985892537,216,AWP | Worm God,AWP,Worm God,Field-Tested,1,1,0
May 05 2015,2015-05-05,19.578,5.90110774145972,10.870023169489587,5.90110774145972,1.986937775144512,3.406103775791007,1.087982985892537,185,AWP | Worm God,AWP,Worm God,Field-Tested,1,1,0
May 06 2015,2015-05-06,19.226,5.868394214531169,10.737793966915936,5.868394214531169,1.986937775144512,3.406103775791007,1.087982985892537,210,AWP | Worm God,AWP,Worm God,Field-Tested,1,1,0
May 07 2015,2015-05-07,19.125,5.832616317590688,10.589491281903106,5.832616317590688,1.986937775144512,3.406103775791007,1.087982985892537,193,AWP | Worm God,AWP,Worm God,Field-Tested,1,1,0
May 08 2015,2015-05-08,19.272,5.7857719286432925,10.415287796909098,5.7857719286432925,1.986937775144512,3.406103775791007,1.087982985892537,231,AWP | Worm God,AWP,Worm God,Field-Tested,1,1,0
May 09 2015,2015-05-09,18.405,5.767274036300221,10.272741367185166,5.767274036300221,1.986937775144512,3.406103775791007,1.087982985892537,289,AWP | Worm God,AWP,Worm God,Field-Tested,1,1,0
May 10 2015,2015-05-10,17.675,5.770372169395434,10.15146878678536,5.770372169395434,1.986937775144512,3.406103775791007,1.087982985892537,231,AWP | Worm God,AWP,Worm God,Field-Tested,1,1,0
May 11 2015,2015-05-11,17.082,5.787891417832181,10.041636557520247,5.787891417832181,1.986937775144512,3.406103775791007,1.087982985892537,229,AWP | Worm God,AWP,Worm God,Field-Tested,1,1,0
May 12 2015,2015-05-12,17.296,5.786427284425922,9.89826986128353,5.786427284425922,1.986937775144512,3.406103775791007,1.087982985892537,212,AWP | Worm God,AWP,Worm God,Field-Tested,1,1,0
May 13 2015,2015-05-13,17.697,5.764002541201172,9.71962857107369,5.764002541201172,1.986937775144512,3.406103775791007,1.087982985892537,217,AWP | Worm God,AWP,Worm God,Field-Tested,1,1,0
May 14 2015,2015-05-14,17.32,5.749284499925514,9.548333893825502,5.749284499925514,1.986937775144512,3.406103775791007,1.087982985892537,229,AWP | Worm God,AWP,Worm God,Field-Tested,1,1,0
May 15 2015,2015-05-15,16.98,5.740535554033826,9.382219179464816,5.740535554033826,1.986937775144512,3.406103775791007,1.087982985892537,254,AWP | Worm God,AWP,Worm God,Field-Tested,1,1,0
May 16 2015,2015-05-16,17.275,4.018802765192296,9.192866876482372,5.717970715116049,1.986937775144512,3.406103775791007,1.087982985892537,220,AWP | Worm God,AWP,Worm God,Field-Tested,1,1,0
May 17 2015,2015-05-17,16.444,3.3628451495720113,9.033226351843638,5.716691328201611,1.986937775144512,3.406103775791007,1.087982985892537,279,AWP | Worm God,AWP,Worm God,Field-Tested,1,1,0
May 18 2015,2015-05-18,15.702,3.1308264380283797,8.897856607135859,5.733566872831195,1.986937775144512,3.406103775791007,1.087982985892537,263,AWP | Worm God,AWP,Worm God,Field-Tested,1,1,0
May 19 2015,2015-05-19,15.362,2.9908723987738304,8.76528245834138,5.754320952921684,1.986937775144512,3.406103775791007,1.087982985892537,225,AWP | Worm God,AWP,Worm God,Field-Tested,1,1,0
May 20 2015,2015-05-20,14.963,2.923116358807229,8.638450699323368,5.780662167298568,1.986937775144512,3.406103775791007,1.087982985892537,238,AWP | Worm God,AWP,Worm God,Field-Tested,1,1,0
