date,py_date,median_price,volume_sold,item,weapon,skin,wear,stattrak,treated_unit,post_treat
Apr 16 2015,2015-04-16,55.97,115,AWP | Worm God,AWP,Worm God,Minimal Wear,1,1,0
Apr 17 2015,2015-04-17,41.983,112,AWP | Worm God,AWP,Worm God,Minimal Wear,1,1,0
Apr 18 2015,2015-04-18,36.102,132,AWP | Worm God,AWP,Worm God,Minimal Wear,1,1,0
Apr 19 2015,2015-04-19,33.037,115,AWP | Worm God,AWP,Worm God,Minimal Wear,1,1,0
Apr 20 2015,2015-04-20,30.909,118,AWP | Worm God,AWP,Worm God,Minimal Wear,1,1,0
Apr 21 2015,2015-04-21,31.414,114,AWP | Worm God,AWP,Worm God,Minimal Wear,1,1,0
Apr 22 2015,2015-04-22,30.541,80,AWP | Worm God,AWP,Worm God,Minimal Wear,1,1,0
Apr 23 2015,2015-04-23,29.17,113,AWP | Worm God,AWP,Worm God,Minimal Wear,1,1,0
Apr 24 2015,2015-04-24,28.603,123,AWP | Worm God,AWP,Worm God,Minimal Wear,1,1,0
Apr 25 2015,2015-04-25,28.177,135,AWP | Worm God,AWP,Worm God,Minimal Wear,1,1,0
Apr 26 2015,2015-04-26,24.915,144,AWP | Worm God,AWP,Worm God,Minimal Wear,1,1,0
Apr 27 2015,2015-04-27,24.578,122,AWP | Worm God,AWP,Worm God,Minimal Wear,1,1,0
Apr 28 2015,2015-04-28,24.798,137,AWP | Worm God,AWP,Worm God,Minimal Wear,1,1,0
Apr 29 2015,2015-04-29,24.939,131,AWP | Worm God,AWP,Worm God,Minimal Wear,1,1,0
Apr 30 2015,2015-04-30,26.122,131,AWP | Worm God,AWP,Worm God,Minimal Wear,1,1,0
May 01 2015,2015-05-01,23.678,151,AWP | Worm God,AWP,Worm God,Minimal Wear,1,1,0
May 02 2015,2015-05-02,24.26,171,AWP | Worm God,AWP,Worm God,Minimal Wear,1,1,0
May 03 2015,2015-05-03,22.995,179,AWP | Worm God,AWP,Worm God,Minimal Wear,1,1,0
May 04 2015,2015-05-04,22.489,195,AWP | Worm God,AWP,Worm God,Minimal Wear,1,1,0
May 05 2015,2015-05-05,22.32,161,AWP | Worm God,AWP,Worm God,Minimal Wear,1,1,0
May 06 2015,2015-05-06,22.215,156,AWP | Worm God,AWP,Worm God,Minimal Wear,1,1,0
May 07 2015,2015-05-07,22.598,132,AWP | Worm God,AWP,Worm God,Minimal Wear,1,1,0
May 08 2015,2015-05-08,22.197,156,AWP | Worm God,AWP,Worm God,Minimal Wear,1,1,0
May 09 2015,2015-05-09,21.2,202,AWP | Worm God,AWP,Worm God,Minimal Wear,1,1,0
May 10 2015,2015-05-10,20.089,174,AWP | Worm God,AWP,Worm God,Minimal Wear,1,1,0
May 11 2015,2015-05-11,19.786,168,AWP | Worm God,AWP,Worm God,Minimal Wear,1,1,0
May 12 2015,2015-05-12,19.006,178,AWP | Worm God,AWP,Worm God,Minimal Wear,1,1,0
May 13 2015,2015-05-13,19.81,155,AWP | Worm God,AWP,Worm God,Minimal Wear,1,1,0
May 14 2015,2015-05-14,19.299,169,AWP | Worm God,AWP,Worm God,Minimal Wear,1,1,0
May 15 2015,2015-05-15,19.205,167,AWP | Worm God,AWP,Worm God,Minimal Wear,1,1,0
May 16 2015,2015-05-16,19.117,203,AWP | Worm God,AWP,Worm God,Minimal Wear,1,1,0
May 17 2015,2015-05-17,18.557,202,AWP | Worm God,AWP,Worm God,Minimal Wear,1,1,0
May 18 2015,2015-05-18,17.638,206,AWP | Worm God,AWP,Worm God,Minimal Wear,1,1,0
May 19 2015,2015-05-19,17.227,190,AWP | Worm God,AWP,Worm God,Minimal Wear,1,1,0
May 20 2015,2015-05-20,17.381,185,AWP | Worm God,AWP,Worm God,Minimal Wear,1,1,0
May 21 2015,2015-05-21,17.065,168,AWP | Worm God,AWP,Worm God,Minimal Wear,1,1,0
May 22 2015,2015-05-22,17.052,210,AWP | Worm God,AWP,Worm God,Minimal Wear,1,1,0
May 23 2015,2015-05-23,17.302,180,AWP | Worm God,AWP,Worm God,Minimal Wear,1,1,0
May 24 2015,2015-05-24,16.09,198,AWP | Worm God,AWP,Worm God,Minimal Wear,1,1,0
May 25 2015,2015-05-25,16.296,227,AWP | Worm God,AWP,Worm God,Minimal Wear,1,1,0
May 26 2015,2015-05-26,16.885,195,AWP | Worm God,AWP,Worm God,Minimal Wear,1,1,0
May 27 2015,2015-05-27,12.186,434,AWP | Worm God,AWP,Worm God,Minimal Wear,1,1,0
May 28 2015,2015-05-28,12.987,316,AWP | Worm God,AWP,Worm God,Minimal Wear,1,1,0
May 29 2015,2015-05-29,14.206,309,AWP | Worm God,AWP,Worm God,Minimal Wear,1,1,0
May 30 2015,2015-05-30,14.528,302,AWP | Worm God,AWP,Worm God,Minimal Wear,1,1,0
May 31 2015,2015-05-31,14.751,250,AWP | Worm God,AWP,Worm God,Minimal Wear,1,1,0
Jun 01 2015,2015-06-01,14.552,295,AWP | Worm God,AWP,Worm God,Minimal Wear,1,1,0
Jun 02 2015,2015-06-02,14.273,244,AWP | Worm God,AWP,Worm God,Minimal Wear,1,1,0
Jun 03 2015,2015-06-03,14.448,247,AWP | Worm God,AWP,Worm God,Minimal Wear,1,1,0
Jun 04 2015,2015-06-04,13.359,250,AWP | Worm God,AWP,Worm God,Minimal Wear,1,1,0
Jun 05 2015,2015-06-05,12.476,279,AWP | Worm God,AWP,Worm God,Minimal Wear,1,1,0
Jun 06 2015,2015-06-06,12.525,316,AWP | Worm God,AWP,Worm God,Minimal Wear,1,1,0
Jun 07 2015,2015-06-07,12.372,266,AWP | Worm God,AWP,Worm God,Minimal Wear,1,1,0
Jun 08 2015,2015-06-08,12.808,244,AWP | Worm God,AWP,Worm God,Minimal Wear,1,1,0
Jun 09 2015,2015-06-09,13.004,256,AWP | Worm God,AWP,Worm God,Minimal Wear,1,1,0
Jun 10 2015,2015-06-10,12.568,289,AWP | Worm God,AWP,Worm God,Minimal Wear,1,1,0
Jun 11 2015,2015-06-11,12.184,254,AWP | Worm God,AWP,Worm God,Minimal Wear,1,1,0
Jun 12 2015,2015-06-12,11.218,308,AWP | Worm God,AWP,Worm God,Minimal Wear,1,1,0
Jun 13 2015,2015-06-13,11.433,295,AWP | Worm God,AWP,Worm God,Minimal Wear,1,1,0
Jun 14 2015,2015-06-14,10.815,281,AWP | Worm God,AWP,Worm God,Minimal Wear,1,1,0
Jun 15 2015,2015-06-15,10.62,290,AWP | Worm God,AWP,Worm God,Minimal Wear,1,1,0
Jun 16 2015,2015-06-16,10.852,254,AWP | Worm God,AWP,Worm God,Minimal Wear,1,1,0
Jun 17 2015,2015-06-17,10.164,275,AWP | Worm God,AWP,Worm God,Minimal Wear,1,1,0
Jun 18 2015,2015-06-18,10.468,276,AWP | Worm God,AWP,Worm God,Minimal Wear,1,1,0
Jun 19 2015,2015-06-19,10.709,279,AWP | Worm God,AWP,Worm God,Minimal Wear,1,1,0
Jun 20 2015,2015-06-20,10.335,315,AWP | Worm God,AWP,Worm God,Minimal Wear,1,1,0
Jun 21 2015,2015-06-21,10.05,286,AWP | Worm God,AWP,Worm God,Minimal Wear,1,1,0
Jun 22 2015,2015-06-22,9.871,316,AWP | Worm God,AWP,Worm God,Minimal Wear,1,1,0
Jun 23 2015,2015-06-23,10.636,257,AWP | Worm God,AWP,Worm God,Minimal Wear,1,1,0
Jun 24 2015,2015-06-24,10.709,261,AWP | Worm God,AWP,Worm God,Minimal Wear,1,1,0
Jun 25 2015,2015-06-25,11.096,239,AWP | Worm God,AWP,Worm God,Minimal Wear,1,1,0
Jun 26 2015,2015-06-26,11.155,278,AWP | Worm God,AWP,Worm God,Minimal Wear,1,1,0
Jun 27 2015,2015-06-27,10.966,274,AWP | Worm God,AWP,Worm God,Minimal Wear,1,1,0
