date,py_date,median_price,rolling_30day_sd,ewm_30day_sd,expanding_sd,total_sd,pre_sd,post_sd,volume_sold,item,equip,skin,wear,stattrak,treated_unit,post_treat
Apr 16 2015,2015-04-16,47.399,,,,1.9900727928694895,3.468712243366427,0.9244437562787474,20,AWP | Worm God,AWP,Worm God,Well-Worn,1,1,0
Apr 17 2015,2015-04-17,35.293,8.560234693044348,8.560234693044347,8.560234693044348,1.9900727928694895,3.468712243366427,0.9244437562787474,12,AWP | Worm God,AWP,Worm God,Well-Worn,1,1,0
Apr 18 2015,2015-04-18,28.801,9.439164016655997,11.009243006997599,9.439164016655997,1.9900727928694895,3.468712243366427,0.9244437562787474,27,AWP | Worm God,AWP,Worm God,Well-Worn,1,1,0
Apr 19 2015,2015-04-19,28.341,8.880391188830968,11.663709152387598,8.880391188830968,1.9900727928694895,3.468712243366427,0.9244437562787474,22,AWP | Worm God,AWP,Worm God,Well-Worn,1,1,0
Apr 20 2015,2015-04-20,26.773,8.51742289662783,12.174951140972496,8.51742289662783,1.9900727928694895,3.468712243366427,0.9244437562787474,16,AWP | Worm God,AWP,Worm God,Well-Worn,1,1,0
Apr 21 2015,2015-04-21,26.383,8.12777706387177,12.417822381172225,8.12777706387177,1.9900727928694895,3.468712243366427,0.9244437562787474,21,AWP | Worm God,AWP,Worm God,Well-Worn,1,1,0
Apr 22 2015,2015-04-22,26.389,7.734122993345172,12.4738172575032,7.734122993345172,1.9900727928694895,3.468712243366427,0.9244437562787474,16,AWP | Worm God,AWP,Worm God,Well-Worn,1,1,0
Apr 23 2015,2015-04-23,24.526,7.554799977261381,12.666948048202203,7.554799977261381,1.9900727928694895,3.468712243366427,0.9244437562787474,19,AWP | Worm God,AWP,Worm God,Well-Worn,1,1,0
Apr 24 2015,2015-04-24,25.728,7.24280820500201,12.585833462742764,7.24280820500201,1.9900727928694895,3.468712243366427,0.9244437562787474,17,AWP | Worm God,AWP,Worm God,Well-Worn,1,1,0
Apr 25 2015,2015-04-25,25.3,6.98572896140569,12.496498777214681,6.98572896140569,1.9900727928694895,3.468712243366427,0.9244437562787474,20,AWP | Worm God,AWP,Worm God,Well-Worn,1,1,0
Apr 26 2015,2015-04-26,22.24,6.978762661884203,12.66200494130244,6.978762661884203,1.9900727928694895,3.468712243366427,0.9244437562787474,20,AWP | Worm God,AWP,Worm God,Well-Worn,1,1,0
