date,py_date,median_price,volume_sold,item,weapon,skin,wear,stattrak,treated_unit,post_treat
Nov 12 2014,2014-11-12,20.927,354,M4A1-S | Basilisk,M4A1-S,Basilisk,Field-Tested,1,1,0
Nov 13 2014,2014-11-13,19.523,223,M4A1-S | Basilisk,M4A1-S,Basilisk,Field-Tested,1,1,0
Nov 14 2014,2014-11-14,21.794,169,M4A1-S | Basilisk,M4A1-S,Basilisk,Field-Tested,1,1,0
Nov 15 2014,2014-11-15,18.947,178,M4A1-S | Basilisk,M4A1-S,Basilisk,Field-Tested,1,1,0
Nov 16 2014,2014-11-16,16.892,171,M4A1-S | Basilisk,M4A1-S,Basilisk,Field-Tested,1,1,0
Nov 17 2014,2014-11-17,17.85,119,M4A1-S | Basilisk,M4A1-S,Basilisk,Field-Tested,1,1,0
Nov 18 2014,2014-11-18,17.916,114,M4A1-S | Basilisk,M4A1-S,Basilisk,Field-Tested,1,1,0
Nov 19 2014,2014-11-19,17.63,105,M4A1-S | Basilisk,M4A1-S,Basilisk,Field-Tested,1,1,0
Nov 20 2014,2014-11-20,14.825,133,M4A1-S | Basilisk,M4A1-S,Basilisk,Field-Tested,1,1,0
Nov 21 2014,2014-11-21,14.786,136,M4A1-S | Basilisk,M4A1-S,Basilisk,Field-Tested,1,1,0
Nov 22 2014,2014-11-22,14.247,155,M4A1-S | Basilisk,M4A1-S,Basilisk,Field-Tested,1,1,0
Nov 23 2014,2014-11-23,13.788,139,M4A1-S | Basilisk,M4A1-S,Basilisk,Field-Tested,1,1,0
Nov 24 2014,2014-11-24,14.837,119,M4A1-S | Basilisk,M4A1-S,Basilisk,Field-Tested,1,1,0
Nov 25 2014,2014-11-25,15.106,108,M4A1-S | Basilisk,M4A1-S,Basilisk,Field-Tested,1,1,0
Nov 26 2014,2014-11-26,15.379,114,M4A1-S | Basilisk,M4A1-S,Basilisk,Field-Tested,1,1,0
Nov 27 2014,2014-11-27,15.063,163,M4A1-S | Basilisk,M4A1-S,Basilisk,Field-Tested,1,1,0
Nov 28 2014,2014-11-28,16.078,154,M4A1-S | Basilisk,M4A1-S,Basilisk,Field-Tested,1,1,0
Nov 29 2014,2014-11-29,27.097,14,M4A1-S | Basilisk,M4A1-S,Basilisk,Field-Tested,1,1,0
Nov 30 2014,2014-11-30,13.774,237,M4A1-S | Basilisk,M4A1-S,Basilisk,Field-Tested,1,1,0
Dec 01 2014,2014-12-01,14.226,169,M4A1-S | Basilisk,M4A1-S,Basilisk,Field-Tested,1,1,0
Dec 02 2014,2014-12-02,14.227,141,M4A1-S | Basilisk,M4A1-S,Basilisk,Field-Tested,1,1,0
Dec 03 2014,2014-12-03,15.644,119,M4A1-S | Basilisk,M4A1-S,Basilisk,Field-Tested,1,1,0
Dec 04 2014,2014-12-04,15.926,106,M4A1-S | Basilisk,M4A1-S,Basilisk,Field-Tested,1,1,0
Dec 05 2014,2014-12-05,16.538,139,M4A1-S | Basilisk,M4A1-S,Basilisk,Field-Tested,1,1,0
Dec 06 2014,2014-12-06,16.711,167,M4A1-S | Basilisk,M4A1-S,Basilisk,Field-Tested,1,1,0
Dec 07 2014,2014-12-07,15.932,143,M4A1-S | Basilisk,M4A1-S,Basilisk,Field-Tested,1,1,0
Dec 08 2014,2014-12-08,14.978,121,M4A1-S | Basilisk,M4A1-S,Basilisk,Field-Tested,1,1,0
Dec 09 2014,2014-12-09,15.225,132,M4A1-S | Basilisk,M4A1-S,Basilisk,Field-Tested,1,1,0
Dec 10 2014,2014-12-10,13.498,257,M4A1-S | Basilisk,M4A1-S,Basilisk,Field-Tested,1,1,0
Dec 11 2014,2014-12-11,13.307,191,M4A1-S | Basilisk,M4A1-S,Basilisk,Field-Tested,1,1,0
Dec 12 2014,2014-12-12,12.915,182,M4A1-S | Basilisk,M4A1-S,Basilisk,Field-Tested,1,1,0
Dec 13 2014,2014-12-13,12.959,213,M4A1-S | Basilisk,M4A1-S,Basilisk,Field-Tested,1,1,0
Dec 14 2014,2014-12-14,12.105,194,M4A1-S | Basilisk,M4A1-S,Basilisk,Field-Tested,1,1,0
Dec 15 2014,2014-12-15,12.404,178,M4A1-S | Basilisk,M4A1-S,Basilisk,Field-Tested,1,1,0
Dec 16 2014,2014-12-16,11.869,160,M4A1-S | Basilisk,M4A1-S,Basilisk,Field-Tested,1,1,0
Dec 17 2014,2014-12-17,11.258,150,M4A1-S | Basilisk,M4A1-S,Basilisk,Field-Tested,1,1,0
Dec 18 2014,2014-12-18,11.119,173,M4A1-S | Basilisk,M4A1-S,Basilisk,Field-Tested,1,1,0
Dec 19 2014,2014-12-19,11.142,232,M4A1-S | Basilisk,M4A1-S,Basilisk,Field-Tested,1,1,0
Dec 20 2014,2014-12-20,11.625,193,M4A1-S | Basilisk,M4A1-S,Basilisk,Field-Tested,1,1,0
Dec 21 2014,2014-12-21,11.409,212,M4A1-S | Basilisk,M4A1-S,Basilisk,Field-Tested,1,1,0
Dec 22 2014,2014-12-22,11.265,232,M4A1-S | Basilisk,M4A1-S,Basilisk,Field-Tested,1,1,0
Dec 23 2014,2014-12-23,11.614,203,M4A1-S | Basilisk,M4A1-S,Basilisk,Field-Tested,1,1,0
Dec 24 2014,2014-12-24,12.368,231,M4A1-S | Basilisk,M4A1-S,Basilisk,Field-Tested,1,1,0
Dec 25 2014,2014-12-25,13.471,248,M4A1-S | Basilisk,M4A1-S,Basilisk,Field-Tested,1,1,0
Dec 26 2014,2014-12-26,13.573,244,M4A1-S | Basilisk,M4A1-S,Basilisk,Field-Tested,1,1,0
Dec 27 2014,2014-12-27,12.639,272,M4A1-S | Basilisk,M4A1-S,Basilisk,Field-Tested,1,1,0
Dec 28 2014,2014-12-28,12.427,224,M4A1-S | Basilisk,M4A1-S,Basilisk,Field-Tested,1,1,0
Dec 29 2014,2014-12-29,12.604,238,M4A1-S | Basilisk,M4A1-S,Basilisk,Field-Tested,1,1,0
Dec 30 2014,2014-12-30,12.256,252,M4A1-S | Basilisk,M4A1-S,Basilisk,Field-Tested,1,1,0
Dec 31 2014,2014-12-31,12.117,193,M4A1-S | Basilisk,M4A1-S,Basilisk,Field-Tested,1,1,0
Jan 01 2015,2015-01-01,11.503,218,M4A1-S | Basilisk,M4A1-S,Basilisk,Field-Tested,1,1,0
Jan 02 2015,2015-01-02,11.09,308,M4A1-S | Basilisk,M4A1-S,Basilisk,Field-Tested,1,1,0
Jan 03 2015,2015-01-03,11.178,248,M4A1-S | Basilisk,M4A1-S,Basilisk,Field-Tested,1,1,0
Jan 04 2015,2015-01-04,10.863,276,M4A1-S | Basilisk,M4A1-S,Basilisk,Field-Tested,1,1,0
Jan 05 2015,2015-01-05,11.275,254,M4A1-S | Basilisk,M4A1-S,Basilisk,Field-Tested,1,1,0
Jan 06 2015,2015-01-06,11.261,252,M4A1-S | Basilisk,M4A1-S,Basilisk,Field-Tested,1,1,0
Jan 07 2015,2015-01-07,11.17,210,M4A1-S | Basilisk,M4A1-S,Basilisk,Field-Tested,1,1,0
Jan 08 2015,2015-01-08,11.471,259,M4A1-S | Basilisk,M4A1-S,Basilisk,Field-Tested,1,1,0
Jan 09 2015,2015-01-09,10.6,343,M4A1-S | Basilisk,M4A1-S,Basilisk,Field-Tested,1,1,0
Jan 10 2015,2015-01-10,10.414,320,M4A1-S | Basilisk,M4A1-S,Basilisk,Field-Tested,1,1,0
Jan 11 2015,2015-01-11,9.835,326,M4A1-S | Basilisk,M4A1-S,Basilisk,Field-Tested,1,1,0
Jan 12 2015,2015-01-12,9.947,279,M4A1-S | Basilisk,M4A1-S,Basilisk,Field-Tested,1,1,0
Jan 13 2015,2015-01-13,10.109,281,M4A1-S | Basilisk,M4A1-S,Basilisk,Field-Tested,1,1,0
Jan 14 2015,2015-01-14,10.196,288,M4A1-S | Basilisk,M4A1-S,Basilisk,Field-Tested,1,1,0
Jan 15 2015,2015-01-15,10.133,273,M4A1-S | Basilisk,M4A1-S,Basilisk,Field-Tested,1,1,0
Jan 16 2015,2015-01-16,9.701,337,M4A1-S | Basilisk,M4A1-S,Basilisk,Field-Tested,1,1,0
Jan 17 2015,2015-01-17,9.898,262,M4A1-S | Basilisk,M4A1-S,Basilisk,Field-Tested,1,1,0
Jan 18 2015,2015-01-18,9.378,308,M4A1-S | Basilisk,M4A1-S,Basilisk,Field-Tested,1,1,0
Jan 19 2015,2015-01-19,9.531,286,M4A1-S | Basilisk,M4A1-S,Basilisk,Field-Tested,1,1,0
Jan 20 2015,2015-01-20,9.571,266,M4A1-S | Basilisk,M4A1-S,Basilisk,Field-Tested,1,1,0
Jan 21 2015,2015-01-21,9.77,235,M4A1-S | Basilisk,M4A1-S,Basilisk,Field-Tested,1,1,0
Jan 22 2015,2015-01-22,9.366,268,M4A1-S | Basilisk,M4A1-S,Basilisk,Field-Tested,1,1,0
Jan 23 2015,2015-01-23,9.7,307,M4A1-S | Basilisk,M4A1-S,Basilisk,Field-Tested,1,1,0
Jan 24 2015,2015-01-24,9.86,326,M4A1-S | Basilisk,M4A1-S,Basilisk,Field-Tested,1,1,0
Jan 25 2015,2015-01-25,9.466,359,M4A1-S | Basilisk,M4A1-S,Basilisk,Field-Tested,1,1,0
Jan 26 2015,2015-01-26,9.177,295,M4A1-S | Basilisk,M4A1-S,Basilisk,Field-Tested,1,1,0
Jan 27 2015,2015-01-27,8.979,253,M4A1-S | Basilisk,M4A1-S,Basilisk,Field-Tested,1,1,0
Jan 28 2015,2015-01-28,9.113,273,M4A1-S | Basilisk,M4A1-S,Basilisk,Field-Tested,1,1,0
Jan 29 2015,2015-01-29,9.063,282,M4A1-S | Basilisk,M4A1-S,Basilisk,Field-Tested,1,1,0
Jan 30 2015,2015-01-30,9.435,312,M4A1-S | Basilisk,M4A1-S,Basilisk,Field-Tested,1,1,0
Jan 31 2015,2015-01-31,9.574,317,M4A1-S | Basilisk,M4A1-S,Basilisk,Field-Tested,1,1,0
Feb 01 2015,2015-02-01,9.092,345,M4A1-S | Basilisk,M4A1-S,Basilisk,Field-Tested,1,1,0
Feb 02 2015,2015-02-02,9.282,289,M4A1-S | Basilisk,M4A1-S,Basilisk,Field-Tested,1,1,0
Feb 03 2015,2015-02-03,9.193,278,M4A1-S | Basilisk,M4A1-S,Basilisk,Field-Tested,1,1,0
Feb 04 2015,2015-02-04,9.516,262,M4A1-S | Basilisk,M4A1-S,Basilisk,Field-Tested,1,1,0
Feb 05 2015,2015-02-05,9.481,286,M4A1-S | Basilisk,M4A1-S,Basilisk,Field-Tested,1,1,0
Feb 06 2015,2015-02-06,9.354,280,M4A1-S | Basilisk,M4A1-S,Basilisk,Field-Tested,1,1,0
Feb 07 2015,2015-02-07,9.398,324,M4A1-S | Basilisk,M4A1-S,Basilisk,Field-Tested,1,1,0
Feb 08 2015,2015-02-08,8.944,324,M4A1-S | Basilisk,M4A1-S,Basilisk,Field-Tested,1,1,0
Feb 09 2015,2015-02-09,8.978,263,M4A1-S | Basilisk,M4A1-S,Basilisk,Field-Tested,1,1,0
Feb 10 2015,2015-02-10,9.447,250,M4A1-S | Basilisk,M4A1-S,Basilisk,Field-Tested,1,1,0
Feb 11 2015,2015-02-11,9.142,290,M4A1-S | Basilisk,M4A1-S,Basilisk,Field-Tested,1,1,0
Feb 12 2015,2015-02-12,9.25,254,M4A1-S | Basilisk,M4A1-S,Basilisk,Field-Tested,1,1,0
Feb 13 2015,2015-02-13,9.009,312,M4A1-S | Basilisk,M4A1-S,Basilisk,Field-Tested,1,1,0
Feb 14 2015,2015-02-14,9.273,318,M4A1-S | Basilisk,M4A1-S,Basilisk,Field-Tested,1,1,0
Feb 15 2015,2015-02-15,9.165,310,M4A1-S | Basilisk,M4A1-S,Basilisk,Field-Tested,1,1,0
Feb 16 2015,2015-02-16,8.887,300,M4A1-S | Basilisk,M4A1-S,Basilisk,Field-Tested,1,1,0
Feb 17 2015,2015-02-17,8.969,293,M4A1-S | Basilisk,M4A1-S,Basilisk,Field-Tested,1,1,0
