date,py_date,median_price,volume_sold,item,weapon,skin,wear,stattrak,treated_unit,post_treat
Nov 12 2014,2014-11-12,29.973,160,M4A1-S | Basilisk,M4A1-S,Basilisk,Minimal Wear,1,1,0
Nov 13 2014,2014-11-13,28.515,130,M4A1-S | Basilisk,M4A1-S,Basilisk,Minimal Wear,1,1,0
Nov 14 2014,2014-11-14,29.716,100,M4A1-S | Basilisk,M4A1-S,Basilisk,Minimal Wear,1,1,0
Nov 15 2014,2014-11-15,28.679,80,M4A1-S | Basilisk,M4A1-S,Basilisk,Minimal Wear,1,1,0
Nov 16 2014,2014-11-16,25.193,101,M4A1-S | Basilisk,M4A1-S,Basilisk,Minimal Wear,1,1,0
Nov 17 2014,2014-11-17,26.396,70,M4A1-S | Basilisk,M4A1-S,Basilisk,Minimal Wear,1,1,0
Nov 18 2014,2014-11-18,27.954,57,M4A1-S | Basilisk,M4A1-S,Basilisk,Minimal Wear,1,1,0
Nov 19 2014,2014-11-19,25.197,41,M4A1-S | Basilisk,M4A1-S,Basilisk,Minimal Wear,1,1,0
Nov 20 2014,2014-11-20,22.571,60,M4A1-S | Basilisk,M4A1-S,Basilisk,Minimal Wear,1,1,0
Nov 21 2014,2014-11-21,22.65,56,M4A1-S | Basilisk,M4A1-S,Basilisk,Minimal Wear,1,1,0
Nov 22 2014,2014-11-22,20.522,81,M4A1-S | Basilisk,M4A1-S,Basilisk,Minimal Wear,1,1,0
Nov 23 2014,2014-11-23,20.369,70,M4A1-S | Basilisk,M4A1-S,Basilisk,Minimal Wear,1,1,0
Nov 24 2014,2014-11-24,21.576,57,M4A1-S | Basilisk,M4A1-S,Basilisk,Minimal Wear,1,1,0
Nov 25 2014,2014-11-25,21.576,49,M4A1-S | Basilisk,M4A1-S,Basilisk,Minimal Wear,1,1,0
Nov 26 2014,2014-11-26,22.282,63,M4A1-S | Basilisk,M4A1-S,Basilisk,Minimal Wear,1,1,0
Nov 27 2014,2014-11-27,22.045,75,M4A1-S | Basilisk,M4A1-S,Basilisk,Minimal Wear,1,1,0
Nov 28 2014,2014-11-28,22.342,75,M4A1-S | Basilisk,M4A1-S,Basilisk,Minimal Wear,1,1,0
Nov 29 2014,2014-11-29,33.543,8,M4A1-S | Basilisk,M4A1-S,Basilisk,Minimal Wear,1,1,0
Nov 30 2014,2014-11-30,21.215,103,M4A1-S | Basilisk,M4A1-S,Basilisk,Minimal Wear,1,1,0
Dec 01 2014,2014-12-01,23.817,59,M4A1-S | Basilisk,M4A1-S,Basilisk,Minimal Wear,1,1,0
Dec 02 2014,2014-12-02,22.251,46,M4A1-S | Basilisk,M4A1-S,Basilisk,Minimal Wear,1,1,0
Dec 03 2014,2014-12-03,22.74,51,M4A1-S | Basilisk,M4A1-S,Basilisk,Minimal Wear,1,1,0
Dec 04 2014,2014-12-04,21.087,63,M4A1-S | Basilisk,M4A1-S,Basilisk,Minimal Wear,1,1,0
Dec 05 2014,2014-12-05,22.081,78,M4A1-S | Basilisk,M4A1-S,Basilisk,Minimal Wear,1,1,0
Dec 06 2014,2014-12-06,21.621,75,M4A1-S | Basilisk,M4A1-S,Basilisk,Minimal Wear,1,1,0
Dec 07 2014,2014-12-07,20.827,82,M4A1-S | Basilisk,M4A1-S,Basilisk,Minimal Wear,1,1,0
Dec 08 2014,2014-12-08,20.334,64,M4A1-S | Basilisk,M4A1-S,Basilisk,Minimal Wear,1,1,0
Dec 09 2014,2014-12-09,21.496,53,M4A1-S | Basilisk,M4A1-S,Basilisk,Minimal Wear,1,1,0
Dec 10 2014,2014-12-10,20.464,108,M4A1-S | Basilisk,M4A1-S,Basilisk,Minimal Wear,1,1,0
Dec 11 2014,2014-12-11,19.292,86,M4A1-S | Basilisk,M4A1-S,Basilisk,Minimal Wear,1,1,0
Dec 12 2014,2014-12-12,18.351,89,M4A1-S | Basilisk,M4A1-S,Basilisk,Minimal Wear,1,1,0
Dec 13 2014,2014-12-13,19.224,91,M4A1-S | Basilisk,M4A1-S,Basilisk,Minimal Wear,1,1,0
Dec 14 2014,2014-12-14,16.83,92,M4A1-S | Basilisk,M4A1-S,Basilisk,Minimal Wear,1,1,0
Dec 15 2014,2014-12-15,17.485,87,M4A1-S | Basilisk,M4A1-S,Basilisk,Minimal Wear,1,1,0
Dec 16 2014,2014-12-16,16.391,86,M4A1-S | Basilisk,M4A1-S,Basilisk,Minimal Wear,1,1,0
Dec 17 2014,2014-12-17,15.706,88,M4A1-S | Basilisk,M4A1-S,Basilisk,Minimal Wear,1,1,0
Dec 18 2014,2014-12-18,17.408,74,M4A1-S | Basilisk,M4A1-S,Basilisk,Minimal Wear,1,1,0
Dec 19 2014,2014-12-19,17.185,90,M4A1-S | Basilisk,M4A1-S,Basilisk,Minimal Wear,1,1,0
Dec 20 2014,2014-12-20,16.419,86,M4A1-S | Basilisk,M4A1-S,Basilisk,Minimal Wear,1,1,0
Dec 21 2014,2014-12-21,16.964,101,M4A1-S | Basilisk,M4A1-S,Basilisk,Minimal Wear,1,1,0
Dec 22 2014,2014-12-22,16.57,89,M4A1-S | Basilisk,M4A1-S,Basilisk,Minimal Wear,1,1,0
Dec 23 2014,2014-12-23,16.502,92,M4A1-S | Basilisk,M4A1-S,Basilisk,Minimal Wear,1,1,0
Dec 24 2014,2014-12-24,18.086,103,M4A1-S | Basilisk,M4A1-S,Basilisk,Minimal Wear,1,1,0
Dec 25 2014,2014-12-25,20.034,111,M4A1-S | Basilisk,M4A1-S,Basilisk,Minimal Wear,1,1,0
Dec 26 2014,2014-12-26,18.824,99,M4A1-S | Basilisk,M4A1-S,Basilisk,Minimal Wear,1,1,0
Dec 27 2014,2014-12-27,18.649,113,M4A1-S | Basilisk,M4A1-S,Basilisk,Minimal Wear,1,1,0
Dec 28 2014,2014-12-28,17.07,101,M4A1-S | Basilisk,M4A1-S,Basilisk,Minimal Wear,1,1,0
Dec 29 2014,2014-12-29,18.132,91,M4A1-S | Basilisk,M4A1-S,Basilisk,Minimal Wear,1,1,0
Dec 30 2014,2014-12-30,18.252,108,M4A1-S | Basilisk,M4A1-S,Basilisk,Minimal Wear,1,1,0
Dec 31 2014,2014-12-31,17.021,81,M4A1-S | Basilisk,M4A1-S,Basilisk,Minimal Wear,1,1,0
Jan 01 2015,2015-01-01,15.654,82,M4A1-S | Basilisk,M4A1-S,Basilisk,Minimal Wear,1,1,0
Jan 02 2015,2015-01-02,15.864,136,M4A1-S | Basilisk,M4A1-S,Basilisk,Minimal Wear,1,1,0
Jan 03 2015,2015-01-03,16.13,120,M4A1-S | Basilisk,M4A1-S,Basilisk,Minimal Wear,1,1,0
Jan 04 2015,2015-01-04,15.487,107,M4A1-S | Basilisk,M4A1-S,Basilisk,Minimal Wear,1,1,0
Jan 05 2015,2015-01-05,15.525,118,M4A1-S | Basilisk,M4A1-S,Basilisk,Minimal Wear,1,1,0
Jan 06 2015,2015-01-06,16.026,96,M4A1-S | Basilisk,M4A1-S,Basilisk,Minimal Wear,1,1,0
Jan 07 2015,2015-01-07,15.866,111,M4A1-S | Basilisk,M4A1-S,Basilisk,Minimal Wear,1,1,0
Jan 08 2015,2015-01-08,16.216,117,M4A1-S | Basilisk,M4A1-S,Basilisk,Minimal Wear,1,1,0
Jan 09 2015,2015-01-09,14.328,165,M4A1-S | Basilisk,M4A1-S,Basilisk,Minimal Wear,1,1,0
Jan 10 2015,2015-01-10,14.082,154,M4A1-S | Basilisk,M4A1-S,Basilisk,Minimal Wear,1,1,0
Jan 11 2015,2015-01-11,13.908,138,M4A1-S | Basilisk,M4A1-S,Basilisk,Minimal Wear,1,1,0
Jan 12 2015,2015-01-12,14.208,125,M4A1-S | Basilisk,M4A1-S,Basilisk,Minimal Wear,1,1,0
Jan 13 2015,2015-01-13,14.404,121,M4A1-S | Basilisk,M4A1-S,Basilisk,Minimal Wear,1,1,0
Jan 14 2015,2015-01-14,13.91,149,M4A1-S | Basilisk,M4A1-S,Basilisk,Minimal Wear,1,1,0
Jan 15 2015,2015-01-15,13.895,145,M4A1-S | Basilisk,M4A1-S,Basilisk,Minimal Wear,1,1,0
Jan 16 2015,2015-01-16,13.745,139,M4A1-S | Basilisk,M4A1-S,Basilisk,Minimal Wear,1,1,0
Jan 17 2015,2015-01-17,13.167,146,M4A1-S | Basilisk,M4A1-S,Basilisk,Minimal Wear,1,1,0
Jan 18 2015,2015-01-18,13.455,143,M4A1-S | Basilisk,M4A1-S,Basilisk,Minimal Wear,1,1,0
Jan 19 2015,2015-01-19,12.864,147,M4A1-S | Basilisk,M4A1-S,Basilisk,Minimal Wear,1,1,0
Jan 20 2015,2015-01-20,12.87,110,M4A1-S | Basilisk,M4A1-S,Basilisk,Minimal Wear,1,1,0
Jan 21 2015,2015-01-21,13.097,134,M4A1-S | Basilisk,M4A1-S,Basilisk,Minimal Wear,1,1,0
Jan 22 2015,2015-01-22,12.476,115,M4A1-S | Basilisk,M4A1-S,Basilisk,Minimal Wear,1,1,0
Jan 23 2015,2015-01-23,12.786,138,M4A1-S | Basilisk,M4A1-S,Basilisk,Minimal Wear,1,1,0
Jan 24 2015,2015-01-24,13.374,173,M4A1-S | Basilisk,M4A1-S,Basilisk,Minimal Wear,1,1,0
Jan 25 2015,2015-01-25,13.375,153,M4A1-S | Basilisk,M4A1-S,Basilisk,Minimal Wear,1,1,0
Jan 26 2015,2015-01-26,12.35,135,M4A1-S | Basilisk,M4A1-S,Basilisk,Minimal Wear,1,1,0
Jan 27 2015,2015-01-27,12.37,140,M4A1-S | Basilisk,M4A1-S,Basilisk,Minimal Wear,1,1,0
Jan 28 2015,2015-01-28,12.489,120,M4A1-S | Basilisk,M4A1-S,Basilisk,Minimal Wear,1,1,0
Jan 29 2015,2015-01-29,12.242,134,M4A1-S | Basilisk,M4A1-S,Basilisk,Minimal Wear,1,1,0
Jan 30 2015,2015-01-30,12.686,167,M4A1-S | Basilisk,M4A1-S,Basilisk,Minimal Wear,1,1,0
Jan 31 2015,2015-01-31,13.41,143,M4A1-S | Basilisk,M4A1-S,Basilisk,Minimal Wear,1,1,0
Feb 01 2015,2015-02-01,13.295,138,M4A1-S | Basilisk,M4A1-S,Basilisk,Minimal Wear,1,1,0
Feb 02 2015,2015-02-02,12.971,124,M4A1-S | Basilisk,M4A1-S,Basilisk,Minimal Wear,1,1,0
Feb 03 2015,2015-02-03,12.913,123,M4A1-S | Basilisk,M4A1-S,Basilisk,Minimal Wear,1,1,0
Feb 04 2015,2015-02-04,13.363,105,M4A1-S | Basilisk,M4A1-S,Basilisk,Minimal Wear,1,1,0
Feb 05 2015,2015-02-05,13.534,116,M4A1-S | Basilisk,M4A1-S,Basilisk,Minimal Wear,1,1,0
Feb 06 2015,2015-02-06,13.404,138,M4A1-S | Basilisk,M4A1-S,Basilisk,Minimal Wear,1,1,0
Feb 07 2015,2015-02-07,13.139,148,M4A1-S | Basilisk,M4A1-S,Basilisk,Minimal Wear,1,1,0
Feb 08 2015,2015-02-08,12.595,145,M4A1-S | Basilisk,M4A1-S,Basilisk,Minimal Wear,1,1,0
Feb 09 2015,2015-02-09,12.415,132,M4A1-S | Basilisk,M4A1-S,Basilisk,Minimal Wear,1,1,0
Feb 10 2015,2015-02-10,13.136,103,M4A1-S | Basilisk,M4A1-S,Basilisk,Minimal Wear,1,1,0
Feb 11 2015,2015-02-11,13.45,105,M4A1-S | Basilisk,M4A1-S,Basilisk,Minimal Wear,1,1,0
Feb 12 2015,2015-02-12,13.341,101,M4A1-S | Basilisk,M4A1-S,Basilisk,Minimal Wear,1,1,0
Feb 13 2015,2015-02-13,12.768,129,M4A1-S | Basilisk,M4A1-S,Basilisk,Minimal Wear,1,1,0
Feb 14 2015,2015-02-14,13.079,147,M4A1-S | Basilisk,M4A1-S,Basilisk,Minimal Wear,1,1,0
Feb 15 2015,2015-02-15,13.116,126,M4A1-S | Basilisk,M4A1-S,Basilisk,Minimal Wear,1,1,0
Feb 16 2015,2015-02-16,12.761,123,M4A1-S | Basilisk,M4A1-S,Basilisk,Minimal Wear,1,1,0
Feb 17 2015,2015-02-17,12.968,117,M4A1-S | Basilisk,M4A1-S,Basilisk,Minimal Wear,1,1,0
Feb 18 2015,2015-02-18,12.866,134,M4A1-S | Basilisk,M4A1-S,Basilisk,Minimal Wear,1,1,0
Feb 19 2015,2015-02-19,12.579,128,M4A1-S | Basilisk,M4A1-S,Basilisk,Minimal Wear,1,1,0
Feb 20 2015,2015-02-20,12.327,138,M4A1-S | Basilisk,M4A1-S,Basilisk,Minimal Wear,1,1,0
Feb 21 2015,2015-02-21,13.022,134,M4A1-S | Basilisk,M4A1-S,Basilisk,Minimal Wear,1,1,0
Feb 22 2015,2015-02-22,12.895,134,M4A1-S | Basilisk,M4A1-S,Basilisk,Minimal Wear,1,1,0
Feb 23 2015,2015-02-23,13.094,105,M4A1-S | Basilisk,M4A1-S,Basilisk,Minimal Wear,1,1,0
Feb 24 2015,2015-02-24,12.777,115,M4A1-S | Basilisk,M4A1-S,Basilisk,Minimal Wear,1,1,0
Feb 25 2015,2015-02-25,13.267,117,M4A1-S | Basilisk,M4A1-S,Basilisk,Minimal Wear,1,1,0
Feb 26 2015,2015-02-26,13.189,107,M4A1-S | Basilisk,M4A1-S,Basilisk,Minimal Wear,1,1,0
Feb 27 2015,2015-02-27,12.645,139,M4A1-S | Basilisk,M4A1-S,Basilisk,Minimal Wear,1,1,0
Feb 28 2015,2015-02-28,13.019,133,M4A1-S | Basilisk,M4A1-S,Basilisk,Minimal Wear,1,1,0
Mar 01 2015,2015-03-01,13.048,119,M4A1-S | Basilisk,M4A1-S,Basilisk,Minimal Wear,1,1,0
Mar 02 2015,2015-03-02,14.011,112,M4A1-S | Basilisk,M4A1-S,Basilisk,Minimal Wear,1,1,0
Mar 03 2015,2015-03-03,12.76,110,M4A1-S | Basilisk,M4A1-S,Basilisk,Minimal Wear,1,1,0
Mar 04 2015,2015-03-04,13.35,107,M4A1-S | Basilisk,M4A1-S,Basilisk,Minimal Wear,1,1,0
Mar 05 2015,2015-03-05,13.19,100,M4A1-S | Basilisk,M4A1-S,Basilisk,Minimal Wear,1,1,0
Mar 06 2015,2015-03-06,12.494,124,M4A1-S | Basilisk,M4A1-S,Basilisk,Minimal Wear,1,1,0
Mar 07 2015,2015-03-07,12.513,143,M4A1-S | Basilisk,M4A1-S,Basilisk,Minimal Wear,1,1,0
Mar 08 2015,2015-03-08,12.415,136,M4A1-S | Basilisk,M4A1-S,Basilisk,Minimal Wear,1,1,0
Mar 09 2015,2015-03-09,12.405,114,M4A1-S | Basilisk,M4A1-S,Basilisk,Minimal Wear,1,1,0
Mar 10 2015,2015-03-10,12.459,104,M4A1-S | Basilisk,M4A1-S,Basilisk,Minimal Wear,1,1,0
Mar 11 2015,2015-03-11,12.487,96,M4A1-S | Basilisk,M4A1-S,Basilisk,Minimal Wear,1,1,0
Mar 12 2015,2015-03-12,12.906,119,M4A1-S | Basilisk,M4A1-S,Basilisk,Minimal Wear,1,1,0
Mar 13 2015,2015-03-13,12.975,154,M4A1-S | Basilisk,M4A1-S,Basilisk,Minimal Wear,1,1,0
Mar 14 2015,2015-03-14,13.028,205,M4A1-S | Basilisk,M4A1-S,Basilisk,Minimal Wear,1,1,0
Mar 15 2015,2015-03-15,12.827,177,M4A1-S | Basilisk,M4A1-S,Basilisk,Minimal Wear,1,1,0
Mar 16 2015,2015-03-16,12.935,139,M4A1-S | Basilisk,M4A1-S,Basilisk,Minimal Wear,1,1,0
Mar 17 2015,2015-03-17,13.903,98,M4A1-S | Basilisk,M4A1-S,Basilisk,Minimal Wear,1,1,0
Mar 18 2015,2015-03-18,13.887,95,M4A1-S | Basilisk,M4A1-S,Basilisk,Minimal Wear,1,1,0
Mar 19 2015,2015-03-19,14.045,98,M4A1-S | Basilisk,M4A1-S,Basilisk,Minimal Wear,1,1,0
Mar 20 2015,2015-03-20,14.081,127,M4A1-S | Basilisk,M4A1-S,Basilisk,Minimal Wear,1,1,0
Mar 21 2015,2015-03-21,13.757,149,M4A1-S | Basilisk,M4A1-S,Basilisk,Minimal Wear,1,1,0
Mar 22 2015,2015-03-22,13.238,151,M4A1-S | Basilisk,M4A1-S,Basilisk,Minimal Wear,1,1,0
Mar 23 2015,2015-03-23,13.383,127,M4A1-S | Basilisk,M4A1-S,Basilisk,Minimal Wear,1,1,0
Mar 24 2015,2015-03-24,13.697,90,M4A1-S | Basilisk,M4A1-S,Basilisk,Minimal Wear,1,1,0
Mar 25 2015,2015-03-25,13.698,146,M4A1-S | Basilisk,M4A1-S,Basilisk,Minimal Wear,1,1,0
Mar 26 2015,2015-03-26,13.863,116,M4A1-S | Basilisk,M4A1-S,Basilisk,Minimal Wear,1,1,0
Mar 27 2015,2015-03-27,14.306,118,M4A1-S | Basilisk,M4A1-S,Basilisk,Minimal Wear,1,1,0
Mar 28 2015,2015-03-28,15.206,129,M4A1-S | Basilisk,M4A1-S,Basilisk,Minimal Wear,1,1,0
Mar 29 2015,2015-03-29,14.02,143,M4A1-S | Basilisk,M4A1-S,Basilisk,Minimal Wear,1,1,0
Mar 30 2015,2015-03-30,13.815,128,M4A1-S | Basilisk,M4A1-S,Basilisk,Minimal Wear,1,1,0
Mar 31 2015,2015-03-31,13.386,126,M4A1-S | Basilisk,M4A1-S,Basilisk,Minimal Wear,1,1,0
Apr 01 2015,2015-04-01,10.65,434,M4A1-S | Basilisk,M4A1-S,Basilisk,Minimal Wear,1,1,0
Apr 02 2015,2015-04-02,10.355,287,M4A1-S | Basilisk,M4A1-S,Basilisk,Minimal Wear,1,1,0
