date,py_date,median_price,rolling_30day_sd,ewm_30day_sd,expanding_sd,total_sd,pre_sd,post_sd,volume_sold,item,equip,skin,wear,stattrak,treated_unit,post_treat
Jul 11 2014,2014-07-11,156.116,,,,14.749217304659952,11.535490253259441,15.687932064724228,1,M4A4 | Bullet Rain,M4A4,Bullet Rain,Field-Tested,1,1,0
Jul 12 2014,2014-07-12,135.347,14.68590073846341,14.685900738463411,14.68590073846341,14.749217304659952,11.535490253259441,15.687932064724228,5,M4A4 | Bullet Rain,M4A4,Bullet Rain,Field-Tested,1,1,0
Jul 13 2014,2014-07-13,87.123,35.395243526967484,36.44215104515653,35.395243526967484,14.749217304659952,11.535490253259441,15.687932064724228,6,M4A4 | Bullet Rain,M4A4,Bullet Rain,Field-Tested,1,1,0
Jul 14 2014,2014-07-14,79.408,37.181704501900754,42.85503577064927,37.181704501900754,14.749217304659952,11.535490253259441,15.687932064724228,4,M4A4 | Bullet Rain,M4A4,Bullet Rain,Field-Tested,1,1,0
Jul 15 2014,2014-07-15,87.12,34.44961269303329,43.48340631720371,34.44961269303329,14.749217304659952,11.535490253259441,15.687932064724228,1,M4A4 | Bullet Rain,M4A4,Bullet Rain,Field-Tested,1,1,0
Jul 16 2014,2014-07-16,87.291,32.064505406549884,43.44189169876221,32.064505406549884,14.749217304659952,11.535490253259441,15.687932064724228,2,M4A4 | Bullet Rain,M4A4,Bullet Rain,Field-Tested,1,1,0
Jul 17 2014,2014-07-17,58.106,34.29752361739422,47.88333652911475,34.29752361739422,14.749217304659952,11.535490253259441,15.687932064724228,6,M4A4 | Bullet Rain,M4A4,Bullet Rain,Field-Tested,1,1,0
Jul 18 2014,2014-07-18,62.435,34.236891413252714,49.63482686936527,34.236891413252714,14.749217304659952,11.535490253259441,15.687932064724228,4,M4A4 | Bullet Rain,M4A4,Bullet Rain,Field-Tested,1,1,0
Jul 19 2014,2014-07-19,69.199,33.08535476276139,49.69649051493059,33.08535476276139,14.749217304659952,11.535490253259441,15.687932064724228,4,M4A4 | Bullet Rain,M4A4,Bullet Rain,Field-Tested,1,1,0
Jul 20 2014,2014-07-20,67.764,32.07243792296155,49.59934040079716,32.07243792296155,14.749217304659952,11.535490253259441,15.687932064724228,5,M4A4 | Bullet Rain,M4A4,Bullet Rain,Field-Tested,1,1,0
Jul 21 2014,2014-07-21,38.544,34.016624726207574,52.56755764173607,34.016624726207574,14.749217304659952,11.535490253259441,15.687932064724228,2,M4A4 | Bullet Rain,M4A4,Bullet Rain,Field-Tested,1,1,0
