date,py_date,median_price,rolling_30day_sd,ewm_30day_sd,expanding_sd,total_sd,pre_sd,post_sd,volume_sold,item,weapon,skin,wear,stattrak,treated_unit,post_treat
Jul 16 2014,2014-07-16,60.488,,,,12.821436131016384,9.992608734789169,13.341860345735725,2,M4A4 | Bullet Rain,M4A4,Bullet Rain,Well-Worn,1,1,0
Jul 20 2014,2014-07-20,63.906,2.4168909780956165,2.416890978095619,2.4168909780956165,12.821436131016384,9.992608734789169,13.341860345735725,1,M4A4 | Bullet Rain,M4A4,Bullet Rain,Well-Worn,1,1,0
Jul 21 2014,2014-07-21,61.959,1.714515189006305,1.8251460724082007,1.714515189006305,12.821436131016384,9.992608734789169,13.341860345735725,2,M4A4 | Bullet Rain,M4A4,Bullet Rain,Well-Worn,1,1,0
Jul 24 2014,2014-07-24,62.996,1.467165833617089,1.7704736893979671,1.467165833617089,12.821436131016384,9.992608734789169,13.341860345735725,2,M4A4 | Bullet Rain,M4A4,Bullet Rain,Well-Worn,1,1,0
Jul 26 2014,2014-07-26,71.16,4.145191817033318,4.25873437065183,4.145191817033318,12.821436131016384,9.992608734789169,13.341860345735725,1,M4A4 | Bullet Rain,M4A4,Bullet Rain,Well-Worn,1,1,0
Jul 27 2014,2014-07-27,55.366,5.144426670355662,4.402864615812883,5.144426670355662,12.821436131016384,9.992608734789169,13.341860345735725,3,M4A4 | Bullet Rain,M4A4,Bullet Rain,Well-Worn,1,1,0
Jul 28 2014,2014-07-28,59.961,4.804584571506873,4.024361635156099,4.804584571506873,12.821436131016384,9.992608734789169,13.341860345735725,2,M4A4 | Bullet Rain,M4A4,Bullet Rain,Well-Worn,1,1,0
Jul 29 2014,2014-07-29,73.047,5.858760252513202,5.329917485554197,5.858760252513202,12.821436131016384,9.992608734789169,13.341860345735725,3,M4A4 | Bullet Rain,M4A4,Bullet Rain,Well-Worn,1,1,0
Jul 30 2014,2014-07-30,47.121,7.7617969533120625,6.732074212575854,7.7617969533120625,12.821436131016384,9.992608734789169,13.341860345735725,4,M4A4 | Bullet Rain,M4A4,Bullet Rain,Well-Worn,1,1,0
Aug 06 2014,2014-08-06,64.58,7.3713325977510085,6.4017389912151454,7.3713325977510085,12.821436131016384,9.992608734789169,13.341860345735725,1,M4A4 | Bullet Rain,M4A4,Bullet Rain,Well-Worn,1,1,0
Aug 07 2014,2014-08-07,65.55,7.071858819549238,6.165397470224409,7.071858819549238,12.821436131016384,9.992608734789169,13.341860345735725,1,M4A4 | Bullet Rain,M4A4,Bullet Rain,Well-Worn,1,1,0
Aug 08 2014,2014-08-08,60.0,6.7775431836367215,5.848860726928718,6.7775431836367215,12.821436131016384,9.992608734789169,13.341860345735725,1,M4A4 | Bullet Rain,M4A4,Bullet Rain,Well-Worn,1,1,0
Aug 09 2014,2014-08-09,62.87,6.491842630839854,5.570251853145638,6.491842630839854,12.821436131016384,9.992608734789169,13.341860345735725,1,M4A4 | Bullet Rain,M4A4,Bullet Rain,Well-Worn,1,1,0
Aug 12 2014,2014-08-12,30.697,10.484779544339812,9.992738680475851,10.484779544339812,12.821436131016384,9.992608734789169,13.341860345735725,2,M4A4 | Bullet Rain,M4A4,Bullet Rain,Well-Worn,1,1,0
Aug 13 2014,2014-08-13,40.03,11.340560230975402,10.903037001602582,11.340560230975402,12.821436131016384,9.992608734789169,13.341860345735725,1,M4A4 | Bullet Rain,M4A4,Bullet Rain,Well-Worn,1,1,0
Aug 14 2014,2014-08-14,45.771,11.419245607744845,10.949995654820842,11.419245607744845,12.821436131016384,9.992608734789169,13.341860345735725,3,M4A4 | Bullet Rain,M4A4,Bullet Rain,Well-Worn,1,1,0
Aug 15 2014,2014-08-15,50.455,11.200924987079254,10.651028481886055,11.200924987079254,12.821436131016384,9.992608734789169,13.341860345735725,2,M4A4 | Bullet Rain,M4A4,Bullet Rain,Well-Worn,1,1,0
Aug 17 2014,2014-08-17,48.207,11.08084769532813,10.474453741600449,11.08084769532813,12.821436131016384,9.992608734789169,13.341860345735725,6,M4A4 | Bullet Rain,M4A4,Bullet Rain,Well-Worn,1,1,0
Aug 18 2014,2014-08-18,53.039,10.804978928946168,10.097047168443575,10.804978928946168,12.821436131016384,9.992608734789169,13.341860345735725,3,M4A4 | Bullet Rain,M4A4,Bullet Rain,Well-Worn,1,1,0
Aug 19 2014,2014-08-19,52.442,10.559702477243126,9.754394344981053,10.559702477243126,12.821436131016384,9.992608734789169,13.341860345735725,2,M4A4 | Bullet Rain,M4A4,Bullet Rain,Well-Worn,1,1,0
Aug 20 2014,2014-08-20,59.501,10.313384308751415,9.429392088701798,10.313384308751415,12.821436131016384,9.992608734789169,13.341860345735725,1,M4A4 | Bullet Rain,M4A4,Bullet Rain,Well-Worn,1,1,0
Aug 21 2014,2014-08-21,60.95,10.106963727230335,9.161275424051993,10.106963727230335,12.821436131016384,9.992608734789169,13.341860345735725,1,M4A4 | Bullet Rain,M4A4,Bullet Rain,Well-Worn,1,1,0
Aug 22 2014,2014-08-22,60.0,9.8967907628262,8.871495241156717,9.8967907628262,12.821436131016384,9.992608734789169,13.341860345735725,1,M4A4 | Bullet Rain,M4A4,Bullet Rain,Well-Worn,1,1,0
Aug 24 2014,2014-08-24,58.314,9.683193431726531,8.560536592395184,9.683193431726531,12.821436131016384,9.992608734789169,13.341860345735725,2,M4A4 | Bullet Rain,M4A4,Bullet Rain,Well-Worn,1,1,0
Aug 25 2014,2014-08-25,60.99,9.512557730880443,8.323323475710902,9.512557730880443,12.821436131016384,9.992608734789169,13.341860345735725,1,M4A4 | Bullet Rain,M4A4,Bullet Rain,Well-Worn,1,1,0
Aug 26 2014,2014-08-26,45.996,9.574790044695494,8.509869716042559,9.574790044695494,12.821436131016384,9.992608734789169,13.341860345735725,1,M4A4 | Bullet Rain,M4A4,Bullet Rain,Well-Worn,1,1,0
Aug 28 2014,2014-08-28,59.709,9.406154526088805,8.255666747976193,9.406154526088805,12.821436131016384,9.992608734789169,13.341860345735725,3,M4A4 | Bullet Rain,M4A4,Bullet Rain,Well-Worn,1,1,0
Aug 29 2014,2014-08-29,64.905,9.354828309120464,8.243365062460434,9.354828309120464,12.821436131016384,9.992608734789169,13.341860345735725,2,M4A4 | Bullet Rain,M4A4,Bullet Rain,Well-Worn,1,1,0
Aug 30 2014,2014-08-30,60.54,9.207889141832444,8.006051048236056,9.207889141832444,12.821436131016384,9.992608734789169,13.341860345735725,1,M4A4 | Bullet Rain,M4A4,Bullet Rain,Well-Worn,1,1,0
Aug 31 2014,2014-08-31,56.624,9.048485614324843,7.733782420616348,9.048485614324843,12.821436131016384,9.992608734789169,13.341860345735725,2,M4A4 | Bullet Rain,M4A4,Bullet Rain,Well-Worn,1,1,0
Sep 01 2014,2014-09-01,39.48,9.585366262976196,8.716624688385856,9.45090950461997,12.821436131016384,9.992608734789169,13.341860345735725,1,M4A4 | Bullet Rain,M4A4,Bullet Rain,Well-Worn,1,1,0
Sep 02 2014,2014-09-02,49.987,9.553285220639887,8.562504304381129,9.371902175443823,12.821436131016384,9.992608734789169,13.341860345735725,3,M4A4 | Bullet Rain,M4A4,Bullet Rain,Well-Worn,1,1,0
Sep 05 2014,2014-09-05,49.318,9.563578657606671,8.429882559569267,9.307653663298234,12.821436131016384,9.992608734789169,13.341860345735725,4,M4A4 | Bullet Rain,M4A4,Bullet Rain,Well-Worn,1,1,0
Sep 06 2014,2014-09-06,51.011,9.496373821489506,8.218258493427312,9.209329235213973,12.821436131016384,9.992608734789169,13.341860345735725,1,M4A4 | Bullet Rain,M4A4,Bullet Rain,Well-Worn,1,1,0
Sep 07 2014,2014-09-07,58.631,9.037134038376665,7.993321669373708,9.083069031366621,12.821436131016384,9.992608734789169,13.341860345735725,2,M4A4 | Bullet Rain,M4A4,Bullet Rain,Well-Worn,1,1,0
Sep 08 2014,2014-09-08,59.358,9.074513657466177,7.7933977272875925,8.968222949161833,12.821436131016384,9.992608734789169,13.341860345735725,4,M4A4 | Bullet Rain,M4A4,Bullet Rain,Well-Worn,1,1,0
Sep 09 2014,2014-09-09,33.139,9.853636400702094,9.399817503547395,9.6244008086179,12.821436131016384,9.992608734789169,13.341860345735725,1,M4A4 | Bullet Rain,M4A4,Bullet Rain,Well-Worn,1,1,0
Sep 12 2014,2014-09-12,49.977,9.200571206405495,9.145475659401011,9.537549802289483,12.821436131016384,9.992608734789169,13.341860345735725,2,M4A4 | Bullet Rain,M4A4,Bullet Rain,Well-Worn,1,1,0
Sep 14 2014,2014-09-14,45.438,9.24461247448741,9.08856045685887,9.547486312744194,12.821436131016384,9.992608734789169,13.341860345735725,1,M4A4 | Bullet Rain,M4A4,Bullet Rain,Well-Worn,1,1,0
Sep 15 2014,2014-09-15,51.585,8.996560751805076,8.797426784530991,9.44178047895737,12.821436131016384,9.992608734789169,13.341860345735725,2,M4A4 | Bullet Rain,M4A4,Bullet Rain,Well-Worn,1,1,0
Sep 17 2014,2014-09-17,48.031,8.70543968302076,8.603264267371719,9.388653851208108,12.821436131016384,9.992608734789169,13.341860345735725,4,M4A4 | Bullet Rain,M4A4,Bullet Rain,Well-Worn,1,1,0
Sep 18 2014,2014-09-18,51.799,8.581010797304023,8.322758660110454,9.286223895352236,12.821436131016384,9.992608734789169,13.341860345735725,1,M4A4 | Bullet Rain,M4A4,Bullet Rain,Well-Worn,1,1,0
Sep 19 2014,2014-09-19,45.336,8.407658386270807,8.260721922234474,9.289712091327498,12.821436131016384,9.992608734789169,13.341860345735725,3,M4A4 | Bullet Rain,M4A4,Bullet Rain,Well-Worn,1,1,0
Sep 21 2014,2014-09-21,51.976,7.445542528961517,7.988373177619234,9.189950930078545,12.821436131016384,9.992608734789169,13.341860345735725,2,M4A4 | Bullet Rain,M4A4,Bullet Rain,Well-Worn,1,1,0
Sep 22 2014,2014-09-22,52.657,7.088956242092259,7.725399441520165,9.089518275064263,12.821436131016384,9.992608734789169,13.341860345735725,1,M4A4 | Bullet Rain,M4A4,Bullet Rain,Well-Worn,1,1,0
Sep 23 2014,2014-09-23,52.9,6.973974511604247,7.472200059520689,8.991261115486516,12.821436131016384,9.992608734789169,13.341860345735725,1,M4A4 | Bullet Rain,M4A4,Bullet Rain,Well-Worn,1,1,0
Sep 24 2014,2014-09-24,51.802,6.963062400654058,7.2272927512079415,8.901808638425821,12.821436131016384,9.992608734789169,13.341860345735725,1,M4A4 | Bullet Rain,M4A4,Bullet Rain,Well-Worn,1,1,0
Sep 25 2014,2014-09-25,44.738,7.069748986829841,7.241240308253051,8.917685906989934,12.821436131016384,9.992608734789169,13.341860345735725,1,M4A4 | Bullet Rain,M4A4,Bullet Rain,Well-Worn,1,1,0
Sep 26 2014,2014-09-26,46.995,7.144663754947766,7.106117352398596,8.885078096340019,12.821436131016384,9.992608734789169,13.341860345735725,1,M4A4 | Bullet Rain,M4A4,Bullet Rain,Well-Worn,1,1,0
Sep 27 2014,2014-09-27,37.058,7.6789236228619355,7.764402518583198,9.118558273081979,12.821436131016384,9.992608734789169,13.341860345735725,1,M4A4 | Bullet Rain,M4A4,Bullet Rain,Well-Worn,1,1,0
