date,py_date,median_price,rolling_30day_sd,ewm_30day_sd,expanding_sd,total_sd,pre_sd,post_sd,volume_sold,item,weapon,skin,wear,stattrak,treated_unit,post_treat
May 27 2015,2015-05-27,13.605,,,,1.9265373567437312,1.4188936046721452,1.8770750737005995,14,M4A4 | Evil Daimyo,M4A4,Evil Daimyo,Battle-Scarred,1,1,0
May 28 2015,2015-05-28,7.362,4.4144676349476155,4.414467634947617,4.4144676349476155,1.9265373567437312,1.4188936046721452,1.8770750737005995,41,M4A4 | Evil Daimyo,M4A4,Evil Daimyo,Battle-Scarred,1,1,0
May 29 2015,2015-05-29,7.759,3.4954344985042027,4.19792496211091,3.4954344985042027,1.9265373567437312,1.4188936046721452,1.8770750737005995,13,M4A4 | Evil Daimyo,M4A4,Evil Daimyo,Battle-Scarred,1,1,0
May 30 2015,2015-05-30,8.488,2.9053310195799256,3.912671991645888,2.9053310195799256,1.9265373567437312,1.4188936046721452,1.8770750737005995,16,M4A4 | Evil Daimyo,M4A4,Evil Daimyo,Battle-Scarred,1,1,0
May 31 2015,2015-05-31,9.813,2.526386609369199,3.5454137590576713,2.526386609369199,1.9265373567437312,1.4188936046721452,1.8770750737005995,11,M4A4 | Evil Daimyo,M4A4,Evil Daimyo,Battle-Scarred,1,1,0
Jun 01 2015,2015-06-01,9.968,2.27131164014687,3.2776624167770683,2.27131164014687,1.9265373567437312,1.4188936046721452,1.8770750737005995,10,M4A4 | Evil Daimyo,M4A4,Evil Daimyo,Battle-Scarred,1,1,0
Jun 02 2015,2015-06-02,10.555,2.1114691567721273,3.033242642027918,2.1114691567721273,1.9265373567437312,1.4188936046721452,1.8770750737005995,4,M4A4 | Evil Daimyo,M4A4,Evil Daimyo,Battle-Scarred,1,1,0
Jun 03 2015,2015-06-03,9.411,1.9566660009530785,2.927514726063764,1.9566660009530785,1.9265373567437312,1.4188936046721452,1.8770750737005995,7,M4A4 | Evil Daimyo,M4A4,Evil Daimyo,Battle-Scarred,1,1,0
Jun 04 2015,2015-06-04,7.54,1.957228397505002,3.044658870854423,1.957228397505002,1.9265373567437312,1.4188936046721452,1.8770750737005995,12,M4A4 | Evil Daimyo,M4A4,Evil Daimyo,Battle-Scarred,1,1,0
Jun 05 2015,2015-06-05,6.194,2.1037840642254344,3.288571822662971,2.1037840642254344,1.9265373567437312,1.4188936046721452,1.8770750737005995,22,M4A4 | Evil Daimyo,M4A4,Evil Daimyo,Battle-Scarred,1,1,0
Jun 06 2015,2015-06-06,6.992,2.0918128153698294,3.3442556929467084,2.0918128153698294,1.9265373567437312,1.4188936046721452,1.8770750737005995,21,M4A4 | Evil Daimyo,M4A4,Evil Daimyo,Battle-Scarred,1,1,0
