date,py_date,median_price,rolling_30day_sd,ewm_30day_sd,expanding_sd,total_sd,pre_sd,post_sd,volume_sold,item,equip,skin,wear,stattrak,treated_unit,post_treat
May 27 2015,2015-05-27,41.14,,,,5.1622401348072575,3.6488367316375006,4.714670422427555,173,M4A4 | Evil Daimyo,M4A4,Evil Daimyo,Factory New,1,1,0
May 28 2015,2015-05-28,31.866,6.557708288724042,6.557708288724044,6.557708288724042,5.1622401348072575,3.6488367316375006,4.714670422427555,121,M4A4 | Evil Daimyo,M4A4,Evil Daimyo,Factory New,1,1,0
May 29 2015,2015-05-29,36.151,4.641451317565804,5.156985221218364,4.641451317565804,5.1622401348072575,3.6488367316375006,4.714670422427555,78,M4A4 | Evil Daimyo,M4A4,Evil Daimyo,Factory New,1,1,0
May 30 2015,2015-05-30,37.603,3.838296757677812,4.358801862434434,3.838296757677812,5.1622401348072575,3.6488367316375006,4.714670422427555,90,M4A4 | Evil Daimyo,M4A4,Evil Daimyo,Factory New,1,1,0
May 31 2015,2015-05-31,41.178,3.8830169069938396,3.7888775247376825,3.8830169069938396,5.1622401348072575,3.6488367316375006,4.714670422427555,52,M4A4 | Evil Daimyo,M4A4,Evil Daimyo,Factory New,1,1,0
Jun 01 2015,2015-06-01,38.79,3.5075942182641375,3.4129823574254874,3.5075942182641375,5.1622401348072575,3.6488367316375006,4.714670422427555,62,M4A4 | Evil Daimyo,M4A4,Evil Daimyo,Factory New,1,1,0
Jun 02 2015,2015-06-02,39.5,3.266708938016103,3.108961451935009,3.266708938016103,5.1622401348072575,3.6488367316375006,4.714670422427555,40,M4A4 | Evil Daimyo,M4A4,Evil Daimyo,Factory New,1,1,0
Jun 03 2015,2015-06-03,34.299,3.2999011862911463,3.4041490474550042,3.2999011862911463,5.1622401348072575,3.6488367316375006,4.714670422427555,74,M4A4 | Evil Daimyo,M4A4,Evil Daimyo,Factory New,1,1,0
Jun 04 2015,2015-06-04,27.874,4.468234242964438,4.822490081040977,4.468234242964438,5.1622401348072575,3.6488367316375006,4.714670422427555,91,M4A4 | Evil Daimyo,M4A4,Evil Daimyo,Factory New,1,1,0
Jun 05 2015,2015-06-05,25.377,5.485838613091791,6.062953394538909,5.485838613091791,5.1622401348072575,3.6488367316375006,4.714670422427555,95,M4A4 | Evil Daimyo,M4A4,Evil Daimyo,Factory New,1,1,0
Jun 06 2015,2015-06-06,25.492,5.9974528835922545,6.7791809406994075,5.9974528835922545,5.1622401348072575,3.6488367316375006,4.714670422427555,94,M4A4 | Evil Daimyo,M4A4,Evil Daimyo,Factory New,1,1,0
Jun 07 2015,2015-06-07,25.689,6.256061067743287,7.2072498997684,6.256061067743287,5.1622401348072575,3.6488367316375006,4.714670422427555,82,M4A4 | Evil Daimyo,M4A4,Evil Daimyo,Factory New,1,1,0
Jun 08 2015,2015-06-08,24.977,6.464718851839829,7.5620163206559035,6.464718851839829,5.1622401348072575,3.6488367316375006,4.714670422427555,75,M4A4 | Evil Daimyo,M4A4,Evil Daimyo,Factory New,1,1,0
Jun 09 2015,2015-06-09,26.263,6.472200631661805,7.659004158550379,6.472200631661805,5.1622401348072575,3.6488367316375006,4.714670422427555,61,M4A4 | Evil Daimyo,M4A4,Evil Daimyo,Factory New,1,1,0
Jun 10 2015,2015-06-10,26.288,6.445254280698093,7.694787411011263,6.445254280698093,5.1622401348072575,3.6488367316375006,4.714670422427555,66,M4A4 | Evil Daimyo,M4A4,Evil Daimyo,Factory New,1,1,0
Jun 11 2015,2015-06-11,25.138,6.469834299462386,7.7816760087178665,6.469834299462386,5.1622401348072575,3.6488367316375006,4.714670422427555,67,M4A4 | Evil Daimyo,M4A4,Evil Daimyo,Factory New,1,1,0
Jun 12 2015,2015-06-12,23.3,6.589344683676371,7.974273222414837,6.589344683676371,5.1622401348072575,3.6488367316375006,4.714670422427555,102,M4A4 | Evil Daimyo,M4A4,Evil Daimyo,Factory New,1,1,0
Jun 13 2015,2015-06-13,22.065,6.7477987783380975,8.19961294074892,6.7477987783380975,5.1622401348072575,3.6488367316375006,4.714670422427555,85,M4A4 | Evil Daimyo,M4A4,Evil Daimyo,Factory New,1,1,0
Jun 14 2015,2015-06-14,20.729,6.946843198669488,8.460173366433647,6.946843198669488,5.1622401348072575,3.6488367316375006,4.714670422427555,98,M4A4 | Evil Daimyo,M4A4,Evil Daimyo,Factory New,1,1,0
Jun 15 2015,2015-06-15,20.706,7.086709940184918,8.628028799497049,7.086709940184918,5.1622401348072575,3.6488367316375006,4.714670422427555,85,M4A4 | Evil Daimyo,M4A4,Evil Daimyo,Factory New,1,1,0
Jun 16 2015,2015-06-16,23.023,7.060232815869861,8.557676435563877,7.060232815869861,5.1622401348072575,3.6488367316375006,4.714670422427555,64,M4A4 | Evil Daimyo,M4A4,Evil Daimyo,Factory New,1,1,0
Jun 17 2015,2015-06-17,21.71,7.082572189102824,8.547668452145682,7.082572189102824,5.1622401348072575,3.6488367316375006,4.714670422427555,65,M4A4 | Evil Daimyo,M4A4,Evil Daimyo,Factory New,1,1,0
Jun 18 2015,2015-06-18,21.382,7.102175929724554,8.524538527687117,7.102175929724554,5.1622401348072575,3.6488367316375006,4.714670422427555,72,M4A4 | Evil Daimyo,M4A4,Evil Daimyo,Factory New,1,1,0
Jun 19 2015,2015-06-19,19.303,7.207089094466618,8.61431620041355,7.207089094466618,5.1622401348072575,3.6488367316375006,4.714670422427555,106,M4A4 | Evil Daimyo,M4A4,Evil Daimyo,Factory New,1,1,0
Jun 20 2015,2015-06-20,17.2,7.397979276577261,8.815035678767751,7.397979276577261,5.1622401348072575,3.6488367316375006,4.714670422427555,132,M4A4 | Evil Daimyo,M4A4,Evil Daimyo,Factory New,1,1,0
Jun 21 2015,2015-06-21,16.741,7.570638812188529,8.97463657242138,7.570638812188529,5.1622401348072575,3.6488367316375006,4.714670422427555,113,M4A4 | Evil Daimyo,M4A4,Evil Daimyo,Factory New,1,1,0
