date,py_date,median_price,volume_sold,item,weapon,skin,wear,stattrak,treated_unit,post_treat
May 27 2015,2015-05-27,13.019,311,M4A4 | Evil Daimyo,M4A4,Evil Daimyo,Field-Tested,1,1,0
May 28 2015,2015-05-28,10.905,269,M4A4 | Evil Daimyo,M4A4,Evil Daimyo,Field-Tested,1,1,0
May 29 2015,2015-05-29,12.11,212,M4A4 | Evil Daimyo,M4A4,Evil Daimyo,Field-Tested,1,1,0
May 30 2015,2015-05-30,14.097,155,M4A4 | Evil Daimyo,M4A4,Evil Daimyo,Field-Tested,1,1,0
May 31 2015,2015-05-31,14.327,135,M4A4 | Evil Daimyo,M4A4,Evil Daimyo,Field-Tested,1,1,0
Jun 01 2015,2015-06-01,14.977,100,M4A4 | Evil Daimyo,M4A4,Evil Daimyo,Field-Tested,1,1,0
Jun 02 2015,2015-06-02,16.348,76,M4A4 | Evil Daimyo,M4A4,Evil Daimyo,Field-Tested,1,1,0
Jun 03 2015,2015-06-03,12.704,120,M4A4 | Evil Daimyo,M4A4,Evil Daimyo,Field-Tested,1,1,0
Jun 04 2015,2015-06-04,9.643,188,M4A4 | Evil Daimyo,M4A4,Evil Daimyo,Field-Tested,1,1,0
Jun 05 2015,2015-06-05,8.968,188,M4A4 | Evil Daimyo,M4A4,Evil Daimyo,Field-Tested,1,1,0
Jun 06 2015,2015-06-06,8.639,213,M4A4 | Evil Daimyo,M4A4,Evil Daimyo,Field-Tested,1,1,0
Jun 07 2015,2015-06-07,9.254,163,M4A4 | Evil Daimyo,M4A4,Evil Daimyo,Field-Tested,1,1,0
Jun 08 2015,2015-06-08,8.869,156,M4A4 | Evil Daimyo,M4A4,Evil Daimyo,Field-Tested,1,1,0
Jun 09 2015,2015-06-09,9.143,132,M4A4 | Evil Daimyo,M4A4,Evil Daimyo,Field-Tested,1,1,0
Jun 10 2015,2015-06-10,9.092,175,M4A4 | Evil Daimyo,M4A4,Evil Daimyo,Field-Tested,1,1,0
Jun 11 2015,2015-06-11,7.685,170,M4A4 | Evil Daimyo,M4A4,Evil Daimyo,Field-Tested,1,1,0
Jun 12 2015,2015-06-12,7.063,221,M4A4 | Evil Daimyo,M4A4,Evil Daimyo,Field-Tested,1,1,0
Jun 13 2015,2015-06-13,7.043,239,M4A4 | Evil Daimyo,M4A4,Evil Daimyo,Field-Tested,1,1,0
Jun 14 2015,2015-06-14,6.725,224,M4A4 | Evil Daimyo,M4A4,Evil Daimyo,Field-Tested,1,1,0
Jun 15 2015,2015-06-15,6.872,198,M4A4 | Evil Daimyo,M4A4,Evil Daimyo,Field-Tested,1,1,0
Jun 16 2015,2015-06-16,6.874,178,M4A4 | Evil Daimyo,M4A4,Evil Daimyo,Field-Tested,1,1,0
Jun 17 2015,2015-06-17,6.834,171,M4A4 | Evil Daimyo,M4A4,Evil Daimyo,Field-Tested,1,1,0
Jun 18 2015,2015-06-18,6.492,215,M4A4 | Evil Daimyo,M4A4,Evil Daimyo,Field-Tested,1,1,0
Jun 19 2015,2015-06-19,6.217,251,M4A4 | Evil Daimyo,M4A4,Evil Daimyo,Field-Tested,1,1,0
Jun 20 2015,2015-06-20,6.104,262,M4A4 | Evil Daimyo,M4A4,Evil Daimyo,Field-Tested,1,1,0
Jun 21 2015,2015-06-21,5.883,231,M4A4 | Evil Daimyo,M4A4,Evil Daimyo,Field-Tested,1,1,0
Jun 22 2015,2015-06-22,5.96,261,M4A4 | Evil Daimyo,M4A4,Evil Daimyo,Field-Tested,1,1,0
Jun 23 2015,2015-06-23,6.207,224,M4A4 | Evil Daimyo,M4A4,Evil Daimyo,Field-Tested,1,1,0
Jun 24 2015,2015-06-24,6.476,218,M4A4 | Evil Daimyo,M4A4,Evil Daimyo,Field-Tested,1,1,0
Jun 25 2015,2015-06-25,6.317,253,M4A4 | Evil Daimyo,M4A4,Evil Daimyo,Field-Tested,1,1,0
Jun 26 2015,2015-06-26,6.376,214,M4A4 | Evil Daimyo,M4A4,Evil Daimyo,Field-Tested,1,1,0
Jun 27 2015,2015-06-27,6.281,263,M4A4 | Evil Daimyo,M4A4,Evil Daimyo,Field-Tested,1,1,0
Jun 28 2015,2015-06-28,6.381,244,M4A4 | Evil Daimyo,M4A4,Evil Daimyo,Field-Tested,1,1,0
Jun 29 2015,2015-06-29,6.149,236,M4A4 | Evil Daimyo,M4A4,Evil Daimyo,Field-Tested,1,1,0
Jun 30 2015,2015-06-30,6.138,277,M4A4 | Evil Daimyo,M4A4,Evil Daimyo,Field-Tested,1,1,0
Jul 01 2015,2015-07-01,6.214,251,M4A4 | Evil Daimyo,M4A4,Evil Daimyo,Field-Tested,1,1,0
Jul 02 2015,2015-07-02,6.182,251,M4A4 | Evil Daimyo,M4A4,Evil Daimyo,Field-Tested,1,1,0
Jul 03 2015,2015-07-03,5.963,233,M4A4 | Evil Daimyo,M4A4,Evil Daimyo,Field-Tested,1,1,0
Jul 04 2015,2015-07-04,5.851,243,M4A4 | Evil Daimyo,M4A4,Evil Daimyo,Field-Tested,1,1,0
Jul 05 2015,2015-07-05,5.405,261,M4A4 | Evil Daimyo,M4A4,Evil Daimyo,Field-Tested,1,1,0
Jul 06 2015,2015-07-06,5.334,300,M4A4 | Evil Daimyo,M4A4,Evil Daimyo,Field-Tested,1,1,0
Jul 07 2015,2015-07-07,5.304,278,M4A4 | Evil Daimyo,M4A4,Evil Daimyo,Field-Tested,1,1,0
Jul 08 2015,2015-07-08,5.438,254,M4A4 | Evil Daimyo,M4A4,Evil Daimyo,Field-Tested,1,1,0
Jul 09 2015,2015-07-09,5.279,295,M4A4 | Evil Daimyo,M4A4,Evil Daimyo,Field-Tested,1,1,0
Jul 10 2015,2015-07-10,5.319,259,M4A4 | Evil Daimyo,M4A4,Evil Daimyo,Field-Tested,1,1,0
Jul 11 2015,2015-07-11,5.269,278,M4A4 | Evil Daimyo,M4A4,Evil Daimyo,Field-Tested,1,1,0
Jul 12 2015,2015-07-12,5.336,273,M4A4 | Evil Daimyo,M4A4,Evil Daimyo,Field-Tested,1,1,0
Jul 13 2015,2015-07-13,4.969,294,M4A4 | Evil Daimyo,M4A4,Evil Daimyo,Field-Tested,1,1,0
Jul 14 2015,2015-07-14,5.01,280,M4A4 | Evil Daimyo,M4A4,Evil Daimyo,Field-Tested,1,1,0
Jul 15 2015,2015-07-15,4.928,282,M4A4 | Evil Daimyo,M4A4,Evil Daimyo,Field-Tested,1,1,0
Jul 16 2015,2015-07-16,4.804,306,M4A4 | Evil Daimyo,M4A4,Evil Daimyo,Field-Tested,1,1,0
Jul 17 2015,2015-07-17,4.631,276,M4A4 | Evil Daimyo,M4A4,Evil Daimyo,Field-Tested,1,1,0
Jul 18 2015,2015-07-18,4.682,282,M4A4 | Evil Daimyo,M4A4,Evil Daimyo,Field-Tested,1,1,0
Jul 19 2015,2015-07-19,4.365,308,M4A4 | Evil Daimyo,M4A4,Evil Daimyo,Field-Tested,1,1,0
Jul 20 2015,2015-07-20,4.646,314,M4A4 | Evil Daimyo,M4A4,Evil Daimyo,Field-Tested,1,1,0
Jul 21 2015,2015-07-21,4.499,284,M4A4 | Evil Daimyo,M4A4,Evil Daimyo,Field-Tested,1,1,0
Jul 22 2015,2015-07-22,4.54,240,M4A4 | Evil Daimyo,M4A4,Evil Daimyo,Field-Tested,1,1,0
Jul 23 2015,2015-07-23,4.489,307,M4A4 | Evil Daimyo,M4A4,Evil Daimyo,Field-Tested,1,1,0
Jul 24 2015,2015-07-24,4.392,274,M4A4 | Evil Daimyo,M4A4,Evil Daimyo,Field-Tested,1,1,0
Jul 25 2015,2015-07-25,4.284,281,M4A4 | Evil Daimyo,M4A4,Evil Daimyo,Field-Tested,1,1,0
Jul 26 2015,2015-07-26,4.133,319,M4A4 | Evil Daimyo,M4A4,Evil Daimyo,Field-Tested,1,1,0
Jul 27 2015,2015-07-27,4.032,345,M4A4 | Evil Daimyo,M4A4,Evil Daimyo,Field-Tested,1,1,0
Jul 28 2015,2015-07-28,4.151,330,M4A4 | Evil Daimyo,M4A4,Evil Daimyo,Field-Tested,1,1,0
Jul 29 2015,2015-07-29,4.099,295,M4A4 | Evil Daimyo,M4A4,Evil Daimyo,Field-Tested,1,1,0
Jul 30 2015,2015-07-30,3.996,320,M4A4 | Evil Daimyo,M4A4,Evil Daimyo,Field-Tested,1,1,0
Jul 31 2015,2015-07-31,4.055,313,M4A4 | Evil Daimyo,M4A4,Evil Daimyo,Field-Tested,1,1,0
Aug 01 2015,2015-08-01,3.983,324,M4A4 | Evil Daimyo,M4A4,Evil Daimyo,Field-Tested,1,1,0
Aug 02 2015,2015-08-02,3.88,346,M4A4 | Evil Daimyo,M4A4,Evil Daimyo,Field-Tested,1,1,0
Aug 03 2015,2015-08-03,3.861,319,M4A4 | Evil Daimyo,M4A4,Evil Daimyo,Field-Tested,1,1,0
Aug 04 2015,2015-08-04,3.812,292,M4A4 | Evil Daimyo,M4A4,Evil Daimyo,Field-Tested,1,1,0
Aug 05 2015,2015-08-05,3.689,295,M4A4 | Evil Daimyo,M4A4,Evil Daimyo,Field-Tested,1,1,0
Aug 06 2015,2015-08-06,3.753,312,M4A4 | Evil Daimyo,M4A4,Evil Daimyo,Field-Tested,1,1,0
Aug 07 2015,2015-08-07,3.695,314,M4A4 | Evil Daimyo,M4A4,Evil Daimyo,Field-Tested,1,1,0
Aug 08 2015,2015-08-08,3.699,329,M4A4 | Evil Daimyo,M4A4,Evil Daimyo,Field-Tested,1,1,0
Aug 09 2015,2015-08-09,3.48,345,M4A4 | Evil Daimyo,M4A4,Evil Daimyo,Field-Tested,1,1,0
Aug 10 2015,2015-08-10,3.374,383,M4A4 | Evil Daimyo,M4A4,Evil Daimyo,Field-Tested,1,1,0
Aug 11 2015,2015-08-11,3.478,330,M4A4 | Evil Daimyo,M4A4,Evil Daimyo,Field-Tested,1,1,0
Aug 12 2015,2015-08-12,3.359,379,M4A4 | Evil Daimyo,M4A4,Evil Daimyo,Field-Tested,1,1,0
Aug 13 2015,2015-08-13,3.385,320,M4A4 | Evil Daimyo,M4A4,Evil Daimyo,Field-Tested,1,1,0
Aug 14 2015,2015-08-14,3.433,337,M4A4 | Evil Daimyo,M4A4,Evil Daimyo,Field-Tested,1,1,0
Aug 15 2015,2015-08-15,2.817,416,M4A4 | Evil Daimyo,M4A4,Evil Daimyo,Field-Tested,1,1,0
Aug 16 2015,2015-08-16,2.894,353,M4A4 | Evil Daimyo,M4A4,Evil Daimyo,Field-Tested,1,1,0
Aug 17 2015,2015-08-17,2.959,385,M4A4 | Evil Daimyo,M4A4,Evil Daimyo,Field-Tested,1,1,0
Aug 18 2015,2015-08-18,3.066,321,M4A4 | Evil Daimyo,M4A4,Evil Daimyo,Field-Tested,1,1,0
Aug 19 2015,2015-08-19,3.098,326,M4A4 | Evil Daimyo,M4A4,Evil Daimyo,Field-Tested,1,1,0
Aug 20 2015,2015-08-20,2.974,404,M4A4 | Evil Daimyo,M4A4,Evil Daimyo,Field-Tested,1,1,0
Aug 21 2015,2015-08-21,2.79,469,M4A4 | Evil Daimyo,M4A4,Evil Daimyo,Field-Tested,1,1,0
Aug 22 2015,2015-08-22,2.974,400,M4A4 | Evil Daimyo,M4A4,Evil Daimyo,Field-Tested,1,1,0
Aug 23 2015,2015-08-23,2.631,496,M4A4 | Evil Daimyo,M4A4,Evil Daimyo,Field-Tested,1,1,0
Aug 24 2015,2015-08-24,2.729,438,M4A4 | Evil Daimyo,M4A4,Evil Daimyo,Field-Tested,1,1,0
Aug 25 2015,2015-08-25,2.984,337,M4A4 | Evil Daimyo,M4A4,Evil Daimyo,Field-Tested,1,1,0
Aug 26 2015,2015-08-26,2.966,391,M4A4 | Evil Daimyo,M4A4,Evil Daimyo,Field-Tested,1,1,0
Aug 27 2015,2015-08-27,3.084,401,M4A4 | Evil Daimyo,M4A4,Evil Daimyo,Field-Tested,1,1,0
Aug 28 2015,2015-08-28,3.183,372,M4A4 | Evil Daimyo,M4A4,Evil Daimyo,Field-Tested,1,1,0
Aug 29 2015,2015-08-29,3.095,428,M4A4 | Evil Daimyo,M4A4,Evil Daimyo,Field-Tested,1,1,0
Aug 30 2015,2015-08-30,3.066,428,M4A4 | Evil Daimyo,M4A4,Evil Daimyo,Field-Tested,1,1,0
Aug 31 2015,2015-08-31,3.201,355,M4A4 | Evil Daimyo,M4A4,Evil Daimyo,Field-Tested,1,1,0
Sep 01 2015,2015-09-01,3.235,381,M4A4 | Evil Daimyo,M4A4,Evil Daimyo,Field-Tested,1,1,0
Sep 02 2015,2015-09-02,3.17,324,M4A4 | Evil Daimyo,M4A4,Evil Daimyo,Field-Tested,1,1,0
Sep 03 2015,2015-09-03,3.105,317,M4A4 | Evil Daimyo,M4A4,Evil Daimyo,Field-Tested,1,1,0
Sep 04 2015,2015-09-04,3.074,388,M4A4 | Evil Daimyo,M4A4,Evil Daimyo,Field-Tested,1,1,0
Sep 05 2015,2015-09-05,3.003,441,M4A4 | Evil Daimyo,M4A4,Evil Daimyo,Field-Tested,1,1,0
Sep 06 2015,2015-09-06,2.935,411,M4A4 | Evil Daimyo,M4A4,Evil Daimyo,Field-Tested,1,1,0
Sep 07 2015,2015-09-07,2.893,359,M4A4 | Evil Daimyo,M4A4,Evil Daimyo,Field-Tested,1,1,0
Sep 08 2015,2015-09-08,2.904,332,M4A4 | Evil Daimyo,M4A4,Evil Daimyo,Field-Tested,1,1,0
