date,py_date,median_price,rolling_30day_sd,ewm_30day_sd,expanding_sd,total_sd,pre_sd,post_sd,volume_sold,item,equip,skin,wear,stattrak,treated_unit,post_treat
May 27 2015,2015-05-27,11.03,,,,2.0984196789557488,1.4119660669053289,2.1385561741111365,24,M4A4 | Evil Daimyo,M4A4,Evil Daimyo,Well-Worn,1,1,0
May 28 2015,2015-05-28,9.997,0.7304413049657039,0.7304413049657033,0.7304413049657039,2.0984196789557488,1.4119660669053289,2.1385561741111365,27,M4A4 | Evil Daimyo,M4A4,Evil Daimyo,Well-Worn,1,1,0
May 29 2015,2015-05-29,10.469,0.5171386016662589,0.5756260491861575,0.5171386016662589,2.0984196789557488,1.4119660669053289,2.1385561741111365,23,M4A4 | Evil Daimyo,M4A4,Evil Daimyo,Well-Worn,1,1,0
May 30 2015,2015-05-30,13.267,1.4471370299088242,1.1192819108451946,1.4471370299088242,2.0984196789557488,1.4119660669053289,2.1385561741111365,11,M4A4 | Evil Daimyo,M4A4,Evil Daimyo,Well-Worn,1,1,0
May 31 2015,2015-05-31,12.127,1.3213504455669587,1.048619551399625,1.3213504455669587,2.0984196789557488,1.4119660669053289,2.1385561741111365,15,M4A4 | Evil Daimyo,M4A4,Evil Daimyo,Well-Worn,1,1,0
Jun 01 2015,2015-06-01,12.776,1.3124433702068823,1.1014585526089746,1.3124433702068823,2.0984196789557488,1.4119660669053289,2.1385561741111365,9,M4A4 | Evil Daimyo,M4A4,Evil Daimyo,Well-Worn,1,1,0
Jun 02 2015,2015-06-02,12.628,1.2582442415638433,1.1030486639384398,1.2582442415638433,2.0984196789557488,1.4119660669053289,2.1385561741111365,8,M4A4 | Evil Daimyo,M4A4,Evil Daimyo,Well-Worn,1,1,0
Jun 03 2015,2015-06-03,11.683,1.1651959292631553,1.0222067742551637,1.1651959292631553,2.0984196789557488,1.4119660669053289,2.1385561741111365,14,M4A4 | Evil Daimyo,M4A4,Evil Daimyo,Well-Worn,1,1,0
Jun 04 2015,2015-06-04,8.403,1.5590208554659482,1.318863188060527,1.5590208554659482,2.0984196789557488,1.4119660669053289,2.1385561741111365,14,M4A4 | Evil Daimyo,M4A4,Evil Daimyo,Well-Worn,1,1,0
Jun 05 2015,2015-06-05,7.707,1.8725157794914422,1.612718203815692,1.8725157794914422,2.0984196789557488,1.4119660669053289,2.1385561741111365,21,M4A4 | Evil Daimyo,M4A4,Evil Daimyo,Well-Worn,1,1,0
Jun 06 2015,2015-06-06,8.351,1.9487966263592231,1.6975231832906437,1.9487966263592231,2.0984196789557488,1.4119660669053289,2.1385561741111365,16,M4A4 | Evil Daimyo,M4A4,Evil Daimyo,Well-Worn,1,1,0
Jun 07 2015,2015-06-07,8.058,2.0159739055550263,1.7840313963009753,2.0159739055550263,2.0984196789557488,1.4119660669053289,2.1385561741111365,20,M4A4 | Evil Daimyo,M4A4,Evil Daimyo,Well-Worn,1,1,0
Jun 08 2015,2015-06-08,8.736,1.994036468046017,1.7730717570775993,1.994036468046017,2.0984196789557488,1.4119660669053289,2.1385561741111365,15,M4A4 | Evil Daimyo,M4A4,Evil Daimyo,Well-Worn,1,1,0
Jun 09 2015,2015-06-09,7.937,2.0259565492775105,1.8285680714554136,2.0259565492775105,2.0984196789557488,1.4119660669053289,2.1385561741111365,19,M4A4 | Evil Daimyo,M4A4,Evil Daimyo,Well-Worn,1,1,0
Jun 10 2015,2015-06-10,8.499,2.0025580854782423,1.8142993022775333,2.0025580854782423,2.0984196789557488,1.4119660669053289,2.1385561741111365,14,M4A4 | Evil Daimyo,M4A4,Evil Daimyo,Well-Worn,1,1,0
