date,py_date,median_price,rolling_30day_sd,ewm_30day_sd,expanding_sd,total_sd,pre_sd,post_sd,volume_sold,item,equip,skin,wear,stattrak,treated_unit,post_treat
Nov 12 2014,2014-11-12,45.154,,,,3.4818789543480553,4.161831571446684,2.992947218459288,163,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
Nov 13 2014,2014-11-13,37.556,5.372597323455395,5.372597323455393,5.372597323455395,3.4818789543480553,4.161831571446684,2.992947218459288,106,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
Nov 14 2014,2014-11-14,31.257,6.958611140162961,7.894831358909903,6.958611140162961,3.4818789543480553,4.161831571446684,2.992947218459288,99,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
Nov 15 2014,2014-11-15,30.501,6.804340428481421,8.653173834054092,6.804340428481421,3.4818789543480553,4.161831571446684,2.992947218459288,84,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
Nov 16 2014,2014-11-16,26.602,7.268516457985086,9.80714950037229,7.268516457985086,3.4818789543480553,4.161831571446684,2.992947218459288,87,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
Nov 17 2014,2014-11-17,26.979,7.140677094412457,10.244256171268828,7.140677094412457,3.4818789543480553,4.161831571446684,2.992947218459288,61,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
Nov 18 2014,2014-11-18,25.328,7.1356485806594145,10.69228387208647,7.1356485806594145,3.4818789543480553,4.161831571446684,2.992947218459288,57,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
Nov 19 2014,2014-11-19,22.27,7.433852633873159,11.362580150177168,7.433852633873159,3.4818789543480553,4.161831571446684,2.992947218459288,64,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
Nov 20 2014,2014-11-20,21.332,7.623494982617884,11.86239748940421,7.623494982617884,3.4818789543480553,4.161831571446684,2.992947218459288,61,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
Nov 21 2014,2014-11-21,18.341,8.030065005963529,12.524678391535973,8.030065005963529,3.4818789543480553,4.161831571446684,2.992947218459288,84,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
Nov 22 2014,2014-11-22,18.571,8.188643835991849,12.892947210272657,8.188643835991849,3.4818789543480553,4.161831571446684,2.992947218459288,80,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
Nov 23 2014,2014-11-23,19.068,8.18913967204015,13.043116749271064,8.18913967204015,3.4818789543480553,4.161831571446684,2.992947218459288,73,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
Nov 24 2014,2014-11-24,19.164,8.129748211006232,13.081335120538789,8.129748211006232,3.4818789543480553,4.161831571446684,2.992947218459288,62,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
Nov 25 2014,2014-11-25,18.252,8.102773432732638,13.123301498705585,8.102773432732638,3.4818789543480553,4.161831571446684,2.992947218459288,56,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
Nov 26 2014,2014-11-26,20.102,7.942621777173967,12.955739605956897,7.942621777173967,3.4818789543480553,4.161831571446684,2.992947218459288,60,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
Nov 27 2014,2014-11-27,19.196,7.826761518182348,12.823030967070949,7.826761518182348,3.4818789543480553,4.161831571446684,2.992947218459288,84,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
Nov 28 2014,2014-11-28,19.026,7.714567591099783,12.669680586113934,7.714567591099783,3.4818789543480553,4.161831571446684,2.992947218459288,78,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
Nov 29 2014,2014-11-29,27.522,7.515221420339661,12.169532650552112,7.515221420339661,3.4818789543480553,4.161831571446684,2.992947218459288,14,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
Nov 30 2014,2014-11-30,15.917,7.581859831009544,12.238525329814127,7.581859831009544,3.4818789543480553,4.161831571446684,2.992947218459288,125,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
Dec 01 2014,2014-12-01,17.522,7.534706972264733,12.13108955033441,7.534706972264733,3.4818789543480553,4.161831571446684,2.992947218459288,72,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
Dec 02 2014,2014-12-02,17.822,7.465972056445101,11.973831581454483,7.465972056445101,3.4818789543480553,4.161831571446684,2.992947218459288,61,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
Dec 03 2014,2014-12-03,18.101,7.382823602693274,11.779110503474378,7.382823602693274,3.4818789543480553,4.161831571446684,2.992947218459288,63,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
Dec 04 2014,2014-12-04,18.105,7.298217488800538,11.568957295269385,7.298217488800538,3.4818789543480553,4.161831571446684,2.992947218459288,56,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
Dec 05 2014,2014-12-05,20.234,7.163494106847622,11.258743176940317,7.163494106847622,3.4818789543480553,4.161831571446684,2.992947218459288,113,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
Dec 06 2014,2014-12-06,20.953,7.025558708506157,10.93039005938151,7.025558708506157,3.4818789543480553,4.161831571446684,2.992947218459288,109,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
Dec 07 2014,2014-12-07,18.541,6.938814064488145,10.696163501362081,6.938814064488145,3.4818789543480553,4.161831571446684,2.992947218459288,69,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
Dec 08 2014,2014-12-08,18.635,6.851652913058693,10.453271311647601,6.851652913058693,3.4818789543480553,4.161831571446684,2.992947218459288,72,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
Dec 09 2014,2014-12-09,23.17,6.724241124646036,10.097929363557435,6.724241124646036,3.4818789543480553,4.161831571446684,2.992947218459288,225,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
Dec 10 2014,2014-12-10,58.93,9.42851648175884,13.05031222924152,9.42851648175884,3.4818789543480553,4.161831571446684,2.992947218459288,484,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
Dec 11 2014,2014-12-11,36.313,9.536123445741138,12.827987023827477,9.536123445741138,3.4818789543480553,4.161831571446684,2.992947218459288,204,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
Dec 12 2014,2014-12-12,37.651,9.05806468311241,12.654850026670259,9.675454112873597,3.4818789543480553,4.161831571446684,2.992947218459288,104,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
Dec 13 2014,2014-12-13,32.126,8.831298827231594,12.267368024426649,9.606347978439201,3.4818789543480553,4.161831571446684,2.992947218459288,82,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
Dec 14 2014,2014-12-14,28.302,8.762831035214829,11.85303092078262,9.472434012102507,3.4818789543480553,4.161831571446684,2.992947218459288,109,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
Dec 15 2014,2014-12-15,30.915,8.774035437703054,11.4720628960163,9.38083283913498,3.4818789543480553,4.161831571446684,2.992947218459288,85,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
Dec 16 2014,2014-12-16,29.269,8.816467501020561,11.088793006198618,9.266436020264052,3.4818789543480553,4.161831571446684,2.992947218459288,51,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
Dec 17 2014,2014-12-17,26.199,8.808287478278626,10.734500380981338,9.13408887716082,3.4818789543480553,4.161831571446684,2.992947218459288,72,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
Dec 18 2014,2014-12-18,25.194,8.807570167419787,10.407924690504757,9.0064061158224,3.4818789543480553,4.161831571446684,2.992947218459288,109,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
Dec 19 2014,2014-12-19,18.697,8.854285973016347,10.340688075683458,8.95033359030082,3.4818789543480553,4.161831571446684,2.992947218459288,188,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
Dec 20 2014,2014-12-20,19.766,8.873763648641654,10.188161759946778,8.875046028581863,3.4818789543480553,4.161831571446684,2.992947218459288,99,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
Dec 21 2014,2014-12-21,19.563,8.850995781630267,10.029364577804682,8.80403317993142,3.4818789543480553,4.161831571446684,2.992947218459288,96,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
Dec 22 2014,2014-12-22,17.824,8.867135627711459,9.943686407566243,8.76430418738558,3.4818789543480553,4.161831571446684,2.992947218459288,108,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
Dec 23 2014,2014-12-23,19.628,8.857554260720574,9.747946750365625,8.69318458532953,3.4818789543480553,4.161831571446684,2.992947218459288,95,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
Dec 24 2014,2014-12-24,18.273,8.874954461013166,9.603981482431694,8.644071227266688,3.4818789543480553,4.161831571446684,2.992947218459288,114,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
Dec 25 2014,2014-12-25,20.063,8.8425443293908,9.373894539077154,8.569216219669704,3.4818789543480553,4.161831571446684,2.992947218459288,130,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
Dec 26 2014,2014-12-26,20.513,8.83695753151463,9.128668081908314,8.49115025925537,3.4818789543480553,4.161831571446684,2.992947218459288,119,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
Dec 27 2014,2014-12-27,19.965,8.824251397313459,8.901877894279147,8.420802891826597,3.4818789543480553,4.161831571446684,2.992947218459288,99,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
Dec 28 2014,2014-12-28,19.079,8.823262804889014,8.705325695887,8.362543198872368,3.4818789543480553,4.161831571446684,2.992947218459288,100,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
Dec 29 2014,2014-12-29,18.0,8.856940049163864,8.54784223179254,8.320078300418132,3.4818789543480553,4.161831571446684,2.992947218459288,116,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
