date,py_date,median_price,rolling_30day_sd,ewm_30day_sd,expanding_sd,total_sd,pre_sd,post_sd,volume_sold,item,weapon,skin,wear,stattrak,treated_unit,post_treat
Nov 12 2014,2014-11-12,26.958,,,,3.4517130619144276,3.231083463836413,3.3718235471515805,8,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
Nov 13 2014,2014-11-13,26.445,0.36274577874869757,0.3627457787486976,0.36274577874869757,3.4517130619144276,3.231083463836413,3.3718235471515805,19,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
Nov 14 2014,2014-11-14,28.657,1.157779052035981,0.9303940956073146,1.157779052035981,3.4517130619144276,3.231083463836413,3.3718235471515805,1,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
Nov 15 2014,2014-11-15,20.925,3.3502988299553214,2.765252524263314,3.3502988299553214,3.4517130619144276,3.231083463836413,3.3718235471515805,10,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
Nov 16 2014,2014-11-16,20.115,3.8419489845649957,3.484114474478577,3.8419489845649957,3.4517130619144276,3.231083463836413,3.3718235471515805,8,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
Nov 17 2014,2014-11-17,19.734,3.973322321013822,3.878865977394795,3.973322321013822,3.4517130619144276,3.231083463836413,3.3718235471515805,8,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
Nov 18 2014,2014-11-18,21.307,3.748063531758132,3.837718907407186,3.748063531758132,3.4517130619144276,3.231083463836413,3.3718235471515805,4,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
Nov 19 2014,2014-11-19,16.731,4.205007321209865,4.5208442177152754,4.205007321209865,3.4517130619144276,3.231083463836413,3.3718235471515805,4,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
Nov 20 2014,2014-11-20,14.394,4.792733582669126,5.318504390374363,4.792733582669126,3.4517130619144276,3.231083463836413,3.3718235471515805,8,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
Nov 21 2014,2014-11-21,13.948,5.140188219640729,5.860368107840985,5.140188219640729,3.4517130619144276,3.231083463836413,3.3718235471515805,10,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
Nov 22 2014,2014-11-22,12.244,5.533948669144598,6.435789054984284,5.533948669144598,3.4517130619144276,3.231083463836413,3.3718235471515805,6,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
Nov 23 2014,2014-11-23,14.997,5.480725623132452,6.489708882337883,5.480725623132452,3.4517130619144276,3.231083463836413,3.3718235471515805,5,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
Nov 24 2014,2014-11-24,16.824,5.307866473452398,6.354102268243963,5.307866473452398,3.4517130619144276,3.231083463836413,3.3718235471515805,6,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
Nov 25 2014,2014-11-25,14.161,5.294277910480955,6.424645780959607,5.294277910480955,3.4517130619144276,3.231083463836413,3.3718235471515805,6,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
Nov 26 2014,2014-11-26,14.765,5.223193189538185,6.3993834832477825,5.223193189538185,3.4517130619144276,3.231083463836413,3.3718235471515805,7,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
Nov 27 2014,2014-11-27,14.462,5.162027375863737,6.37182863774861,5.162027375863737,3.4517130619144276,3.231083463836413,3.3718235471515805,9,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
Nov 28 2014,2014-11-28,15.869,5.0399712687381335,6.2340000661002515,5.0399712687381335,3.4517130619144276,3.231083463836413,3.3718235471515805,6,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
Nov 29 2014,2014-11-29,19.701,4.89932723039169,5.981937901910873,4.89932723039169,3.4517130619144276,3.231083463836413,3.3718235471515805,4,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
Nov 30 2014,2014-11-30,14.968,4.82812590135119,5.911192375846097,4.82812590135119,3.4517130619144276,3.231083463836413,3.3718235471515805,7,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
Dec 01 2014,2014-12-01,11.756,4.920172498848088,6.06906393111474,4.920172498848088,3.4517130619144276,3.231083463836413,3.3718235471515805,13,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
Dec 02 2014,2014-12-02,11.2,5.01658070943603,6.2145001579058725,5.01658070943603,3.4517130619144276,3.231083463836413,3.3718235471515805,14,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
Dec 03 2014,2014-12-03,13.678,4.967538634851729,6.131745896090509,4.967538634851729,3.4517130619144276,3.231083463836413,3.3718235471515805,11,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
Dec 04 2014,2014-12-04,12.363,4.967763001704762,6.1168089077009045,4.967763001704762,3.4517130619144276,3.231083463836413,3.3718235471515805,7,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
Dec 05 2014,2014-12-05,14.361,4.893642255000617,5.974821612623639,4.893642255000617,3.4517130619144276,3.231083463836413,3.3718235471515805,19,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
Dec 06 2014,2014-12-06,17.408,4.790985421253821,5.762752397534049,4.790985421253821,3.4517130619144276,3.231083463836413,3.3718235471515805,5,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
Dec 07 2014,2014-12-07,14.679,4.718511867103864,5.618195754960752,4.718511867103864,3.4517130619144276,3.231083463836413,3.3718235471515805,6,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
Dec 08 2014,2014-12-08,15.332,4.638339174041424,5.453798403251292,4.638339174041424,3.4517130619144276,3.231083463836413,3.3718235471515805,5,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
Dec 09 2014,2014-12-09,20.077,4.589536606013346,5.304150215015005,4.589536606013346,3.4517130619144276,3.231083463836413,3.3718235471515805,29,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
Dec 10 2014,2014-12-10,40.007,6.20060953383883,7.622597864315427,6.20060953383883,3.4517130619144276,3.231083463836413,3.3718235471515805,27,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
Dec 11 2014,2014-12-11,24.259,6.203614634588673,7.474748532459353,6.203614634588673,3.4517130619144276,3.231083463836413,3.3718235471515805,21,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
Dec 12 2014,2014-12-12,24.973,6.115592002433606,7.352901674721635,6.223809974260053,3.4517130619144276,3.231083463836413,3.3718235471515805,9,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
