date,py_date,median_price,rolling_30day_sd,ewm_30day_sd,expanding_sd,total_sd,pre_sd,post_sd,volume_sold,item,equip,skin,wear,stattrak,treated_unit,post_treat
Jan 09 2015,2015-01-09,137.621,,,,7.105349482428147,8.94723720228443,5.480761525303674,29,M4A4 | 龍王 (Dragon King),M4A4,龍王 (Dragon King),Field-Tested,1,1,0
Jan 10 2015,2015-01-10,106.484,22.017183845805544,22.017183845805544,22.017183845805544,7.105349482428147,8.94723720228443,5.480761525303674,25,M4A4 | 龍王 (Dragon King),M4A4,龍王 (Dragon King),Field-Tested,1,1,0
Jan 11 2015,2015-01-11,73.381,32.12501356160545,35.70004459284206,32.12501356160545,7.105349482428147,8.94723720228443,5.480761525303674,48,M4A4 | 龍王 (Dragon King),M4A4,龍王 (Dragon King),Field-Tested,1,1,0
Jan 12 2015,2015-01-12,76.605,30.02526720808105,37.67050303359167,30.02526720808105,7.105349482428147,8.94723720228443,5.480761525303674,35,M4A4 | 龍王 (Dragon King),M4A4,龍王 (Dragon King),Field-Tested,1,1,0
Jan 13 2015,2015-01-13,69.236,29.11494888025738,39.763442386435905,29.11494888025738,7.105349482428147,8.94723720228443,5.480761525303674,33,M4A4 | 龍王 (Dragon King),M4A4,龍王 (Dragon King),Field-Tested,1,1,0
Jan 14 2015,2015-01-14,69.413,27.717441252756366,40.52608716418398,27.717441252756366,7.105349482428147,8.94723720228443,5.480761525303674,31,M4A4 | 龍王 (Dragon King),M4A4,龍王 (Dragon King),Field-Tested,1,1,0
Jan 15 2015,2015-01-15,74.869,25.843735854259968,39.94858122871516,25.843735854259968,7.105349482428147,8.94723720228443,5.480761525303674,29,M4A4 | 龍王 (Dragon King),M4A4,龍王 (Dragon King),Field-Tested,1,1,0
Jan 16 2015,2015-01-16,70.085,24.64576761549827,39.85929997705459,24.64576761549827,7.105349482428147,8.94723720228443,5.480761525303674,31,M4A4 | 龍王 (Dragon King),M4A4,龍王 (Dragon King),Field-Tested,1,1,0
Jan 17 2015,2015-01-17,60.01,24.480288240972808,40.73753764015331,24.480288240972808,7.105349482428147,8.94723720228443,5.480761525303674,49,M4A4 | 龍王 (Dragon King),M4A4,龍王 (Dragon King),Field-Tested,1,1,0
Jan 18 2015,2015-01-18,56.077,24.489326851825794,41.56988232459177,24.489326851825794,7.105349482428147,8.94723720228443,5.480761525303674,34,M4A4 | 龍王 (Dragon King),M4A4,龍王 (Dragon King),Field-Tested,1,1,0
