date,py_date,median_price,volume_sold,item,weapon,skin,wear,stattrak,treated_unit,post_treat
Jul 11 2014,2014-07-11,8.936,86,USP-S | Blood Tiger,USP-S,Blood Tiger,Factory New,1,1,0
Jul 12 2014,2014-07-12,6.093,92,USP-S | Blood Tiger,USP-S,Blood Tiger,Factory New,1,1,0
Jul 13 2014,2014-07-13,5.273,99,USP-S | Blood Tiger,USP-S,Blood Tiger,Factory New,1,1,0
Jul 14 2014,2014-07-14,4.667,86,USP-S | Blood Tiger,USP-S,Blood Tiger,Factory New,1,1,0
Jul 15 2014,2014-07-15,4.102,122,USP-S | Blood Tiger,USP-S,Blood Tiger,Factory New,1,1,0
Jul 16 2014,2014-07-16,4.05,119,USP-S | Blood Tiger,USP-S,Blood Tiger,Factory New,1,1,0
Jul 17 2014,2014-07-17,4.052,126,USP-S | Blood Tiger,USP-S,Blood Tiger,Factory New,1,1,0
Jul 18 2014,2014-07-18,3.85,114,USP-S | Blood Tiger,USP-S,Blood Tiger,Factory New,1,1,0
Jul 19 2014,2014-07-19,3.791,120,USP-S | Blood Tiger,USP-S,Blood Tiger,Factory New,1,1,0
Jul 20 2014,2014-07-20,3.246,138,USP-S | Blood Tiger,USP-S,Blood Tiger,Factory New,1,1,0
Jul 21 2014,2014-07-21,3.295,129,USP-S | Blood Tiger,USP-S,Blood Tiger,Factory New,1,1,0
Jul 22 2014,2014-07-22,3.273,132,USP-S | Blood Tiger,USP-S,Blood Tiger,Factory New,1,1,0
Jul 23 2014,2014-07-23,3.072,161,USP-S | Blood Tiger,USP-S,Blood Tiger,Factory New,1,1,0
Jul 24 2014,2014-07-24,3.032,147,USP-S | Blood Tiger,USP-S,Blood Tiger,Factory New,1,1,0
Jul 25 2014,2014-07-25,3.167,169,USP-S | Blood Tiger,USP-S,Blood Tiger,Factory New,1,1,0
Jul 26 2014,2014-07-26,3.047,146,USP-S | Blood Tiger,USP-S,Blood Tiger,Factory New,1,1,0
Jul 27 2014,2014-07-27,3.241,166,USP-S | Blood Tiger,USP-S,Blood Tiger,Factory New,1,1,0
Jul 28 2014,2014-07-28,3.119,153,USP-S | Blood Tiger,USP-S,Blood Tiger,Factory New,1,1,0
Jul 29 2014,2014-07-29,2.966,186,USP-S | Blood Tiger,USP-S,Blood Tiger,Factory New,1,1,0
Jul 30 2014,2014-07-30,3.0,161,USP-S | Blood Tiger,USP-S,Blood Tiger,Factory New,1,1,0
Jul 31 2014,2014-07-31,2.942,187,USP-S | Blood Tiger,USP-S,Blood Tiger,Factory New,1,1,0
Aug 01 2014,2014-08-01,2.894,210,USP-S | Blood Tiger,USP-S,Blood Tiger,Factory New,1,1,0
Aug 02 2014,2014-08-02,2.92,211,USP-S | Blood Tiger,USP-S,Blood Tiger,Factory New,1,1,0
Aug 03 2014,2014-08-03,2.95,216,USP-S | Blood Tiger,USP-S,Blood Tiger,Factory New,1,1,0
Aug 04 2014,2014-08-04,2.859,228,USP-S | Blood Tiger,USP-S,Blood Tiger,Factory New,1,1,0
Aug 05 2014,2014-08-05,2.573,206,USP-S | Blood Tiger,USP-S,Blood Tiger,Factory New,1,1,0
Aug 06 2014,2014-08-06,2.633,214,USP-S | Blood Tiger,USP-S,Blood Tiger,Factory New,1,1,0
Aug 07 2014,2014-08-07,2.695,197,USP-S | Blood Tiger,USP-S,Blood Tiger,Factory New,1,1,0
Aug 08 2014,2014-08-08,2.553,247,USP-S | Blood Tiger,USP-S,Blood Tiger,Factory New,1,1,0
Aug 09 2014,2014-08-09,2.64,207,USP-S | Blood Tiger,USP-S,Blood Tiger,Factory New,1,1,0
Aug 10 2014,2014-08-10,2.608,209,USP-S | Blood Tiger,USP-S,Blood Tiger,Factory New,1,1,0
Aug 11 2014,2014-08-11,2.656,224,USP-S | Blood Tiger,USP-S,Blood Tiger,Factory New,1,1,0
Aug 12 2014,2014-08-12,2.631,221,USP-S | Blood Tiger,USP-S,Blood Tiger,Factory New,1,1,0
Aug 13 2014,2014-08-13,2.637,222,USP-S | Blood Tiger,USP-S,Blood Tiger,Factory New,1,1,0
Aug 14 2014,2014-08-14,2.744,228,USP-S | Blood Tiger,USP-S,Blood Tiger,Factory New,1,1,0
Aug 15 2014,2014-08-15,2.555,291,USP-S | Blood Tiger,USP-S,Blood Tiger,Factory New,1,1,0
Aug 16 2014,2014-08-16,2.755,252,USP-S | Blood Tiger,USP-S,Blood Tiger,Factory New,1,1,0
Aug 17 2014,2014-08-17,2.347,290,USP-S | Blood Tiger,USP-S,Blood Tiger,Factory New,1,1,0
Aug 18 2014,2014-08-18,2.508,245,USP-S | Blood Tiger,USP-S,Blood Tiger,Factory New,1,1,0
Aug 19 2014,2014-08-19,2.548,227,USP-S | Blood Tiger,USP-S,Blood Tiger,Factory New,1,1,0
Aug 20 2014,2014-08-20,2.529,267,USP-S | Blood Tiger,USP-S,Blood Tiger,Factory New,1,1,0
Aug 21 2014,2014-08-21,2.508,247,USP-S | Blood Tiger,USP-S,Blood Tiger,Factory New,1,1,0
Aug 22 2014,2014-08-22,2.506,268,USP-S | Blood Tiger,USP-S,Blood Tiger,Factory New,1,1,0
Aug 23 2014,2014-08-23,2.544,283,USP-S | Blood Tiger,USP-S,Blood Tiger,Factory New,1,1,0
Aug 24 2014,2014-08-24,2.59,256,USP-S | Blood Tiger,USP-S,Blood Tiger,Factory New,1,1,0
